# _root_ garai hartako tituloak horrelakoak ziren , luzeak , liburu hori normalean izen laburragoz ezagutzen da : robinson crusoe .
#goldHeads=3,1,5,5,8,5,4,0,14,9,14,14,12,8,14,15,12,17,18,
#predictedHeads=14,1,5,5,0,5,6,7,14,9,14,14,12,0,14,15,12,17,18,
(2,5),-1.18756 # DEPENDENCYPART_ARC
(2,6),-0.949108 # DEPENDENCYPART_ARC
(2,7),-2.55028 # DEPENDENCYPART_ARC
(2,8),-1.01224 # DEPENDENCYPART_ARC
(2,9),-2.00632 # DEPENDENCYPART_ARC
(2,10),-1.34085 # DEPENDENCYPART_ARC
(2,11),-1.51354 # DEPENDENCYPART_ARC
(2,12),-2.05487 # DEPENDENCYPART_ARC
(2,13),-2.62163 # DEPENDENCYPART_ARC
(2,14),-2.0259 # DEPENDENCYPART_ARC
(2,15),-2.22487 # DEPENDENCYPART_ARC
(2,16),-1.47331 # DEPENDENCYPART_ARC
(2,17),-2.27369 # DEPENDENCYPART_ARC
(2,18),-2.81963 # DEPENDENCYPART_ARC
(2,19),-1.79577 # DEPENDENCYPART_ARC
(3,1),1.01763 # DEPENDENCYPART_ARC
(3,2),0.284157 # DEPENDENCYPART_ARC
(3,4),0.057111 # DEPENDENCYPART_ARC
(3,5),-1.52505 # DEPENDENCYPART_ARC
(3,6),-0.795822 # DEPENDENCYPART_ARC
(3,7),-2.14841 # DEPENDENCYPART_ARC
(3,8),-1.25167 # DEPENDENCYPART_ARC
(3,9),-1.64404 # DEPENDENCYPART_ARC
(3,10),-1.65448 # DEPENDENCYPART_ARC
(3,11),-1.22321 # DEPENDENCYPART_ARC
(3,12),-1.44313 # DEPENDENCYPART_ARC
(3,13),-2.33393 # DEPENDENCYPART_ARC
(3,14),-2.13832 # DEPENDENCYPART_ARC
(3,15),-1.81471 # DEPENDENCYPART_ARC
(3,16),-1.72041 # DEPENDENCYPART_ARC
(3,17),-2.33975 # DEPENDENCYPART_ARC
(3,18),-2.39749 # DEPENDENCYPART_ARC
(3,19),-1.28511 # DEPENDENCYPART_ARC
(4,1),-1.08859 # DEPENDENCYPART_ARC
(4,2),-0.716521 # DEPENDENCYPART_ARC
(4,3),-0.278952 # DEPENDENCYPART_ARC
(4,5),-0.644984 # DEPENDENCYPART_ARC
(4,6),-0.191284 # DEPENDENCYPART_ARC
(4,7),-0.66257 # DEPENDENCYPART_ARC
(4,8),-0.367404 # DEPENDENCYPART_ARC
(4,9),-1.83397 # DEPENDENCYPART_ARC
(4,10),-1.89348 # DEPENDENCYPART_ARC
(4,11),-0.827258 # DEPENDENCYPART_ARC
(4,12),-1.49816 # DEPENDENCYPART_ARC
(4,13),-1.3003 # DEPENDENCYPART_ARC
(4,14),-1.53203 # DEPENDENCYPART_ARC
(4,15),-0.868303 # DEPENDENCYPART_ARC
(4,16),-0.803257 # DEPENDENCYPART_ARC
(4,17),-2.28217 # DEPENDENCYPART_ARC
(4,18),-2.50333 # DEPENDENCYPART_ARC
(4,19),-0.849762 # DEPENDENCYPART_ARC
(5,1),1.09572 # DEPENDENCYPART_ARC
(5,2),0.019961 # DEPENDENCYPART_ARC
(5,3),1.83096 # DEPENDENCYPART_ARC
(5,4),1.43754 # DEPENDENCYPART_ARC
(5,6),1.67582 # DEPENDENCYPART_ARC
(5,7),-0.05555 # DEPENDENCYPART_ARC
(5,8),0.256893 # DEPENDENCYPART_ARC
(5,9),-0.341099 # DEPENDENCYPART_ARC
(5,10),-0.70679 # DEPENDENCYPART_ARC
(5,11),-0.638105 # DEPENDENCYPART_ARC
(5,12),-0.706333 # DEPENDENCYPART_ARC
(5,13),-1.8334 # DEPENDENCYPART_ARC
(5,14),-0.659989 # DEPENDENCYPART_ARC
(5,15),-0.347039 # DEPENDENCYPART_ARC
(5,16),-0.429687 # DEPENDENCYPART_ARC
(5,17),-2.18571 # DEPENDENCYPART_ARC
(5,18),-1.23277 # DEPENDENCYPART_ARC
(5,19),-0.674955 # DEPENDENCYPART_ARC
(6,1),-0.851403 # DEPENDENCYPART_ARC
(6,2),-1.23345 # DEPENDENCYPART_ARC
(6,3),-0.413517 # DEPENDENCYPART_ARC
(6,4),-0.319191 # DEPENDENCYPART_ARC
(6,5),0.687778 # DEPENDENCYPART_ARC
(6,7),0.0568501 # DEPENDENCYPART_ARC
(6,8),0.0431065 # DEPENDENCYPART_ARC
(6,9),-0.664691 # DEPENDENCYPART_ARC
(6,10),-1.12093 # DEPENDENCYPART_ARC
(6,11),-1.21148 # DEPENDENCYPART_ARC
(6,12),-0.802465 # DEPENDENCYPART_ARC
(6,13),-0.89971 # DEPENDENCYPART_ARC
(6,14),-0.918449 # DEPENDENCYPART_ARC
(6,15),-0.521883 # DEPENDENCYPART_ARC
(6,16),-0.708253 # DEPENDENCYPART_ARC
(6,17),-1.24932 # DEPENDENCYPART_ARC
(6,18),-1.17986 # DEPENDENCYPART_ARC
(6,19),-1.23426 # DEPENDENCYPART_ARC
(7,1),-1.73668 # DEPENDENCYPART_ARC
(7,2),-1.5857 # DEPENDENCYPART_ARC
(7,3),-1.53255 # DEPENDENCYPART_ARC
(7,4),-0.697778 # DEPENDENCYPART_ARC
(7,5),-0.7996 # DEPENDENCYPART_ARC
(7,6),-0.144164 # DEPENDENCYPART_ARC
(7,8),1.55561 # DEPENDENCYPART_ARC
(7,9),-1.14892 # DEPENDENCYPART_ARC
(7,10),-1.53897 # DEPENDENCYPART_ARC
(7,11),-0.688402 # DEPENDENCYPART_ARC
(7,12),-1.11889 # DEPENDENCYPART_ARC
(7,13),-1.01093 # DEPENDENCYPART_ARC
(7,14),-1.5855 # DEPENDENCYPART_ARC
(7,15),-0.941226 # DEPENDENCYPART_ARC
(7,16),-0.298402 # DEPENDENCYPART_ARC
(7,17),-1.76209 # DEPENDENCYPART_ARC
(7,18),-1.88294 # DEPENDENCYPART_ARC
(7,19),-0.463222 # DEPENDENCYPART_ARC
(8,1),-1.05776 # DEPENDENCYPART_ARC
(8,2),-1.49339 # DEPENDENCYPART_ARC
(8,3),-0.871479 # DEPENDENCYPART_ARC
(8,4),-0.827907 # DEPENDENCYPART_ARC
(8,5),-0.213152 # DEPENDENCYPART_ARC
(8,6),-1.01661 # DEPENDENCYPART_ARC
(8,7),0.0486052 # DEPENDENCYPART_ARC
(8,9),-0.455077 # DEPENDENCYPART_ARC
(8,10),-0.947566 # DEPENDENCYPART_ARC
(8,11),-1.16542 # DEPENDENCYPART_ARC
(8,12),-1.00191 # DEPENDENCYPART_ARC
(8,13),-0.624557 # DEPENDENCYPART_ARC
(8,14),-1.02571 # DEPENDENCYPART_ARC
(8,15),-0.664557 # DEPENDENCYPART_ARC
(8,16),-0.651748 # DEPENDENCYPART_ARC
(8,17),-1.59964 # DEPENDENCYPART_ARC
(8,18),-1.24893 # DEPENDENCYPART_ARC
(8,19),-0.923372 # DEPENDENCYPART_ARC
(9,1),-1.43662 # DEPENDENCYPART_ARC
(9,2),-1.85243 # DEPENDENCYPART_ARC
(9,3),-2.29046 # DEPENDENCYPART_ARC
(9,4),-1.25447 # DEPENDENCYPART_ARC
(9,5),-1.85146 # DEPENDENCYPART_ARC
(9,6),-1.305 # DEPENDENCYPART_ARC
(9,7),-0.655635 # DEPENDENCYPART_ARC
(9,8),-0.0807199 # DEPENDENCYPART_ARC
(9,10),2.55723 # DEPENDENCYPART_ARC
(9,11),0.0224936 # DEPENDENCYPART_ARC
(9,12),-0.802388 # DEPENDENCYPART_ARC
(9,13),-0.116616 # DEPENDENCYPART_ARC
(9,14),-1.0244 # DEPENDENCYPART_ARC
(9,15),-0.93882 # DEPENDENCYPART_ARC
(9,16),-0.730791 # DEPENDENCYPART_ARC
(9,17),-1.05734 # DEPENDENCYPART_ARC
(9,18),-0.560399 # DEPENDENCYPART_ARC
(9,19),-0.421771 # DEPENDENCYPART_ARC
(10,1),-2.12132 # DEPENDENCYPART_ARC
(10,2),-1.80587 # DEPENDENCYPART_ARC
(10,3),-2.51713 # DEPENDENCYPART_ARC
(10,4),-1.01469 # DEPENDENCYPART_ARC
(10,5),-1.67582 # DEPENDENCYPART_ARC
(10,6),-1.07309 # DEPENDENCYPART_ARC
(10,7),-1.47174 # DEPENDENCYPART_ARC
(10,8),-0.761794 # DEPENDENCYPART_ARC
(10,9),-0.273525 # DEPENDENCYPART_ARC
(10,11),-0.00339207 # DEPENDENCYPART_ARC
(10,12),-1.22027 # DEPENDENCYPART_ARC
(10,13),-2.22943 # DEPENDENCYPART_ARC
(10,14),-1.61405 # DEPENDENCYPART_ARC
(10,15),-1.70311 # DEPENDENCYPART_ARC
(10,16),-0.775947 # DEPENDENCYPART_ARC
(10,17),-1.67419 # DEPENDENCYPART_ARC
(10,18),-1.90117 # DEPENDENCYPART_ARC
(10,19),-1.18355 # DEPENDENCYPART_ARC
(11,1),-1.27738 # DEPENDENCYPART_ARC
(11,2),-1.42535 # DEPENDENCYPART_ARC
(11,3),-1.24766 # DEPENDENCYPART_ARC
(11,4),-1.69587 # DEPENDENCYPART_ARC
(11,5),-1.43554 # DEPENDENCYPART_ARC
(11,6),-1.339 # DEPENDENCYPART_ARC
(11,7),-1.39925 # DEPENDENCYPART_ARC
(11,8),-1.01457 # DEPENDENCYPART_ARC
(11,9),-0.454103 # DEPENDENCYPART_ARC
(11,10),0.0932669 # DEPENDENCYPART_ARC
(11,12),-0.199838 # DEPENDENCYPART_ARC
(11,13),-0.974409 # DEPENDENCYPART_ARC
(11,14),-1.27482 # DEPENDENCYPART_ARC
(11,15),-1.06433 # DEPENDENCYPART_ARC
(11,16),-0.70059 # DEPENDENCYPART_ARC
(11,17),-1.29531 # DEPENDENCYPART_ARC
(11,18),-1.29804 # DEPENDENCYPART_ARC
(11,19),-0.834867 # DEPENDENCYPART_ARC
(12,1),-1.77627 # DEPENDENCYPART_ARC
(12,2),-1.1968 # DEPENDENCYPART_ARC
(12,3),-1.47804 # DEPENDENCYPART_ARC
(12,4),-1.1183 # DEPENDENCYPART_ARC
(12,5),-1.64119 # DEPENDENCYPART_ARC
(12,6),-1.83424 # DEPENDENCYPART_ARC
(12,7),-0.713403 # DEPENDENCYPART_ARC
(12,8),-1.5084 # DEPENDENCYPART_ARC
(12,9),-0.557761 # DEPENDENCYPART_ARC
(12,10),0.187135 # DEPENDENCYPART_ARC
(12,11),0.0177539 # DEPENDENCYPART_ARC
(12,13),2.52989 # DEPENDENCYPART_ARC
(12,14),-0.343369 # DEPENDENCYPART_ARC
(12,15),-0.322154 # DEPENDENCYPART_ARC
(12,16),-0.357376 # DEPENDENCYPART_ARC
(12,17),-0.323398 # DEPENDENCYPART_ARC
(12,18),-0.473367 # DEPENDENCYPART_ARC
(12,19),-0.130193 # DEPENDENCYPART_ARC
(13,1),-1.70799 # DEPENDENCYPART_ARC
(13,2),-1.75264 # DEPENDENCYPART_ARC
(13,3),-1.476 # DEPENDENCYPART_ARC
(13,4),-1.16042 # DEPENDENCYPART_ARC
(13,5),-1.52825 # DEPENDENCYPART_ARC
(13,6),-1.3225 # DEPENDENCYPART_ARC
(13,7),-1.68138 # DEPENDENCYPART_ARC
(13,8),-1.25658 # DEPENDENCYPART_ARC
(13,9),-0.667836 # DEPENDENCYPART_ARC
(13,10),-1.35413 # DEPENDENCYPART_ARC
(13,11),0.360901 # DEPENDENCYPART_ARC
(13,12),0.528793 # DEPENDENCYPART_ARC
(13,14),-0.154408 # DEPENDENCYPART_ARC
(13,15),-0.192929 # DEPENDENCYPART_ARC
(13,16),-0.0974412 # DEPENDENCYPART_ARC
(13,17),-1.03384 # DEPENDENCYPART_ARC
(13,18),-1.13572 # DEPENDENCYPART_ARC
(13,19),-0.245571 # DEPENDENCYPART_ARC
(14,1),1.12911 # DEPENDENCYPART_ARC
(14,2),-1.00138 # DEPENDENCYPART_ARC
(14,3),1.13007 # DEPENDENCYPART_ARC
(14,4),-0.430131 # DEPENDENCYPART_ARC
(14,5),-0.627933 # DEPENDENCYPART_ARC
(14,6),-0.71345 # DEPENDENCYPART_ARC
(14,7),-0.278507 # DEPENDENCYPART_ARC
(14,8),-0.981519 # DEPENDENCYPART_ARC
(14,9),1.18732 # DEPENDENCYPART_ARC
(14,10),0.28095 # DEPENDENCYPART_ARC
(14,11),1.08521 # DEPENDENCYPART_ARC
(14,12),1.76544 # DEPENDENCYPART_ARC
(14,13),1.44085 # DEPENDENCYPART_ARC
(14,15),1.96729 # DEPENDENCYPART_ARC
(14,16),0.186181 # DEPENDENCYPART_ARC
(14,17),-0.820032 # DEPENDENCYPART_ARC
(14,18),0.283742 # DEPENDENCYPART_ARC
(14,19),-0.386648 # DEPENDENCYPART_ARC
(15,1),-0.256196 # DEPENDENCYPART_ARC
(15,2),-0.271918 # DEPENDENCYPART_ARC
(15,3),-0.113933 # DEPENDENCYPART_ARC
(15,4),-0.692059 # DEPENDENCYPART_ARC
(15,5),-1.08751 # DEPENDENCYPART_ARC
(15,6),-1.44797 # DEPENDENCYPART_ARC
(15,7),-0.887958 # DEPENDENCYPART_ARC
(15,8),-1.30537 # DEPENDENCYPART_ARC
(15,9),-0.266501 # DEPENDENCYPART_ARC
(15,10),0.276134 # DEPENDENCYPART_ARC
(15,11),-0.515091 # DEPENDENCYPART_ARC
(15,12),-0.0106586 # DEPENDENCYPART_ARC
(15,13),-0.00430556 # DEPENDENCYPART_ARC
(15,14),-0.308007 # DEPENDENCYPART_ARC
(15,16),1.66875 # DEPENDENCYPART_ARC
(15,17),-1.01427 # DEPENDENCYPART_ARC
(15,18),-1.13703 # DEPENDENCYPART_ARC
(15,19),-0.586234 # DEPENDENCYPART_ARC
(16,1),-1.24126 # DEPENDENCYPART_ARC
(16,2),-1.73623 # DEPENDENCYPART_ARC
(16,3),-1.12396 # DEPENDENCYPART_ARC
(16,4),-1.50924 # DEPENDENCYPART_ARC
(16,5),-1.1234 # DEPENDENCYPART_ARC
(16,6),-1.20961 # DEPENDENCYPART_ARC
(16,7),-1.41876 # DEPENDENCYPART_ARC
(16,8),-1.13905 # DEPENDENCYPART_ARC
(16,9),-0.984033 # DEPENDENCYPART_ARC
(16,10),-1.44574 # DEPENDENCYPART_ARC
(16,11),-0.933423 # DEPENDENCYPART_ARC
(16,12),-0.767615 # DEPENDENCYPART_ARC
(16,13),-0.762885 # DEPENDENCYPART_ARC
(16,14),-0.451612 # DEPENDENCYPART_ARC
(16,15),0.298071 # DEPENDENCYPART_ARC
(16,17),-0.906677 # DEPENDENCYPART_ARC
(16,18),-1.24804 # DEPENDENCYPART_ARC
(16,19),-0.216434 # DEPENDENCYPART_ARC
(17,1),-3.00371 # DEPENDENCYPART_ARC
(17,2),-3.21159 # DEPENDENCYPART_ARC
(17,3),-4.10126 # DEPENDENCYPART_ARC
(17,4),-2.24188 # DEPENDENCYPART_ARC
(17,5),-3.51719 # DEPENDENCYPART_ARC
(17,6),-2.46227 # DEPENDENCYPART_ARC
(17,7),-2.34704 # DEPENDENCYPART_ARC
(17,8),-2.01274 # DEPENDENCYPART_ARC
(17,9),-2.16812 # DEPENDENCYPART_ARC
(17,10),-3.40922 # DEPENDENCYPART_ARC
(17,11),-1.80733 # DEPENDENCYPART_ARC
(17,12),-1.49117 # DEPENDENCYPART_ARC
(17,13),-1.34784 # DEPENDENCYPART_ARC
(17,14),-1.15105 # DEPENDENCYPART_ARC
(17,15),-1.18002 # DEPENDENCYPART_ARC
(17,16),-0.442378 # DEPENDENCYPART_ARC
(17,18),1.85485 # DEPENDENCYPART_ARC
(17,19),0.554967 # DEPENDENCYPART_ARC
(18,1),-2.82273 # DEPENDENCYPART_ARC
(18,2),-4.06231 # DEPENDENCYPART_ARC
(18,3),-4.59374 # DEPENDENCYPART_ARC
(18,4),-2.68979 # DEPENDENCYPART_ARC
(18,5),-4.45729 # DEPENDENCYPART_ARC
(18,6),-2.66155 # DEPENDENCYPART_ARC
(18,7),-3.1251 # DEPENDENCYPART_ARC
(18,8),-2.44737 # DEPENDENCYPART_ARC
(18,9),-2.35041 # DEPENDENCYPART_ARC
(18,10),-4.9832 # DEPENDENCYPART_ARC
(18,11),-1.81136 # DEPENDENCYPART_ARC
(18,12),-1.28049 # DEPENDENCYPART_ARC
(18,13),-2.31477 # DEPENDENCYPART_ARC
(18,14),-2.23381 # DEPENDENCYPART_ARC
(18,15),-2.49928 # DEPENDENCYPART_ARC
(18,16),-1.52497 # DEPENDENCYPART_ARC
(18,17),-0.301848 # DEPENDENCYPART_ARC
(18,19),2.04314 # DEPENDENCYPART_ARC
(19,1),-2.2376 # DEPENDENCYPART_ARC
(19,2),-2.14634 # DEPENDENCYPART_ARC
(19,3),-2.02976 # DEPENDENCYPART_ARC
(19,4),-1.87579 # DEPENDENCYPART_ARC
(19,5),-1.70201 # DEPENDENCYPART_ARC
(19,6),-1.5739 # DEPENDENCYPART_ARC
(19,7),-1.97898 # DEPENDENCYPART_ARC
(19,8),-1.65302 # DEPENDENCYPART_ARC
(19,9),-1.63965 # DEPENDENCYPART_ARC
(19,10),-1.94227 # DEPENDENCYPART_ARC
(19,11),-1.38831 # DEPENDENCYPART_ARC
(19,12),-1.5089 # DEPENDENCYPART_ARC
(19,13),-1.60936 # DEPENDENCYPART_ARC
(19,14),-1.39585 # DEPENDENCYPART_ARC
(19,15),-1.10735 # DEPENDENCYPART_ARC
(19,16),-1.17804 # DEPENDENCYPART_ARC
(19,17),-0.875237 # DEPENDENCYPART_ARC
(19,18),-0.56271 # DEPENDENCYPART_ARC
