# _root_ izen horien_artean , ordea , ez da_ageri orain_arte taldeko kide_gisa aipatu duten gorka palacios gaztea .
#goldHeads=7,1,2,0,4,7,0,11,10,11,15,11,15,13,7,15,
#predictedHeads=7,1,2,0,4,7,0,7,10,11,0,11,15,13,11,15,
(5,9),-1.04247 # DEPENDENCYPART_ARC
(5,10),-1.06728 # DEPENDENCYPART_ARC
(5,11),-1.20919 # DEPENDENCYPART_ARC
(5,12),-1.08028 # DEPENDENCYPART_ARC
(5,13),-1.65158 # DEPENDENCYPART_ARC
(5,14),-1.59678 # DEPENDENCYPART_ARC
(5,15),-1.48045 # DEPENDENCYPART_ARC
(5,16),-1.08195 # DEPENDENCYPART_ARC
(6,1),-0.922131 # DEPENDENCYPART_ARC
(6,2),-1.72106 # DEPENDENCYPART_ARC
(6,3),-0.835379 # DEPENDENCYPART_ARC
(6,4),-0.782183 # DEPENDENCYPART_ARC
(6,5),0.0220521 # DEPENDENCYPART_ARC
(6,7),-0.441292 # DEPENDENCYPART_ARC
(6,8),-0.974096 # DEPENDENCYPART_ARC
(6,9),-0.729914 # DEPENDENCYPART_ARC
(6,10),-0.898139 # DEPENDENCYPART_ARC
(6,11),-1.07044 # DEPENDENCYPART_ARC
(6,12),-2.09537 # DEPENDENCYPART_ARC
(6,13),-1.16537 # DEPENDENCYPART_ARC
(6,14),-1.21678 # DEPENDENCYPART_ARC
(6,15),-1.49212 # DEPENDENCYPART_ARC
(6,16),-0.658654 # DEPENDENCYPART_ARC
(7,1),-0.0389748 # DEPENDENCYPART_ARC
(7,2),-0.135122 # DEPENDENCYPART_ARC
(7,3),-0.705096 # DEPENDENCYPART_ARC
(7,4),-0.0441563 # DEPENDENCYPART_ARC
(7,5),-0.537972 # DEPENDENCYPART_ARC
(7,6),1.36587 # DEPENDENCYPART_ARC
(7,8),0.725075 # DEPENDENCYPART_ARC
(7,9),-1.1005 # DEPENDENCYPART_ARC
(7,10),-0.378279 # DEPENDENCYPART_ARC
(7,11),-0.59375 # DEPENDENCYPART_ARC
(7,12),-1.03255 # DEPENDENCYPART_ARC
(7,13),-1.40938 # DEPENDENCYPART_ARC
(7,14),-1.44191 # DEPENDENCYPART_ARC
(7,15),-0.840627 # DEPENDENCYPART_ARC
(7,16),-0.970765 # DEPENDENCYPART_ARC
(8,1),-1.60719 # DEPENDENCYPART_ARC
(8,2),-1.77473 # DEPENDENCYPART_ARC
(8,3),-1.71081 # DEPENDENCYPART_ARC
(8,4),-1.17369 # DEPENDENCYPART_ARC
(8,5),-1.32935 # DEPENDENCYPART_ARC
(8,6),-1.23164 # DEPENDENCYPART_ARC
(8,7),-0.614982 # DEPENDENCYPART_ARC
(8,9),0.580735 # DEPENDENCYPART_ARC
(8,10),-0.704521 # DEPENDENCYPART_ARC
(8,11),-1.61735 # DEPENDENCYPART_ARC
(8,12),-1.20683 # DEPENDENCYPART_ARC
(8,13),-1.32078 # DEPENDENCYPART_ARC
(8,14),-1.20211 # DEPENDENCYPART_ARC
(8,15),-1.04801 # DEPENDENCYPART_ARC
(8,16),-0.921859 # DEPENDENCYPART_ARC
(9,1),-1.06376 # DEPENDENCYPART_ARC
(9,2),-0.754622 # DEPENDENCYPART_ARC
(9,3),-1.32134 # DEPENDENCYPART_ARC
(9,4),-1.27775 # DEPENDENCYPART_ARC
(9,5),-1.18293 # DEPENDENCYPART_ARC
(9,6),-0.984102 # DEPENDENCYPART_ARC
(9,7),-2.32076 # DEPENDENCYPART_ARC
(9,8),0.527477 # DEPENDENCYPART_ARC
(9,10),0.328154 # DEPENDENCYPART_ARC
(9,11),-2.8823 # DEPENDENCYPART_ARC
(9,12),-2.36893 # DEPENDENCYPART_ARC
(9,13),-2.00723 # DEPENDENCYPART_ARC
(9,14),-1.96799 # DEPENDENCYPART_ARC
(9,15),-2.80917 # DEPENDENCYPART_ARC
(9,16),-1.07608 # DEPENDENCYPART_ARC
(10,1),-1.33469 # DEPENDENCYPART_ARC
(10,2),-0.750308 # DEPENDENCYPART_ARC
(10,3),-1.52813 # DEPENDENCYPART_ARC
(10,4),-1.40331 # DEPENDENCYPART_ARC
(10,5),-1.48638 # DEPENDENCYPART_ARC
(10,6),-0.671792 # DEPENDENCYPART_ARC
(10,7),-1.11945 # DEPENDENCYPART_ARC
(10,8),-0.0540849 # DEPENDENCYPART_ARC
(10,9),1.35971 # DEPENDENCYPART_ARC
(10,11),-0.348039 # DEPENDENCYPART_ARC
(10,12),0.0266248 # DEPENDENCYPART_ARC
(10,13),-0.333466 # DEPENDENCYPART_ARC
(10,14),-0.246141 # DEPENDENCYPART_ARC
(10,15),-0.654913 # DEPENDENCYPART_ARC
(10,16),-0.168377 # DEPENDENCYPART_ARC
(11,1),-0.258306 # DEPENDENCYPART_ARC
(11,2),-0.769193 # DEPENDENCYPART_ARC
(11,3),-1.67321 # DEPENDENCYPART_ARC
(11,4),-0.600303 # DEPENDENCYPART_ARC
(11,5),-1.70342 # DEPENDENCYPART_ARC
(11,6),-0.152485 # DEPENDENCYPART_ARC
(11,7),-0.119832 # DEPENDENCYPART_ARC
(11,8),-0.0560047 # DEPENDENCYPART_ARC
(11,9),-0.49709 # DEPENDENCYPART_ARC
(11,10),1.39314 # DEPENDENCYPART_ARC
(11,12),1.86612 # DEPENDENCYPART_ARC
(11,13),-0.37453 # DEPENDENCYPART_ARC
(11,14),-0.92805 # DEPENDENCYPART_ARC
(11,15),0.587425 # DEPENDENCYPART_ARC
(11,16),-0.973762 # DEPENDENCYPART_ARC
(12,1),-1.7934 # DEPENDENCYPART_ARC
(12,2),-1.64375 # DEPENDENCYPART_ARC
(12,3),-1.70442 # DEPENDENCYPART_ARC
(12,4),-1.40751 # DEPENDENCYPART_ARC
(12,5),-1.58527 # DEPENDENCYPART_ARC
(12,6),-1.01687 # DEPENDENCYPART_ARC
(12,7),-1.74433 # DEPENDENCYPART_ARC
(12,8),-1.04025 # DEPENDENCYPART_ARC
(12,9),-1.01004 # DEPENDENCYPART_ARC
(12,10),-0.544093 # DEPENDENCYPART_ARC
(12,11),-1.06914 # DEPENDENCYPART_ARC
(12,13),-0.626537 # DEPENDENCYPART_ARC
(12,14),-1.35251 # DEPENDENCYPART_ARC
(12,15),-1.34749 # DEPENDENCYPART_ARC
(12,16),-0.537104 # DEPENDENCYPART_ARC
(13,1),-1.9396 # DEPENDENCYPART_ARC
(13,2),-2.49553 # DEPENDENCYPART_ARC
(13,3),-1.70068 # DEPENDENCYPART_ARC
(13,4),-1.61628 # DEPENDENCYPART_ARC
(13,5),-1.68966 # DEPENDENCYPART_ARC
(13,6),-1.01326 # DEPENDENCYPART_ARC
(13,7),-2.40264 # DEPENDENCYPART_ARC
(13,8),-1.30676 # DEPENDENCYPART_ARC
(13,9),-0.605003 # DEPENDENCYPART_ARC
(13,10),-0.815638 # DEPENDENCYPART_ARC
(13,11),0.298567 # DEPENDENCYPART_ARC
(13,12),-0.117451 # DEPENDENCYPART_ARC
(13,14),1.99033 # DEPENDENCYPART_ARC
(13,15),0.939827 # DEPENDENCYPART_ARC
(13,16),0.0151962 # DEPENDENCYPART_ARC
(14,1),-2.03632 # DEPENDENCYPART_ARC
(14,2),-2.97225 # DEPENDENCYPART_ARC
(14,3),-2.26895 # DEPENDENCYPART_ARC
(14,4),-2.14918 # DEPENDENCYPART_ARC
(14,5),-2.23423 # DEPENDENCYPART_ARC
(14,6),-1.38213 # DEPENDENCYPART_ARC
(14,7),-3.49235 # DEPENDENCYPART_ARC
(14,8),-1.61475 # DEPENDENCYPART_ARC
(14,9),-0.805921 # DEPENDENCYPART_ARC
(14,10),-1.34454 # DEPENDENCYPART_ARC
(14,11),-1.24824 # DEPENDENCYPART_ARC
(14,12),-1.10184 # DEPENDENCYPART_ARC
(14,13),0.517284 # DEPENDENCYPART_ARC
(14,15),0.30719 # DEPENDENCYPART_ARC
(14,16),0.139174 # DEPENDENCYPART_ARC
(15,1),-2.01558 # DEPENDENCYPART_ARC
(15,2),-2.13611 # DEPENDENCYPART_ARC
(15,3),-2.15916 # DEPENDENCYPART_ARC
(15,4),-2.18672 # DEPENDENCYPART_ARC
(15,5),-2.07857 # DEPENDENCYPART_ARC
(15,6),-1.21873 # DEPENDENCYPART_ARC
(15,7),-2.38394 # DEPENDENCYPART_ARC
(15,8),-1.29428 # DEPENDENCYPART_ARC
(15,9),-0.557636 # DEPENDENCYPART_ARC
(15,10),-1.38967 # DEPENDENCYPART_ARC
(15,11),-0.377015 # DEPENDENCYPART_ARC
(15,12),-1.69528 # DEPENDENCYPART_ARC
(15,13),0.836485 # DEPENDENCYPART_ARC
(15,14),1.45912 # DEPENDENCYPART_ARC
(15,16),1.85704 # DEPENDENCYPART_ARC
(16,1),-2.02106 # DEPENDENCYPART_ARC
(16,2),-2.18045 # DEPENDENCYPART_ARC
(16,3),-1.55263 # DEPENDENCYPART_ARC
(16,4),-1.41922 # DEPENDENCYPART_ARC
(16,5),-1.56253 # DEPENDENCYPART_ARC
(16,6),-1.63142 # DEPENDENCYPART_ARC
(16,7),-1.46105 # DEPENDENCYPART_ARC
(16,8),-1.36339 # DEPENDENCYPART_ARC
(16,9),-1.35842 # DEPENDENCYPART_ARC
(16,10),-1.23576 # DEPENDENCYPART_ARC
(16,11),-1.31916 # DEPENDENCYPART_ARC
(16,12),-1.19553 # DEPENDENCYPART_ARC
(16,13),-0.891405 # DEPENDENCYPART_ARC
(16,14),-0.842941 # DEPENDENCYPART_ARC
(16,15),-0.590196 # DEPENDENCYPART_ARC
