# _root_ kadira bat zuhirin mortziloekin , ispilu handi bat argazkiz estalia , altzari zurrun batzuk ( )
#goldHeads=5,1,1,3,0,5,6,6,10,6,10,5,12,12,0,0,
#predictedHeads=3,1,9,3,4,9,6,6,10,0,10,10,12,12,0,0,
(10,15),-0.62108 # DEPENDENCYPART_ARC
(10,16),-0.719523 # DEPENDENCYPART_ARC
(11,1),-1.25962 # DEPENDENCYPART_ARC
(11,2),-1.80426 # DEPENDENCYPART_ARC
(11,3),-1.08067 # DEPENDENCYPART_ARC
(11,4),-1.40541 # DEPENDENCYPART_ARC
(11,6),-1.03718 # DEPENDENCYPART_ARC
(11,7),-1.10253 # DEPENDENCYPART_ARC
(11,8),-1.27935 # DEPENDENCYPART_ARC
(11,9),-0.519136 # DEPENDENCYPART_ARC
(11,10),-0.0281803 # DEPENDENCYPART_ARC
(11,12),-0.882859 # DEPENDENCYPART_ARC
(11,13),-0.671001 # DEPENDENCYPART_ARC
(11,14),-1.05664 # DEPENDENCYPART_ARC
(11,15),-0.354803 # DEPENDENCYPART_ARC
(11,16),-0.443341 # DEPENDENCYPART_ARC
(12,1),-2.14736 # DEPENDENCYPART_ARC
(12,2),-1.77527 # DEPENDENCYPART_ARC
(12,3),-2.02266 # DEPENDENCYPART_ARC
(12,4),-1.38234 # DEPENDENCYPART_ARC
(12,5),-1.8222 # DEPENDENCYPART_ARC
(12,6),-1.5053 # DEPENDENCYPART_ARC
(12,7),-1.14596 # DEPENDENCYPART_ARC
(12,8),-1.16406 # DEPENDENCYPART_ARC
(12,9),-1.02988 # DEPENDENCYPART_ARC
(12,10),-0.260804 # DEPENDENCYPART_ARC
(12,11),-0.333011 # DEPENDENCYPART_ARC
(12,13),2.28738 # DEPENDENCYPART_ARC
(12,14),1.59258 # DEPENDENCYPART_ARC
(12,15),-0.359232 # DEPENDENCYPART_ARC
(12,16),-0.311964 # DEPENDENCYPART_ARC
(13,1),-2.31234 # DEPENDENCYPART_ARC
(13,2),-1.96698 # DEPENDENCYPART_ARC
(13,3),-2.05764 # DEPENDENCYPART_ARC
(13,4),-1.87459 # DEPENDENCYPART_ARC
(13,5),-1.64734 # DEPENDENCYPART_ARC
(13,6),-1.75472 # DEPENDENCYPART_ARC
(13,7),-1.72268 # DEPENDENCYPART_ARC
(13,8),-1.55727 # DEPENDENCYPART_ARC
(13,9),-1.30899 # DEPENDENCYPART_ARC
(13,10),-1.36318 # DEPENDENCYPART_ARC
(13,11),-1.05706 # DEPENDENCYPART_ARC
(13,12),0.143676 # DEPENDENCYPART_ARC
(13,14),0.618088 # DEPENDENCYPART_ARC
(13,15),0.111289 # DEPENDENCYPART_ARC
(13,16),-0.129666 # DEPENDENCYPART_ARC
(14,1),-2.28559 # DEPENDENCYPART_ARC
(14,2),-2.15671 # DEPENDENCYPART_ARC
(14,3),-2.27261 # DEPENDENCYPART_ARC
(14,4),-1.44209 # DEPENDENCYPART_ARC
(14,5),-1.50745 # DEPENDENCYPART_ARC
(14,6),-1.97777 # DEPENDENCYPART_ARC
(14,7),-2.11268 # DEPENDENCYPART_ARC
(14,8),-1.72801 # DEPENDENCYPART_ARC
(14,9),-1.51579 # DEPENDENCYPART_ARC
(14,10),-0.723534 # DEPENDENCYPART_ARC
(14,11),-0.87677 # DEPENDENCYPART_ARC
(14,12),-0.780564 # DEPENDENCYPART_ARC
(14,13),-0.491667 # DEPENDENCYPART_ARC
(14,15),1.26791 # DEPENDENCYPART_ARC
(14,16),-0.0554189 # DEPENDENCYPART_ARC
(15,1),-1.79376 # DEPENDENCYPART_ARC
(15,2),-2.24251 # DEPENDENCYPART_ARC
(15,3),-1.75088 # DEPENDENCYPART_ARC
(15,4),-2.17776 # DEPENDENCYPART_ARC
(15,5),-1.83425 # DEPENDENCYPART_ARC
(15,6),-1.7756 # DEPENDENCYPART_ARC
(15,7),-1.91829 # DEPENDENCYPART_ARC
(15,8),-2.08204 # DEPENDENCYPART_ARC
(15,9),-1.5939 # DEPENDENCYPART_ARC
(15,10),-1.94089 # DEPENDENCYPART_ARC
(15,11),-1.6354 # DEPENDENCYPART_ARC
(15,12),-1.33582 # DEPENDENCYPART_ARC
(15,13),-1.27141 # DEPENDENCYPART_ARC
(15,16),0.674432 # DEPENDENCYPART_ARC
(16,1),-1.32747 # DEPENDENCYPART_ARC
(16,2),-2.11817 # DEPENDENCYPART_ARC
(16,3),-1.24284 # DEPENDENCYPART_ARC
(16,4),-1.95936 # DEPENDENCYPART_ARC
(16,5),-1.77173 # DEPENDENCYPART_ARC
(16,6),-1.39524 # DEPENDENCYPART_ARC
(16,7),-1.81813 # DEPENDENCYPART_ARC
(16,8),-1.8685 # DEPENDENCYPART_ARC
(16,9),-1.2499 # DEPENDENCYPART_ARC
(16,10),-1.98332 # DEPENDENCYPART_ARC
(16,11),-1.59064 # DEPENDENCYPART_ARC
(16,12),-1.24378 # DEPENDENCYPART_ARC
(16,13),-1.21076 # DEPENDENCYPART_ARC
(16,15),-0.663494 # DEPENDENCYPART_ARC
