# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(1,14),-3.75824 # DEPENDENCYPART_ARC
(1,16),-1.67971 # DEPENDENCYPART_ARC
(1,18),-2.66083 # DEPENDENCYPART_ARC
(1,19),-3.78915 # DEPENDENCYPART_ARC
(1,21),-3.09612 # DEPENDENCYPART_ARC
(1,22),-3.89179 # DEPENDENCYPART_ARC
(2,3),-1.03375 # DEPENDENCYPART_ARC
(2,4),-1.50558 # DEPENDENCYPART_ARC
(2,5),-1.5848 # DEPENDENCYPART_ARC
(2,6),-1.50336 # DEPENDENCYPART_ARC
(2,8),-1.48623 # DEPENDENCYPART_ARC
(2,9),-1.54857 # DEPENDENCYPART_ARC
(2,10),-2.23418 # DEPENDENCYPART_ARC
(2,12),-1.91519 # DEPENDENCYPART_ARC
(2,13),-1.776 # DEPENDENCYPART_ARC
(2,14),-2.49829 # DEPENDENCYPART_ARC
(2,15),-1.79145 # DEPENDENCYPART_ARC
(2,16),-2.6128 # DEPENDENCYPART_ARC
(2,18),-2.51192 # DEPENDENCYPART_ARC
(2,19),-2.1765 # DEPENDENCYPART_ARC
(2,20),-1.84584 # DEPENDENCYPART_ARC
(2,21),-2.78547 # DEPENDENCYPART_ARC
(3,1),-0.684194 # DEPENDENCYPART_ARC
(3,2),0.121341 # DEPENDENCYPART_ARC
(3,4),0.246123 # DEPENDENCYPART_ARC
(3,5),-0.499168 # DEPENDENCYPART_ARC
(3,6),-0.139608 # DEPENDENCYPART_ARC
(3,7),-0.974975 # DEPENDENCYPART_ARC
(3,8),-0.926322 # DEPENDENCYPART_ARC
(3,9),-1.24403 # DEPENDENCYPART_ARC
(3,10),-1.11161 # DEPENDENCYPART_ARC
(3,11),-0.804237 # DEPENDENCYPART_ARC
(3,12),-1.06641 # DEPENDENCYPART_ARC
(3,13),-1.60172 # DEPENDENCYPART_ARC
(3,14),-1.74691 # DEPENDENCYPART_ARC
(3,15),-1.66718 # DEPENDENCYPART_ARC
(3,16),-1.7254 # DEPENDENCYPART_ARC
(3,17),-1.2444 # DEPENDENCYPART_ARC
(3,18),-1.5305 # DEPENDENCYPART_ARC
(3,19),-1.36747 # DEPENDENCYPART_ARC
(3,20),-1.60764 # DEPENDENCYPART_ARC
(3,21),-1.74366 # DEPENDENCYPART_ARC
(3,22),-0.877396 # DEPENDENCYPART_ARC
(4,1),-0.375731 # DEPENDENCYPART_ARC
(4,2),-1.0784 # DEPENDENCYPART_ARC
(4,3),2.73556 # DEPENDENCYPART_ARC
(4,5),1.86662 # DEPENDENCYPART_ARC
(4,6),-0.351633 # DEPENDENCYPART_ARC
(4,7),-0.0665873 # DEPENDENCYPART_ARC
(4,8),0.329722 # DEPENDENCYPART_ARC
(4,9),-0.733107 # DEPENDENCYPART_ARC
(4,10),-0.326186 # DEPENDENCYPART_ARC
(4,11),-1.02932 # DEPENDENCYPART_ARC
(4,12),-0.706475 # DEPENDENCYPART_ARC
(4,13),-1.01903 # DEPENDENCYPART_ARC
(4,14),-0.632144 # DEPENDENCYPART_ARC
(4,15),-1.21294 # DEPENDENCYPART_ARC
(4,16),0.996238 # DEPENDENCYPART_ARC
(4,17),-1.14605 # DEPENDENCYPART_ARC
(4,18),-0.0604515 # DEPENDENCYPART_ARC
(4,19),-0.838373 # DEPENDENCYPART_ARC
(4,20),-1.34974 # DEPENDENCYPART_ARC
(4,21),-0.943141 # DEPENDENCYPART_ARC
(4,22),-1.83232 # DEPENDENCYPART_ARC
(5,1),-1.77779 # DEPENDENCYPART_ARC
(5,2),-2.23868 # DEPENDENCYPART_ARC
(5,3),-0.74378 # DEPENDENCYPART_ARC
(5,4),-0.420885 # DEPENDENCYPART_ARC
(5,6),2.01932 # DEPENDENCYPART_ARC
(5,7),-0.32912 # DEPENDENCYPART_ARC
(5,8),-0.997588 # DEPENDENCYPART_ARC
(5,9),-1.11999 # DEPENDENCYPART_ARC
(5,10),-0.746337 # DEPENDENCYPART_ARC
(5,11),-0.579838 # DEPENDENCYPART_ARC
(5,12),-0.829619 # DEPENDENCYPART_ARC
(5,13),-1.37247 # DEPENDENCYPART_ARC
(5,14),-1.42179 # DEPENDENCYPART_ARC
(5,15),-1.36848 # DEPENDENCYPART_ARC
(5,16),-0.831646 # DEPENDENCYPART_ARC
(5,17),-1.05674 # DEPENDENCYPART_ARC
(5,18),-1.08804 # DEPENDENCYPART_ARC
(5,19),-1.67235 # DEPENDENCYPART_ARC
(5,20),-1.39972 # DEPENDENCYPART_ARC
(5,21),-1.30377 # DEPENDENCYPART_ARC
(5,22),-0.77575 # DEPENDENCYPART_ARC
(6,2),-1.25036 # DEPENDENCYPART_ARC
(6,3),-1.24242 # DEPENDENCYPART_ARC
(6,4),-0.369254 # DEPENDENCYPART_ARC
(6,5),-0.307659 # DEPENDENCYPART_ARC
(6,8),-1.46124 # DEPENDENCYPART_ARC
(6,10),-1.01032 # DEPENDENCYPART_ARC
(6,11),-0.707269 # DEPENDENCYPART_ARC
(6,12),-0.777984 # DEPENDENCYPART_ARC
(6,13),-1.52107 # DEPENDENCYPART_ARC
(6,14),-1.48138 # DEPENDENCYPART_ARC
(6,15),-1.57128 # DEPENDENCYPART_ARC
(6,16),-1.50625 # DEPENDENCYPART_ARC
(6,17),-1.10473 # DEPENDENCYPART_ARC
(6,18),-1.8257 # DEPENDENCYPART_ARC
(6,19),-1.94555 # DEPENDENCYPART_ARC
(6,21),-1.90271 # DEPENDENCYPART_ARC
(6,22),-1.44021 # DEPENDENCYPART_ARC
(7,1),-1.99091 # DEPENDENCYPART_ARC
(7,2),-2.24875 # DEPENDENCYPART_ARC
(7,3),-1.49146 # DEPENDENCYPART_ARC
(7,4),-1.46742 # DEPENDENCYPART_ARC
(7,5),-1.26532 # DEPENDENCYPART_ARC
(7,8),-0.716866 # DEPENDENCYPART_ARC
(7,10),-1.5422 # DEPENDENCYPART_ARC
(7,11),-0.716495 # DEPENDENCYPART_ARC
(7,12),-0.969822 # DEPENDENCYPART_ARC
(7,14),-2.32504 # DEPENDENCYPART_ARC
(7,16),-0.621767 # DEPENDENCYPART_ARC
(7,18),-1.57067 # DEPENDENCYPART_ARC
(7,19),-3.02046 # DEPENDENCYPART_ARC
(7,21),-2.15998 # DEPENDENCYPART_ARC
(7,22),-1.63718 # DEPENDENCYPART_ARC
(8,1),-0.0611011 # DEPENDENCYPART_ARC
(8,2),-1.19983 # DEPENDENCYPART_ARC
(8,3),-0.152402 # DEPENDENCYPART_ARC
(8,4),0.37267 # DEPENDENCYPART_ARC
(8,5),0.837508 # DEPENDENCYPART_ARC
(8,6),-0.112616 # DEPENDENCYPART_ARC
(8,7),0.172211 # DEPENDENCYPART_ARC
(8,9),1.83413 # DEPENDENCYPART_ARC
(8,10),1.57808 # DEPENDENCYPART_ARC
(8,11),-0.344181 # DEPENDENCYPART_ARC
(8,12),-0.243917 # DEPENDENCYPART_ARC
(8,13),-0.9551 # DEPENDENCYPART_ARC
(8,14),-0.918524 # DEPENDENCYPART_ARC
(8,15),-1.26609 # DEPENDENCYPART_ARC
(8,16),-0.691308 # DEPENDENCYPART_ARC
(8,17),-1.08365 # DEPENDENCYPART_ARC
(8,18),-1.08441 # DEPENDENCYPART_ARC
(8,19),-0.841435 # DEPENDENCYPART_ARC
(8,20),-0.320293 # DEPENDENCYPART_ARC
(8,21),-0.428258 # DEPENDENCYPART_ARC
(8,22),-0.992617 # DEPENDENCYPART_ARC
(9,1),-1.86693 # DEPENDENCYPART_ARC
(9,2),-1.83928 # DEPENDENCYPART_ARC
(9,3),-1.44787 # DEPENDENCYPART_ARC
(9,4),-1.69228 # DEPENDENCYPART_ARC
(9,5),-1.2739 # DEPENDENCYPART_ARC
(9,7),-1.36393 # DEPENDENCYPART_ARC
(9,8),-0.795623 # DEPENDENCYPART_ARC
(9,10),-0.0616704 # DEPENDENCYPART_ARC
(9,11),-0.493298 # DEPENDENCYPART_ARC
(9,12),-1.18307 # DEPENDENCYPART_ARC
(9,14),-1.64427 # DEPENDENCYPART_ARC
(9,15),-2.16609 # DEPENDENCYPART_ARC
(9,16),-1.375 # DEPENDENCYPART_ARC
(9,17),-1.2726 # DEPENDENCYPART_ARC
(9,18),-1.7931 # DEPENDENCYPART_ARC
(9,19),-1.68263 # DEPENDENCYPART_ARC
(9,20),-1.52915 # DEPENDENCYPART_ARC
(9,21),-1.77245 # DEPENDENCYPART_ARC
(9,22),-1.92008 # DEPENDENCYPART_ARC
(10,1),-1.36637 # DEPENDENCYPART_ARC
(10,2),-1.64474 # DEPENDENCYPART_ARC
(10,3),-1.33254 # DEPENDENCYPART_ARC
(10,4),-0.72744 # DEPENDENCYPART_ARC
(10,5),-0.688957 # DEPENDENCYPART_ARC
(10,6),-1.73469 # DEPENDENCYPART_ARC
(10,7),-0.45286 # DEPENDENCYPART_ARC
(10,8),-0.223641 # DEPENDENCYPART_ARC
(10,9),-0.631865 # DEPENDENCYPART_ARC
(10,11),1.68886 # DEPENDENCYPART_ARC
(10,12),-0.58236 # DEPENDENCYPART_ARC
(10,13),-1.54469 # DEPENDENCYPART_ARC
(10,14),-1.00639 # DEPENDENCYPART_ARC
(10,15),-1.97987 # DEPENDENCYPART_ARC
(10,16),-1.66193 # DEPENDENCYPART_ARC
(10,17),-1.02674 # DEPENDENCYPART_ARC
(10,18),-2.33007 # DEPENDENCYPART_ARC
(10,19),-2.53077 # DEPENDENCYPART_ARC
(10,20),-3.1947 # DEPENDENCYPART_ARC
(10,21),-2.73104 # DEPENDENCYPART_ARC
(10,22),-0.380399 # DEPENDENCYPART_ARC
(11,3),-1.30539 # DEPENDENCYPART_ARC
(11,4),-0.792688 # DEPENDENCYPART_ARC
(11,5),-1.27234 # DEPENDENCYPART_ARC
(11,6),-1.54745 # DEPENDENCYPART_ARC
(11,8),-0.284174 # DEPENDENCYPART_ARC
(11,9),-0.91823 # DEPENDENCYPART_ARC
(11,10),-0.357969 # DEPENDENCYPART_ARC
(11,12),-0.474768 # DEPENDENCYPART_ARC
(11,13),-1.29401 # DEPENDENCYPART_ARC
(11,14),-1.01551 # DEPENDENCYPART_ARC
(11,15),-1.2761 # DEPENDENCYPART_ARC
(11,16),-1.19766 # DEPENDENCYPART_ARC
(11,18),-1.26783 # DEPENDENCYPART_ARC
(11,19),-1.53756 # DEPENDENCYPART_ARC
(11,20),-1.47384 # DEPENDENCYPART_ARC
(11,21),-1.51912 # DEPENDENCYPART_ARC
(12,1),-0.577042 # DEPENDENCYPART_ARC
(12,2),-1.22857 # DEPENDENCYPART_ARC
(12,3),-0.570415 # DEPENDENCYPART_ARC
(12,4),-0.142863 # DEPENDENCYPART_ARC
(12,5),-0.610196 # DEPENDENCYPART_ARC
(12,6),-0.148495 # DEPENDENCYPART_ARC
(12,7),0.0260736 # DEPENDENCYPART_ARC
(12,8),1.98329 # DEPENDENCYPART_ARC
(12,9),-0.328631 # DEPENDENCYPART_ARC
(12,10),0.00731356 # DEPENDENCYPART_ARC
(12,11),0.124424 # DEPENDENCYPART_ARC
(12,13),-0.0982606 # DEPENDENCYPART_ARC
(12,14),-0.170602 # DEPENDENCYPART_ARC
(12,15),-0.489635 # DEPENDENCYPART_ARC
(12,16),1.20616 # DEPENDENCYPART_ARC
(12,17),-0.860127 # DEPENDENCYPART_ARC
(12,18),-0.110062 # DEPENDENCYPART_ARC
(12,19),1.06097 # DEPENDENCYPART_ARC
(12,20),-0.940246 # DEPENDENCYPART_ARC
(12,21),-0.644427 # DEPENDENCYPART_ARC
(12,22),-0.938475 # DEPENDENCYPART_ARC
(13,2),-2.78174 # DEPENDENCYPART_ARC
(13,3),-3.12201 # DEPENDENCYPART_ARC
(13,4),-2.10036 # DEPENDENCYPART_ARC
(13,5),-2.91761 # DEPENDENCYPART_ARC
(13,6),-2.68173 # DEPENDENCYPART_ARC
(13,8),-2.6736 # DEPENDENCYPART_ARC
(13,10),-1.94204 # DEPENDENCYPART_ARC
(13,11),-1.97074 # DEPENDENCYPART_ARC
(13,12),-0.762385 # DEPENDENCYPART_ARC
(13,14),-0.392558 # DEPENDENCYPART_ARC
(13,15),-0.505711 # DEPENDENCYPART_ARC
(13,16),-0.529326 # DEPENDENCYPART_ARC
(13,17),-1.00123 # DEPENDENCYPART_ARC
(13,18),-1.02578 # DEPENDENCYPART_ARC
(13,19),-1.33532 # DEPENDENCYPART_ARC
(13,21),-1.51405 # DEPENDENCYPART_ARC
(13,22),-1.19135 # DEPENDENCYPART_ARC
(14,1),-1.48953 # DEPENDENCYPART_ARC
(14,2),-2.03548 # DEPENDENCYPART_ARC
(14,3),-1.6471 # DEPENDENCYPART_ARC
(14,4),-1.10683 # DEPENDENCYPART_ARC
(14,5),-1.26692 # DEPENDENCYPART_ARC
(14,6),-0.926562 # DEPENDENCYPART_ARC
(14,7),-1.06273 # DEPENDENCYPART_ARC
(14,8),-0.839095 # DEPENDENCYPART_ARC
(14,9),-1.32819 # DEPENDENCYPART_ARC
(14,10),-0.730831 # DEPENDENCYPART_ARC
(14,11),-1.09745 # DEPENDENCYPART_ARC
(14,12),-0.347121 # DEPENDENCYPART_ARC
(14,13),1.40318 # DEPENDENCYPART_ARC
(14,15),2.12202 # DEPENDENCYPART_ARC
(14,16),-0.357167 # DEPENDENCYPART_ARC
(14,17),-0.712894 # DEPENDENCYPART_ARC
(14,18),-0.787138 # DEPENDENCYPART_ARC
(14,19),-0.954767 # DEPENDENCYPART_ARC
(14,20),-1.28386 # DEPENDENCYPART_ARC
(14,21),-1.20681 # DEPENDENCYPART_ARC
(14,22),-0.541096 # DEPENDENCYPART_ARC
(15,1),-1.4912 # DEPENDENCYPART_ARC
(15,2),-1.74664 # DEPENDENCYPART_ARC
(15,3),-2.02036 # DEPENDENCYPART_ARC
(15,4),-1.51486 # DEPENDENCYPART_ARC
(15,5),-1.88965 # DEPENDENCYPART_ARC
(15,6),-2.3495 # DEPENDENCYPART_ARC
(15,7),-1.12081 # DEPENDENCYPART_ARC
(15,8),-1.7561 # DEPENDENCYPART_ARC
(15,9),-1.58396 # DEPENDENCYPART_ARC
(15,10),-2.40881 # DEPENDENCYPART_ARC
(15,11),-1.28583 # DEPENDENCYPART_ARC
(15,12),-0.546985 # DEPENDENCYPART_ARC
(15,13),-0.541419 # DEPENDENCYPART_ARC
(15,14),0.229447 # DEPENDENCYPART_ARC
(15,16),-1.44325 # DEPENDENCYPART_ARC
(15,17),-1.19546 # DEPENDENCYPART_ARC
(15,18),-2.56063 # DEPENDENCYPART_ARC
(15,19),-2.96408 # DEPENDENCYPART_ARC
(15,20),-2.60961 # DEPENDENCYPART_ARC
(15,21),-2.43837 # DEPENDENCYPART_ARC
(15,22),-1.244 # DEPENDENCYPART_ARC
(16,1),-0.835333 # DEPENDENCYPART_ARC
(16,2),-1.82017 # DEPENDENCYPART_ARC
(16,3),-1.47321 # DEPENDENCYPART_ARC
(16,4),-0.45913 # DEPENDENCYPART_ARC
(16,5),-0.975132 # DEPENDENCYPART_ARC
(16,6),-2.53614 # DEPENDENCYPART_ARC
(16,7),-0.518397 # DEPENDENCYPART_ARC
(16,8),-0.650767 # DEPENDENCYPART_ARC
(16,9),-1.60549 # DEPENDENCYPART_ARC
(16,10),-1.57086 # DEPENDENCYPART_ARC
(16,11),-1.24762 # DEPENDENCYPART_ARC
(16,12),0.0146352 # DEPENDENCYPART_ARC
(16,13),-0.154864 # DEPENDENCYPART_ARC
(16,14),0.942321 # DEPENDENCYPART_ARC
(16,15),0.552931 # DEPENDENCYPART_ARC
(16,17),0.125197 # DEPENDENCYPART_ARC
(16,18),-1.111 # DEPENDENCYPART_ARC
(16,19),-2.3039 # DEPENDENCYPART_ARC
(16,20),-2.26335 # DEPENDENCYPART_ARC
(16,21),-1.86116 # DEPENDENCYPART_ARC
(16,22),-0.840824 # DEPENDENCYPART_ARC
(17,1),-1.00505 # DEPENDENCYPART_ARC
(17,2),-2.00464 # DEPENDENCYPART_ARC
(17,3),-1.42356 # DEPENDENCYPART_ARC
(17,4),-0.917405 # DEPENDENCYPART_ARC
(17,5),-1.5086 # DEPENDENCYPART_ARC
(17,6),-1.62899 # DEPENDENCYPART_ARC
(17,7),-0.67408 # DEPENDENCYPART_ARC
(17,8),-1.44394 # DEPENDENCYPART_ARC
(17,9),-1.49157 # DEPENDENCYPART_ARC
(17,10),-1.42322 # DEPENDENCYPART_ARC
(17,11),-1.49215 # DEPENDENCYPART_ARC
(17,12),-0.960499 # DEPENDENCYPART_ARC
(17,13),-1.25306 # DEPENDENCYPART_ARC
(17,14),-0.999053 # DEPENDENCYPART_ARC
(17,15),-1.09416 # DEPENDENCYPART_ARC
(17,16),-0.223668 # DEPENDENCYPART_ARC
(17,18),-0.041189 # DEPENDENCYPART_ARC
(17,19),-1.24748 # DEPENDENCYPART_ARC
(17,20),-0.939086 # DEPENDENCYPART_ARC
(17,21),-1.2006 # DEPENDENCYPART_ARC
(17,22),-0.638961 # DEPENDENCYPART_ARC
(18,1),-2.06128 # DEPENDENCYPART_ARC
(18,2),-2.12882 # DEPENDENCYPART_ARC
(18,3),-1.9079 # DEPENDENCYPART_ARC
(18,4),-1.51621 # DEPENDENCYPART_ARC
(18,5),-1.87889 # DEPENDENCYPART_ARC
(18,6),-2.74809 # DEPENDENCYPART_ARC
(18,7),-1.8201 # DEPENDENCYPART_ARC
(18,8),-1.19674 # DEPENDENCYPART_ARC
(18,9),-2.12043 # DEPENDENCYPART_ARC
(18,10),-2.03436 # DEPENDENCYPART_ARC
(18,11),-1.67594 # DEPENDENCYPART_ARC
(18,12),-1.51639 # DEPENDENCYPART_ARC
(18,13),-0.73153 # DEPENDENCYPART_ARC
(18,14),-0.518586 # DEPENDENCYPART_ARC
(18,15),-0.514856 # DEPENDENCYPART_ARC
(18,16),-1.6694 # DEPENDENCYPART_ARC
(18,17),0.410628 # DEPENDENCYPART_ARC
(18,19),-0.93728 # DEPENDENCYPART_ARC
(18,20),-1.4905 # DEPENDENCYPART_ARC
(18,21),-1.59724 # DEPENDENCYPART_ARC
(18,22),-0.676037 # DEPENDENCYPART_ARC
(19,1),-0.91071 # DEPENDENCYPART_ARC
(19,2),-2.57163 # DEPENDENCYPART_ARC
(19,3),-1.52376 # DEPENDENCYPART_ARC
(19,4),-0.600496 # DEPENDENCYPART_ARC
(19,5),-0.773227 # DEPENDENCYPART_ARC
(19,6),-1.23677 # DEPENDENCYPART_ARC
(19,7),-1.99676 # DEPENDENCYPART_ARC
(19,8),-0.106299 # DEPENDENCYPART_ARC
(19,9),-0.710283 # DEPENDENCYPART_ARC
(19,10),-0.252681 # DEPENDENCYPART_ARC
(19,11),-1.63935 # DEPENDENCYPART_ARC
(19,12),-0.194883 # DEPENDENCYPART_ARC
(19,13),-0.413987 # DEPENDENCYPART_ARC
(19,14),0.334283 # DEPENDENCYPART_ARC
(19,15),-0.830292 # DEPENDENCYPART_ARC
(19,16),1.437 # DEPENDENCYPART_ARC
(19,17),0.841005 # DEPENDENCYPART_ARC
(19,18),2.20307 # DEPENDENCYPART_ARC
(19,20),2.87945 # DEPENDENCYPART_ARC
(19,21),2.04257 # DEPENDENCYPART_ARC
(19,22),0.0604716 # DEPENDENCYPART_ARC
(20,1),-2.13157 # DEPENDENCYPART_ARC
(20,2),-2.01443 # DEPENDENCYPART_ARC
(20,3),-1.5981 # DEPENDENCYPART_ARC
(20,4),-1.8341 # DEPENDENCYPART_ARC
(20,5),-1.68476 # DEPENDENCYPART_ARC
(20,7),-1.9149 # DEPENDENCYPART_ARC
(20,8),-2.88542 # DEPENDENCYPART_ARC
(20,9),-1.60948 # DEPENDENCYPART_ARC
(20,10),-1.5362 # DEPENDENCYPART_ARC
(20,11),-1.81001 # DEPENDENCYPART_ARC
(20,12),-1.70314 # DEPENDENCYPART_ARC
(20,14),-1.29179 # DEPENDENCYPART_ARC
(20,15),-1.8955 # DEPENDENCYPART_ARC
(20,16),-0.803167 # DEPENDENCYPART_ARC
(20,17),-0.904229 # DEPENDENCYPART_ARC
(20,18),-0.184965 # DEPENDENCYPART_ARC
(20,19),-1.70733 # DEPENDENCYPART_ARC
(20,21),-0.980411 # DEPENDENCYPART_ARC
(20,22),-0.45646 # DEPENDENCYPART_ARC
(21,1),-2.0026 # DEPENDENCYPART_ARC
(21,2),-2.43345 # DEPENDENCYPART_ARC
(21,3),-2.44086 # DEPENDENCYPART_ARC
(21,4),-1.60254 # DEPENDENCYPART_ARC
(21,5),-2.44512 # DEPENDENCYPART_ARC
(21,6),-3.13735 # DEPENDENCYPART_ARC
(21,7),-1.93245 # DEPENDENCYPART_ARC
(21,8),-1.97143 # DEPENDENCYPART_ARC
(21,9),-2.60795 # DEPENDENCYPART_ARC
(21,10),-2.58774 # DEPENDENCYPART_ARC
(21,11),-1.94734 # DEPENDENCYPART_ARC
(21,12),-1.58406 # DEPENDENCYPART_ARC
(21,13),-1.25052 # DEPENDENCYPART_ARC
(21,14),-1.28274 # DEPENDENCYPART_ARC
(21,15),-2.18974 # DEPENDENCYPART_ARC
(21,16),-3.29392 # DEPENDENCYPART_ARC
(21,17),-1.33298 # DEPENDENCYPART_ARC
(21,18),-2.10279 # DEPENDENCYPART_ARC
(21,19),0.17972 # DEPENDENCYPART_ARC
(21,20),-0.870692 # DEPENDENCYPART_ARC
(21,22),1.99769 # DEPENDENCYPART_ARC
(22,2),-1.63229 # DEPENDENCYPART_ARC
(22,3),-2.01771 # DEPENDENCYPART_ARC
(22,4),-1.33424 # DEPENDENCYPART_ARC
(22,5),-1.94373 # DEPENDENCYPART_ARC
(22,8),-1.68239 # DEPENDENCYPART_ARC
(22,10),-2.14656 # DEPENDENCYPART_ARC
(22,11),-1.58497 # DEPENDENCYPART_ARC
(22,12),-0.990717 # DEPENDENCYPART_ARC
(22,14),-1.51395 # DEPENDENCYPART_ARC
(22,16),-1.43129 # DEPENDENCYPART_ARC
(22,18),-1.08308 # DEPENDENCYPART_ARC
(22,19),-1.05658 # DEPENDENCYPART_ARC
(22,21),-0.566327 # DEPENDENCYPART_ARC
