# _root_ esteban olaizola , gipuzkoako_arrantzaleen_kofradietako presidenteak adierazi zuenez , egoera " jasanezina da eta enpresa asko desagertzea ekarriko du " .
#goldHeads=5,1,2,5,6,13,6,7,12,9,12,13,0,16,14,17,13,17,18,19,
#predictedHeads=6,1,2,5,6,0,6,7,12,9,12,13,0,16,14,17,13,17,18,19,
(5,7),-1.66138 # DEPENDENCYPART_ARC
(5,8),-1.00499 # DEPENDENCYPART_ARC
(5,9),-1.58646 # DEPENDENCYPART_ARC
(5,10),-0.897075 # DEPENDENCYPART_ARC
(5,11),-3.2205 # DEPENDENCYPART_ARC
(5,12),-1.38756 # DEPENDENCYPART_ARC
(5,13),-1.25469 # DEPENDENCYPART_ARC
(5,14),-1.87865 # DEPENDENCYPART_ARC
(5,15),-3.49835 # DEPENDENCYPART_ARC
(5,16),-2.2824 # DEPENDENCYPART_ARC
(5,17),-2.81359 # DEPENDENCYPART_ARC
(5,18),-2.66508 # DEPENDENCYPART_ARC
(5,19),-1.90596 # DEPENDENCYPART_ARC
(5,20),-1.68305 # DEPENDENCYPART_ARC
(6,1),-0.367519 # DEPENDENCYPART_ARC
(6,2),-0.276778 # DEPENDENCYPART_ARC
(6,3),-1.06232 # DEPENDENCYPART_ARC
(6,4),0.57181 # DEPENDENCYPART_ARC
(6,5),2.21824 # DEPENDENCYPART_ARC
(6,7),1.492 # DEPENDENCYPART_ARC
(6,8),-1.03522 # DEPENDENCYPART_ARC
(6,9),-0.704289 # DEPENDENCYPART_ARC
(6,10),-1.10525 # DEPENDENCYPART_ARC
(6,11),-1.33155 # DEPENDENCYPART_ARC
(6,12),-1.56984 # DEPENDENCYPART_ARC
(6,13),-0.866349 # DEPENDENCYPART_ARC
(6,14),-2.5049 # DEPENDENCYPART_ARC
(6,16),-1.40992 # DEPENDENCYPART_ARC
(6,17),-1.52635 # DEPENDENCYPART_ARC
(6,18),-1.70066 # DEPENDENCYPART_ARC
(6,19),-2.06819 # DEPENDENCYPART_ARC
(6,20),-1.93999 # DEPENDENCYPART_ARC
(7,1),-1.35263 # DEPENDENCYPART_ARC
(7,2),-1.67348 # DEPENDENCYPART_ARC
(7,3),-1.34055 # DEPENDENCYPART_ARC
(7,4),-0.818569 # DEPENDENCYPART_ARC
(7,5),-0.671411 # DEPENDENCYPART_ARC
(7,8),1.5733 # DEPENDENCYPART_ARC
(7,9),-1.11531 # DEPENDENCYPART_ARC
(7,10),-0.413666 # DEPENDENCYPART_ARC
(7,11),-1.77613 # DEPENDENCYPART_ARC
(7,12),-1.80484 # DEPENDENCYPART_ARC
(7,13),-1.04615 # DEPENDENCYPART_ARC
(7,14),-1.73593 # DEPENDENCYPART_ARC
(7,16),-1.72064 # DEPENDENCYPART_ARC
(7,17),-1.83887 # DEPENDENCYPART_ARC
(7,18),-1.43892 # DEPENDENCYPART_ARC
(7,19),-0.39828 # DEPENDENCYPART_ARC
(7,20),-1.44279 # DEPENDENCYPART_ARC
(8,1),-0.837579 # DEPENDENCYPART_ARC
(8,2),-1.05393 # DEPENDENCYPART_ARC
(8,5),-0.400632 # DEPENDENCYPART_ARC
(8,7),0.00573077 # DEPENDENCYPART_ARC
(8,9),-0.962948 # DEPENDENCYPART_ARC
(8,10),0.0360596 # DEPENDENCYPART_ARC
(8,11),-1.29541 # DEPENDENCYPART_ARC
(8,12),-0.738476 # DEPENDENCYPART_ARC
(8,13),-1.37494 # DEPENDENCYPART_ARC
(8,14),-1.7715 # DEPENDENCYPART_ARC
(8,15),-1.6198 # DEPENDENCYPART_ARC
(8,16),-1.13821 # DEPENDENCYPART_ARC
(8,17),-1.20511 # DEPENDENCYPART_ARC
(8,18),-1.43946 # DEPENDENCYPART_ARC
(8,19),-1.0353 # DEPENDENCYPART_ARC
(9,1),-1.63273 # DEPENDENCYPART_ARC
(9,2),-3.30746 # DEPENDENCYPART_ARC
(9,3),-1.26018 # DEPENDENCYPART_ARC
(9,4),-0.919745 # DEPENDENCYPART_ARC
(9,5),-2.10498 # DEPENDENCYPART_ARC
(9,6),-0.663117 # DEPENDENCYPART_ARC
(9,7),-0.81634 # DEPENDENCYPART_ARC
(9,8),0.0798087 # DEPENDENCYPART_ARC
(9,10),2.25013 # DEPENDENCYPART_ARC
(9,11),1.44184 # DEPENDENCYPART_ARC
(9,12),-0.583997 # DEPENDENCYPART_ARC
(9,13),-0.0224583 # DEPENDENCYPART_ARC
(9,14),-0.434 # DEPENDENCYPART_ARC
(9,15),0.538678 # DEPENDENCYPART_ARC
(9,16),-0.334858 # DEPENDENCYPART_ARC
(9,17),-0.619223 # DEPENDENCYPART_ARC
(9,18),-0.95929 # DEPENDENCYPART_ARC
(9,19),-0.454957 # DEPENDENCYPART_ARC
(9,20),-0.493303 # DEPENDENCYPART_ARC
(10,1),-1.42535 # DEPENDENCYPART_ARC
(10,2),-1.61925 # DEPENDENCYPART_ARC
(10,3),-1.55043 # DEPENDENCYPART_ARC
(10,4),-1.28789 # DEPENDENCYPART_ARC
(10,5),-1.33848 # DEPENDENCYPART_ARC
(10,7),-0.903947 # DEPENDENCYPART_ARC
(10,8),-1.24308 # DEPENDENCYPART_ARC
(10,9),-0.624682 # DEPENDENCYPART_ARC
(10,11),-0.539198 # DEPENDENCYPART_ARC
(10,12),-0.641894 # DEPENDENCYPART_ARC
(10,14),-1.23177 # DEPENDENCYPART_ARC
(10,16),-1.16143 # DEPENDENCYPART_ARC
(10,17),-1.28114 # DEPENDENCYPART_ARC
(10,18),-1.29474 # DEPENDENCYPART_ARC
(10,19),-0.688503 # DEPENDENCYPART_ARC
(10,20),-0.634743 # DEPENDENCYPART_ARC
(11,1),-1.53151 # DEPENDENCYPART_ARC
(11,2),-1.65516 # DEPENDENCYPART_ARC
(11,3),-0.907504 # DEPENDENCYPART_ARC
(11,4),-0.969246 # DEPENDENCYPART_ARC
(11,5),-1.28839 # DEPENDENCYPART_ARC
(11,7),-1.77294 # DEPENDENCYPART_ARC
(11,8),-0.498279 # DEPENDENCYPART_ARC
(11,9),-0.151716 # DEPENDENCYPART_ARC
(11,10),0.549667 # DEPENDENCYPART_ARC
(11,12),-0.423418 # DEPENDENCYPART_ARC
(11,13),-0.693423 # DEPENDENCYPART_ARC
(11,14),-1.1045 # DEPENDENCYPART_ARC
(11,15),-1.26641 # DEPENDENCYPART_ARC
(11,16),-1.60713 # DEPENDENCYPART_ARC
(11,17),-1.40788 # DEPENDENCYPART_ARC
(11,18),-1.23563 # DEPENDENCYPART_ARC
(11,19),-0.334019 # DEPENDENCYPART_ARC
(11,20),-0.435187 # DEPENDENCYPART_ARC
(12,1),-1.00338 # DEPENDENCYPART_ARC
(12,2),0.0341832 # DEPENDENCYPART_ARC
(12,3),-1.30038 # DEPENDENCYPART_ARC
(12,4),-0.171117 # DEPENDENCYPART_ARC
(12,5),0.023133 # DEPENDENCYPART_ARC
(12,6),0.313482 # DEPENDENCYPART_ARC
(12,7),-1.66972 # DEPENDENCYPART_ARC
(12,8),-0.81281 # DEPENDENCYPART_ARC
(12,9),0.812547 # DEPENDENCYPART_ARC
(12,10),-0.51519 # DEPENDENCYPART_ARC
(12,11),1.58978 # DEPENDENCYPART_ARC
(12,13),0.117563 # DEPENDENCYPART_ARC
(12,14),-0.593489 # DEPENDENCYPART_ARC
(12,15),-0.728084 # DEPENDENCYPART_ARC
(12,16),0.361759 # DEPENDENCYPART_ARC
(12,17),-0.707456 # DEPENDENCYPART_ARC
(12,18),-1.31154 # DEPENDENCYPART_ARC
(12,19),-0.952848 # DEPENDENCYPART_ARC
(12,20),-1.16195 # DEPENDENCYPART_ARC
(13,1),-0.816419 # DEPENDENCYPART_ARC
(13,2),-0.771883 # DEPENDENCYPART_ARC
(13,3),-1.94211 # DEPENDENCYPART_ARC
(13,4),-0.647057 # DEPENDENCYPART_ARC
(13,5),-0.696286 # DEPENDENCYPART_ARC
(13,6),0.218125 # DEPENDENCYPART_ARC
(13,7),-1.42485 # DEPENDENCYPART_ARC
(13,8),-1.60743 # DEPENDENCYPART_ARC
(13,9),0.30651 # DEPENDENCYPART_ARC
(13,10),-1.09057 # DEPENDENCYPART_ARC
(13,11),-0.105271 # DEPENDENCYPART_ARC
(13,12),1.96297 # DEPENDENCYPART_ARC
(13,14),0.515565 # DEPENDENCYPART_ARC
(13,15),-0.00631475 # DEPENDENCYPART_ARC
(13,16),1.29087 # DEPENDENCYPART_ARC
(13,17),1.23063 # DEPENDENCYPART_ARC
(13,18),-0.347167 # DEPENDENCYPART_ARC
(13,19),-0.144326 # DEPENDENCYPART_ARC
(13,20),-0.45453 # DEPENDENCYPART_ARC
(14,1),-2.62007 # DEPENDENCYPART_ARC
(14,2),-4.49151 # DEPENDENCYPART_ARC
(14,3),-2.87903 # DEPENDENCYPART_ARC
(14,4),-2.21934 # DEPENDENCYPART_ARC
(14,5),-3.53722 # DEPENDENCYPART_ARC
(14,6),-2.20612 # DEPENDENCYPART_ARC
(14,7),-2.58767 # DEPENDENCYPART_ARC
(14,8),-2.62875 # DEPENDENCYPART_ARC
(14,9),-1.75482 # DEPENDENCYPART_ARC
(14,10),-2.47968 # DEPENDENCYPART_ARC
(14,11),-2.38185 # DEPENDENCYPART_ARC
(14,12),-1.90268 # DEPENDENCYPART_ARC
(14,13),-0.697062 # DEPENDENCYPART_ARC
(14,15),2.41665 # DEPENDENCYPART_ARC
(14,16),-0.583761 # DEPENDENCYPART_ARC
(14,17),-1.05432 # DEPENDENCYPART_ARC
(14,18),-1.10893 # DEPENDENCYPART_ARC
(14,19),-0.760948 # DEPENDENCYPART_ARC
(14,20),-0.85783 # DEPENDENCYPART_ARC
(15,3),-1.65119 # DEPENDENCYPART_ARC
(15,4),-2.32992 # DEPENDENCYPART_ARC
(15,5),-2.28412 # DEPENDENCYPART_ARC
(15,8),-1.29116 # DEPENDENCYPART_ARC
(15,9),-1.78925 # DEPENDENCYPART_ARC
(15,10),-1.27425 # DEPENDENCYPART_ARC
(15,11),-2.24658 # DEPENDENCYPART_ARC
(15,12),-1.29015 # DEPENDENCYPART_ARC
(15,13),-0.230144 # DEPENDENCYPART_ARC
(15,14),0.0722433 # DEPENDENCYPART_ARC
(15,16),-0.604584 # DEPENDENCYPART_ARC
(15,17),-1.47995 # DEPENDENCYPART_ARC
(15,19),-0.788208 # DEPENDENCYPART_ARC
(15,20),-0.955611 # DEPENDENCYPART_ARC
(16,1),-1.67136 # DEPENDENCYPART_ARC
(16,2),-1.50427 # DEPENDENCYPART_ARC
(16,3),-1.5677 # DEPENDENCYPART_ARC
(16,4),-1.35572 # DEPENDENCYPART_ARC
(16,5),-1.14763 # DEPENDENCYPART_ARC
(16,6),-0.544473 # DEPENDENCYPART_ARC
(16,7),-1.64053 # DEPENDENCYPART_ARC
(16,8),-1.14187 # DEPENDENCYPART_ARC
(16,9),-0.352615 # DEPENDENCYPART_ARC
(16,10),-1.44906 # DEPENDENCYPART_ARC
(16,11),-0.7503 # DEPENDENCYPART_ARC
(16,12),-1.0461 # DEPENDENCYPART_ARC
(16,13),0.314536 # DEPENDENCYPART_ARC
(16,14),1.80644 # DEPENDENCYPART_ARC
(16,15),1.28399 # DEPENDENCYPART_ARC
(16,17),0.341442 # DEPENDENCYPART_ARC
(16,18),-1.02639 # DEPENDENCYPART_ARC
(16,19),-0.764932 # DEPENDENCYPART_ARC
(16,20),-0.946793 # DEPENDENCYPART_ARC
(17,1),-1.03996 # DEPENDENCYPART_ARC
(17,2),-1.39481 # DEPENDENCYPART_ARC
(17,3),-1.41981 # DEPENDENCYPART_ARC
(17,4),-1.10002 # DEPENDENCYPART_ARC
(17,5),-0.983368 # DEPENDENCYPART_ARC
(17,6),0.161901 # DEPENDENCYPART_ARC
(17,7),-0.99948 # DEPENDENCYPART_ARC
(17,8),-0.898535 # DEPENDENCYPART_ARC
(17,9),-0.518434 # DEPENDENCYPART_ARC
(17,10),-1.19173 # DEPENDENCYPART_ARC
(17,11),-0.386624 # DEPENDENCYPART_ARC
(17,12),-0.726093 # DEPENDENCYPART_ARC
(17,13),0.484615 # DEPENDENCYPART_ARC
(17,14),0.707306 # DEPENDENCYPART_ARC
(17,15),-0.119113 # DEPENDENCYPART_ARC
(17,16),1.53568 # DEPENDENCYPART_ARC
(17,18),1.5465 # DEPENDENCYPART_ARC
(17,19),0.0393028 # DEPENDENCYPART_ARC
(17,20),-0.392254 # DEPENDENCYPART_ARC
(18,1),-1.701 # DEPENDENCYPART_ARC
(18,2),-2.21373 # DEPENDENCYPART_ARC
(18,3),-2.09479 # DEPENDENCYPART_ARC
(18,4),-1.68751 # DEPENDENCYPART_ARC
(18,5),-1.75379 # DEPENDENCYPART_ARC
(18,7),-1.59892 # DEPENDENCYPART_ARC
(18,8),-1.92603 # DEPENDENCYPART_ARC
(18,9),-1.3889 # DEPENDENCYPART_ARC
(18,10),-1.77246 # DEPENDENCYPART_ARC
(18,11),-2.31779 # DEPENDENCYPART_ARC
(18,12),-1.85385 # DEPENDENCYPART_ARC
(18,13),-1.56752 # DEPENDENCYPART_ARC
(18,14),-0.760277 # DEPENDENCYPART_ARC
(18,16),-1.40011 # DEPENDENCYPART_ARC
(18,17),-1.71768 # DEPENDENCYPART_ARC
(18,19),1.91035 # DEPENDENCYPART_ARC
(18,20),0.0366049 # DEPENDENCYPART_ARC
(19,1),-1.6157 # DEPENDENCYPART_ARC
(19,2),-1.86593 # DEPENDENCYPART_ARC
(19,3),-2.43529 # DEPENDENCYPART_ARC
(19,4),-1.66022 # DEPENDENCYPART_ARC
(19,5),-1.65401 # DEPENDENCYPART_ARC
(19,7),-1.9464 # DEPENDENCYPART_ARC
(19,8),-2.26821 # DEPENDENCYPART_ARC
(19,9),-2.04542 # DEPENDENCYPART_ARC
(19,10),-2.08884 # DEPENDENCYPART_ARC
(19,11),-2.11776 # DEPENDENCYPART_ARC
(19,12),-1.49909 # DEPENDENCYPART_ARC
(19,14),-1.72578 # DEPENDENCYPART_ARC
(19,16),-1.27025 # DEPENDENCYPART_ARC
(19,17),-1.25785 # DEPENDENCYPART_ARC
(19,18),-0.740589 # DEPENDENCYPART_ARC
(19,20),1.96689 # DEPENDENCYPART_ARC
(20,3),-1.66803 # DEPENDENCYPART_ARC
(20,4),-1.56185 # DEPENDENCYPART_ARC
(20,5),-1.36663 # DEPENDENCYPART_ARC
(20,8),-1.58176 # DEPENDENCYPART_ARC
(20,9),-1.72338 # DEPENDENCYPART_ARC
(20,10),-1.46442 # DEPENDENCYPART_ARC
(20,13),-0.763349 # DEPENDENCYPART_ARC
(20,14),-1.13796 # DEPENDENCYPART_ARC
(20,16),-1.25114 # DEPENDENCYPART_ARC
(20,17),-1.22124 # DEPENDENCYPART_ARC
(20,19),-0.438282 # DEPENDENCYPART_ARC
