# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
(9,15),-0.363581 # DEPENDENCYPART_ARC
(9,16),-0.436185 # DEPENDENCYPART_ARC
(9,17),-1.08236 # DEPENDENCYPART_ARC
(10,1),-0.854324 # DEPENDENCYPART_ARC
(10,2),-1.33382 # DEPENDENCYPART_ARC
(10,3),-0.930597 # DEPENDENCYPART_ARC
(10,4),-0.705557 # DEPENDENCYPART_ARC
(10,5),-0.57516 # DEPENDENCYPART_ARC
(10,6),-0.580101 # DEPENDENCYPART_ARC
(10,7),-1.09817 # DEPENDENCYPART_ARC
(10,8),-0.888553 # DEPENDENCYPART_ARC
(10,9),-0.276066 # DEPENDENCYPART_ARC
(10,11),1.74761 # DEPENDENCYPART_ARC
(10,12),-1.14576 # DEPENDENCYPART_ARC
(10,13),-0.097983 # DEPENDENCYPART_ARC
(10,14),-1.24968 # DEPENDENCYPART_ARC
(10,15),-0.802154 # DEPENDENCYPART_ARC
(10,16),-0.567593 # DEPENDENCYPART_ARC
(10,17),-0.475841 # DEPENDENCYPART_ARC
(11,1),-1.05409 # DEPENDENCYPART_ARC
(11,2),-1.38342 # DEPENDENCYPART_ARC
(11,3),-0.666893 # DEPENDENCYPART_ARC
(11,4),-1.32644 # DEPENDENCYPART_ARC
(11,5),-0.451961 # DEPENDENCYPART_ARC
(11,6),-0.430926 # DEPENDENCYPART_ARC
(11,7),-0.367958 # DEPENDENCYPART_ARC
(11,8),-0.165152 # DEPENDENCYPART_ARC
(11,9),0.0705373 # DEPENDENCYPART_ARC
(11,10),0.457689 # DEPENDENCYPART_ARC
(11,12),-0.486914 # DEPENDENCYPART_ARC
(11,13),-0.333724 # DEPENDENCYPART_ARC
(11,14),-0.257535 # DEPENDENCYPART_ARC
(11,15),-0.533111 # DEPENDENCYPART_ARC
(11,16),-1.32427 # DEPENDENCYPART_ARC
(11,17),-0.338785 # DEPENDENCYPART_ARC
(12,1),-1.1854 # DEPENDENCYPART_ARC
(12,2),-1.24588 # DEPENDENCYPART_ARC
(12,3),-1.04267 # DEPENDENCYPART_ARC
(12,4),-3.5695 # DEPENDENCYPART_ARC
(12,5),-3.70094 # DEPENDENCYPART_ARC
(12,6),-1.38072 # DEPENDENCYPART_ARC
(12,7),-0.559493 # DEPENDENCYPART_ARC
(12,8),-0.11617 # DEPENDENCYPART_ARC
(12,9),-0.472681 # DEPENDENCYPART_ARC
(12,10),-1.23257 # DEPENDENCYPART_ARC
(12,11),0.14565 # DEPENDENCYPART_ARC
(12,13),0.636044 # DEPENDENCYPART_ARC
(12,14),-1.84712 # DEPENDENCYPART_ARC
(12,15),-0.784084 # DEPENDENCYPART_ARC
(12,16),-0.599545 # DEPENDENCYPART_ARC
(12,17),-0.516681 # DEPENDENCYPART_ARC
(13,1),-0.742015 # DEPENDENCYPART_ARC
(13,2),-2.03336 # DEPENDENCYPART_ARC
(13,3),-1.18916 # DEPENDENCYPART_ARC
(13,4),0.476312 # DEPENDENCYPART_ARC
(13,5),-0.610828 # DEPENDENCYPART_ARC
(13,6),-1.5706 # DEPENDENCYPART_ARC
(13,7),-0.975367 # DEPENDENCYPART_ARC
(13,8),-0.641377 # DEPENDENCYPART_ARC
(13,9),-1.3881 # DEPENDENCYPART_ARC
(13,10),-1.14491 # DEPENDENCYPART_ARC
(13,11),-0.794464 # DEPENDENCYPART_ARC
(13,12),2.24343 # DEPENDENCYPART_ARC
(13,14),-1.27185 # DEPENDENCYPART_ARC
(13,15),-1.60105 # DEPENDENCYPART_ARC
(13,16),-0.426148 # DEPENDENCYPART_ARC
(13,17),-1.24436 # DEPENDENCYPART_ARC
(14,1),0.130942 # DEPENDENCYPART_ARC
(14,2),-1.78013 # DEPENDENCYPART_ARC
(14,3),-0.86705 # DEPENDENCYPART_ARC
(14,4),0.109327 # DEPENDENCYPART_ARC
(14,5),0.266054 # DEPENDENCYPART_ARC
(14,6),-0.990605 # DEPENDENCYPART_ARC
(14,7),-0.268663 # DEPENDENCYPART_ARC
(14,8),0.284183 # DEPENDENCYPART_ARC
(14,9),0.260572 # DEPENDENCYPART_ARC
(14,10),-0.358644 # DEPENDENCYPART_ARC
(14,11),-0.504362 # DEPENDENCYPART_ARC
(14,12),1.23526 # DEPENDENCYPART_ARC
(14,13),1.74341 # DEPENDENCYPART_ARC
(14,15),2.37844 # DEPENDENCYPART_ARC
(14,16),1.10315 # DEPENDENCYPART_ARC
(14,17),-0.0912313 # DEPENDENCYPART_ARC
(15,1),-1.28435 # DEPENDENCYPART_ARC
(15,2),-1.86244 # DEPENDENCYPART_ARC
(15,3),-1.34182 # DEPENDENCYPART_ARC
(15,4),-0.799696 # DEPENDENCYPART_ARC
(15,5),-1.69361 # DEPENDENCYPART_ARC
(15,6),-2.26112 # DEPENDENCYPART_ARC
(15,7),-2.06253 # DEPENDENCYPART_ARC
(15,8),-1.31072 # DEPENDENCYPART_ARC
(15,9),-2.36165 # DEPENDENCYPART_ARC
(15,10),-1.20363 # DEPENDENCYPART_ARC
(15,11),-1.40968 # DEPENDENCYPART_ARC
(15,12),-0.858928 # DEPENDENCYPART_ARC
(15,13),-1.36592 # DEPENDENCYPART_ARC
(15,14),-1.29565 # DEPENDENCYPART_ARC
(15,16),0.153547 # DEPENDENCYPART_ARC
(15,17),-0.406462 # DEPENDENCYPART_ARC
(16,1),-1.35836 # DEPENDENCYPART_ARC
(16,2),-1.79221 # DEPENDENCYPART_ARC
(16,3),-1.15083 # DEPENDENCYPART_ARC
(16,4),-1.50815 # DEPENDENCYPART_ARC
(16,5),-1.37569 # DEPENDENCYPART_ARC
(16,6),-1.28621 # DEPENDENCYPART_ARC
(16,7),-1.38286 # DEPENDENCYPART_ARC
(16,8),-0.799326 # DEPENDENCYPART_ARC
(16,9),-1.25723 # DEPENDENCYPART_ARC
(16,10),-1.30212 # DEPENDENCYPART_ARC
(16,11),-1.35399 # DEPENDENCYPART_ARC
(16,12),-0.982721 # DEPENDENCYPART_ARC
(16,13),-0.894568 # DEPENDENCYPART_ARC
(16,14),-0.600135 # DEPENDENCYPART_ARC
(16,15),-0.291282 # DEPENDENCYPART_ARC
(16,17),1.88597 # DEPENDENCYPART_ARC
(17,1),-2.0327 # DEPENDENCYPART_ARC
(17,2),-1.79833 # DEPENDENCYPART_ARC
(17,3),-1.56719 # DEPENDENCYPART_ARC
(17,4),-2.15708 # DEPENDENCYPART_ARC
(17,5),-1.41875 # DEPENDENCYPART_ARC
(17,6),-1.30638 # DEPENDENCYPART_ARC
(17,7),-1.84146 # DEPENDENCYPART_ARC
(17,8),-1.23089 # DEPENDENCYPART_ARC
(17,9),-1.6947 # DEPENDENCYPART_ARC
(17,10),-1.33762 # DEPENDENCYPART_ARC
(17,11),-1.5777 # DEPENDENCYPART_ARC
(17,12),-1.11012 # DEPENDENCYPART_ARC
(17,13),-1.45374 # DEPENDENCYPART_ARC
(17,14),-1.24782 # DEPENDENCYPART_ARC
(17,15),-1.16028 # DEPENDENCYPART_ARC
(17,16),-0.826156 # DEPENDENCYPART_ARC
