# _root_ agentzien_arabera , bi alderdi abertzaleek lan horretan dihardute egun hauetan , eta oraindik ez dute erabaki osoko zuzenketa aurkeztuko duten .
#goldHeads=12,1,4,8,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
#predictedHeads=8,1,4,6,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
(5,3),0.188359 # DEPENDENCYPART_ARC
(5,4),0.314275 # DEPENDENCYPART_ARC
(5,6),-0.707841 # DEPENDENCYPART_ARC
(5,7),-1.39267 # DEPENDENCYPART_ARC
(5,8),-2.47767 # DEPENDENCYPART_ARC
(5,9),-1.90964 # DEPENDENCYPART_ARC
(5,10),-1.53208 # DEPENDENCYPART_ARC
(5,11),-0.662408 # DEPENDENCYPART_ARC
(5,12),-1.42451 # DEPENDENCYPART_ARC
(5,13),-1.161 # DEPENDENCYPART_ARC
(5,14),-1.6749 # DEPENDENCYPART_ARC
(5,15),-1.93234 # DEPENDENCYPART_ARC
(5,16),-2.44701 # DEPENDENCYPART_ARC
(5,17),-0.999772 # DEPENDENCYPART_ARC
(5,18),-2.55143 # DEPENDENCYPART_ARC
(5,19),-2.51443 # DEPENDENCYPART_ARC
(5,20),-2.2121 # DEPENDENCYPART_ARC
(5,21),-1.25945 # DEPENDENCYPART_ARC
(6,1),-1.05468 # DEPENDENCYPART_ARC
(6,2),-1.4954 # DEPENDENCYPART_ARC
(6,3),-0.435624 # DEPENDENCYPART_ARC
(6,4),0.821082 # DEPENDENCYPART_ARC
(6,5),-0.106579 # DEPENDENCYPART_ARC
(6,7),2.72897 # DEPENDENCYPART_ARC
(6,8),-0.911235 # DEPENDENCYPART_ARC
(6,9),-0.821787 # DEPENDENCYPART_ARC
(6,10),0.316102 # DEPENDENCYPART_ARC
(6,11),-0.993079 # DEPENDENCYPART_ARC
(6,12),-0.59832 # DEPENDENCYPART_ARC
(6,13),-0.809669 # DEPENDENCYPART_ARC
(6,14),-1.25051 # DEPENDENCYPART_ARC
(6,15),-1.56439 # DEPENDENCYPART_ARC
(6,16),-1.12478 # DEPENDENCYPART_ARC
(6,17),-1.6419 # DEPENDENCYPART_ARC
(6,18),-1.32256 # DEPENDENCYPART_ARC
(6,19),-1.57147 # DEPENDENCYPART_ARC
(6,20),-1.55969 # DEPENDENCYPART_ARC
(6,21),-1.09602 # DEPENDENCYPART_ARC
(7,1),-1.21881 # DEPENDENCYPART_ARC
(7,2),-0.683011 # DEPENDENCYPART_ARC
(7,3),-0.201144 # DEPENDENCYPART_ARC
(7,4),-0.498427 # DEPENDENCYPART_ARC
(7,5),-1.03571 # DEPENDENCYPART_ARC
(7,6),0.399605 # DEPENDENCYPART_ARC
(7,8),-0.6166 # DEPENDENCYPART_ARC
(7,9),-1.03532 # DEPENDENCYPART_ARC
(7,10),-1.1321 # DEPENDENCYPART_ARC
(7,11),-0.314907 # DEPENDENCYPART_ARC
(7,12),-1.08501 # DEPENDENCYPART_ARC
(7,13),-1.01794 # DEPENDENCYPART_ARC
(7,14),-1.24103 # DEPENDENCYPART_ARC
(7,15),-1.72816 # DEPENDENCYPART_ARC
(7,16),-1.75302 # DEPENDENCYPART_ARC
(7,17),-1.81008 # DEPENDENCYPART_ARC
(7,18),-1.4832 # DEPENDENCYPART_ARC
(7,19),-1.55646 # DEPENDENCYPART_ARC
(7,20),-2.22619 # DEPENDENCYPART_ARC
(7,21),-1.18599 # DEPENDENCYPART_ARC
(8,1),0.965574 # DEPENDENCYPART_ARC
(8,2),-1.10879 # DEPENDENCYPART_ARC
(8,3),-0.0559947 # DEPENDENCYPART_ARC
(8,4),0.288059 # DEPENDENCYPART_ARC
(8,5),-0.453931 # DEPENDENCYPART_ARC
(8,6),1.64398 # DEPENDENCYPART_ARC
(8,7),0.405146 # DEPENDENCYPART_ARC
(8,9),1.09388 # DEPENDENCYPART_ARC
(8,10),-0.302725 # DEPENDENCYPART_ARC
(8,11),-0.225262 # DEPENDENCYPART_ARC
(8,12),-0.559672 # DEPENDENCYPART_ARC
(8,13),-0.411385 # DEPENDENCYPART_ARC
(8,14),-0.342471 # DEPENDENCYPART_ARC
(8,15),-1.01956 # DEPENDENCYPART_ARC
(8,16),-0.701121 # DEPENDENCYPART_ARC
(8,17),-1.82961 # DEPENDENCYPART_ARC
(8,18),-0.200372 # DEPENDENCYPART_ARC
(8,19),-0.980204 # DEPENDENCYPART_ARC
(8,20),-1.01152 # DEPENDENCYPART_ARC
(8,21),-1.09772 # DEPENDENCYPART_ARC
(9,1),-1.5066 # DEPENDENCYPART_ARC
(9,2),-1.87498 # DEPENDENCYPART_ARC
(9,3),-1.10148 # DEPENDENCYPART_ARC
(9,4),-0.700456 # DEPENDENCYPART_ARC
(9,5),-1.70638 # DEPENDENCYPART_ARC
(9,6),-0.383584 # DEPENDENCYPART_ARC
(9,7),-1.17672 # DEPENDENCYPART_ARC
(9,8),-0.159935 # DEPENDENCYPART_ARC
(9,10),2.18754 # DEPENDENCYPART_ARC
(9,11),-0.220851 # DEPENDENCYPART_ARC
(9,12),-0.425447 # DEPENDENCYPART_ARC
(9,13),-0.858613 # DEPENDENCYPART_ARC
(9,14),-1.0965 # DEPENDENCYPART_ARC
(9,15),-1.43093 # DEPENDENCYPART_ARC
(9,16),-1.05764 # DEPENDENCYPART_ARC
(9,17),-1.29749 # DEPENDENCYPART_ARC
(9,18),-1.0315 # DEPENDENCYPART_ARC
(9,19),-1.30083 # DEPENDENCYPART_ARC
(9,20),-1.43068 # DEPENDENCYPART_ARC
(9,21),-1.19669 # DEPENDENCYPART_ARC
(10,1),-1.87984 # DEPENDENCYPART_ARC
(10,2),-1.55823 # DEPENDENCYPART_ARC
(10,3),-1.096 # DEPENDENCYPART_ARC
(10,4),-1.80042 # DEPENDENCYPART_ARC
(10,5),-2.63262 # DEPENDENCYPART_ARC
(10,6),-1.52959 # DEPENDENCYPART_ARC
(10,7),-1.21763 # DEPENDENCYPART_ARC
(10,8),-1.47126 # DEPENDENCYPART_ARC
(10,9),-0.265613 # DEPENDENCYPART_ARC
(10,11),1.48997 # DEPENDENCYPART_ARC
(10,12),-0.804852 # DEPENDENCYPART_ARC
(10,13),-0.76754 # DEPENDENCYPART_ARC
(10,14),-0.878333 # DEPENDENCYPART_ARC
(10,15),-1.40156 # DEPENDENCYPART_ARC
(10,16),-1.62431 # DEPENDENCYPART_ARC
(10,17),-1.5433 # DEPENDENCYPART_ARC
(10,18),-1.37746 # DEPENDENCYPART_ARC
(10,19),-1.46392 # DEPENDENCYPART_ARC
(10,20),-1.93395 # DEPENDENCYPART_ARC
(10,21),-0.79094 # DEPENDENCYPART_ARC
(11,1),-1.68537 # DEPENDENCYPART_ARC
(11,2),-1.73827 # DEPENDENCYPART_ARC
(11,3),-1.85341 # DEPENDENCYPART_ARC
(11,4),-1.22412 # DEPENDENCYPART_ARC
(11,5),-1.38973 # DEPENDENCYPART_ARC
(11,6),-1.20592 # DEPENDENCYPART_ARC
(11,7),-1.66979 # DEPENDENCYPART_ARC
(11,8),-0.353097 # DEPENDENCYPART_ARC
(11,9),-0.835735 # DEPENDENCYPART_ARC
(11,10),-0.839759 # DEPENDENCYPART_ARC
(11,12),-0.563303 # DEPENDENCYPART_ARC
(11,13),-1.63216 # DEPENDENCYPART_ARC
(11,14),-1.55263 # DEPENDENCYPART_ARC
(11,15),-1.24684 # DEPENDENCYPART_ARC
(11,16),-1.14215 # DEPENDENCYPART_ARC
(11,17),-1.59264 # DEPENDENCYPART_ARC
(11,18),-1.89104 # DEPENDENCYPART_ARC
(11,19),-1.43621 # DEPENDENCYPART_ARC
(11,20),-1.37616 # DEPENDENCYPART_ARC
(11,21),-1.20179 # DEPENDENCYPART_ARC
(12,1),-1.407 # DEPENDENCYPART_ARC
(12,2),-1.58786 # DEPENDENCYPART_ARC
(12,3),-0.384584 # DEPENDENCYPART_ARC
(12,4),-1.23211 # DEPENDENCYPART_ARC
(12,5),-1.18383 # DEPENDENCYPART_ARC
(12,6),-0.686424 # DEPENDENCYPART_ARC
(12,7),-0.909785 # DEPENDENCYPART_ARC
(12,8),1.32201 # DEPENDENCYPART_ARC
(12,9),0.118792 # DEPENDENCYPART_ARC
(12,10),-0.270333 # DEPENDENCYPART_ARC
(12,11),-0.191266 # DEPENDENCYPART_ARC
(12,13),-0.0446836 # DEPENDENCYPART_ARC
(12,14),-0.329865 # DEPENDENCYPART_ARC
(12,15),-0.0606556 # DEPENDENCYPART_ARC
(12,16),0.762786 # DEPENDENCYPART_ARC
(12,17),-0.671677 # DEPENDENCYPART_ARC
(12,18),0.00968189 # DEPENDENCYPART_ARC
(12,19),0.301257 # DEPENDENCYPART_ARC
(12,20),-0.408852 # DEPENDENCYPART_ARC
(12,21),-0.465367 # DEPENDENCYPART_ARC
(13,1),-2.09388 # DEPENDENCYPART_ARC
(13,2),-2.45733 # DEPENDENCYPART_ARC
(13,3),-2.10475 # DEPENDENCYPART_ARC
(13,4),-2.01747 # DEPENDENCYPART_ARC
(13,5),-2.43697 # DEPENDENCYPART_ARC
(13,6),-1.88498 # DEPENDENCYPART_ARC
(13,7),-1.96018 # DEPENDENCYPART_ARC
(13,8),-2.0913 # DEPENDENCYPART_ARC
(13,9),-1.70237 # DEPENDENCYPART_ARC
(13,10),-1.57105 # DEPENDENCYPART_ARC
(13,11),-1.61565 # DEPENDENCYPART_ARC
(13,12),-0.802576 # DEPENDENCYPART_ARC
(13,14),0.0259546 # DEPENDENCYPART_ARC
(13,15),-0.441323 # DEPENDENCYPART_ARC
(13,16),-1.11241 # DEPENDENCYPART_ARC
(13,17),-1.34803 # DEPENDENCYPART_ARC
(13,18),-1.09457 # DEPENDENCYPART_ARC
(13,19),-1.41814 # DEPENDENCYPART_ARC
(13,20),-1.19213 # DEPENDENCYPART_ARC
(13,21),-0.717947 # DEPENDENCYPART_ARC
(14,1),-1.5924 # DEPENDENCYPART_ARC
(14,2),-1.73958 # DEPENDENCYPART_ARC
(14,3),-2.21214 # DEPENDENCYPART_ARC
(14,4),-1.463 # DEPENDENCYPART_ARC
(14,5),-2.20727 # DEPENDENCYPART_ARC
(14,6),-1.62131 # DEPENDENCYPART_ARC
(14,7),-2.18908 # DEPENDENCYPART_ARC
(14,8),-2.05453 # DEPENDENCYPART_ARC
(14,9),-1.49499 # DEPENDENCYPART_ARC
(14,10),-1.9712 # DEPENDENCYPART_ARC
(14,11),-1.11344 # DEPENDENCYPART_ARC
(14,12),-1.10255 # DEPENDENCYPART_ARC
(14,13),-0.633836 # DEPENDENCYPART_ARC
(14,15),-0.663208 # DEPENDENCYPART_ARC
(14,16),-0.855991 # DEPENDENCYPART_ARC
(14,17),-0.719907 # DEPENDENCYPART_ARC
(14,18),-1.10895 # DEPENDENCYPART_ARC
(14,19),-0.964831 # DEPENDENCYPART_ARC
(14,20),-2.02429 # DEPENDENCYPART_ARC
(14,21),-0.334871 # DEPENDENCYPART_ARC
(15,1),-1.13928 # DEPENDENCYPART_ARC
(15,2),-1.30671 # DEPENDENCYPART_ARC
(15,3),-1.05474 # DEPENDENCYPART_ARC
(15,4),-0.956115 # DEPENDENCYPART_ARC
(15,5),-0.879903 # DEPENDENCYPART_ARC
(15,6),-0.389466 # DEPENDENCYPART_ARC
(15,7),-0.504301 # DEPENDENCYPART_ARC
(15,8),-1.05142 # DEPENDENCYPART_ARC
(15,9),-0.298134 # DEPENDENCYPART_ARC
(15,10),-0.52983 # DEPENDENCYPART_ARC
(15,11),-0.8657 # DEPENDENCYPART_ARC
(15,12),-0.657293 # DEPENDENCYPART_ARC
(15,13),-0.0823642 # DEPENDENCYPART_ARC
(15,14),0.523877 # DEPENDENCYPART_ARC
(15,16),-1.25386 # DEPENDENCYPART_ARC
(15,17),-0.953852 # DEPENDENCYPART_ARC
(15,18),-2.07977 # DEPENDENCYPART_ARC
(15,19),-1.53355 # DEPENDENCYPART_ARC
(15,20),-1.17635 # DEPENDENCYPART_ARC
(15,21),-0.516763 # DEPENDENCYPART_ARC
(16,1),-0.565576 # DEPENDENCYPART_ARC
(16,2),-1.42965 # DEPENDENCYPART_ARC
(16,3),-0.747419 # DEPENDENCYPART_ARC
(16,4),-0.909958 # DEPENDENCYPART_ARC
(16,5),-0.316414 # DEPENDENCYPART_ARC
(16,6),-0.89407 # DEPENDENCYPART_ARC
(16,7),-0.569057 # DEPENDENCYPART_ARC
(16,8),-0.207104 # DEPENDENCYPART_ARC
(16,9),-0.229065 # DEPENDENCYPART_ARC
(16,10),-0.467208 # DEPENDENCYPART_ARC
(16,11),-0.973088 # DEPENDENCYPART_ARC
(16,12),-0.0368575 # DEPENDENCYPART_ARC
(16,13),0.587046 # DEPENDENCYPART_ARC
(16,14),1.09715 # DEPENDENCYPART_ARC
(16,15),1.17345 # DEPENDENCYPART_ARC
(16,17),1.37285 # DEPENDENCYPART_ARC
(16,18),0.982452 # DEPENDENCYPART_ARC
(16,19),1.06589 # DEPENDENCYPART_ARC
(16,20),0.725148 # DEPENDENCYPART_ARC
(16,21),-0.0928078 # DEPENDENCYPART_ARC
(17,1),-1.98442 # DEPENDENCYPART_ARC
(17,2),-1.71897 # DEPENDENCYPART_ARC
(17,3),-1.23794 # DEPENDENCYPART_ARC
(17,4),-1.68019 # DEPENDENCYPART_ARC
(17,5),-1.79942 # DEPENDENCYPART_ARC
(17,6),-1.81501 # DEPENDENCYPART_ARC
(17,7),-1.40865 # DEPENDENCYPART_ARC
(17,8),-1.54777 # DEPENDENCYPART_ARC
(17,9),-1.53017 # DEPENDENCYPART_ARC
(17,10),-1.24911 # DEPENDENCYPART_ARC
(17,11),-1.44489 # DEPENDENCYPART_ARC
(17,12),-0.847784 # DEPENDENCYPART_ARC
(17,13),-0.53331 # DEPENDENCYPART_ARC
(17,14),-0.553 # DEPENDENCYPART_ARC
(17,15),-0.743712 # DEPENDENCYPART_ARC
(17,16),0.585591 # DEPENDENCYPART_ARC
(17,18),0.183878 # DEPENDENCYPART_ARC
(17,19),-0.568304 # DEPENDENCYPART_ARC
(17,20),-0.590257 # DEPENDENCYPART_ARC
(17,21),-0.27709 # DEPENDENCYPART_ARC
(18,1),-1.90176 # DEPENDENCYPART_ARC
(18,2),-1.97325 # DEPENDENCYPART_ARC
(18,3),-1.16172 # DEPENDENCYPART_ARC
(18,4),-0.929138 # DEPENDENCYPART_ARC
(18,5),-2.82155 # DEPENDENCYPART_ARC
(18,6),-1.07723 # DEPENDENCYPART_ARC
(18,7),-3.03607 # DEPENDENCYPART_ARC
(18,8),-2.1301 # DEPENDENCYPART_ARC
(18,9),-0.94985 # DEPENDENCYPART_ARC
(18,10),-2.60312 # DEPENDENCYPART_ARC
(18,11),-1.35516 # DEPENDENCYPART_ARC
(18,12),-1.10476 # DEPENDENCYPART_ARC
(18,13),-0.877503 # DEPENDENCYPART_ARC
(18,14),-0.372536 # DEPENDENCYPART_ARC
(18,15),-1.23116 # DEPENDENCYPART_ARC
(18,16),0.625841 # DEPENDENCYPART_ARC
(18,17),2.14192 # DEPENDENCYPART_ARC
(18,19),-0.306403 # DEPENDENCYPART_ARC
(18,20),-0.885052 # DEPENDENCYPART_ARC
(18,21),-0.588117 # DEPENDENCYPART_ARC
(19,1),-1.1883 # DEPENDENCYPART_ARC
(19,2),-1.73772 # DEPENDENCYPART_ARC
(19,3),-0.816584 # DEPENDENCYPART_ARC
(19,4),-0.714147 # DEPENDENCYPART_ARC
(19,5),-0.422578 # DEPENDENCYPART_ARC
(19,6),-1.00466 # DEPENDENCYPART_ARC
(19,7),-0.689658 # DEPENDENCYPART_ARC
(19,8),-1.64204 # DEPENDENCYPART_ARC
(19,9),-0.351681 # DEPENDENCYPART_ARC
(19,10),-0.52124 # DEPENDENCYPART_ARC
(19,11),-1.40724 # DEPENDENCYPART_ARC
(19,12),-0.406063 # DEPENDENCYPART_ARC
(19,13),-0.00512251 # DEPENDENCYPART_ARC
(19,14),0.607267 # DEPENDENCYPART_ARC
(19,15),0.097742 # DEPENDENCYPART_ARC
(19,16),0.526601 # DEPENDENCYPART_ARC
(19,17),0.553956 # DEPENDENCYPART_ARC
(19,18),1.8435 # DEPENDENCYPART_ARC
(19,20),2.30478 # DEPENDENCYPART_ARC
(19,21),-0.547928 # DEPENDENCYPART_ARC
(20,1),-2.52513 # DEPENDENCYPART_ARC
(20,2),-2.11424 # DEPENDENCYPART_ARC
(20,3),-1.84808 # DEPENDENCYPART_ARC
(20,4),-1.65085 # DEPENDENCYPART_ARC
(20,5),-1.84871 # DEPENDENCYPART_ARC
(20,6),-1.75941 # DEPENDENCYPART_ARC
(20,7),-1.75818 # DEPENDENCYPART_ARC
(20,8),-1.28113 # DEPENDENCYPART_ARC
(20,9),-1.73601 # DEPENDENCYPART_ARC
(20,10),-1.48729 # DEPENDENCYPART_ARC
(20,11),-1.85593 # DEPENDENCYPART_ARC
(20,12),-1.71183 # DEPENDENCYPART_ARC
(20,13),-1.31368 # DEPENDENCYPART_ARC
(20,14),-1.30379 # DEPENDENCYPART_ARC
(20,15),-0.910015 # DEPENDENCYPART_ARC
(20,16),-2.09952 # DEPENDENCYPART_ARC
(20,17),-0.883253 # DEPENDENCYPART_ARC
(20,18),-0.640897 # DEPENDENCYPART_ARC
(20,19),-1.49909 # DEPENDENCYPART_ARC
(20,21),2.08597 # DEPENDENCYPART_ARC
(21,1),-1.44333 # DEPENDENCYPART_ARC
(21,2),-1.27049 # DEPENDENCYPART_ARC
(21,3),-1.58915 # DEPENDENCYPART_ARC
(21,4),-1.06375 # DEPENDENCYPART_ARC
(21,5),-1.41696 # DEPENDENCYPART_ARC
(21,6),-0.966721 # DEPENDENCYPART_ARC
(21,7),-1.59214 # DEPENDENCYPART_ARC
(21,8),-0.945279 # DEPENDENCYPART_ARC
(21,9),-0.926411 # DEPENDENCYPART_ARC
(21,10),-1.64945 # DEPENDENCYPART_ARC
(21,11),-1.09982 # DEPENDENCYPART_ARC
(21,12),-0.580017 # DEPENDENCYPART_ARC
(21,13),-0.996733 # DEPENDENCYPART_ARC
(21,14),-0.993882 # DEPENDENCYPART_ARC
(21,15),-0.713796 # DEPENDENCYPART_ARC
(21,16),-0.759754 # DEPENDENCYPART_ARC
(21,17),-0.910369 # DEPENDENCYPART_ARC
(21,18),-0.0795326 # DEPENDENCYPART_ARC
(21,19),-0.495437 # DEPENDENCYPART_ARC
(21,20),0.235341 # DEPENDENCYPART_ARC
