# _root_ auto karabanak unanu , lizarraga-ergoiena eta dorrao igaro zituen , arbizura sartu aurretik .
#goldHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
#predictedHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
(6,8),-0.237179 # DEPENDENCYPART_ARC
(6,9),-0.127458 # DEPENDENCYPART_ARC
(6,10),-0.207333 # DEPENDENCYPART_ARC
(6,11),-0.381536 # DEPENDENCYPART_ARC
(6,12),-0.97527 # DEPENDENCYPART_ARC
(6,13),-1.23206 # DEPENDENCYPART_ARC
(6,14),-0.959573 # DEPENDENCYPART_ARC
(7,1),-2.89923 # DEPENDENCYPART_ARC
(7,2),-5.53448 # DEPENDENCYPART_ARC
(7,3),-3.20699 # DEPENDENCYPART_ARC
(7,4),-2.21783 # DEPENDENCYPART_ARC
(7,5),-2.13128 # DEPENDENCYPART_ARC
(7,6),-1.08971 # DEPENDENCYPART_ARC
(7,8),-1.95415 # DEPENDENCYPART_ARC
(7,9),-1.8179 # DEPENDENCYPART_ARC
(7,10),-1.03736 # DEPENDENCYPART_ARC
(7,11),-0.886883 # DEPENDENCYPART_ARC
(7,12),-1.90713 # DEPENDENCYPART_ARC
(7,13),-2.2369 # DEPENDENCYPART_ARC
(7,14),-0.903703 # DEPENDENCYPART_ARC
(8,1),0.0920257 # DEPENDENCYPART_ARC
(8,2),1.06009 # DEPENDENCYPART_ARC
(8,3),-0.743622 # DEPENDENCYPART_ARC
(8,4),-1.0521 # DEPENDENCYPART_ARC
(8,5),0.147468 # DEPENDENCYPART_ARC
(8,6),1.15239 # DEPENDENCYPART_ARC
(8,7),2.39894 # DEPENDENCYPART_ARC
(8,9),2.00192 # DEPENDENCYPART_ARC
(8,10),-0.214094 # DEPENDENCYPART_ARC
(8,11),0.103024 # DEPENDENCYPART_ARC
(8,12),0.208677 # DEPENDENCYPART_ARC
(8,13),0.616053 # DEPENDENCYPART_ARC
(8,14),-0.494552 # DEPENDENCYPART_ARC
(9,1),-0.946642 # DEPENDENCYPART_ARC
(9,2),-1.24173 # DEPENDENCYPART_ARC
(9,3),-1.05925 # DEPENDENCYPART_ARC
(9,4),-1.52607 # DEPENDENCYPART_ARC
(9,5),-0.741449 # DEPENDENCYPART_ARC
(9,6),-1.01831 # DEPENDENCYPART_ARC
(9,7),-0.295141 # DEPENDENCYPART_ARC
(9,8),-1.02055 # DEPENDENCYPART_ARC
(9,10),1.4744 # DEPENDENCYPART_ARC
(9,11),-1.40336 # DEPENDENCYPART_ARC
(9,12),-0.980404 # DEPENDENCYPART_ARC
(9,13),-1.16771 # DEPENDENCYPART_ARC
(9,14),-0.796436 # DEPENDENCYPART_ARC
(10,1),-0.623168 # DEPENDENCYPART_ARC
(10,2),-0.477553 # DEPENDENCYPART_ARC
(10,3),-0.771956 # DEPENDENCYPART_ARC
(10,4),-1.12108 # DEPENDENCYPART_ARC
(10,5),-0.51639 # DEPENDENCYPART_ARC
(10,6),-0.299264 # DEPENDENCYPART_ARC
(10,7),-0.0461786 # DEPENDENCYPART_ARC
(10,8),0.0175495 # DEPENDENCYPART_ARC
(10,9),0.488892 # DEPENDENCYPART_ARC
(10,11),-0.566507 # DEPENDENCYPART_ARC
(10,12),-0.496906 # DEPENDENCYPART_ARC
(10,13),-0.926197 # DEPENDENCYPART_ARC
(10,14),-0.403395 # DEPENDENCYPART_ARC
(11,1),-3.26836 # DEPENDENCYPART_ARC
(11,2),-6.11053 # DEPENDENCYPART_ARC
(11,3),-3.72812 # DEPENDENCYPART_ARC
(11,4),-2.05592 # DEPENDENCYPART_ARC
(11,5),-3.12995 # DEPENDENCYPART_ARC
(11,6),-1.28983 # DEPENDENCYPART_ARC
(11,7),-4.71843 # DEPENDENCYPART_ARC
(11,8),-2.75562 # DEPENDENCYPART_ARC
(11,9),-1.75098 # DEPENDENCYPART_ARC
(11,10),-0.625855 # DEPENDENCYPART_ARC
(11,12),-0.376766 # DEPENDENCYPART_ARC
(11,13),-1.64095 # DEPENDENCYPART_ARC
(11,14),-0.522213 # DEPENDENCYPART_ARC
(12,1),-1.85526 # DEPENDENCYPART_ARC
(12,2),-0.996126 # DEPENDENCYPART_ARC
(12,3),-2.40272 # DEPENDENCYPART_ARC
(12,4),-1.94085 # DEPENDENCYPART_ARC
(12,5),-1.43418 # DEPENDENCYPART_ARC
(12,6),0.362131 # DEPENDENCYPART_ARC
(12,7),0.337341 # DEPENDENCYPART_ARC
(12,8),-0.586817 # DEPENDENCYPART_ARC
(12,9),-0.624019 # DEPENDENCYPART_ARC
(12,10),-1.06549 # DEPENDENCYPART_ARC
(12,11),2.65991 # DEPENDENCYPART_ARC
(12,13),2.34717 # DEPENDENCYPART_ARC
(12,14),0.294919 # DEPENDENCYPART_ARC
(13,1),-2.48693 # DEPENDENCYPART_ARC
(13,2),-4.72891 # DEPENDENCYPART_ARC
(13,3),-2.22131 # DEPENDENCYPART_ARC
(13,4),-2.19135 # DEPENDENCYPART_ARC
(13,5),-1.7416 # DEPENDENCYPART_ARC
(13,6),-1.1755 # DEPENDENCYPART_ARC
(13,7),-3.1009 # DEPENDENCYPART_ARC
(13,8),-2.37124 # DEPENDENCYPART_ARC
(13,9),-2.38376 # DEPENDENCYPART_ARC
(13,10),-1.68823 # DEPENDENCYPART_ARC
(13,11),-0.769027 # DEPENDENCYPART_ARC
(13,12),-0.00033521 # DEPENDENCYPART_ARC
(13,14),1.8514 # DEPENDENCYPART_ARC
(14,1),-1.61572 # DEPENDENCYPART_ARC
(14,2),-1.44074 # DEPENDENCYPART_ARC
(14,3),-1.79726 # DEPENDENCYPART_ARC
(14,4),-1.37451 # DEPENDENCYPART_ARC
(14,5),-1.35049 # DEPENDENCYPART_ARC
(14,6),-0.818489 # DEPENDENCYPART_ARC
(14,7),-1.09758 # DEPENDENCYPART_ARC
(14,8),-1.22122 # DEPENDENCYPART_ARC
(14,9),-1.03072 # DEPENDENCYPART_ARC
(14,10),-1.15358 # DEPENDENCYPART_ARC
(14,11),-0.651019 # DEPENDENCYPART_ARC
(14,12),-0.714023 # DEPENDENCYPART_ARC
(14,13),-0.222601 # DEPENDENCYPART_ARC
