# _root_ bestalde , urretxun ehrekiko ituna hautsi bazuen , zergatik udalbiltzan ez duen gauza bera proposatu galdetu zion .
#goldHeads=0,3,6,5,6,15,6,7,15,15,15,15,15,13,16,0,16,17,
#predictedHeads=0,3,6,5,6,16,6,7,16,15,15,15,15,13,16,0,16,17,
(3,8),-1.50467 # DEPENDENCYPART_ARC
(3,10),-2.52129 # DEPENDENCYPART_ARC
(3,11),-3.03942 # DEPENDENCYPART_ARC
(3,13),-2.68249 # DEPENDENCYPART_ARC
(3,14),-3.30136 # DEPENDENCYPART_ARC
(3,15),-3.55081 # DEPENDENCYPART_ARC
(3,16),-4.09621 # DEPENDENCYPART_ARC
(3,18),-1.52688 # DEPENDENCYPART_ARC
(4,2),-1.41079 # DEPENDENCYPART_ARC
(4,3),-4.34206 # DEPENDENCYPART_ARC
(4,5),-0.581878 # DEPENDENCYPART_ARC
(4,6),-2.97937 # DEPENDENCYPART_ARC
(4,8),-1.08774 # DEPENDENCYPART_ARC
(4,10),-2.43826 # DEPENDENCYPART_ARC
(4,11),-2.50486 # DEPENDENCYPART_ARC
(4,13),-2.4803 # DEPENDENCYPART_ARC
(4,14),-2.11289 # DEPENDENCYPART_ARC
(4,15),-3.46436 # DEPENDENCYPART_ARC
(4,16),-4.0023 # DEPENDENCYPART_ARC
(4,18),-1.40298 # DEPENDENCYPART_ARC
(5,1),-0.922115 # DEPENDENCYPART_ARC
(5,2),-1.11129 # DEPENDENCYPART_ARC
(5,3),-1.0481 # DEPENDENCYPART_ARC
(5,4),1.9465 # DEPENDENCYPART_ARC
(5,6),-1.46584 # DEPENDENCYPART_ARC
(5,7),-0.735901 # DEPENDENCYPART_ARC
(5,8),-0.940717 # DEPENDENCYPART_ARC
(5,10),-2.83085 # DEPENDENCYPART_ARC
(5,11),-2.44028 # DEPENDENCYPART_ARC
(5,12),-2.75397 # DEPENDENCYPART_ARC
(5,13),-2.00346 # DEPENDENCYPART_ARC
(5,14),-1.27297 # DEPENDENCYPART_ARC
(5,15),-2.40775 # DEPENDENCYPART_ARC
(5,16),-3.2069 # DEPENDENCYPART_ARC
(5,17),-2.63645 # DEPENDENCYPART_ARC
(5,18),-1.58943 # DEPENDENCYPART_ARC
(6,1),0.0414893 # DEPENDENCYPART_ARC
(6,2),-1.36493 # DEPENDENCYPART_ARC
(6,3),1.53791 # DEPENDENCYPART_ARC
(6,4),1.86888 # DEPENDENCYPART_ARC
(6,5),2.24389 # DEPENDENCYPART_ARC
(6,7),1.9868 # DEPENDENCYPART_ARC
(6,8),-0.362416 # DEPENDENCYPART_ARC
(6,9),-0.450038 # DEPENDENCYPART_ARC
(6,10),-0.255118 # DEPENDENCYPART_ARC
(6,11),-0.862902 # DEPENDENCYPART_ARC
(6,12),-0.455258 # DEPENDENCYPART_ARC
(6,13),-1.04182 # DEPENDENCYPART_ARC
(6,14),-1.1337 # DEPENDENCYPART_ARC
(6,15),-0.937962 # DEPENDENCYPART_ARC
(6,16),-0.919343 # DEPENDENCYPART_ARC
(6,17),-0.63954 # DEPENDENCYPART_ARC
(6,18),-1.33333 # DEPENDENCYPART_ARC
(7,1),-1.59032 # DEPENDENCYPART_ARC
(7,2),-1.43333 # DEPENDENCYPART_ARC
(7,3),-1.99471 # DEPENDENCYPART_ARC
(7,4),-1.46497 # DEPENDENCYPART_ARC
(7,5),-0.742705 # DEPENDENCYPART_ARC
(7,6),-1.04737 # DEPENDENCYPART_ARC
(7,8),1.82619 # DEPENDENCYPART_ARC
(7,10),-1.12545 # DEPENDENCYPART_ARC
(7,11),-0.726367 # DEPENDENCYPART_ARC
(7,12),-1.13884 # DEPENDENCYPART_ARC
(7,13),-1.47557 # DEPENDENCYPART_ARC
(7,15),-2.388 # DEPENDENCYPART_ARC
(7,16),-2.45427 # DEPENDENCYPART_ARC
(7,17),-1.29623 # DEPENDENCYPART_ARC
(7,18),-0.35774 # DEPENDENCYPART_ARC
(8,5),-0.319804 # DEPENDENCYPART_ARC
(8,6),-0.25239 # DEPENDENCYPART_ARC
(8,7),-0.0154813 # DEPENDENCYPART_ARC
(8,12),-0.814704 # DEPENDENCYPART_ARC
(8,13),-1.04207 # DEPENDENCYPART_ARC
(8,15),-1.02126 # DEPENDENCYPART_ARC
(8,16),-0.962918 # DEPENDENCYPART_ARC
(8,17),-1.03406 # DEPENDENCYPART_ARC
(9,2),-1.63096 # DEPENDENCYPART_ARC
(9,5),-1.27046 # DEPENDENCYPART_ARC
(9,8),-0.301441 # DEPENDENCYPART_ARC
(9,11),-0.919551 # DEPENDENCYPART_ARC
(9,13),-1.19728 # DEPENDENCYPART_ARC
(9,18),-0.676229 # DEPENDENCYPART_ARC
(10,2),-2.11004 # DEPENDENCYPART_ARC
(10,3),-4.55779 # DEPENDENCYPART_ARC
(10,4),-3.55765 # DEPENDENCYPART_ARC
(10,5),-4.12908 # DEPENDENCYPART_ARC
(10,6),-2.42032 # DEPENDENCYPART_ARC
(10,8),-1.23011 # DEPENDENCYPART_ARC
(10,11),-0.970698 # DEPENDENCYPART_ARC
(10,13),-1.64887 # DEPENDENCYPART_ARC
(10,14),-1.73296 # DEPENDENCYPART_ARC
(10,15),-2.96683 # DEPENDENCYPART_ARC
(10,16),-3.40064 # DEPENDENCYPART_ARC
(10,18),-1.07003 # DEPENDENCYPART_ARC
(11,2),-1.52165 # DEPENDENCYPART_ARC
(11,3),-1.77207 # DEPENDENCYPART_ARC
(11,4),-1.73924 # DEPENDENCYPART_ARC
(11,5),-1.91526 # DEPENDENCYPART_ARC
(11,6),-1.74233 # DEPENDENCYPART_ARC
(11,8),-1.06388 # DEPENDENCYPART_ARC
(11,10),-0.493381 # DEPENDENCYPART_ARC
(11,13),-1.45547 # DEPENDENCYPART_ARC
(11,15),-1.48009 # DEPENDENCYPART_ARC
(11,16),-1.55378 # DEPENDENCYPART_ARC
(11,18),-0.921032 # DEPENDENCYPART_ARC
(12,1),-2.14644 # DEPENDENCYPART_ARC
(12,2),-1.8236 # DEPENDENCYPART_ARC
(12,3),-2.17971 # DEPENDENCYPART_ARC
(12,4),-1.73458 # DEPENDENCYPART_ARC
(12,5),-1.27734 # DEPENDENCYPART_ARC
(12,6),-2.14095 # DEPENDENCYPART_ARC
(12,7),-1.55118 # DEPENDENCYPART_ARC
(12,8),-1.41364 # DEPENDENCYPART_ARC
(12,10),-0.534048 # DEPENDENCYPART_ARC
(12,11),-0.342595 # DEPENDENCYPART_ARC
(12,13),-0.457913 # DEPENDENCYPART_ARC
(12,15),-1.77984 # DEPENDENCYPART_ARC
(12,16),-1.9566 # DEPENDENCYPART_ARC
(12,17),-1.52696 # DEPENDENCYPART_ARC
(12,18),-0.681328 # DEPENDENCYPART_ARC
(13,1),-0.72558 # DEPENDENCYPART_ARC
(13,2),-1.36526 # DEPENDENCYPART_ARC
(13,3),-2.04996 # DEPENDENCYPART_ARC
(13,4),-0.984834 # DEPENDENCYPART_ARC
(13,5),-2.03989 # DEPENDENCYPART_ARC
(13,6),0.145671 # DEPENDENCYPART_ARC
(13,7),-0.951382 # DEPENDENCYPART_ARC
(13,8),-0.851121 # DEPENDENCYPART_ARC
(13,10),-0.338029 # DEPENDENCYPART_ARC
(13,11),0.551422 # DEPENDENCYPART_ARC
(13,12),0.428252 # DEPENDENCYPART_ARC
(13,14),3.34867 # DEPENDENCYPART_ARC
(13,15),-0.280297 # DEPENDENCYPART_ARC
(13,16),-0.893842 # DEPENDENCYPART_ARC
(13,17),-0.96675 # DEPENDENCYPART_ARC
(13,18),-0.624622 # DEPENDENCYPART_ARC
(14,2),-1.73895 # DEPENDENCYPART_ARC
(14,6),-1.61209 # DEPENDENCYPART_ARC
(14,8),-1.38333 # DEPENDENCYPART_ARC
(14,15),-1.52514 # DEPENDENCYPART_ARC
(14,16),-2.29166 # DEPENDENCYPART_ARC
(14,18),-0.915761 # DEPENDENCYPART_ARC
(15,1),-1.0914 # DEPENDENCYPART_ARC
(15,2),-1.8698 # DEPENDENCYPART_ARC
(15,3),0.272689 # DEPENDENCYPART_ARC
(15,4),0.3022 # DEPENDENCYPART_ARC
(15,5),0.179382 # DEPENDENCYPART_ARC
(15,6),-0.0617207 # DEPENDENCYPART_ARC
(15,7),-0.445331 # DEPENDENCYPART_ARC
(15,8),-1.21546 # DEPENDENCYPART_ARC
(15,9),0.183367 # DEPENDENCYPART_ARC
(15,10),1.40146 # DEPENDENCYPART_ARC
(15,11),0.867991 # DEPENDENCYPART_ARC
(15,12),0.528786 # DEPENDENCYPART_ARC
(15,13),1.70422 # DEPENDENCYPART_ARC
(15,14),1.07876 # DEPENDENCYPART_ARC
(15,16),0.925409 # DEPENDENCYPART_ARC
(15,17),1.48949 # DEPENDENCYPART_ARC
(15,18),-0.389541 # DEPENDENCYPART_ARC
(16,1),-0.416228 # DEPENDENCYPART_ARC
(16,2),-1.97385 # DEPENDENCYPART_ARC
(16,3),-0.225168 # DEPENDENCYPART_ARC
(16,4),-0.48373 # DEPENDENCYPART_ARC
(16,5),-1.26795 # DEPENDENCYPART_ARC
(16,6),0.163806 # DEPENDENCYPART_ARC
(16,7),-1.17883 # DEPENDENCYPART_ARC
(16,8),-1.12679 # DEPENDENCYPART_ARC
(16,9),0.252489 # DEPENDENCYPART_ARC
(16,10),0.231944 # DEPENDENCYPART_ARC
(16,11),-0.140701 # DEPENDENCYPART_ARC
(16,12),-0.301219 # DEPENDENCYPART_ARC
(16,13),0.492549 # DEPENDENCYPART_ARC
(16,14),-0.376247 # DEPENDENCYPART_ARC
(16,15),2.07451 # DEPENDENCYPART_ARC
(16,17),1.95517 # DEPENDENCYPART_ARC
(16,18),-0.0895683 # DEPENDENCYPART_ARC
(17,1),-2.16228 # DEPENDENCYPART_ARC
(17,2),-2.06293 # DEPENDENCYPART_ARC
(17,3),-2.48531 # DEPENDENCYPART_ARC
(17,4),-2.0239 # DEPENDENCYPART_ARC
(17,5),-1.88877 # DEPENDENCYPART_ARC
(17,6),-3.378 # DEPENDENCYPART_ARC
(17,7),-1.58861 # DEPENDENCYPART_ARC
(17,8),-1.88461 # DEPENDENCYPART_ARC
(17,10),-1.96421 # DEPENDENCYPART_ARC
(17,11),-1.51961 # DEPENDENCYPART_ARC
(17,12),-1.47238 # DEPENDENCYPART_ARC
(17,13),-0.845566 # DEPENDENCYPART_ARC
(17,15),-2.68742 # DEPENDENCYPART_ARC
(17,16),-2.13574 # DEPENDENCYPART_ARC
(17,18),1.9038 # DEPENDENCYPART_ARC
(18,2),-1.50483 # DEPENDENCYPART_ARC
(18,3),-1.21324 # DEPENDENCYPART_ARC
(18,4),-1.00416 # DEPENDENCYPART_ARC
(18,5),-0.845908 # DEPENDENCYPART_ARC
(18,6),-1.85299 # DEPENDENCYPART_ARC
(18,8),-1.31323 # DEPENDENCYPART_ARC
(18,10),-1.04698 # DEPENDENCYPART_ARC
(18,13),-0.987029 # DEPENDENCYPART_ARC
(18,15),-0.872509 # DEPENDENCYPART_ARC
(18,16),-0.923318 # DEPENDENCYPART_ARC
