# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(1,8),-2.54322 # DEPENDENCYPART_ARC
(1,9),-2.36111 # DEPENDENCYPART_ARC
(1,10),-2.59536 # DEPENDENCYPART_ARC
(1,11),-2.80105 # DEPENDENCYPART_ARC
(1,12),-2.38016 # DEPENDENCYPART_ARC
(1,14),-2.86369 # DEPENDENCYPART_ARC
(1,15),-2.89224 # DEPENDENCYPART_ARC
(1,16),-2.56713 # DEPENDENCYPART_ARC
(1,17),-2.71752 # DEPENDENCYPART_ARC
(1,19),-3.02429 # DEPENDENCYPART_ARC
(1,20),-3.10446 # DEPENDENCYPART_ARC
(1,22),-3.58864 # DEPENDENCYPART_ARC
(1,24),-3.31857 # DEPENDENCYPART_ARC
(1,25),-3.34809 # DEPENDENCYPART_ARC
(2,1),0.579859 # DEPENDENCYPART_ARC
(2,3),2.34977 # DEPENDENCYPART_ARC
(2,4),0.776921 # DEPENDENCYPART_ARC
(2,5),0.750994 # DEPENDENCYPART_ARC
(2,6),-0.883803 # DEPENDENCYPART_ARC
(2,7),-0.348069 # DEPENDENCYPART_ARC
(2,8),-0.698652 # DEPENDENCYPART_ARC
(2,9),-0.964666 # DEPENDENCYPART_ARC
(2,10),-0.731664 # DEPENDENCYPART_ARC
(2,11),-0.777834 # DEPENDENCYPART_ARC
(2,12),0.324709 # DEPENDENCYPART_ARC
(2,13),-1.03178 # DEPENDENCYPART_ARC
(2,14),-0.984132 # DEPENDENCYPART_ARC
(2,15),-1.36579 # DEPENDENCYPART_ARC
(2,16),-0.8141 # DEPENDENCYPART_ARC
(2,17),-1.46025 # DEPENDENCYPART_ARC
(2,18),-1.39644 # DEPENDENCYPART_ARC
(2,19),-1.6578 # DEPENDENCYPART_ARC
(2,20),-0.943577 # DEPENDENCYPART_ARC
(2,21),-1.58995 # DEPENDENCYPART_ARC
(2,22),-1.78688 # DEPENDENCYPART_ARC
(2,23),-2.04886 # DEPENDENCYPART_ARC
(2,24),-1.72232 # DEPENDENCYPART_ARC
(2,25),-1.20545 # DEPENDENCYPART_ARC
(3,1),-1.198 # DEPENDENCYPART_ARC
(3,2),-0.406309 # DEPENDENCYPART_ARC
(3,4),-0.555973 # DEPENDENCYPART_ARC
(3,5),-1.57344 # DEPENDENCYPART_ARC
(3,6),-1.68455 # DEPENDENCYPART_ARC
(3,7),-1.99953 # DEPENDENCYPART_ARC
(3,8),-2.02497 # DEPENDENCYPART_ARC
(3,9),-1.15841 # DEPENDENCYPART_ARC
(3,10),-1.87486 # DEPENDENCYPART_ARC
(3,11),-2.34267 # DEPENDENCYPART_ARC
(3,12),-2.41962 # DEPENDENCYPART_ARC
(3,13),-2.33848 # DEPENDENCYPART_ARC
(3,14),-3.16829 # DEPENDENCYPART_ARC
(3,15),-2.71244 # DEPENDENCYPART_ARC
(3,16),-2.46832 # DEPENDENCYPART_ARC
(3,17),-2.54198 # DEPENDENCYPART_ARC
(3,18),-1.73964 # DEPENDENCYPART_ARC
(3,19),-1.79718 # DEPENDENCYPART_ARC
(3,20),-1.8676 # DEPENDENCYPART_ARC
(3,21),-2.92185 # DEPENDENCYPART_ARC
(3,22),-3.16758 # DEPENDENCYPART_ARC
(3,23),-2.20065 # DEPENDENCYPART_ARC
(3,24),-2.48683 # DEPENDENCYPART_ARC
(3,25),-2.09058 # DEPENDENCYPART_ARC
(4,1),-0.5858 # DEPENDENCYPART_ARC
(4,2),0.185011 # DEPENDENCYPART_ARC
(4,3),2.78293 # DEPENDENCYPART_ARC
(4,5),2.80587 # DEPENDENCYPART_ARC
(4,6),-0.187014 # DEPENDENCYPART_ARC
(4,7),0.163038 # DEPENDENCYPART_ARC
(4,8),-0.209958 # DEPENDENCYPART_ARC
(4,9),-0.35126 # DEPENDENCYPART_ARC
(4,10),-1.38263 # DEPENDENCYPART_ARC
(4,11),-1.05748 # DEPENDENCYPART_ARC
(4,12),-0.289791 # DEPENDENCYPART_ARC
(4,13),-1.52876 # DEPENDENCYPART_ARC
(4,14),-1.21017 # DEPENDENCYPART_ARC
(4,15),-0.878465 # DEPENDENCYPART_ARC
(4,16),-0.793641 # DEPENDENCYPART_ARC
(4,17),-0.995498 # DEPENDENCYPART_ARC
(4,18),-1.89818 # DEPENDENCYPART_ARC
(4,19),-1.49556 # DEPENDENCYPART_ARC
(4,20),-1.30922 # DEPENDENCYPART_ARC
(4,21),-0.763929 # DEPENDENCYPART_ARC
(4,22),-1.89314 # DEPENDENCYPART_ARC
(4,23),-0.598414 # DEPENDENCYPART_ARC
(4,24),-2.26476 # DEPENDENCYPART_ARC
(4,25),-1.88863 # DEPENDENCYPART_ARC
(5,1),-2.30574 # DEPENDENCYPART_ARC
(5,2),-1.67876 # DEPENDENCYPART_ARC
(5,3),-2.74 # DEPENDENCYPART_ARC
(5,4),-0.486711 # DEPENDENCYPART_ARC
(5,6),-0.377089 # DEPENDENCYPART_ARC
(5,7),-1.33892 # DEPENDENCYPART_ARC
(5,8),-1.37756 # DEPENDENCYPART_ARC
(5,9),-0.587476 # DEPENDENCYPART_ARC
(5,10),-1.31635 # DEPENDENCYPART_ARC
(5,11),-1.77828 # DEPENDENCYPART_ARC
(5,12),-1.90474 # DEPENDENCYPART_ARC
(5,13),-1.94435 # DEPENDENCYPART_ARC
(5,14),-2.73148 # DEPENDENCYPART_ARC
(5,15),-2.17151 # DEPENDENCYPART_ARC
(5,16),-1.79808 # DEPENDENCYPART_ARC
(5,17),-2.00807 # DEPENDENCYPART_ARC
(5,18),-1.43771 # DEPENDENCYPART_ARC
(5,19),-1.17438 # DEPENDENCYPART_ARC
(5,20),-1.20764 # DEPENDENCYPART_ARC
(5,21),-2.48942 # DEPENDENCYPART_ARC
(5,22),-2.63889 # DEPENDENCYPART_ARC
(5,23),-1.74262 # DEPENDENCYPART_ARC
(5,24),-1.83615 # DEPENDENCYPART_ARC
(5,25),-1.28328 # DEPENDENCYPART_ARC
(6,1),-0.996215 # DEPENDENCYPART_ARC
(6,2),0.879916 # DEPENDENCYPART_ARC
(6,3),-0.279885 # DEPENDENCYPART_ARC
(6,4),0.629309 # DEPENDENCYPART_ARC
(6,5),0.783194 # DEPENDENCYPART_ARC
(6,7),-0.796353 # DEPENDENCYPART_ARC
(6,8),-0.595205 # DEPENDENCYPART_ARC
(6,9),-0.559042 # DEPENDENCYPART_ARC
(6,10),-2.48684 # DEPENDENCYPART_ARC
(6,11),-1.82854 # DEPENDENCYPART_ARC
(6,12),-2.27815 # DEPENDENCYPART_ARC
(6,13),-3.1444 # DEPENDENCYPART_ARC
(6,14),-2.48822 # DEPENDENCYPART_ARC
(6,15),-2.38494 # DEPENDENCYPART_ARC
(6,16),-1.88096 # DEPENDENCYPART_ARC
(6,17),-1.91074 # DEPENDENCYPART_ARC
(6,18),-2.15335 # DEPENDENCYPART_ARC
(6,19),-1.21143 # DEPENDENCYPART_ARC
(6,20),-0.387197 # DEPENDENCYPART_ARC
(6,21),-2.36707 # DEPENDENCYPART_ARC
(6,22),-3.3036 # DEPENDENCYPART_ARC
(6,23),-2.94178 # DEPENDENCYPART_ARC
(6,24),-2.69669 # DEPENDENCYPART_ARC
(6,25),-1.81381 # DEPENDENCYPART_ARC
(7,1),-1.40729 # DEPENDENCYPART_ARC
(7,2),-0.223309 # DEPENDENCYPART_ARC
(7,3),-1.71347 # DEPENDENCYPART_ARC
(7,4),0.0640812 # DEPENDENCYPART_ARC
(7,5),-0.813529 # DEPENDENCYPART_ARC
(7,6),2.48629 # DEPENDENCYPART_ARC
(7,8),0.278735 # DEPENDENCYPART_ARC
(7,9),-0.375931 # DEPENDENCYPART_ARC
(7,10),-2.02415 # DEPENDENCYPART_ARC
(7,11),-1.41303 # DEPENDENCYPART_ARC
(7,12),-1.87681 # DEPENDENCYPART_ARC
(7,13),-2.08941 # DEPENDENCYPART_ARC
(7,14),-2.13644 # DEPENDENCYPART_ARC
(7,15),-3.45008 # DEPENDENCYPART_ARC
(7,16),-0.74949 # DEPENDENCYPART_ARC
(7,17),-2.15971 # DEPENDENCYPART_ARC
(7,18),-2.22446 # DEPENDENCYPART_ARC
(7,19),-1.73418 # DEPENDENCYPART_ARC
(7,20),-1.79032 # DEPENDENCYPART_ARC
(7,21),-3.24458 # DEPENDENCYPART_ARC
(7,22),-2.98511 # DEPENDENCYPART_ARC
(7,23),-3.29888 # DEPENDENCYPART_ARC
(7,24),-2.52294 # DEPENDENCYPART_ARC
(7,25),-1.18562 # DEPENDENCYPART_ARC
(8,1),-1.57568 # DEPENDENCYPART_ARC
(8,2),-0.37855 # DEPENDENCYPART_ARC
(8,3),-0.660993 # DEPENDENCYPART_ARC
(8,4),0.127703 # DEPENDENCYPART_ARC
(8,5),-0.223429 # DEPENDENCYPART_ARC
(8,6),0.13675 # DEPENDENCYPART_ARC
(8,7),1.81419 # DEPENDENCYPART_ARC
(8,9),1.57142 # DEPENDENCYPART_ARC
(8,10),-0.867396 # DEPENDENCYPART_ARC
(8,11),-0.638672 # DEPENDENCYPART_ARC
(8,12),-1.40554 # DEPENDENCYPART_ARC
(8,13),-2.18169 # DEPENDENCYPART_ARC
(8,14),-0.543987 # DEPENDENCYPART_ARC
(8,15),-1.14991 # DEPENDENCYPART_ARC
(8,16),-1.00845 # DEPENDENCYPART_ARC
(8,17),-0.86958 # DEPENDENCYPART_ARC
(8,18),-1.2473 # DEPENDENCYPART_ARC
(8,19),-0.463288 # DEPENDENCYPART_ARC
(8,20),-0.591093 # DEPENDENCYPART_ARC
(8,21),-1.7518 # DEPENDENCYPART_ARC
(8,22),-2.14345 # DEPENDENCYPART_ARC
(8,23),-1.90509 # DEPENDENCYPART_ARC
(8,24),-1.41623 # DEPENDENCYPART_ARC
(8,25),-1.10164 # DEPENDENCYPART_ARC
(9,2),-1.14545 # DEPENDENCYPART_ARC
(9,3),-1.40381 # DEPENDENCYPART_ARC
(9,4),-0.787012 # DEPENDENCYPART_ARC
(9,5),-1.18327 # DEPENDENCYPART_ARC
(9,6),-0.553632 # DEPENDENCYPART_ARC
(9,7),-0.551373 # DEPENDENCYPART_ARC
(9,8),-0.0623024 # DEPENDENCYPART_ARC
(9,10),-0.619431 # DEPENDENCYPART_ARC
(9,11),-1.26441 # DEPENDENCYPART_ARC
(9,12),-0.965153 # DEPENDENCYPART_ARC
(9,14),-1.13971 # DEPENDENCYPART_ARC
(9,15),-1.26771 # DEPENDENCYPART_ARC
(9,16),-0.548369 # DEPENDENCYPART_ARC
(9,17),-1.43943 # DEPENDENCYPART_ARC
(9,18),-1.20586 # DEPENDENCYPART_ARC
(9,20),-1.81643 # DEPENDENCYPART_ARC
(9,22),-2.41284 # DEPENDENCYPART_ARC
(9,23),-1.31078 # DEPENDENCYPART_ARC
(9,24),-2.1216 # DEPENDENCYPART_ARC
(10,1),-2.35861 # DEPENDENCYPART_ARC
(10,2),-2.04563 # DEPENDENCYPART_ARC
(10,3),-3.59284 # DEPENDENCYPART_ARC
(10,4),-1.34214 # DEPENDENCYPART_ARC
(10,5),-3.26405 # DEPENDENCYPART_ARC
(10,6),-1.11786 # DEPENDENCYPART_ARC
(10,7),-4.79467 # DEPENDENCYPART_ARC
(10,8),-1.53457 # DEPENDENCYPART_ARC
(10,9),-0.407372 # DEPENDENCYPART_ARC
(10,11),-0.906988 # DEPENDENCYPART_ARC
(10,12),-2.65872 # DEPENDENCYPART_ARC
(10,13),-1.9614 # DEPENDENCYPART_ARC
(10,14),-2.28583 # DEPENDENCYPART_ARC
(10,15),-3.55599 # DEPENDENCYPART_ARC
(10,16),-2.12702 # DEPENDENCYPART_ARC
(10,17),-3.25369 # DEPENDENCYPART_ARC
(10,18),-2.55513 # DEPENDENCYPART_ARC
(10,19),-1.78344 # DEPENDENCYPART_ARC
(10,20),-2.12571 # DEPENDENCYPART_ARC
(10,21),-3.18899 # DEPENDENCYPART_ARC
(10,22),-4.37931 # DEPENDENCYPART_ARC
(10,23),-3.30647 # DEPENDENCYPART_ARC
(10,24),-3.19829 # DEPENDENCYPART_ARC
(10,25),-1.18853 # DEPENDENCYPART_ARC
(11,1),-2.0837 # DEPENDENCYPART_ARC
(11,2),-1.37907 # DEPENDENCYPART_ARC
(11,3),-2.61657 # DEPENDENCYPART_ARC
(11,4),-0.819265 # DEPENDENCYPART_ARC
(11,5),-2.55008 # DEPENDENCYPART_ARC
(11,6),-1.15093 # DEPENDENCYPART_ARC
(11,7),-1.91646 # DEPENDENCYPART_ARC
(11,8),-0.877044 # DEPENDENCYPART_ARC
(11,9),-1.10047 # DEPENDENCYPART_ARC
(11,10),1.44698 # DEPENDENCYPART_ARC
(11,12),2.23472 # DEPENDENCYPART_ARC
(11,13),-0.0564677 # DEPENDENCYPART_ARC
(11,14),-0.372164 # DEPENDENCYPART_ARC
(11,15),-0.785536 # DEPENDENCYPART_ARC
(11,16),-0.549085 # DEPENDENCYPART_ARC
(11,17),-1.2671 # DEPENDENCYPART_ARC
(11,18),-1.25108 # DEPENDENCYPART_ARC
(11,19),-1.19722 # DEPENDENCYPART_ARC
(11,20),-0.748647 # DEPENDENCYPART_ARC
(11,21),-0.899811 # DEPENDENCYPART_ARC
(11,22),-1.73148 # DEPENDENCYPART_ARC
(11,23),-1.7142 # DEPENDENCYPART_ARC
(11,24),-1.52411 # DEPENDENCYPART_ARC
(11,25),-0.92911 # DEPENDENCYPART_ARC
(12,1),-2.11452 # DEPENDENCYPART_ARC
(12,2),-2.34637 # DEPENDENCYPART_ARC
(12,4),-1.46683 # DEPENDENCYPART_ARC
(12,6),-1.312 # DEPENDENCYPART_ARC
(12,7),-1.6441 # DEPENDENCYPART_ARC
(12,8),-1.60026 # DEPENDENCYPART_ARC
(12,9),-1.31004 # DEPENDENCYPART_ARC
(12,10),-0.88821 # DEPENDENCYPART_ARC
(12,11),-0.521938 # DEPENDENCYPART_ARC
(12,13),0.273984 # DEPENDENCYPART_ARC
(12,14),-1.69863 # DEPENDENCYPART_ARC
(12,15),-1.82842 # DEPENDENCYPART_ARC
(12,16),-1.95471 # DEPENDENCYPART_ARC
(12,17),-1.77633 # DEPENDENCYPART_ARC
(12,19),-1.11222 # DEPENDENCYPART_ARC
(12,20),-1.32024 # DEPENDENCYPART_ARC
(12,21),-1.6847 # DEPENDENCYPART_ARC
(12,22),-2.40039 # DEPENDENCYPART_ARC
(12,24),-2.82986 # DEPENDENCYPART_ARC
(12,25),-1.63923 # DEPENDENCYPART_ARC
(13,1),-2.68845 # DEPENDENCYPART_ARC
(13,2),-2.56751 # DEPENDENCYPART_ARC
(13,3),-2.97019 # DEPENDENCYPART_ARC
(13,4),-1.65713 # DEPENDENCYPART_ARC
(13,5),-2.85615 # DEPENDENCYPART_ARC
(13,6),-1.9479 # DEPENDENCYPART_ARC
(13,7),-6.31071 # DEPENDENCYPART_ARC
(13,8),-3.01679 # DEPENDENCYPART_ARC
(13,9),-1.95903 # DEPENDENCYPART_ARC
(13,10),-1.09946 # DEPENDENCYPART_ARC
(13,11),-0.633053 # DEPENDENCYPART_ARC
(13,12),-1.75696 # DEPENDENCYPART_ARC
(13,14),-1.19772 # DEPENDENCYPART_ARC
(13,15),-2.88821 # DEPENDENCYPART_ARC
(13,16),-1.90253 # DEPENDENCYPART_ARC
(13,17),-2.83784 # DEPENDENCYPART_ARC
(13,19),-1.77891 # DEPENDENCYPART_ARC
(13,20),-2.08661 # DEPENDENCYPART_ARC
(13,21),-3.88835 # DEPENDENCYPART_ARC
(13,22),-4.11341 # DEPENDENCYPART_ARC
(13,24),-3.05127 # DEPENDENCYPART_ARC
(13,25),-1.57123 # DEPENDENCYPART_ARC
(14,1),-2.25545 # DEPENDENCYPART_ARC
(14,2),-1.84948 # DEPENDENCYPART_ARC
(14,3),-3.3748 # DEPENDENCYPART_ARC
(14,4),-0.906049 # DEPENDENCYPART_ARC
(14,5),-3.1604 # DEPENDENCYPART_ARC
(14,6),-0.402328 # DEPENDENCYPART_ARC
(14,7),-4.40474 # DEPENDENCYPART_ARC
(14,8),-1.64571 # DEPENDENCYPART_ARC
(14,9),-1.71506 # DEPENDENCYPART_ARC
(14,10),0.308681 # DEPENDENCYPART_ARC
(14,11),-0.311093 # DEPENDENCYPART_ARC
(14,12),-1.50699 # DEPENDENCYPART_ARC
(14,13),1.62186 # DEPENDENCYPART_ARC
(14,15),-1.77825 # DEPENDENCYPART_ARC
(14,16),-1.17969 # DEPENDENCYPART_ARC
(14,17),-2.42229 # DEPENDENCYPART_ARC
(14,18),-2.49481 # DEPENDENCYPART_ARC
(14,19),-1.47202 # DEPENDENCYPART_ARC
(14,20),-1.58918 # DEPENDENCYPART_ARC
(14,21),-2.9198 # DEPENDENCYPART_ARC
(14,22),-3.60862 # DEPENDENCYPART_ARC
(14,23),-3.41767 # DEPENDENCYPART_ARC
(14,24),-2.67181 # DEPENDENCYPART_ARC
(14,25),-1.29105 # DEPENDENCYPART_ARC
(15,1),-2.14484 # DEPENDENCYPART_ARC
(15,2),-1.77715 # DEPENDENCYPART_ARC
(15,3),-2.87092 # DEPENDENCYPART_ARC
(15,4),-0.875789 # DEPENDENCYPART_ARC
(15,5),-2.65862 # DEPENDENCYPART_ARC
(15,6),-1.13857 # DEPENDENCYPART_ARC
(15,7),-3.57761 # DEPENDENCYPART_ARC
(15,8),-1.67019 # DEPENDENCYPART_ARC
(15,9),-1.76177 # DEPENDENCYPART_ARC
(15,10),0.116707 # DEPENDENCYPART_ARC
(15,11),-0.719351 # DEPENDENCYPART_ARC
(15,12),-3.37902 # DEPENDENCYPART_ARC
(15,13),0.337921 # DEPENDENCYPART_ARC
(15,14),-0.602604 # DEPENDENCYPART_ARC
(15,16),-0.0127933 # DEPENDENCYPART_ARC
(15,17),-2.2252 # DEPENDENCYPART_ARC
(15,18),-1.62496 # DEPENDENCYPART_ARC
(15,19),-0.840635 # DEPENDENCYPART_ARC
(15,20),-1.24691 # DEPENDENCYPART_ARC
(15,21),-1.95093 # DEPENDENCYPART_ARC
(15,22),-3.54691 # DEPENDENCYPART_ARC
(15,23),-2.57948 # DEPENDENCYPART_ARC
(15,24),-2.18067 # DEPENDENCYPART_ARC
(15,25),-0.796151 # DEPENDENCYPART_ARC
(16,1),-1.23563 # DEPENDENCYPART_ARC
(16,2),-0.862588 # DEPENDENCYPART_ARC
(16,3),-1.12341 # DEPENDENCYPART_ARC
(16,4),-0.183752 # DEPENDENCYPART_ARC
(16,5),-1.02349 # DEPENDENCYPART_ARC
(16,6),-0.973609 # DEPENDENCYPART_ARC
(16,7),0.592938 # DEPENDENCYPART_ARC
(16,8),-0.476939 # DEPENDENCYPART_ARC
(16,9),-1.88956 # DEPENDENCYPART_ARC
(16,10),-0.122655 # DEPENDENCYPART_ARC
(16,11),0.131335 # DEPENDENCYPART_ARC
(16,12),-0.16397 # DEPENDENCYPART_ARC
(16,13),-0.591969 # DEPENDENCYPART_ARC
(16,14),1.55216 # DEPENDENCYPART_ARC
(16,15),2.21258 # DEPENDENCYPART_ARC
(16,17),0.920812 # DEPENDENCYPART_ARC
(16,18),0.772435 # DEPENDENCYPART_ARC
(16,19),-0.847416 # DEPENDENCYPART_ARC
(16,20),-0.49005 # DEPENDENCYPART_ARC
(16,21),-1.12171 # DEPENDENCYPART_ARC
(16,22),-0.983226 # DEPENDENCYPART_ARC
(16,23),-0.892739 # DEPENDENCYPART_ARC
(16,24),-0.940544 # DEPENDENCYPART_ARC
(16,25),-1.10154 # DEPENDENCYPART_ARC
(17,1),-1.30914 # DEPENDENCYPART_ARC
(17,2),-0.333339 # DEPENDENCYPART_ARC
(17,3),-1.04065 # DEPENDENCYPART_ARC
(17,4),0.0864227 # DEPENDENCYPART_ARC
(17,5),-0.924401 # DEPENDENCYPART_ARC
(17,6),-0.739123 # DEPENDENCYPART_ARC
(17,7),0.257447 # DEPENDENCYPART_ARC
(17,8),0.260584 # DEPENDENCYPART_ARC
(17,9),-1.61216 # DEPENDENCYPART_ARC
(17,10),0.278161 # DEPENDENCYPART_ARC
(17,11),0.178824 # DEPENDENCYPART_ARC
(17,12),-0.631262 # DEPENDENCYPART_ARC
(17,13),-0.510085 # DEPENDENCYPART_ARC
(17,14),1.1842 # DEPENDENCYPART_ARC
(17,15),0.52481 # DEPENDENCYPART_ARC
(17,16),1.55368 # DEPENDENCYPART_ARC
(17,18),1.69305 # DEPENDENCYPART_ARC
(17,19),-0.201751 # DEPENDENCYPART_ARC
(17,20),-0.222529 # DEPENDENCYPART_ARC
(17,21),-0.591919 # DEPENDENCYPART_ARC
(17,22),-0.108213 # DEPENDENCYPART_ARC
(17,23),-0.571299 # DEPENDENCYPART_ARC
(17,24),0.192514 # DEPENDENCYPART_ARC
(17,25),-0.743355 # DEPENDENCYPART_ARC
(18,1),-1.08941 # DEPENDENCYPART_ARC
(18,2),-0.653321 # DEPENDENCYPART_ARC
(18,3),-1.99555 # DEPENDENCYPART_ARC
(18,4),-0.623293 # DEPENDENCYPART_ARC
(18,5),-1.88797 # DEPENDENCYPART_ARC
(18,6),-1.21698 # DEPENDENCYPART_ARC
(18,7),-0.816241 # DEPENDENCYPART_ARC
(18,8),-1.78567 # DEPENDENCYPART_ARC
(18,9),-1.8791 # DEPENDENCYPART_ARC
(18,10),-0.80471 # DEPENDENCYPART_ARC
(18,11),-0.78144 # DEPENDENCYPART_ARC
(18,12),-0.789601 # DEPENDENCYPART_ARC
(18,13),-1.10277 # DEPENDENCYPART_ARC
(18,14),-0.922019 # DEPENDENCYPART_ARC
(18,15),-0.622056 # DEPENDENCYPART_ARC
(18,16),-1.54978 # DEPENDENCYPART_ARC
(18,17),-0.970994 # DEPENDENCYPART_ARC
(18,19),1.51906 # DEPENDENCYPART_ARC
(18,20),-1.24637 # DEPENDENCYPART_ARC
(18,21),-1.50854 # DEPENDENCYPART_ARC
(18,22),-2.10558 # DEPENDENCYPART_ARC
(18,23),-1.39131 # DEPENDENCYPART_ARC
(18,24),-2.15464 # DEPENDENCYPART_ARC
(18,25),-1.123 # DEPENDENCYPART_ARC
(19,2),-1.33659 # DEPENDENCYPART_ARC
(19,3),-1.74964 # DEPENDENCYPART_ARC
(19,4),-1.03218 # DEPENDENCYPART_ARC
(19,5),-1.72551 # DEPENDENCYPART_ARC
(19,6),-1.12752 # DEPENDENCYPART_ARC
(19,7),-1.15727 # DEPENDENCYPART_ARC
(19,8),-1.42778 # DEPENDENCYPART_ARC
(19,10),-1.13178 # DEPENDENCYPART_ARC
(19,11),-1.07465 # DEPENDENCYPART_ARC
(19,12),-1.74061 # DEPENDENCYPART_ARC
(19,14),-0.955661 # DEPENDENCYPART_ARC
(19,15),-0.856863 # DEPENDENCYPART_ARC
(19,16),-0.68634 # DEPENDENCYPART_ARC
(19,17),-0.560708 # DEPENDENCYPART_ARC
(19,18),-0.325134 # DEPENDENCYPART_ARC
(19,20),-0.448897 # DEPENDENCYPART_ARC
(19,22),-0.773916 # DEPENDENCYPART_ARC
(19,23),-1.17546 # DEPENDENCYPART_ARC
(19,24),-1.62458 # DEPENDENCYPART_ARC
(20,1),-1.30847 # DEPENDENCYPART_ARC
(20,2),-2.13873 # DEPENDENCYPART_ARC
(20,3),-2.36079 # DEPENDENCYPART_ARC
(20,4),-0.447168 # DEPENDENCYPART_ARC
(20,5),-2.4076 # DEPENDENCYPART_ARC
(20,6),-1.22127 # DEPENDENCYPART_ARC
(20,7),-1.42363 # DEPENDENCYPART_ARC
(20,8),-0.913295 # DEPENDENCYPART_ARC
(20,9),-2.01826 # DEPENDENCYPART_ARC
(20,10),-1.76198 # DEPENDENCYPART_ARC
(20,11),-1.14163 # DEPENDENCYPART_ARC
(20,12),-1.16865 # DEPENDENCYPART_ARC
(20,13),-1.39799 # DEPENDENCYPART_ARC
(20,14),-1.91968 # DEPENDENCYPART_ARC
(20,15),-0.952741 # DEPENDENCYPART_ARC
(20,16),0.198516 # DEPENDENCYPART_ARC
(20,17),1.24302 # DEPENDENCYPART_ARC
(20,18),-0.466527 # DEPENDENCYPART_ARC
(20,19),-0.362839 # DEPENDENCYPART_ARC
(20,21),-0.0326312 # DEPENDENCYPART_ARC
(20,22),0.891265 # DEPENDENCYPART_ARC
(20,23),-0.139448 # DEPENDENCYPART_ARC
(20,24),-0.168602 # DEPENDENCYPART_ARC
(20,25),-0.529636 # DEPENDENCYPART_ARC
(21,2),-2.88425 # DEPENDENCYPART_ARC
(21,4),-2.03772 # DEPENDENCYPART_ARC
(21,6),-2.11691 # DEPENDENCYPART_ARC
(21,7),-2.50116 # DEPENDENCYPART_ARC
(21,8),-2.79742 # DEPENDENCYPART_ARC
(21,9),-2.24537 # DEPENDENCYPART_ARC
(21,10),-2.62512 # DEPENDENCYPART_ARC
(21,11),-2.51845 # DEPENDENCYPART_ARC
(21,12),-1.94423 # DEPENDENCYPART_ARC
(21,14),-1.92301 # DEPENDENCYPART_ARC
(21,15),-1.82664 # DEPENDENCYPART_ARC
(21,16),-2.19358 # DEPENDENCYPART_ARC
(21,17),-2.09547 # DEPENDENCYPART_ARC
(21,19),-1.30064 # DEPENDENCYPART_ARC
(21,20),-0.387609 # DEPENDENCYPART_ARC
(21,22),-0.308436 # DEPENDENCYPART_ARC
(21,24),-1.27617 # DEPENDENCYPART_ARC
(21,25),-0.705883 # DEPENDENCYPART_ARC
(22,1),-2.70663 # DEPENDENCYPART_ARC
(22,2),-1.4041 # DEPENDENCYPART_ARC
(22,3),-1.80102 # DEPENDENCYPART_ARC
