# _root_ cgtko jean_marc_philipo idazkariak , aldiz , begi_onez hartu zituen zerga murrizkeak .
#goldHeads=3,3,8,3,0,5,8,0,8,11,0,11,
#predictedHeads=3,3,8,3,0,5,8,0,8,11,8,11,
(5,3),-1.22414 # DEPENDENCYPART_ARC
(5,4),0.441225 # DEPENDENCYPART_ARC
(5,6),1.45023 # DEPENDENCYPART_ARC
(5,8),-0.416664 # DEPENDENCYPART_ARC
(5,10),-1.84428 # DEPENDENCYPART_ARC
(5,11),-1.53303 # DEPENDENCYPART_ARC
(5,12),-0.719319 # DEPENDENCYPART_ARC
(6,3),-1.19868 # DEPENDENCYPART_ARC
(6,8),-1.12414 # DEPENDENCYPART_ARC
(6,9),-1.07021 # DEPENDENCYPART_ARC
(6,10),-1.5314 # DEPENDENCYPART_ARC
(6,11),-1.49118 # DEPENDENCYPART_ARC
(7,1),-0.880135 # DEPENDENCYPART_ARC
(7,2),-1.07678 # DEPENDENCYPART_ARC
(7,3),-1.12 # DEPENDENCYPART_ARC
(7,4),-0.631802 # DEPENDENCYPART_ARC
(7,5),-0.415066 # DEPENDENCYPART_ARC
(7,6),0.219616 # DEPENDENCYPART_ARC
(7,8),-0.287442 # DEPENDENCYPART_ARC
(7,9),-0.33981 # DEPENDENCYPART_ARC
(7,10),-0.750804 # DEPENDENCYPART_ARC
(7,11),-1.29494 # DEPENDENCYPART_ARC
(7,12),-0.407443 # DEPENDENCYPART_ARC
(8,1),-1.27809 # DEPENDENCYPART_ARC
(8,2),-0.329844 # DEPENDENCYPART_ARC
(8,3),0.40765 # DEPENDENCYPART_ARC
(8,4),-1.03311 # DEPENDENCYPART_ARC
(8,5),-0.296023 # DEPENDENCYPART_ARC
(8,6),-0.871787 # DEPENDENCYPART_ARC
(8,7),1.146 # DEPENDENCYPART_ARC
(8,9),1.73417 # DEPENDENCYPART_ARC
(8,10),0.276162 # DEPENDENCYPART_ARC
(8,11),1.073 # DEPENDENCYPART_ARC
(8,12),-0.159075 # DEPENDENCYPART_ARC
(9,1),-1.42 # DEPENDENCYPART_ARC
(9,2),-1.26061 # DEPENDENCYPART_ARC
(9,3),-1.73159 # DEPENDENCYPART_ARC
(9,4),-1.77885 # DEPENDENCYPART_ARC
(9,5),-1.45606 # DEPENDENCYPART_ARC
(9,6),-1.40593 # DEPENDENCYPART_ARC
(9,7),-1.00838 # DEPENDENCYPART_ARC
(9,8),-1.23585 # DEPENDENCYPART_ARC
(9,10),-0.754705 # DEPENDENCYPART_ARC
(9,11),-0.0359488 # DEPENDENCYPART_ARC
(9,12),-0.944104 # DEPENDENCYPART_ARC
(10,1),-1.91232 # DEPENDENCYPART_ARC
(10,2),-1.74379 # DEPENDENCYPART_ARC
(10,3),-1.68604 # DEPENDENCYPART_ARC
(10,4),-1.57644 # DEPENDENCYPART_ARC
(10,5),-1.11218 # DEPENDENCYPART_ARC
(10,6),-1.34397 # DEPENDENCYPART_ARC
(10,7),-0.991797 # DEPENDENCYPART_ARC
(10,8),0.685504 # DEPENDENCYPART_ARC
(10,9),-0.0568914 # DEPENDENCYPART_ARC
(10,11),0.870624 # DEPENDENCYPART_ARC
(10,12),0.0615827 # DEPENDENCYPART_ARC
(11,1),-2.85169 # DEPENDENCYPART_ARC
(11,2),-1.43434 # DEPENDENCYPART_ARC
(11,3),-1.83357 # DEPENDENCYPART_ARC
(11,4),-0.905546 # DEPENDENCYPART_ARC
(11,5),-0.649155 # DEPENDENCYPART_ARC
(11,6),-1.09094 # DEPENDENCYPART_ARC
(11,7),0.304933 # DEPENDENCYPART_ARC
(11,8),-0.660565 # DEPENDENCYPART_ARC
(11,9),-1.4831 # DEPENDENCYPART_ARC
(11,10),2.18503 # DEPENDENCYPART_ARC
(11,12),1.64608 # DEPENDENCYPART_ARC
(12,1),-1.80975 # DEPENDENCYPART_ARC
(12,2),-1.55259 # DEPENDENCYPART_ARC
(12,3),-1.80272 # DEPENDENCYPART_ARC
(12,4),-1.5082 # DEPENDENCYPART_ARC
(12,6),-1.38268 # DEPENDENCYPART_ARC
(12,8),-1.38123 # DEPENDENCYPART_ARC
(12,10),-0.793925 # DEPENDENCYPART_ARC
(12,11),-0.557364 # DEPENDENCYPART_ARC
