# _root_ haren ustez , eaj eta eaeko gobernua dira askatasun faltaren arduradunak , " etak finkatutako ildoak jarraitzen dituztelako " .
#goldHeads=2,8,2,5,7,5,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
#predictedHeads=2,8,2,5,8,5,8,0,10,11,5,11,12,15,16,17,8,17,18,19,
(4,13),-1.65774 # DEPENDENCYPART_ARC
(4,14),-3.09017 # DEPENDENCYPART_ARC
(4,15),-1.97294 # DEPENDENCYPART_ARC
(4,16),-2.4592 # DEPENDENCYPART_ARC
(4,17),-2.35603 # DEPENDENCYPART_ARC
(4,18),-4.50524 # DEPENDENCYPART_ARC
(4,19),-1.9679 # DEPENDENCYPART_ARC
(4,20),-1.64873 # DEPENDENCYPART_ARC
(5,1),-0.784664 # DEPENDENCYPART_ARC
(5,2),-0.23031 # DEPENDENCYPART_ARC
(5,3),-0.990707 # DEPENDENCYPART_ARC
(5,4),3.61455 # DEPENDENCYPART_ARC
(5,6),2.41314 # DEPENDENCYPART_ARC
(5,7),1.18371 # DEPENDENCYPART_ARC
(5,8),0.292799 # DEPENDENCYPART_ARC
(5,9),-0.626581 # DEPENDENCYPART_ARC
(5,10),-0.52036 # DEPENDENCYPART_ARC
(5,11),0.283581 # DEPENDENCYPART_ARC
(5,12),-1.18964 # DEPENDENCYPART_ARC
(5,13),-1.116 # DEPENDENCYPART_ARC
(5,14),-0.287217 # DEPENDENCYPART_ARC
(5,15),-1.38385 # DEPENDENCYPART_ARC
(5,16),-0.388877 # DEPENDENCYPART_ARC
(5,17),-1.03764 # DEPENDENCYPART_ARC
(5,18),-0.942057 # DEPENDENCYPART_ARC
(5,19),-1.51797 # DEPENDENCYPART_ARC
(5,20),-1.86857 # DEPENDENCYPART_ARC
(6,1),-2.5156 # DEPENDENCYPART_ARC
(6,2),-2.82392 # DEPENDENCYPART_ARC
(6,3),-2.76102 # DEPENDENCYPART_ARC
(6,4),-5.09472 # DEPENDENCYPART_ARC
(6,5),-1.4448 # DEPENDENCYPART_ARC
(6,7),-0.512569 # DEPENDENCYPART_ARC
(6,8),-2.01327 # DEPENDENCYPART_ARC
(6,9),-2.09563 # DEPENDENCYPART_ARC
(6,10),-1.56286 # DEPENDENCYPART_ARC
(6,11),-1.59028 # DEPENDENCYPART_ARC
(6,12),-1.57229 # DEPENDENCYPART_ARC
(6,13),-1.88654 # DEPENDENCYPART_ARC
(6,14),-2.88679 # DEPENDENCYPART_ARC
(6,15),-3.14605 # DEPENDENCYPART_ARC
(6,16),-2.39664 # DEPENDENCYPART_ARC
(6,17),-3.20337 # DEPENDENCYPART_ARC
(6,18),-4.87289 # DEPENDENCYPART_ARC
(6,19),-2.52073 # DEPENDENCYPART_ARC
(6,20),-1.97579 # DEPENDENCYPART_ARC
(7,1),-0.893381 # DEPENDENCYPART_ARC
(7,2),-0.527689 # DEPENDENCYPART_ARC
(7,3),-0.826545 # DEPENDENCYPART_ARC
(7,4),-0.515072 # DEPENDENCYPART_ARC
(7,5),0.773406 # DEPENDENCYPART_ARC
(7,6),2.21183 # DEPENDENCYPART_ARC
(7,8),-0.923496 # DEPENDENCYPART_ARC
(7,9),-0.954924 # DEPENDENCYPART_ARC
(7,10),-1.33158 # DEPENDENCYPART_ARC
(7,11),-1.59307 # DEPENDENCYPART_ARC
(7,12),-1.24557 # DEPENDENCYPART_ARC
(7,13),-1.47061 # DEPENDENCYPART_ARC
(7,14),-2.1755 # DEPENDENCYPART_ARC
(7,15),-1.9039 # DEPENDENCYPART_ARC
(7,16),-1.81316 # DEPENDENCYPART_ARC
(7,17),-2.13035 # DEPENDENCYPART_ARC
(7,18),-3.16661 # DEPENDENCYPART_ARC
(7,19),-1.97542 # DEPENDENCYPART_ARC
(7,20),-1.86141 # DEPENDENCYPART_ARC
(8,1),-0.930635 # DEPENDENCYPART_ARC
(8,2),0.306643 # DEPENDENCYPART_ARC
(8,3),-0.415308 # DEPENDENCYPART_ARC
(8,4),-0.194156 # DEPENDENCYPART_ARC
(8,5),1.38579 # DEPENDENCYPART_ARC
(8,6),-0.0345843 # DEPENDENCYPART_ARC
(8,7),2.15748 # DEPENDENCYPART_ARC
(8,9),0.8174 # DEPENDENCYPART_ARC
(8,10),-0.828392 # DEPENDENCYPART_ARC
(8,11),-0.0441897 # DEPENDENCYPART_ARC
(8,12),-0.334713 # DEPENDENCYPART_ARC
(8,13),-0.389975 # DEPENDENCYPART_ARC
(8,14),-1.82995 # DEPENDENCYPART_ARC
(8,15),-0.641049 # DEPENDENCYPART_ARC
(8,16),-1.28487 # DEPENDENCYPART_ARC
(8,17),-0.287308 # DEPENDENCYPART_ARC
(8,18),0.0472211 # DEPENDENCYPART_ARC
(8,19),-0.826812 # DEPENDENCYPART_ARC
(8,20),-0.948325 # DEPENDENCYPART_ARC
(9,1),-2.09006 # DEPENDENCYPART_ARC
(9,2),-1.49452 # DEPENDENCYPART_ARC
(9,3),-1.70045 # DEPENDENCYPART_ARC
(9,4),-1.53392 # DEPENDENCYPART_ARC
(9,5),-0.64079 # DEPENDENCYPART_ARC
(9,6),-0.82662 # DEPENDENCYPART_ARC
(9,7),-1.05264 # DEPENDENCYPART_ARC
(9,8),-0.385248 # DEPENDENCYPART_ARC
(9,10),1.505 # DEPENDENCYPART_ARC
(9,11),0.173432 # DEPENDENCYPART_ARC
(9,12),-0.364919 # DEPENDENCYPART_ARC
(9,13),-0.713495 # DEPENDENCYPART_ARC
(9,14),-0.823011 # DEPENDENCYPART_ARC
(9,15),-0.267757 # DEPENDENCYPART_ARC
(9,16),-0.543978 # DEPENDENCYPART_ARC
(9,17),-0.909488 # DEPENDENCYPART_ARC
(9,18),-1.54987 # DEPENDENCYPART_ARC
(9,19),-1.08527 # DEPENDENCYPART_ARC
(9,20),-0.799682 # DEPENDENCYPART_ARC
(10,1),-1.56439 # DEPENDENCYPART_ARC
(10,2),-1.11311 # DEPENDENCYPART_ARC
(10,3),-1.47988 # DEPENDENCYPART_ARC
(10,4),-1.01115 # DEPENDENCYPART_ARC
(10,5),-0.0493948 # DEPENDENCYPART_ARC
(10,6),0.410559 # DEPENDENCYPART_ARC
(10,7),-1.47997 # DEPENDENCYPART_ARC
(10,8),-1.96441 # DEPENDENCYPART_ARC
(10,9),1.57556 # DEPENDENCYPART_ARC
(10,11),0.127027 # DEPENDENCYPART_ARC
(10,12),-0.0539203 # DEPENDENCYPART_ARC
(10,13),-0.878734 # DEPENDENCYPART_ARC
(10,14),-1.71371 # DEPENDENCYPART_ARC
(10,15),-1.16077 # DEPENDENCYPART_ARC
(10,16),-0.995436 # DEPENDENCYPART_ARC
(10,17),-2.00228 # DEPENDENCYPART_ARC
(10,18),-2.08227 # DEPENDENCYPART_ARC
(10,19),-1.43213 # DEPENDENCYPART_ARC
(10,20),-1.23927 # DEPENDENCYPART_ARC
(11,1),-1.73821 # DEPENDENCYPART_ARC
(11,2),-1.20847 # DEPENDENCYPART_ARC
(11,3),-1.70437 # DEPENDENCYPART_ARC
(11,4),-1.2866 # DEPENDENCYPART_ARC
(11,5),0.159313 # DEPENDENCYPART_ARC
(11,6),0.0100376 # DEPENDENCYPART_ARC
(11,7),-1.05312 # DEPENDENCYPART_ARC
(11,8),-1.86533 # DEPENDENCYPART_ARC
(11,9),1.19938 # DEPENDENCYPART_ARC
(11,10),2.54457 # DEPENDENCYPART_ARC
(11,12),1.58615 # DEPENDENCYPART_ARC
(11,13),0.0515599 # DEPENDENCYPART_ARC
(11,14),-1.34102 # DEPENDENCYPART_ARC
(11,15),-1.14492 # DEPENDENCYPART_ARC
(11,16),-1.14119 # DEPENDENCYPART_ARC
(11,17),-1.31278 # DEPENDENCYPART_ARC
(11,18),-2.15415 # DEPENDENCYPART_ARC
(11,19),-0.951445 # DEPENDENCYPART_ARC
(11,20),-0.946997 # DEPENDENCYPART_ARC
(12,1),-1.90942 # DEPENDENCYPART_ARC
(12,2),-1.3284 # DEPENDENCYPART_ARC
(12,3),-1.64262 # DEPENDENCYPART_ARC
(12,4),-1.11576 # DEPENDENCYPART_ARC
(12,5),-0.754506 # DEPENDENCYPART_ARC
(12,6),-0.975286 # DEPENDENCYPART_ARC
(12,7),-0.986955 # DEPENDENCYPART_ARC
(12,8),-0.437383 # DEPENDENCYPART_ARC
(12,9),-0.584185 # DEPENDENCYPART_ARC
(12,10),-0.594466 # DEPENDENCYPART_ARC
(12,11),-0.343814 # DEPENDENCYPART_ARC
(12,13),1.90642 # DEPENDENCYPART_ARC
(12,14),-0.560963 # DEPENDENCYPART_ARC
(12,15),-0.409791 # DEPENDENCYPART_ARC
(12,16),-0.563567 # DEPENDENCYPART_ARC
(12,17),-0.707884 # DEPENDENCYPART_ARC
(12,18),-0.526152 # DEPENDENCYPART_ARC
(12,19),-0.158185 # DEPENDENCYPART_ARC
(12,20),-0.197842 # DEPENDENCYPART_ARC
(13,1),-1.99898 # DEPENDENCYPART_ARC
(13,2),-1.47956 # DEPENDENCYPART_ARC
(13,3),-1.60657 # DEPENDENCYPART_ARC
(13,4),-1.12005 # DEPENDENCYPART_ARC
(13,5),-1.09429 # DEPENDENCYPART_ARC
(13,6),-0.996988 # DEPENDENCYPART_ARC
(13,7),-1.05767 # DEPENDENCYPART_ARC
(13,8),-0.7731 # DEPENDENCYPART_ARC
(13,9),-0.847816 # DEPENDENCYPART_ARC
(13,10),-0.701908 # DEPENDENCYPART_ARC
(13,11),-0.997492 # DEPENDENCYPART_ARC
(13,12),-0.518042 # DEPENDENCYPART_ARC
(13,14),-0.901992 # DEPENDENCYPART_ARC
(13,15),-1.05579 # DEPENDENCYPART_ARC
(13,16),-1.36271 # DEPENDENCYPART_ARC
(13,17),-1.22386 # DEPENDENCYPART_ARC
(13,18),-0.657346 # DEPENDENCYPART_ARC
(13,19),-0.350545 # DEPENDENCYPART_ARC
(13,20),-0.508337 # DEPENDENCYPART_ARC
(14,1),-1.95 # DEPENDENCYPART_ARC
(14,2),-1.49116 # DEPENDENCYPART_ARC
(14,3),-1.76297 # DEPENDENCYPART_ARC
(14,4),-5.05932 # DEPENDENCYPART_ARC
(14,5),-0.899867 # DEPENDENCYPART_ARC
(14,6),-2.66225 # DEPENDENCYPART_ARC
(14,7),-3.67062 # DEPENDENCYPART_ARC
(14,8),-4.46611 # DEPENDENCYPART_ARC
(14,9),-1.86418 # DEPENDENCYPART_ARC
(14,10),-1.52675 # DEPENDENCYPART_ARC
(14,11),-2.95287 # DEPENDENCYPART_ARC
(14,12),-0.922135 # DEPENDENCYPART_ARC
(14,13),-0.241786 # DEPENDENCYPART_ARC
(14,15),-0.528505 # DEPENDENCYPART_ARC
(14,16),-0.968438 # DEPENDENCYPART_ARC
(14,17),-1.92106 # DEPENDENCYPART_ARC
(14,18),-3.66201 # DEPENDENCYPART_ARC
(14,19),-1.04165 # DEPENDENCYPART_ARC
(14,20),-1.01846 # DEPENDENCYPART_ARC
(15,1),-1.95866 # DEPENDENCYPART_ARC
(15,2),-0.309392 # DEPENDENCYPART_ARC
(15,3),-2.47891 # DEPENDENCYPART_ARC
(15,4),-0.891474 # DEPENDENCYPART_ARC
(15,5),-0.351104 # DEPENDENCYPART_ARC
(15,6),-1.36 # DEPENDENCYPART_ARC
(15,7),-0.66387 # DEPENDENCYPART_ARC
(15,8),-1.03197 # DEPENDENCYPART_ARC
(15,9),-0.803161 # DEPENDENCYPART_ARC
(15,10),-2.12796 # DEPENDENCYPART_ARC
(15,11),-0.527925 # DEPENDENCYPART_ARC
(15,12),-1.07868 # DEPENDENCYPART_ARC
(15,13),-1.34802 # DEPENDENCYPART_ARC
(15,14),2.82176 # DEPENDENCYPART_ARC
(15,16),-0.595095 # DEPENDENCYPART_ARC
(15,17),-1.01016 # DEPENDENCYPART_ARC
(15,18),-0.00268778 # DEPENDENCYPART_ARC
(15,19),-0.91608 # DEPENDENCYPART_ARC
(15,20),-1.06353 # DEPENDENCYPART_ARC
(16,1),-2.11122 # DEPENDENCYPART_ARC
(16,2),-1.10688 # DEPENDENCYPART_ARC
(16,3),-1.61454 # DEPENDENCYPART_ARC
(16,4),-2.5458 # DEPENDENCYPART_ARC
(16,5),-0.778192 # DEPENDENCYPART_ARC
(16,6),-1.79816 # DEPENDENCYPART_ARC
(16,7),-2.78119 # DEPENDENCYPART_ARC
(16,8),-3.05149 # DEPENDENCYPART_ARC
(16,9),-0.840665 # DEPENDENCYPART_ARC
(16,10),-0.316368 # DEPENDENCYPART_ARC
(16,11),-3.06313 # DEPENDENCYPART_ARC
(16,12),-1.15934 # DEPENDENCYPART_ARC
(16,13),-1.12544 # DEPENDENCYPART_ARC
(16,14),-1.33713 # DEPENDENCYPART_ARC
(16,15),2.58516 # DEPENDENCYPART_ARC
(16,17),-0.237941 # DEPENDENCYPART_ARC
(16,18),-1.32727 # DEPENDENCYPART_ARC
(16,19),-0.621858 # DEPENDENCYPART_ARC
(16,20),-0.775075 # DEPENDENCYPART_ARC
(17,1),-1.16244 # DEPENDENCYPART_ARC
(17,2),0.295311 # DEPENDENCYPART_ARC
(17,3),-2.18743 # DEPENDENCYPART_ARC
(17,4),-0.88196 # DEPENDENCYPART_ARC
(17,5),-0.0118467 # DEPENDENCYPART_ARC
(17,6),-1.48208 # DEPENDENCYPART_ARC
(17,7),-0.487641 # DEPENDENCYPART_ARC
(17,8),-0.605153 # DEPENDENCYPART_ARC
(17,9),-0.408205 # DEPENDENCYPART_ARC
(17,10),-1.72384 # DEPENDENCYPART_ARC
(17,11),0.261585 # DEPENDENCYPART_ARC
(17,12),-1.19653 # DEPENDENCYPART_ARC
(17,13),-1.21306 # DEPENDENCYPART_ARC
(17,14),1.69658 # DEPENDENCYPART_ARC
(17,15),0.476023 # DEPENDENCYPART_ARC
(17,16),2.40828 # DEPENDENCYPART_ARC
(17,18),2.344 # DEPENDENCYPART_ARC
(17,19),-0.173737 # DEPENDENCYPART_ARC
(17,20),-0.604416 # DEPENDENCYPART_ARC
(18,1),-1.73614 # DEPENDENCYPART_ARC
(18,2),-1.43139 # DEPENDENCYPART_ARC
(18,3),-2.03781 # DEPENDENCYPART_ARC
(18,4),-2.78999 # DEPENDENCYPART_ARC
(18,5),-1.48616 # DEPENDENCYPART_ARC
(18,6),-2.53037 # DEPENDENCYPART_ARC
(18,7),-1.82554 # DEPENDENCYPART_ARC
(18,8),-1.17813 # DEPENDENCYPART_ARC
(18,9),-1.4677 # DEPENDENCYPART_ARC
(18,10),-1.91055 # DEPENDENCYPART_ARC
(18,11),-1.97541 # DEPENDENCYPART_ARC
(18,12),-1.58588 # DEPENDENCYPART_ARC
(18,13),-1.54373 # DEPENDENCYPART_ARC
(18,14),-1.4801 # DEPENDENCYPART_ARC
(18,15),-1.37279 # DEPENDENCYPART_ARC
(18,16),-0.943005 # DEPENDENCYPART_ARC
(18,17),-1.13129 # DEPENDENCYPART_ARC
(18,19),2.03523 # DEPENDENCYPART_ARC
(18,20),0.25603 # DEPENDENCYPART_ARC
(19,1),-2.2031 # DEPENDENCYPART_ARC
(19,2),-1.7345 # DEPENDENCYPART_ARC
(19,3),-2.14997 # DEPENDENCYPART_ARC
(19,4),-1.33962 # DEPENDENCYPART_ARC
(19,5),-1.59277 # DEPENDENCYPART_ARC
(19,6),-1.25021 # DEPENDENCYPART_ARC
(19,7),-1.31299 # DEPENDENCYPART_ARC
(19,8),-1.56573 # DEPENDENCYPART_ARC
(19,9),-1.30049 # DEPENDENCYPART_ARC
(19,10),-1.25709 # DEPENDENCYPART_ARC
(19,11),-1.49712 # DEPENDENCYPART_ARC
(19,12),-1.78752 # DEPENDENCYPART_ARC
(19,13),-1.70693 # DEPENDENCYPART_ARC
(19,14),-1.25533 # DEPENDENCYPART_ARC
(19,15),-1.1716 # DEPENDENCYPART_ARC
(19,16),-0.899437 # DEPENDENCYPART_ARC
(19,17),-0.911752 # DEPENDENCYPART_ARC
(19,18),-0.354402 # DEPENDENCYPART_ARC
(19,20),2.01866 # DEPENDENCYPART_ARC
(20,1),-2.01177 # DEPENDENCYPART_ARC
(20,2),-1.41068 # DEPENDENCYPART_ARC
(20,3),-1.45172 # DEPENDENCYPART_ARC
(20,4),-1.7453 # DEPENDENCYPART_ARC
(20,5),-1.17549 # DEPENDENCYPART_ARC
(20,6),-1.57473 # DEPENDENCYPART_ARC
(20,7),-1.42417 # DEPENDENCYPART_ARC
(20,8),-1.53422 # DEPENDENCYPART_ARC
(20,9),-1.46817 # DEPENDENCYPART_ARC
(20,10),-1.26238 # DEPENDENCYPART_ARC
(20,11),-1.50897 # DEPENDENCYPART_ARC
(20,12),-1.35497 # DEPENDENCYPART_ARC
(20,13),-1.35567 # DEPENDENCYPART_ARC
(20,14),-0.946189 # DEPENDENCYPART_ARC
(20,15),-1.36347 # DEPENDENCYPART_ARC
(20,16),-0.705616 # DEPENDENCYPART_ARC
(20,17),-1.1009 # DEPENDENCYPART_ARC
(20,18),-0.801103 # DEPENDENCYPART_ARC
(20,19),-0.461833 # DEPENDENCYPART_ARC
