# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,17,17,18,13,18,18,20,
(15,6),-2.06614 # DEPENDENCYPART_ARC
(15,7),-1.7972 # DEPENDENCYPART_ARC
(15,8),-2.02685 # DEPENDENCYPART_ARC
(15,10),-1.77021 # DEPENDENCYPART_ARC
(15,12),-1.13115 # DEPENDENCYPART_ARC
(15,13),-0.738969 # DEPENDENCYPART_ARC
(15,14),0.168104 # DEPENDENCYPART_ARC
(15,16),0.047573 # DEPENDENCYPART_ARC
(15,17),-0.683218 # DEPENDENCYPART_ARC
(15,20),-0.765668 # DEPENDENCYPART_ARC
(15,21),-0.534862 # DEPENDENCYPART_ARC
(16,1),-2.28476 # DEPENDENCYPART_ARC
(16,2),-2.95478 # DEPENDENCYPART_ARC
(16,3),-3.50644 # DEPENDENCYPART_ARC
(16,4),-2.41778 # DEPENDENCYPART_ARC
(16,5),-1.65942 # DEPENDENCYPART_ARC
(16,6),-2.31964 # DEPENDENCYPART_ARC
(16,7),-1.28269 # DEPENDENCYPART_ARC
(16,8),-1.13201 # DEPENDENCYPART_ARC
(16,9),-2.63163 # DEPENDENCYPART_ARC
(16,10),-1.50239 # DEPENDENCYPART_ARC
(16,11),-1.74641 # DEPENDENCYPART_ARC
(16,12),-1.821 # DEPENDENCYPART_ARC
(16,13),-1.07415 # DEPENDENCYPART_ARC
(16,14),-1.12851 # DEPENDENCYPART_ARC
(16,15),0.61639 # DEPENDENCYPART_ARC
(16,17),1.16232 # DEPENDENCYPART_ARC
(16,18),-0.885737 # DEPENDENCYPART_ARC
(16,19),-1.25255 # DEPENDENCYPART_ARC
(16,20),-0.875939 # DEPENDENCYPART_ARC
(16,21),-0.733627 # DEPENDENCYPART_ARC
(17,1),-1.24535 # DEPENDENCYPART_ARC
(17,2),-2.40933 # DEPENDENCYPART_ARC
(17,3),-2.47596 # DEPENDENCYPART_ARC
(17,4),-1.42256 # DEPENDENCYPART_ARC
(17,5),-0.524002 # DEPENDENCYPART_ARC
(17,6),-2.28407 # DEPENDENCYPART_ARC
(17,7),-0.348415 # DEPENDENCYPART_ARC
(17,8),-0.503339 # DEPENDENCYPART_ARC
(17,9),-2.49451 # DEPENDENCYPART_ARC
(17,10),-0.477317 # DEPENDENCYPART_ARC
(17,11),-0.877832 # DEPENDENCYPART_ARC
(17,12),-1.09672 # DEPENDENCYPART_ARC
(17,13),-0.280177 # DEPENDENCYPART_ARC
(17,14),-1.43574 # DEPENDENCYPART_ARC
(17,15),1.33208 # DEPENDENCYPART_ARC
(17,16),2.04214 # DEPENDENCYPART_ARC
(17,18),-0.911582 # DEPENDENCYPART_ARC
(17,19),-0.915276 # DEPENDENCYPART_ARC
(17,20),-1.1282 # DEPENDENCYPART_ARC
(17,21),-0.998803 # DEPENDENCYPART_ARC
(18,1),-0.752049 # DEPENDENCYPART_ARC
(18,2),-0.84774 # DEPENDENCYPART_ARC
(18,3),-1.28905 # DEPENDENCYPART_ARC
(18,4),-1.84042 # DEPENDENCYPART_ARC
(18,5),-0.633297 # DEPENDENCYPART_ARC
(18,6),-0.849832 # DEPENDENCYPART_ARC
(18,7),-0.445387 # DEPENDENCYPART_ARC
(18,8),-0.585378 # DEPENDENCYPART_ARC
(18,9),-1.65373 # DEPENDENCYPART_ARC
(18,10),-0.739574 # DEPENDENCYPART_ARC
(18,11),-0.913766 # DEPENDENCYPART_ARC
(18,12),-1.32759 # DEPENDENCYPART_ARC
(18,13),-0.0205306 # DEPENDENCYPART_ARC
(18,14),0.245568 # DEPENDENCYPART_ARC
(18,15),-0.101922 # DEPENDENCYPART_ARC
(18,16),0.920497 # DEPENDENCYPART_ARC
(18,17),1.72622 # DEPENDENCYPART_ARC
(18,19),2.21008 # DEPENDENCYPART_ARC
(18,20),1.03256 # DEPENDENCYPART_ARC
(18,21),-0.0574753 # DEPENDENCYPART_ARC
(19,1),-1.46777 # DEPENDENCYPART_ARC
(19,2),-1.42399 # DEPENDENCYPART_ARC
(19,3),-1.8565 # DEPENDENCYPART_ARC
(19,4),-1.77249 # DEPENDENCYPART_ARC
(19,5),-1.49139 # DEPENDENCYPART_ARC
(19,6),-1.36386 # DEPENDENCYPART_ARC
(19,7),-1.75241 # DEPENDENCYPART_ARC
(19,8),-0.883996 # DEPENDENCYPART_ARC
(19,9),-2.10751 # DEPENDENCYPART_ARC
(19,10),-2.13057 # DEPENDENCYPART_ARC
(19,11),-1.16674 # DEPENDENCYPART_ARC
(19,12),-1.48742 # DEPENDENCYPART_ARC
(19,13),-1.44929 # DEPENDENCYPART_ARC
(19,14),-0.983548 # DEPENDENCYPART_ARC
(19,15),-0.972506 # DEPENDENCYPART_ARC
(19,16),-0.233654 # DEPENDENCYPART_ARC
(19,17),-0.588329 # DEPENDENCYPART_ARC
(19,18),-0.405153 # DEPENDENCYPART_ARC
(19,20),-0.222524 # DEPENDENCYPART_ARC
(19,21),-0.652226 # DEPENDENCYPART_ARC
(20,1),-1.31141 # DEPENDENCYPART_ARC
(20,2),-1.33489 # DEPENDENCYPART_ARC
(20,3),-1.04411 # DEPENDENCYPART_ARC
(20,4),-1.9004 # DEPENDENCYPART_ARC
(20,5),-1.63284 # DEPENDENCYPART_ARC
(20,6),-1.436 # DEPENDENCYPART_ARC
(20,7),-1.14414 # DEPENDENCYPART_ARC
(20,8),-1.45147 # DEPENDENCYPART_ARC
(20,9),-1.58234 # DEPENDENCYPART_ARC
(20,10),-1.10726 # DEPENDENCYPART_ARC
(20,11),-1.52788 # DEPENDENCYPART_ARC
(20,12),-1.43617 # DEPENDENCYPART_ARC
(20,13),-0.624935 # DEPENDENCYPART_ARC
(20,14),-1.70223 # DEPENDENCYPART_ARC
(20,15),-1.33288 # DEPENDENCYPART_ARC
(20,16),-1.03298 # DEPENDENCYPART_ARC
(20,17),-0.94205 # DEPENDENCYPART_ARC
(20,18),-0.309269 # DEPENDENCYPART_ARC
(20,19),-0.337682 # DEPENDENCYPART_ARC
(20,21),2.03399 # DEPENDENCYPART_ARC
(21,1),-2.03597 # DEPENDENCYPART_ARC
(21,2),-1.84449 # DEPENDENCYPART_ARC
(21,4),-1.90641 # DEPENDENCYPART_ARC
(21,6),-1.644 # DEPENDENCYPART_ARC
(21,7),-2.07486 # DEPENDENCYPART_ARC
(21,8),-1.63182 # DEPENDENCYPART_ARC
(21,10),-2.1606 # DEPENDENCYPART_ARC
(21,12),-1.67983 # DEPENDENCYPART_ARC
(21,13),-0.966399 # DEPENDENCYPART_ARC
(21,16),-1.29268 # DEPENDENCYPART_ARC
(21,17),-1.04154 # DEPENDENCYPART_ARC
