# _root_ ene bizitzan , bilbora etorri aurrez , ez dut inoiz griperik harrapatu izan .
#goldHeads=2,12,2,5,12,5,6,12,12,12,12,0,12,13,
#predictedHeads=2,5,2,5,13,5,6,13,13,13,12,0,12,13,
(6,12),-0.487051 # DEPENDENCYPART_ARC
(6,13),-1.54952 # DEPENDENCYPART_ARC
(6,14),-0.352071 # DEPENDENCYPART_ARC
(7,1),-0.949919 # DEPENDENCYPART_ARC
(7,2),-0.912545 # DEPENDENCYPART_ARC
(7,3),-1.0269 # DEPENDENCYPART_ARC
(7,4),-0.241858 # DEPENDENCYPART_ARC
(7,5),-0.14773 # DEPENDENCYPART_ARC
(7,6),0.337382 # DEPENDENCYPART_ARC
(7,8),-0.506017 # DEPENDENCYPART_ARC
(7,9),-0.395724 # DEPENDENCYPART_ARC
(7,10),-1.16559 # DEPENDENCYPART_ARC
(7,11),-0.573488 # DEPENDENCYPART_ARC
(7,12),-0.584166 # DEPENDENCYPART_ARC
(7,13),-0.690742 # DEPENDENCYPART_ARC
(7,14),-0.552798 # DEPENDENCYPART_ARC
(8,1),-2.09204 # DEPENDENCYPART_ARC
(8,2),-1.61185 # DEPENDENCYPART_ARC
(8,3),-1.41572 # DEPENDENCYPART_ARC
(8,4),-1.37571 # DEPENDENCYPART_ARC
(8,5),-1.32796 # DEPENDENCYPART_ARC
(8,6),-0.794713 # DEPENDENCYPART_ARC
(8,7),-0.269962 # DEPENDENCYPART_ARC
(8,9),-0.586162 # DEPENDENCYPART_ARC
(8,10),-0.772991 # DEPENDENCYPART_ARC
(8,11),-0.762816 # DEPENDENCYPART_ARC
(8,12),-0.776153 # DEPENDENCYPART_ARC
(8,13),-0.979734 # DEPENDENCYPART_ARC
(8,14),-0.182714 # DEPENDENCYPART_ARC
(9,1),-1.23704 # DEPENDENCYPART_ARC
(9,2),-1.84678 # DEPENDENCYPART_ARC
(9,3),-1.55876 # DEPENDENCYPART_ARC
(9,4),-1.98971 # DEPENDENCYPART_ARC
(9,5),-1.77479 # DEPENDENCYPART_ARC
(9,6),-0.724741 # DEPENDENCYPART_ARC
(9,7),-1.08726 # DEPENDENCYPART_ARC
(9,8),-0.0508399 # DEPENDENCYPART_ARC
(9,10),-0.12594 # DEPENDENCYPART_ARC
(9,11),-1.01354 # DEPENDENCYPART_ARC
(9,12),-1.38351 # DEPENDENCYPART_ARC
(9,13),-2.16818 # DEPENDENCYPART_ARC
(9,14),-0.821495 # DEPENDENCYPART_ARC
(10,1),-1.4198 # DEPENDENCYPART_ARC
(10,2),-1.17985 # DEPENDENCYPART_ARC
(10,3),-1.48392 # DEPENDENCYPART_ARC
(10,4),-1.09707 # DEPENDENCYPART_ARC
(10,5),-1.11013 # DEPENDENCYPART_ARC
(10,6),-1.03286 # DEPENDENCYPART_ARC
(10,7),-0.896396 # DEPENDENCYPART_ARC
(10,8),-0.827178 # DEPENDENCYPART_ARC
(10,9),-0.305098 # DEPENDENCYPART_ARC
(10,11),-0.281539 # DEPENDENCYPART_ARC
(10,12),-1.18879 # DEPENDENCYPART_ARC
(10,13),-1.2857 # DEPENDENCYPART_ARC
(10,14),-0.657965 # DEPENDENCYPART_ARC
(11,1),-0.906001 # DEPENDENCYPART_ARC
(11,2),-2.79025 # DEPENDENCYPART_ARC
(11,3),-1.56254 # DEPENDENCYPART_ARC
(11,4),-1.75716 # DEPENDENCYPART_ARC
(11,5),-1.41543 # DEPENDENCYPART_ARC
(11,6),-1.75737 # DEPENDENCYPART_ARC
(11,7),-1.29089 # DEPENDENCYPART_ARC
(11,8),-0.553401 # DEPENDENCYPART_ARC
(11,9),-0.671048 # DEPENDENCYPART_ARC
(11,10),0.397941 # DEPENDENCYPART_ARC
(11,12),1.1519 # DEPENDENCYPART_ARC
(11,13),-0.482056 # DEPENDENCYPART_ARC
(11,14),-0.247326 # DEPENDENCYPART_ARC
(12,1),-0.909375 # DEPENDENCYPART_ARC
(12,2),-0.232681 # DEPENDENCYPART_ARC
(12,3),-1.79904 # DEPENDENCYPART_ARC
(12,4),0.490095 # DEPENDENCYPART_ARC
(12,5),-0.643344 # DEPENDENCYPART_ARC
(12,6),-0.701137 # DEPENDENCYPART_ARC
(12,7),-1.33638 # DEPENDENCYPART_ARC
(12,8),0.739755 # DEPENDENCYPART_ARC
(12,9),0.591884 # DEPENDENCYPART_ARC
(12,10),0.506645 # DEPENDENCYPART_ARC
(12,11),1.97444 # DEPENDENCYPART_ARC
(12,13),2.28021 # DEPENDENCYPART_ARC
(12,14),0.90638 # DEPENDENCYPART_ARC
(13,1),-1.11701 # DEPENDENCYPART_ARC
(13,2),-0.204404 # DEPENDENCYPART_ARC
(13,3),-1.36802 # DEPENDENCYPART_ARC
(13,4),0.057385 # DEPENDENCYPART_ARC
(13,5),-0.0941108 # DEPENDENCYPART_ARC
(13,6),-0.133038 # DEPENDENCYPART_ARC
(13,7),-0.955992 # DEPENDENCYPART_ARC
(13,8),1.49097 # DEPENDENCYPART_ARC
(13,9),1.29736 # DEPENDENCYPART_ARC
(13,10),0.876104 # DEPENDENCYPART_ARC
(13,11),0.785559 # DEPENDENCYPART_ARC
(13,12),1.64392 # DEPENDENCYPART_ARC
(13,14),2.33345 # DEPENDENCYPART_ARC
(14,1),-1.7691 # DEPENDENCYPART_ARC
(14,2),-1.78359 # DEPENDENCYPART_ARC
(14,3),-1.70291 # DEPENDENCYPART_ARC
(14,4),-1.26111 # DEPENDENCYPART_ARC
(14,5),-1.67304 # DEPENDENCYPART_ARC
(14,6),-1.45266 # DEPENDENCYPART_ARC
(14,7),-1.49971 # DEPENDENCYPART_ARC
(14,8),-1.49602 # DEPENDENCYPART_ARC
(14,9),-1.30645 # DEPENDENCYPART_ARC
(14,10),-1.33296 # DEPENDENCYPART_ARC
(14,11),-0.719248 # DEPENDENCYPART_ARC
(14,12),-1.05832 # DEPENDENCYPART_ARC
(14,13),-0.559017 # DEPENDENCYPART_ARC
