# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,14,12,0,18,17,18,19,20,22,20,14,22,23,
(5,8),-0.699958 # DEPENDENCYPART_ARC
(5,9),-1.11237 # DEPENDENCYPART_ARC
(5,10),-1.16608 # DEPENDENCYPART_ARC
(5,11),-1.01317 # DEPENDENCYPART_ARC
(5,12),-1.63814 # DEPENDENCYPART_ARC
(5,13),-1.20946 # DEPENDENCYPART_ARC
(5,14),-1.30859 # DEPENDENCYPART_ARC
(5,15),-2.06372 # DEPENDENCYPART_ARC
(5,16),-1.10607 # DEPENDENCYPART_ARC
(5,17),-2.069 # DEPENDENCYPART_ARC
(5,18),-3.62584 # DEPENDENCYPART_ARC
(5,19),-2.01801 # DEPENDENCYPART_ARC
(5,20),-2.02282 # DEPENDENCYPART_ARC
(5,21),-3.13396 # DEPENDENCYPART_ARC
(5,22),-3.20297 # DEPENDENCYPART_ARC
(5,23),-2.30897 # DEPENDENCYPART_ARC
(5,24),-1.41166 # DEPENDENCYPART_ARC
(6,1),-1.79048 # DEPENDENCYPART_ARC
(6,2),-1.40906 # DEPENDENCYPART_ARC
(6,3),-1.48557 # DEPENDENCYPART_ARC
(6,4),-1.30544 # DEPENDENCYPART_ARC
(6,5),-0.47458 # DEPENDENCYPART_ARC
(6,7),-0.897857 # DEPENDENCYPART_ARC
(6,8),-1.06114 # DEPENDENCYPART_ARC
(6,9),-0.217788 # DEPENDENCYPART_ARC
(6,10),-0.900391 # DEPENDENCYPART_ARC
(6,11),-1.16331 # DEPENDENCYPART_ARC
(6,12),-0.994171 # DEPENDENCYPART_ARC
(6,13),-0.532197 # DEPENDENCYPART_ARC
(6,14),-0.952901 # DEPENDENCYPART_ARC
(6,15),-0.883259 # DEPENDENCYPART_ARC
(6,16),-1.2003 # DEPENDENCYPART_ARC
(6,17),-1.2342 # DEPENDENCYPART_ARC
(6,18),-2.05361 # DEPENDENCYPART_ARC
(6,19),-1.59193 # DEPENDENCYPART_ARC
(6,20),-1.31122 # DEPENDENCYPART_ARC
(6,21),-2.2377 # DEPENDENCYPART_ARC
(6,22),-1.33717 # DEPENDENCYPART_ARC
(6,23),-2.23298 # DEPENDENCYPART_ARC
(6,24),-1.07291 # DEPENDENCYPART_ARC
(7,1),-0.812678 # DEPENDENCYPART_ARC
(7,2),-0.795678 # DEPENDENCYPART_ARC
(7,3),-1.50338 # DEPENDENCYPART_ARC
(7,4),-1.01606 # DEPENDENCYPART_ARC
(7,5),-0.747817 # DEPENDENCYPART_ARC
(7,6),-0.105572 # DEPENDENCYPART_ARC
(7,8),-1.02487 # DEPENDENCYPART_ARC
(7,9),-0.212183 # DEPENDENCYPART_ARC
(7,10),-2.30658 # DEPENDENCYPART_ARC
(7,11),-2.12517 # DEPENDENCYPART_ARC
(7,12),-1.83312 # DEPENDENCYPART_ARC
(7,13),-0.913244 # DEPENDENCYPART_ARC
(7,14),-1.35836 # DEPENDENCYPART_ARC
(7,15),-2.55002 # DEPENDENCYPART_ARC
(7,16),-1.73527 # DEPENDENCYPART_ARC
(7,17),-1.9353 # DEPENDENCYPART_ARC
(7,18),-1.22611 # DEPENDENCYPART_ARC
(7,19),-2.9826 # DEPENDENCYPART_ARC
(7,20),-2.57275 # DEPENDENCYPART_ARC
(7,21),-1.11002 # DEPENDENCYPART_ARC
(7,22),-2.90232 # DEPENDENCYPART_ARC
(7,23),-1.12026 # DEPENDENCYPART_ARC
(7,24),-1.50945 # DEPENDENCYPART_ARC
(8,1),1.4931 # DEPENDENCYPART_ARC
(8,2),-0.311298 # DEPENDENCYPART_ARC
(8,3),0.515682 # DEPENDENCYPART_ARC
(8,4),-0.82988 # DEPENDENCYPART_ARC
(8,5),2.24364 # DEPENDENCYPART_ARC
(8,6),2.12549 # DEPENDENCYPART_ARC
(8,7),2.69887 # DEPENDENCYPART_ARC
(8,9),1.83625 # DEPENDENCYPART_ARC
(8,10),-1.38288 # DEPENDENCYPART_ARC
(8,11),-0.825545 # DEPENDENCYPART_ARC
(8,12),0.18185 # DEPENDENCYPART_ARC
(8,13),-0.194345 # DEPENDENCYPART_ARC
(8,14),-0.428024 # DEPENDENCYPART_ARC
(8,15),-1.46952 # DEPENDENCYPART_ARC
(8,16),-1.18779 # DEPENDENCYPART_ARC
(8,17),-1.03823 # DEPENDENCYPART_ARC
(8,18),-1.43372 # DEPENDENCYPART_ARC
(8,19),-1.73389 # DEPENDENCYPART_ARC
(8,20),-1.67865 # DEPENDENCYPART_ARC
(8,21),-0.962198 # DEPENDENCYPART_ARC
(8,22),-1.56103 # DEPENDENCYPART_ARC
(8,23),-0.801296 # DEPENDENCYPART_ARC
(8,24),-1.03455 # DEPENDENCYPART_ARC
(9,1),-0.908407 # DEPENDENCYPART_ARC
(9,2),-0.890282 # DEPENDENCYPART_ARC
(9,3),-0.929305 # DEPENDENCYPART_ARC
(9,4),-0.630621 # DEPENDENCYPART_ARC
(9,5),-0.764368 # DEPENDENCYPART_ARC
(9,6),-0.83013 # DEPENDENCYPART_ARC
(9,7),-0.749789 # DEPENDENCYPART_ARC
(9,8),0.191668 # DEPENDENCYPART_ARC
(9,10),-0.494443 # DEPENDENCYPART_ARC
(9,11),-1.01681 # DEPENDENCYPART_ARC
(9,12),-0.771783 # DEPENDENCYPART_ARC
(9,13),-0.555193 # DEPENDENCYPART_ARC
(9,14),-1.30969 # DEPENDENCYPART_ARC
(9,15),-1.08624 # DEPENDENCYPART_ARC
(9,16),-1.12909 # DEPENDENCYPART_ARC
(9,17),-1.07001 # DEPENDENCYPART_ARC
(9,18),-1.32655 # DEPENDENCYPART_ARC
(9,19),-1.12258 # DEPENDENCYPART_ARC
(9,20),-1.53988 # DEPENDENCYPART_ARC
(9,21),-0.963547 # DEPENDENCYPART_ARC
(9,22),-1.85749 # DEPENDENCYPART_ARC
(9,23),-0.851016 # DEPENDENCYPART_ARC
(9,24),-1.26335 # DEPENDENCYPART_ARC
(10,1),-6.23295 # DEPENDENCYPART_ARC
(10,2),-2.54949 # DEPENDENCYPART_ARC
(10,3),-5.48858 # DEPENDENCYPART_ARC
(10,4),-2.02593 # DEPENDENCYPART_ARC
(10,5),-5.32502 # DEPENDENCYPART_ARC
(10,6),-1.71514 # DEPENDENCYPART_ARC
(10,7),-2.97836 # DEPENDENCYPART_ARC
(10,8),-3.27331 # DEPENDENCYPART_ARC
(10,9),-0.599201 # DEPENDENCYPART_ARC
(10,11),0.0305568 # DEPENDENCYPART_ARC
(10,12),-1.75203 # DEPENDENCYPART_ARC
(10,13),-1.08997 # DEPENDENCYPART_ARC
(10,14),-2.17912 # DEPENDENCYPART_ARC
(10,15),-2.51735 # DEPENDENCYPART_ARC
(10,16),-1.34284 # DEPENDENCYPART_ARC
(10,17),-3.1296 # DEPENDENCYPART_ARC
(10,18),-2.90434 # DEPENDENCYPART_ARC
(10,19),-3.17302 # DEPENDENCYPART_ARC
(10,20),-2.83469 # DEPENDENCYPART_ARC
(10,21),-4.04043 # DEPENDENCYPART_ARC
(10,22),-4.2275 # DEPENDENCYPART_ARC
(10,23),-3.09173 # DEPENDENCYPART_ARC
(10,24),-1.66312 # DEPENDENCYPART_ARC
(11,1),-2.23455 # DEPENDENCYPART_ARC
(11,2),-0.821357 # DEPENDENCYPART_ARC
(11,3),-2.312 # DEPENDENCYPART_ARC
(11,4),-0.60664 # DEPENDENCYPART_ARC
(11,5),-2.37277 # DEPENDENCYPART_ARC
(11,6),-0.655512 # DEPENDENCYPART_ARC
(11,7),-1.6833 # DEPENDENCYPART_ARC
(11,8),-0.977607 # DEPENDENCYPART_ARC
(11,9),-0.805595 # DEPENDENCYPART_ARC
(11,10),3.15472 # DEPENDENCYPART_ARC
(11,12),0.00837156 # DEPENDENCYPART_ARC
(11,13),-0.204501 # DEPENDENCYPART_ARC
(11,14),-1.2803 # DEPENDENCYPART_ARC
(11,15),-0.69808 # DEPENDENCYPART_ARC
(11,16),-0.89521 # DEPENDENCYPART_ARC
(11,17),-1.23638 # DEPENDENCYPART_ARC
(11,18),-2.5438 # DEPENDENCYPART_ARC
(11,19),-1.5221 # DEPENDENCYPART_ARC
(11,20),-2.16586 # DEPENDENCYPART_ARC
(11,21),-2.56015 # DEPENDENCYPART_ARC
(11,22),-2.91489 # DEPENDENCYPART_ARC
(11,23),-2.14315 # DEPENDENCYPART_ARC
(11,24),-1.53243 # DEPENDENCYPART_ARC
(12,1),-2.27695 # DEPENDENCYPART_ARC
(12,2),-0.884805 # DEPENDENCYPART_ARC
(12,3),-2.46384 # DEPENDENCYPART_ARC
(12,4),-1.44835 # DEPENDENCYPART_ARC
(12,5),-1.58094 # DEPENDENCYPART_ARC
(12,6),-0.64899 # DEPENDENCYPART_ARC
(12,7),-2.00066 # DEPENDENCYPART_ARC
(12,8),-1.78192 # DEPENDENCYPART_ARC
(12,9),-1.06091 # DEPENDENCYPART_ARC
(12,10),1.68013 # DEPENDENCYPART_ARC
(12,11),1.7308 # DEPENDENCYPART_ARC
(12,13),1.88075 # DEPENDENCYPART_ARC
(12,14),-0.57541 # DEPENDENCYPART_ARC
(12,15),-1.4652 # DEPENDENCYPART_ARC
(12,16),-0.530077 # DEPENDENCYPART_ARC
(12,17),-1.49149 # DEPENDENCYPART_ARC
(12,18),-2.30443 # DEPENDENCYPART_ARC
(12,19),-1.26192 # DEPENDENCYPART_ARC
(12,20),-2.00325 # DEPENDENCYPART_ARC
(12,21),-1.70314 # DEPENDENCYPART_ARC
(12,22),-2.42508 # DEPENDENCYPART_ARC
(12,23),-1.49251 # DEPENDENCYPART_ARC
(12,24),-0.77573 # DEPENDENCYPART_ARC
(13,1),-1.5098 # DEPENDENCYPART_ARC
(13,2),-1.346 # DEPENDENCYPART_ARC
(13,3),-1.35175 # DEPENDENCYPART_ARC
(13,4),-0.879123 # DEPENDENCYPART_ARC
(13,5),-1.29403 # DEPENDENCYPART_ARC
(13,6),-1.33652 # DEPENDENCYPART_ARC
(13,7),-1.09084 # DEPENDENCYPART_ARC
(13,8),-1.02394 # DEPENDENCYPART_ARC
(13,9),-1.4487 # DEPENDENCYPART_ARC
(13,10),-0.715355 # DEPENDENCYPART_ARC
(13,11),-0.723774 # DEPENDENCYPART_ARC
(13,12),-0.575514 # DEPENDENCYPART_ARC
(13,14),-0.648431 # DEPENDENCYPART_ARC
(13,15),-1.19595 # DEPENDENCYPART_ARC
(13,16),-0.960249 # DEPENDENCYPART_ARC
(13,17),-1.01014 # DEPENDENCYPART_ARC
(13,18),-1.25404 # DEPENDENCYPART_ARC
(13,19),-1.20767 # DEPENDENCYPART_ARC
(13,20),-1.57815 # DEPENDENCYPART_ARC
(13,21),-1.38431 # DEPENDENCYPART_ARC
(13,22),-1.74609 # DEPENDENCYPART_ARC
(13,23),-1.2257 # DEPENDENCYPART_ARC
(13,24),-1.284 # DEPENDENCYPART_ARC
(14,1),-0.766319 # DEPENDENCYPART_ARC
(14,2),-0.743698 # DEPENDENCYPART_ARC
(14,3),-1.58139 # DEPENDENCYPART_ARC
(14,4),0.303774 # DEPENDENCYPART_ARC
(14,5),-0.489525 # DEPENDENCYPART_ARC
(14,6),-0.498692 # DEPENDENCYPART_ARC
(14,7),-0.805322 # DEPENDENCYPART_ARC
(14,8),0.0413758 # DEPENDENCYPART_ARC
(14,9),-1.40855 # DEPENDENCYPART_ARC
(14,10),0.307412 # DEPENDENCYPART_ARC
(14,11),0.142368 # DEPENDENCYPART_ARC
(14,12),0.733391 # DEPENDENCYPART_ARC
(14,13),-0.221755 # DEPENDENCYPART_ARC
(14,15),0.644941 # DEPENDENCYPART_ARC
(14,16),-0.679156 # DEPENDENCYPART_ARC
(14,17),0.0986151 # DEPENDENCYPART_ARC
(14,18),-0.186736 # DEPENDENCYPART_ARC
(14,19),-0.509012 # DEPENDENCYPART_ARC
(14,20),0.711648 # DEPENDENCYPART_ARC
(14,21),-0.285481 # DEPENDENCYPART_ARC
(14,22),0.5471 # DEPENDENCYPART_ARC
(14,23),-0.81568 # DEPENDENCYPART_ARC
(14,24),-0.640147 # DEPENDENCYPART_ARC
(15,1),-6.66938 # DEPENDENCYPART_ARC
(15,2),-3.49573 # DEPENDENCYPART_ARC
(15,3),-6.18301 # DEPENDENCYPART_ARC
(15,4),-3.55522 # DEPENDENCYPART_ARC
(15,5),-5.93598 # DEPENDENCYPART_ARC
(15,6),-2.69838 # DEPENDENCYPART_ARC
(15,7),-4.10591 # DEPENDENCYPART_ARC
(15,8),-5.03981 # DEPENDENCYPART_ARC
(15,9),-2.91522 # DEPENDENCYPART_ARC
(15,10),-1.46215 # DEPENDENCYPART_ARC
(15,11),-2.44256 # DEPENDENCYPART_ARC
(15,12),-4.73312 # DEPENDENCYPART_ARC
(15,13),-2.04346 # DEPENDENCYPART_ARC
(15,14),-1.32841 # DEPENDENCYPART_ARC
(15,16),0.469818 # DEPENDENCYPART_ARC
(15,17),-1.7064 # DEPENDENCYPART_ARC
(15,18),-2.78766 # DEPENDENCYPART_ARC
(15,19),-2.03647 # DEPENDENCYPART_ARC
(15,20),-2.53632 # DEPENDENCYPART_ARC
(15,21),-3.85691 # DEPENDENCYPART_ARC
(15,22),-3.72599 # DEPENDENCYPART_ARC
(15,23),-2.71559 # DEPENDENCYPART_ARC
(15,24),-1.37043 # DEPENDENCYPART_ARC
(16,1),-2.17261 # DEPENDENCYPART_ARC
(16,2),-2.18476 # DEPENDENCYPART_ARC
(16,3),-2.33388 # DEPENDENCYPART_ARC
(16,4),-2.7924 # DEPENDENCYPART_ARC
(16,5),-2.20621 # DEPENDENCYPART_ARC
(16,6),-1.41443 # DEPENDENCYPART_ARC
(16,7),-1.73616 # DEPENDENCYPART_ARC
(16,8),-2.00964 # DEPENDENCYPART_ARC
(16,9),-2.19784 # DEPENDENCYPART_ARC
(16,10),-1.38247 # DEPENDENCYPART_ARC
(16,11),-1.21216 # DEPENDENCYPART_ARC
(16,12),-1.35453 # DEPENDENCYPART_ARC
(16,13),-1.55515 # DEPENDENCYPART_ARC
(16,14),-0.664632 # DEPENDENCYPART_ARC
(16,15),1.06303 # DEPENDENCYPART_ARC
(16,17),0.612727 # DEPENDENCYPART_ARC
(16,18),-0.741226 # DEPENDENCYPART_ARC
(16,19),-0.762207 # DEPENDENCYPART_ARC
(16,20),-1.24434 # DEPENDENCYPART_ARC
(16,21),-1.07489 # DEPENDENCYPART_ARC
(16,22),-1.48363 # DEPENDENCYPART_ARC
(16,23),-1.32794 # DEPENDENCYPART_ARC
(16,24),-1.06259 # DEPENDENCYPART_ARC
(17,1),-4.09861 # DEPENDENCYPART_ARC
(17,2),-0.95491 # DEPENDENCYPART_ARC
(17,3),-3.5496 # DEPENDENCYPART_ARC
(17,4),-1.72344 # DEPENDENCYPART_ARC
(17,5),-3.66709 # DEPENDENCYPART_ARC
(17,6),-1.08328 # DEPENDENCYPART_ARC
(17,7),-1.93947 # DEPENDENCYPART_ARC
(17,8),-1.63493 # DEPENDENCYPART_ARC
(17,9),-1.2843 # DEPENDENCYPART_ARC
(17,10),0.344154 # DEPENDENCYPART_ARC
(17,11),-0.167354 # DEPENDENCYPART_ARC
(17,12),-2.58996 # DEPENDENCYPART_ARC
(17,13),-0.815431 # DEPENDENCYPART_ARC
(17,14),0.00306669 # DEPENDENCYPART_ARC
(17,15),-0.985928 # DEPENDENCYPART_ARC
(17,16),2.30537 # DEPENDENCYPART_ARC
(17,18),-1.78447 # DEPENDENCYPART_ARC
(17,19),-1.50948 # DEPENDENCYPART_ARC
(17,20),-1.81474 # DEPENDENCYPART_ARC
(17,21),-3.35764 # DEPENDENCYPART_ARC
(17,22),-3.2031 # DEPENDENCYPART_ARC
(17,23),-2.54555 # DEPENDENCYPART_ARC
(17,24),-1.38706 # DEPENDENCYPART_ARC
(18,1),-1.53038 # DEPENDENCYPART_ARC
(18,2),-2.28183 # DEPENDENCYPART_ARC
(18,3),-1.12994 # DEPENDENCYPART_ARC
(18,4),-1.95395 # DEPENDENCYPART_ARC
(18,5),-1.33796 # DEPENDENCYPART_ARC
(18,6),-0.913622 # DEPENDENCYPART_ARC
(18,7),-1.59057 # DEPENDENCYPART_ARC
(18,8),-1.55079 # DEPENDENCYPART_ARC
(18,9),-1.31038 # DEPENDENCYPART_ARC
(18,10),-2.38599 # DEPENDENCYPART_ARC
(18,11),-1.80305 # DEPENDENCYPART_ARC
(18,12),-0.860575 # DEPENDENCYPART_ARC
(18,13),-1.13888 # DEPENDENCYPART_ARC
(18,14),-0.230502 # DEPENDENCYPART_ARC
(18,15),1.2815 # DEPENDENCYPART_ARC
(18,16),0.744349 # DEPENDENCYPART_ARC
(18,17),2.81437 # DEPENDENCYPART_ARC
(18,19),-0.189836 # DEPENDENCYPART_ARC
(18,20),-1.19788 # DEPENDENCYPART_ARC
(18,21),-0.988107 # DEPENDENCYPART_ARC
(18,22),-1.67014 # DEPENDENCYPART_ARC
(18,23),-1.17945 # DEPENDENCYPART_ARC
(18,24),-0.863565 # DEPENDENCYPART_ARC
(19,1),-4.54091 # DEPENDENCYPART_ARC
(19,2),-1.78695 # DEPENDENCYPART_ARC
(19,3),-3.87401 # DEPENDENCYPART_ARC
(19,4),-1.09075 # DEPENDENCYPART_ARC
(19,5),-3.56653 # DEPENDENCYPART_ARC
(19,6),-0.707189 # DEPENDENCYPART_ARC
(19,7),-2.66117 # DEPENDENCYPART_ARC
(19,8),-1.95545 # DEPENDENCYPART_ARC
(19,9),-1.27857 # DEPENDENCYPART_ARC
(19,10),-0.532111 # DEPENDENCYPART_ARC
(19,11),-0.834694 # DEPENDENCYPART_ARC
(19,12),-3.00121 # DEPENDENCYPART_ARC
(19,13),-1.02557 # DEPENDENCYPART_ARC
(19,14),-0.409001 # DEPENDENCYPART_ARC
(19,15),-2.31154 # DEPENDENCYPART_ARC
(19,16),-0.0757832 # DEPENDENCYPART_ARC
(19,17),-1.21075 # DEPENDENCYPART_ARC
(19,18),2.7183 # DEPENDENCYPART_ARC
(19,20),-0.341824 # DEPENDENCYPART_ARC
(19,21),-1.22894 # DEPENDENCYPART_ARC
(19,22),-2.34247 # DEPENDENCYPART_ARC
(19,23),-1.51782 # DEPENDENCYPART_ARC
(19,24),-0.991664 # DEPENDENCYPART_ARC
(20,1),-0.0363723 # DEPENDENCYPART_ARC
(20,2),-1.74819 # DEPENDENCYPART_ARC
(20,3),-0.666596 # DEPENDENCYPART_ARC
(20,4),-1.3529 # DEPENDENCYPART_ARC
(20,5),-0.385675 # DEPENDENCYPART_ARC
(20,6),-0.407121 # DEPENDENCYPART_ARC
(20,7),-0.156649 # DEPENDENCYPART_ARC
(20,8),-0.837103 # DEPENDENCYPART_ARC
(20,9),-2.17586 # DEPENDENCYPART_ARC
(20,10),-1.39982 # DEPENDENCYPART_ARC
(20,11),-1.38816 # DEPENDENCYPART_ARC
(20,12),0.197744 # DEPENDENCYPART_ARC
(20,13),-1.7415 # DEPENDENCYPART_ARC
(20,14),-0.403234 # DEPENDENCYPART_ARC
(20,15),1.06777 # DEPENDENCYPART_ARC
(20,16),-0.00381592 # DEPENDENCYPART_ARC
(20,17),0.685787 # DEPENDENCYPART_ARC
(20,18),0.318796 # DEPENDENCYPART_ARC
(20,19),2.17094 # DEPENDENCYPART_ARC
(20,21),2.38213 # DEPENDENCYPART_ARC
(20,22),-0.463224 # DEPENDENCYPART_ARC
(20,23),-0.356711 # DEPENDENCYPART_ARC
(20,24),-0.835842 # DEPENDENCYPART_ARC
(21,1),-1.59702 # DEPENDENCYPART_ARC
(21,2),-2.35688 # DEPENDENCYPART_ARC
(21,3),-2.30034 # DEPENDENCYPART_ARC
(21,4),-1.52993 # DEPENDENCYPART_ARC
(21,5),-2.26572 # DEPENDENCYPART_ARC
(21,6),-1.34941 # DEPENDENCYPART_ARC
(21,7),-1.2214 # DEPENDENCYPART_ARC
(21,8),-1.68306 # DEPENDENCYPART_ARC
(21,9),-1.99595 # DEPENDENCYPART_ARC
(21,10),-1.28929 # DEPENDENCYPART_ARC
(21,11),-1.75839 # DEPENDENCYPART_ARC
(21,12),-1.74613 # DEPENDENCYPART_ARC
(21,13),-1.6555 # DEPENDENCYPART_ARC
(21,14),-1.56465 # DEPENDENCYPART_ARC
(21,15),-0.0779237 # DEPENDENCYPART_ARC
(21,16),-1.18867 # DEPENDENCYPART_ARC
(21,17),-1.03847 # DEPENDENCYPART_ARC
(21,18),-0.973994 # DEPENDENCYPART_ARC
(21,19),0.120097 # DEPENDENCYPART_ARC
(21,20),-0.795928 # DEPENDENCYPART_ARC
(21,22),-1.47826 # DEPENDENCYPART_ARC
(21,23),-0.435781 # DEPENDENCYPART_ARC
