# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,9,4,5,6,9,9,9,0,9,9,11,11,12,14,
(3,2),-1.13776 # DEPENDENCYPART_ARC
(3,4),-0.763521 # DEPENDENCYPART_ARC
(3,5),-0.830428 # DEPENDENCYPART_ARC
(3,6),-2.64634 # DEPENDENCYPART_ARC
(3,7),-3.68678 # DEPENDENCYPART_ARC
(3,8),-3.2633 # DEPENDENCYPART_ARC
(3,9),-2.98704 # DEPENDENCYPART_ARC
(3,10),-3.13686 # DEPENDENCYPART_ARC
(3,11),-2.0499 # DEPENDENCYPART_ARC
(3,12),-2.11268 # DEPENDENCYPART_ARC
(3,13),-4.34851 # DEPENDENCYPART_ARC
(3,14),-5.18188 # DEPENDENCYPART_ARC
(3,15),-1.60211 # DEPENDENCYPART_ARC
(4,1),-0.215396 # DEPENDENCYPART_ARC
(4,2),0.152866 # DEPENDENCYPART_ARC
(4,3),2.65388 # DEPENDENCYPART_ARC
(4,5),0.56828 # DEPENDENCYPART_ARC
(4,6),-0.231165 # DEPENDENCYPART_ARC
(4,7),-0.878113 # DEPENDENCYPART_ARC
(4,8),-0.422335 # DEPENDENCYPART_ARC
(4,9),-1.53727 # DEPENDENCYPART_ARC
(4,10),-1.33178 # DEPENDENCYPART_ARC
(4,11),-1.64107 # DEPENDENCYPART_ARC
(4,12),-1.63822 # DEPENDENCYPART_ARC
(4,13),-1.35561 # DEPENDENCYPART_ARC
(4,14),-3.85272 # DEPENDENCYPART_ARC
(4,15),-1.11862 # DEPENDENCYPART_ARC
(5,1),-1.28967 # DEPENDENCYPART_ARC
(5,2),-0.859728 # DEPENDENCYPART_ARC
(5,3),0.0517241 # DEPENDENCYPART_ARC
(5,4),1.0669 # DEPENDENCYPART_ARC
(5,6),0.953334 # DEPENDENCYPART_ARC
(5,7),-0.0315134 # DEPENDENCYPART_ARC
(5,8),-0.502994 # DEPENDENCYPART_ARC
(5,9),-0.837143 # DEPENDENCYPART_ARC
(5,10),-0.957078 # DEPENDENCYPART_ARC
(5,11),-0.768275 # DEPENDENCYPART_ARC
(5,12),-1.12665 # DEPENDENCYPART_ARC
(5,13),-1.22241 # DEPENDENCYPART_ARC
(5,14),-1.25739 # DEPENDENCYPART_ARC
(5,15),-0.740886 # DEPENDENCYPART_ARC
(6,1),-0.890961 # DEPENDENCYPART_ARC
(6,2),-1.02741 # DEPENDENCYPART_ARC
(6,3),0.307343 # DEPENDENCYPART_ARC
(6,4),0.761585 # DEPENDENCYPART_ARC
(6,5),1.46698 # DEPENDENCYPART_ARC
(6,7),-0.223795 # DEPENDENCYPART_ARC
(6,8),-0.800923 # DEPENDENCYPART_ARC
(6,9),-1.5797 # DEPENDENCYPART_ARC
(6,10),-2.15466 # DEPENDENCYPART_ARC
(6,11),-1.77224 # DEPENDENCYPART_ARC
(6,12),-1.63877 # DEPENDENCYPART_ARC
(6,13),-2.73206 # DEPENDENCYPART_ARC
(6,14),-3.08009 # DEPENDENCYPART_ARC
(6,15),-1.38424 # DEPENDENCYPART_ARC
(7,1),-1.8829 # DEPENDENCYPART_ARC
(7,2),-3.47964 # DEPENDENCYPART_ARC
(7,3),-1.18221 # DEPENDENCYPART_ARC
(7,4),-1.05991 # DEPENDENCYPART_ARC
(7,5),0.0478267 # DEPENDENCYPART_ARC
(7,6),-1.1987 # DEPENDENCYPART_ARC
(7,8),-0.233048 # DEPENDENCYPART_ARC
(7,9),-0.523648 # DEPENDENCYPART_ARC
(7,10),-2.1448 # DEPENDENCYPART_ARC
(7,11),-1.94376 # DEPENDENCYPART_ARC
(7,12),-1.36729 # DEPENDENCYPART_ARC
(7,13),-3.26789 # DEPENDENCYPART_ARC
(7,14),-5.09836 # DEPENDENCYPART_ARC
(7,15),-1.30123 # DEPENDENCYPART_ARC
(8,1),-0.65816 # DEPENDENCYPART_ARC
(8,2),-3.74134 # DEPENDENCYPART_ARC
(8,3),0.137847 # DEPENDENCYPART_ARC
(8,4),0.67829 # DEPENDENCYPART_ARC
(8,5),-0.156433 # DEPENDENCYPART_ARC
(8,6),-1.85993 # DEPENDENCYPART_ARC
(8,7),-2.47772 # DEPENDENCYPART_ARC
(8,9),-1.91806 # DEPENDENCYPART_ARC
(8,10),-3.68531 # DEPENDENCYPART_ARC
(8,11),-1.85424 # DEPENDENCYPART_ARC
(8,12),-0.741792 # DEPENDENCYPART_ARC
(8,13),-6.89539 # DEPENDENCYPART_ARC
(8,14),-5.88111 # DEPENDENCYPART_ARC
(8,15),-0.77126 # DEPENDENCYPART_ARC
(9,1),-0.5143 # DEPENDENCYPART_ARC
(9,2),0.193003 # DEPENDENCYPART_ARC
(9,3),-0.415391 # DEPENDENCYPART_ARC
(9,4),-1.00498 # DEPENDENCYPART_ARC
(9,5),-0.00315349 # DEPENDENCYPART_ARC
(9,6),1.32615 # DEPENDENCYPART_ARC
(9,7),1.78845 # DEPENDENCYPART_ARC
(9,8),2.24483 # DEPENDENCYPART_ARC
(9,10),1.75112 # DEPENDENCYPART_ARC
(9,11),-0.0837627 # DEPENDENCYPART_ARC
(9,12),-0.463629 # DEPENDENCYPART_ARC
(9,13),-0.296613 # DEPENDENCYPART_ARC
(9,14),-1.47656 # DEPENDENCYPART_ARC
(9,15),-0.835653 # DEPENDENCYPART_ARC
(10,1),-1.54645 # DEPENDENCYPART_ARC
(10,2),-2.75058 # DEPENDENCYPART_ARC
(10,3),-1.30685 # DEPENDENCYPART_ARC
(10,4),-1.33288 # DEPENDENCYPART_ARC
(10,5),-1.34061 # DEPENDENCYPART_ARC
(10,6),-3.33335 # DEPENDENCYPART_ARC
(10,7),-3.26423 # DEPENDENCYPART_ARC
(10,8),-0.850168 # DEPENDENCYPART_ARC
(10,9),-0.201446 # DEPENDENCYPART_ARC
(10,11),-0.419604 # DEPENDENCYPART_ARC
(10,12),-0.467463 # DEPENDENCYPART_ARC
(10,13),-2.3135 # DEPENDENCYPART_ARC
(10,14),-3.84077 # DEPENDENCYPART_ARC
(10,15),-1.01639 # DEPENDENCYPART_ARC
(11,1),-0.656067 # DEPENDENCYPART_ARC
(11,2),-1.15809 # DEPENDENCYPART_ARC
(11,3),-1.09796 # DEPENDENCYPART_ARC
(11,4),-0.897226 # DEPENDENCYPART_ARC
(11,5),-0.572594 # DEPENDENCYPART_ARC
(11,6),-0.587092 # DEPENDENCYPART_ARC
(11,7),-0.991042 # DEPENDENCYPART_ARC
(11,8),-0.329549 # DEPENDENCYPART_ARC
(11,9),0.359855 # DEPENDENCYPART_ARC
(11,10),1.7266 # DEPENDENCYPART_ARC
(11,12),1.66115 # DEPENDENCYPART_ARC
(11,13),1.9556 # DEPENDENCYPART_ARC
(11,14),-0.422682 # DEPENDENCYPART_ARC
(11,15),-0.565453 # DEPENDENCYPART_ARC
(12,1),-3.12857 # DEPENDENCYPART_ARC
(12,2),-2.8656 # DEPENDENCYPART_ARC
(12,3),-2.8258 # DEPENDENCYPART_ARC
(12,4),-2.65159 # DEPENDENCYPART_ARC
(12,5),-2.55592 # DEPENDENCYPART_ARC
(12,6),-2.4498 # DEPENDENCYPART_ARC
(12,7),-2.20874 # DEPENDENCYPART_ARC
(12,8),-2.03125 # DEPENDENCYPART_ARC
(12,9),-2.01749 # DEPENDENCYPART_ARC
(12,10),-1.03029 # DEPENDENCYPART_ARC
(12,11),-0.875241 # DEPENDENCYPART_ARC
(12,13),0.649742 # DEPENDENCYPART_ARC
(12,14),0.177955 # DEPENDENCYPART_ARC
(12,15),-0.586633 # DEPENDENCYPART_ARC
(13,1),-0.970226 # DEPENDENCYPART_ARC
(13,2),-3.65655 # DEPENDENCYPART_ARC
(13,3),-0.642127 # DEPENDENCYPART_ARC
(13,4),-1.01249 # DEPENDENCYPART_ARC
(13,5),-0.917326 # DEPENDENCYPART_ARC
(13,6),-4.66641 # DEPENDENCYPART_ARC
(13,7),-5.2108 # DEPENDENCYPART_ARC
(13,8),-3.02271 # DEPENDENCYPART_ARC
(13,9),-2.25851 # DEPENDENCYPART_ARC
(13,10),-2.18523 # DEPENDENCYPART_ARC
(13,11),0.429097 # DEPENDENCYPART_ARC
(13,12),1.46171 # DEPENDENCYPART_ARC
(13,14),-3.38893 # DEPENDENCYPART_ARC
(13,15),-0.688101 # DEPENDENCYPART_ARC
(14,1),-1.81404 # DEPENDENCYPART_ARC
(14,2),-2.34408 # DEPENDENCYPART_ARC
(14,3),-1.34523 # DEPENDENCYPART_ARC
(14,4),-0.806631 # DEPENDENCYPART_ARC
(14,5),-2.40028 # DEPENDENCYPART_ARC
(14,6),-4.20865 # DEPENDENCYPART_ARC
(14,7),-3.28606 # DEPENDENCYPART_ARC
(14,8),-2.31309 # DEPENDENCYPART_ARC
(14,9),-2.2571 # DEPENDENCYPART_ARC
(14,10),-3.02127 # DEPENDENCYPART_ARC
(14,11),-0.568945 # DEPENDENCYPART_ARC
(14,12),-1.14456 # DEPENDENCYPART_ARC
(14,13),-1.79271 # DEPENDENCYPART_ARC
(14,15),2.23807 # DEPENDENCYPART_ARC
(15,1),-2.11516 # DEPENDENCYPART_ARC
(15,2),-1.6425 # DEPENDENCYPART_ARC
(15,3),-1.63738 # DEPENDENCYPART_ARC
(15,4),-1.59403 # DEPENDENCYPART_ARC
(15,5),-1.46305 # DEPENDENCYPART_ARC
(15,6),-1.42462 # DEPENDENCYPART_ARC
(15,7),-1.30444 # DEPENDENCYPART_ARC
(15,8),-1.31659 # DEPENDENCYPART_ARC
(15,9),-1.10455 # DEPENDENCYPART_ARC
(15,10),-1.27411 # DEPENDENCYPART_ARC
(15,11),-0.759112 # DEPENDENCYPART_ARC
(15,12),-0.768468 # DEPENDENCYPART_ARC
(15,13),-0.748251 # DEPENDENCYPART_ARC
(15,14),-0.762882 # DEPENDENCYPART_ARC
