# _root_ Their debt will be well under the $ 1 million limit -- on borrowing to acquire , build , or improve a home -- that qualifies for mortgage-interest deductions .
#goldHeads=2,3,0,3,6,4,11,11,8,8,6,13,11,13,20,20,20,20,20,14,20,23,20,13,26,11,26,29,27,3,
#predictedHeads=2,3,0,3,4,4,11,11,8,8,6,4,4,13,16,14,20,20,20,4,20,23,21,23,26,23,26,29,27,3,
(26,18),-1.71062 # DEPENDENCYPART_ARC
(26,19),-1.93157 # DEPENDENCYPART_ARC
(26,21),-1.62518 # DEPENDENCYPART_ARC
(26,22),-1.24999 # DEPENDENCYPART_ARC
(26,23),-0.961322 # DEPENDENCYPART_ARC
(26,24),-0.805135 # DEPENDENCYPART_ARC
(26,25),0.52276 # DEPENDENCYPART_ARC
(26,27),0.581574 # DEPENDENCYPART_ARC
(26,28),-0.844131 # DEPENDENCYPART_ARC
(26,29),-0.773747 # DEPENDENCYPART_ARC
(26,30),-0.537798 # DEPENDENCYPART_ARC
(27,28),-0.21554 # DEPENDENCYPART_ARC
(27,29),-0.152411 # DEPENDENCYPART_ARC
(29,22),-2.08991 # DEPENDENCYPART_ARC
(29,23),-2.06189 # DEPENDENCYPART_ARC
(29,26),-0.964322 # DEPENDENCYPART_ARC
(29,27),-0.724094 # DEPENDENCYPART_ARC
(29,28),1.44462 # DEPENDENCYPART_ARC
(30,27),-1.02511 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0406864 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.110923 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0249244 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.103039 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.105012 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0687662 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0980299 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.10295 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.106505 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0201292 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.104725 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.104747 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0643875 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.105574 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.104725 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0514199 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.175183 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.175573 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.121435 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.173651 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.175166 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.105185 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.100889 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0405498 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.105205 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.105185 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.164718 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.117984 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.162795 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.164311 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.117984 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.163026 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.164542 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.113301 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.113247 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.163955 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0160131 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0923031 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0205351 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0123892 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0335084 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00460868 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0281856 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.016858 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.026362 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0121553 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00481784 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0222041 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00856492 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.000339981 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0117355 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0809935 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0240221 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0284945 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0226176 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0123713 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0342533 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0342533 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0337248 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0226176 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.0068927 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.124861 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0544924 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0673762 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.142627 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.05907 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.05907 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.17191 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0673762 # DEPENDENCYPART_SIBL
(3,4),(3,30),0.0141239 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0290447 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0133371 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0306649 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0511961 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0511961 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.06167 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0133371 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0037596 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00522094 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0329304 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0130383 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0130383 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0431547 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.00522094 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0126192 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0268137 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0105601 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0105601 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0278679 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0214085 # DEPENDENCYPART_SIBL
(3,12),(3,30),0.0408012 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0604788 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0604788 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.150153 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0444951 # DEPENDENCYPART_SIBL
(3,16),(3,30),0.0247734 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0675531 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0217813 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0197803 # DEPENDENCYPART_SIBL
(3,17),(3,30),-0.026701 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0217813 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.0197803 # DEPENDENCYPART_SIBL
(3,19),(3,30),-0.026701 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0290424 # DEPENDENCYPART_SIBL
(3,20),(3,30),-0.0172184 # DEPENDENCYPART_SIBL
(3,24),(3,30),0.0408012 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0384612 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0456013 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0410395 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0933205 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0643238 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0405202 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00891472 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0162082 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0369802 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00563314 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0367441 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00483955 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0492992 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00483955 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0162925 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0245589 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.00891472 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0343918 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0142191 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0773044 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0619962 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0733045 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.058214 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0559096 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0093216 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0866743 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0775165 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0800837 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0701565 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.121857 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0709039 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.121857 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0324696 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0869239 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0093216 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0771322 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.0022682 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0297922 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0284232 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0355649 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0200259 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0160493 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0197938 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0344855 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0482252 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0462323 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.00786106 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.040046 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00786106 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0183233 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.034913 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0160493 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.0351203 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.0614468 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0341818 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0472054 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00744751 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0178371 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0414521 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00389538 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0335144 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0200106 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00115879 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0157731 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00115879 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0121661 # DEPENDENCYPART_SIBL
(4,6),(4,21),-9.85856e-05 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0178371 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0034275 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.0263894 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0445102 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.047473 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.019378 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0358092 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0482784 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0476007 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0603002 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0446456 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0520816 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0446456 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0227429 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.048251 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.019378 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0479445 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.0303256 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00523172 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00585536 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0577853 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0337818 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0392937 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0342044 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.000346167 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.026629 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.000346167 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0123707 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0337942 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00585536 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.0334478 # DEPENDENCYPART_SIBL
(4,8),(4,30),-0.0188252 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00883638 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0233712 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0398802 # DEPENDENCYPART_SIBL
