# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,3,6,8,12,12,9,3,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(3,4),(3,6),-0.13442 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0652778 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0886012 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.113756 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.132383 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0652778 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0320477 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.164638 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0251103 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.158262 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.168483 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.197275 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.361675 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.035703 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.519899 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.306498 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.357895 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.035703 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.2697 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.285546 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.157041 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.415321 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.277384 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.00118389 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.104972 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0387024 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.000592397 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.355153 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.104972 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0216525 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0850001 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0607973 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0920468 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0283661 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0158513 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.36456 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.2537 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0500985 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.065876 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.365551 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0365737 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.40668 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.24756 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0687207 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0871334 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.349578 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.373684 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0544612 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.314636 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.299118 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.172114 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.432917 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.324217 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0387659 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.165559 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0166252 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0389807 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.140125 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.08047 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0574103 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0835645 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0649902 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0238515 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0130115 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.102215 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0801819 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.136456 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0640244 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0469223 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.365551 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0365737 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.40668 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.24756 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.0687207 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0871334 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.114894 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.107822 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0696685 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.134548 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.0639732 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.091061 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0772364 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0532082 # DEPENDENCYPART_SIBL
(3,16),(3,27),-0.0325858 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.172493 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.167056 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.0231246 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.11095 # DEPENDENCYPART_SIBL
(3,21),(3,27),-0.0423508 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.034475 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0192459 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0226308 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00557258 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.03808 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0433771 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.015708 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0521898 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.152654 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.275029 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.393229 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0157915 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.210576 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0750489 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0706919 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0179384 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0228164 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0471577 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0706919 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0150755 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.026974 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.218333 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.035751 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00407364 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0478529 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0298281 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0127701 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0231871 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0478529 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0072785 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0573865 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0761829 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00751587 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.122277 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.094761 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0191493 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.031469 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.122277 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0349303 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.167945 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0189925 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0985652 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00211211 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0577728 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.318296 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0985652 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0215559 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0550467 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.105098 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.529309 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.34773 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.132233 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0097922 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.505829 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.335098 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.11142 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.171849 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.268538 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0717524 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.184861 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.130549 # DEPENDENCYPART_SIBL
(5,8),(5,27),0.0774696 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.188867 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0127522 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0664423 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.102751 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.005285 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0079043 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0466745 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0562519 # DEPENDENCYPART_SIBL
(5,12),(5,27),0.102951 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.505829 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.335098 # DEPENDENCYPART_SIBL
