# _root_ The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as the balanced-budget amendment . ''
#goldHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,15,18,19,22,20,22,25,22,28,28,25,3,3,
#predictedHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,17,18,19,22,20,22,25,22,28,28,25,3,3,
(3,1),(3,23),-0.11696 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.159767 # DEPENDENCYPART_SIBL
(3,1),(3,29),-0.239186 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0489237 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.142206 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0171926 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0906205 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.037401 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0165827 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.032532 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0212453 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.053174 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0398029 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0199497 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0249561 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0200356 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0441964 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0167586 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00222699 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0906205 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0724542 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0149171 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.0107585 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.109779 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0472486 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.100029 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.117682 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0221926 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.125527 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0833562 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0439292 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0753258 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.053855 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.11198 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.161481 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.110098 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.169962 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0472486 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0420708 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0967839 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0870458 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0884206 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0841539 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.110345 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0854254 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0272166 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0511969 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0325346 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0886043 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0688412 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.361335 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.168991 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.359453 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00330833 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0884206 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.0698868 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0581534 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.0513834 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.715616 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0654691 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.214538 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.114535 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0936776 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.322933 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0915917 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.188714 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0370165 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0525853 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0352296 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.150385 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0326593 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.34432 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.00931286 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.125254 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.170878 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00195206 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0959672 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00854102 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0103301 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0892527 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0733446 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.048445 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.108665 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0466914 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0917246 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0501745 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.159131 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.20844 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.179933 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0528728 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0400636 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.142155 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0277938 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00046369 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0120578 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.184426 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0517171 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.186476 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.120661 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.101552 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.021686 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0164519 # DEPENDENCYPART_SIBL
(3,8),(3,30),0.0270242 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.129878 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.102321 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0323166 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0178865 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0441865 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.208397 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0945109 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.20663 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0774334 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0464405 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0178257 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.0419092 # DEPENDENCYPART_SIBL
(3,10),(3,30),0.00439475 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0591482 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0398394 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0125039 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0301194 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.260513 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0503593 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.258755 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0489375 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.089668 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.0724329 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.0842646 # DEPENDENCYPART_SIBL
(3,11),(3,30),0.0266052 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00784943 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0141091 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.119294 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.156101 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0874815 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.155879 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0916628 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0618937 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0596653 # DEPENDENCYPART_SIBL
(3,12),(3,29),-0.0717999 # DEPENDENCYPART_SIBL
(3,12),(3,30),-0.0713516 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0853054 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0978258 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.15932 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.109339 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.157509 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.153273 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.021016 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.101357 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.00197705 # DEPENDENCYPART_SIBL
(3,13),(3,30),-0.00846176 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.225297 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.28062 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.221855 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.288258 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.368215 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0604773 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.180887 # DEPENDENCYPART_SIBL
(3,14),(3,29),-0.0769768 # DEPENDENCYPART_SIBL
(3,14),(3,30),0.00208451 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.22085 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.17888 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.218974 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.209468 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.0158076 # DEPENDENCYPART_SIBL
(3,15),(3,25),-0.142255 # DEPENDENCYPART_SIBL
(3,15),(3,29),0.0276968 # DEPENDENCYPART_SIBL
(3,15),(3,30),-0.012103 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.139916 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.359447 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0156348 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0940754 # DEPENDENCYPART_SIBL
(3,17),(3,25),0.0504721 # DEPENDENCYPART_SIBL
(3,17),(3,29),0.0607954 # DEPENDENCYPART_SIBL
(3,17),(3,30),0.0513863 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.123355 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.24541 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.0329435 # DEPENDENCYPART_SIBL
(3,18),(3,25),0.0530781 # DEPENDENCYPART_SIBL
(3,18),(3,29),-0.0179473 # DEPENDENCYPART_SIBL
(3,18),(3,30),-0.00575523 # DEPENDENCYPART_SIBL
