# _root_ Among these are the company 's Australian brewing assets , in the books at A$ 950 million but actually worth A$ 2.5 billion , he said .
#goldHeads=3,1,26,5,9,5,9,9,18,18,18,13,11,11,14,15,15,3,18,18,20,21,21,26,26,0,26,
#predictedHeads=3,1,26,5,9,5,9,9,3,9,18,13,11,13,14,15,15,9,20,18,20,21,21,26,26,0,26,
(5,6),(5,10),-0.0270449 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0134491 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0243714 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0270449 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.00500393 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0054433 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00560786 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0182531 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0139535 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00196452 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0182531 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.0047415 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0173718 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0182654 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0198494 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0129736 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0182654 # DEPENDENCYPART_SIBL
(5,8),(5,27),0.0217061 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00803328 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0230282 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0137259 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.00803328 # DEPENDENCYPART_SIBL
(5,9),(5,27),0.0203373 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.000584788 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0770257 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0537108 # DEPENDENCYPART_SIBL
(5,10),(5,27),0.0108725 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0342998 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0527559 # DEPENDENCYPART_SIBL
(5,11),(5,27),0.0171365 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.0345931 # DEPENDENCYPART_SIBL
(5,13),(5,27),0.0275879 # DEPENDENCYPART_SIBL
(5,24),(5,27),0.0108725 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0401101 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00548582 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0431389 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0506817 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0644923 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0202437 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00645894 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0231741 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0380172 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0186174 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.019058 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0369333 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00603401 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00937799 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00154402 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0744803 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.281564 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.082713 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.000425402 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0101678 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.124591 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.170303 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.166462 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.113686 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0785045 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00351034 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0686076 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0332601 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0197158 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0106959 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0220329 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00291799 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0175711 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.031467 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0886753 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.014903 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0305654 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00764449 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0252394 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00594414 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.00941322 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0167772 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.041887 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.000511532 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0377524 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0959503 # DEPENDENCYPART_SIBL
