# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,11,11,25,25,22,25,28,26,8,
(1,5),(1,9),-0.0332724 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.103754 # DEPENDENCYPART_SIBL
(1,5),(1,29),-0.0396172 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.634315 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.679452 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.372528 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.491846 # DEPENDENCYPART_SIBL
(1,6),(1,29),-0.199283 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.679444 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.372519 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.490705 # DEPENDENCYPART_SIBL
(1,7),(1,29),-0.20045 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.177725 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.241622 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.25044 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.256801 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0203288 # DEPENDENCYPART_SIBL
(1,10),(1,29),-0.115545 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0594994 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.127788 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00598761 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00778489 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00662646 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0614282 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.417011 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.172868 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.110379 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.124325 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0951739 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0912879 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00238381 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00332443 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0351428 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0363957 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00399287 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.267119 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00594111 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.124325 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.0394381 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.186284 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.117891 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0312936 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0274646 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.319755 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.138766 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.143412 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0597126 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0378249 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.144426 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0900116 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.117891 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.033263 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.169113 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0735094 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0825739 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0750672 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.101712 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.168556 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0558254 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.079923 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.173827 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0438247 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.169113 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0773268 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.73416 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.756172 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.353694 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.348748 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.32242 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.794151 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.302759 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.461746 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.277246 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0741985 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.00355325 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0989244 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.161799 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0578154 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0873913 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.084341 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.027198 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0479135 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.049004 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0660935 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.060717 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.161426 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0581884 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0890541 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0839489 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0246651 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0443796 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.048631 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0784062 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.0615308 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0224362 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00892523 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0324741 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0374046 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0598721 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0694976 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.084752 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0062871 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0709537 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0752552 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0470554 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0535018 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.128057 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0843631 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.0135128 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.06803 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.128692 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.101117 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0770022 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0872406 # DEPENDENCYPART_SIBL
(4,10),(4,29),0.00066833 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0536855 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0421742 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0898189 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0689908 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.0131077 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.00976799 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0448126 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0368299 # DEPENDENCYPART_SIBL
(4,15),(4,29),-0.0359927 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0358052 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0459425 # DEPENDENCYPART_SIBL
(4,16),(4,29),-0.0393941 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.00712329 # DEPENDENCYPART_SIBL
(4,17),(4,29),-0.0797423 # DEPENDENCYPART_SIBL
(4,21),(4,29),-0.00355325 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0600206 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00909107 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0259002 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.119039 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.115601 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0983913 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0405516 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.108989 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.205065 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.390764 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0387545 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0896448 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0901002 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0366416 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.445198 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.252637 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.146476 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.113735 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.325874 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00616175 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0475823 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.443378 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.24762 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.162379 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.122318 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0726611 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0355454 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0612584 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.180942 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.113442 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0193629 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0254297 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.042882 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.025737 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.139941 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.1156 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.13954 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00708969 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0757526 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0815616 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.102784 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.196107 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0366278 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0365746 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0410516 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.350375 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0455655 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0455651 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0251163 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0585529 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0618528 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0178335 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.00341132 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.198806 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.275947 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.145948 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.05593 # DEPENDENCYPART_SIBL
(8,1),(8,29),0.0431845 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0285401 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.2518 # DEPENDENCYPART_SIBL
