# _root_ `` It does n't replace pitching in the majors , but it proves to me that I would have been able to play if I 'd stayed healthy , '' he says .
#goldHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,20,26,27,32,32,32,0,32,
#predictedHeads=32,3,11,3,3,5,6,9,7,11,32,13,11,13,14,18,18,13,18,19,20,23,21,26,26,23,26,27,32,32,32,0,32,
(6,10),-0.988837 # DEPENDENCYPART_ARC
(6,11),-1.37763 # DEPENDENCYPART_ARC
(6,13),-1.81527 # DEPENDENCYPART_ARC
(6,14),-1.678 # DEPENDENCYPART_ARC
(6,18),-1.85361 # DEPENDENCYPART_ARC
(6,19),-1.99483 # DEPENDENCYPART_ARC
(6,20),-1.98744 # DEPENDENCYPART_ARC
(6,30),-0.0513532 # DEPENDENCYPART_ARC
(6,33),-1.98897 # DEPENDENCYPART_ARC
(7,4),-1.38485 # DEPENDENCYPART_ARC
(7,6),-0.414749 # DEPENDENCYPART_ARC
(7,8),-0.0195615 # DEPENDENCYPART_ARC
(7,9),0.0472225 # DEPENDENCYPART_ARC
(7,10),-1.01594 # DEPENDENCYPART_ARC
(7,11),-1.5565 # DEPENDENCYPART_ARC
(7,14),-2.09319 # DEPENDENCYPART_ARC
(9,4),-1.58826 # DEPENDENCYPART_ARC
(9,6),-1.2025 # DEPENDENCYPART_ARC
(9,7),-0.918261 # DEPENDENCYPART_ARC
(9,8),1.0332 # DEPENDENCYPART_ARC
(9,10),-0.187423 # DEPENDENCYPART_ARC
(9,11),-1.5688 # DEPENDENCYPART_ARC
(9,13),-1.81594 # DEPENDENCYPART_ARC
(9,14),-2.07628 # DEPENDENCYPART_ARC
(9,18),-1.92535 # DEPENDENCYPART_ARC
(11,1),-0.874687 # DEPENDENCYPART_ARC
(11,2),-1.6288 # DEPENDENCYPART_ARC
(11,3),-1.32946 # DEPENDENCYPART_ARC
(11,4),-1.42059 # DEPENDENCYPART_ARC
(11,5),-1.28865 # DEPENDENCYPART_ARC
(11,6),-1.29963 # DEPENDENCYPART_ARC
(11,7),-1.16526 # DEPENDENCYPART_ARC
(11,8),-1.34403 # DEPENDENCYPART_ARC
(11,9),-1.08385 # DEPENDENCYPART_ARC
(11,10),1.21793 # DEPENDENCYPART_ARC
(11,12),0.213757 # DEPENDENCYPART_ARC
(11,13),0.033513 # DEPENDENCYPART_ARC
(11,14),-1.17327 # DEPENDENCYPART_ARC
(11,16),-1.43661 # DEPENDENCYPART_ARC
(11,18),-0.992654 # DEPENDENCYPART_ARC
(11,19),-1.56975 # DEPENDENCYPART_ARC
(11,20),-1.54915 # DEPENDENCYPART_ARC
(11,23),-1.72962 # DEPENDENCYPART_ARC
(11,26),-1.25746 # DEPENDENCYPART_ARC
(11,29),-1.57708 # DEPENDENCYPART_ARC
(11,30),-0.868606 # DEPENDENCYPART_ARC
(11,32),-2.88771 # DEPENDENCYPART_ARC
(11,33),1.27846 # DEPENDENCYPART_ARC
(13,1),-1.3335 # DEPENDENCYPART_ARC
(13,2),-2.37902 # DEPENDENCYPART_ARC
(13,3),-1.42754 # DEPENDENCYPART_ARC
(13,4),-1.9623 # DEPENDENCYPART_ARC
(13,5),-1.6823 # DEPENDENCYPART_ARC
(13,6),-1.46928 # DEPENDENCYPART_ARC
(13,7),-1.38905 # DEPENDENCYPART_ARC
(13,8),-1.83969 # DEPENDENCYPART_ARC
(13,9),-2.04887 # DEPENDENCYPART_ARC
(13,10),-1.008 # DEPENDENCYPART_ARC
(13,11),-0.485445 # DEPENDENCYPART_ARC
(13,12),0.902424 # DEPENDENCYPART_ARC
(13,14),0.580536 # DEPENDENCYPART_ARC
(13,16),-0.747947 # DEPENDENCYPART_ARC
(13,18),-0.692739 # DEPENDENCYPART_ARC
(13,19),-0.649688 # DEPENDENCYPART_ARC
(13,20),-0.805226 # DEPENDENCYPART_ARC
(13,21),-1.29979 # DEPENDENCYPART_ARC
(13,22),-1.33947 # DEPENDENCYPART_ARC
(13,23),-0.87271 # DEPENDENCYPART_ARC
(13,26),-0.899222 # DEPENDENCYPART_ARC
(13,27),-1.05024 # DEPENDENCYPART_ARC
(13,29),-1.30813 # DEPENDENCYPART_ARC
(13,30),-0.347253 # DEPENDENCYPART_ARC
(13,32),-2.08989 # DEPENDENCYPART_ARC
(13,33),-1.61905 # DEPENDENCYPART_ARC
(14,15),0.48889 # DEPENDENCYPART_ARC
(14,16),-0.713968 # DEPENDENCYPART_ARC
(14,22),-1.05756 # DEPENDENCYPART_ARC
(15,16),-0.00119157 # DEPENDENCYPART_ARC
(15,19),-1.09452 # DEPENDENCYPART_ARC
(16,14),-1.37721 # DEPENDENCYPART_ARC
(16,17),-0.254999 # DEPENDENCYPART_ARC
(16,19),-1.52436 # DEPENDENCYPART_ARC
(16,21),-1.71066 # DEPENDENCYPART_ARC
(17,19),-0.903531 # DEPENDENCYPART_ARC
(18,1),-1.39427 # DEPENDENCYPART_ARC
(18,3),-1.65791 # DEPENDENCYPART_ARC
(18,4),-1.88744 # DEPENDENCYPART_ARC
(18,5),-1.70524 # DEPENDENCYPART_ARC
(18,6),-1.81293 # DEPENDENCYPART_ARC
(18,7),-1.40941 # DEPENDENCYPART_ARC
(18,8),-1.78447 # DEPENDENCYPART_ARC
(18,9),-1.8488 # DEPENDENCYPART_ARC
(18,10),-1.42518 # DEPENDENCYPART_ARC
(18,11),-0.732235 # DEPENDENCYPART_ARC
(18,13),-1.20331 # DEPENDENCYPART_ARC
(18,15),-0.700101 # DEPENDENCYPART_ARC
(18,16),0.017705 # DEPENDENCYPART_ARC
(18,17),0.931671 # DEPENDENCYPART_ARC
(18,19),1.50575 # DEPENDENCYPART_ARC
(18,20),-0.257529 # DEPENDENCYPART_ARC
(18,23),-0.897873 # DEPENDENCYPART_ARC
(18,24),-1.15132 # DEPENDENCYPART_ARC
(18,26),-1.06782 # DEPENDENCYPART_ARC
(18,29),-0.794135 # DEPENDENCYPART_ARC
(18,30),-0.996046 # DEPENDENCYPART_ARC
(18,33),-1.30645 # DEPENDENCYPART_ARC
(19,12),-2.28894 # DEPENDENCYPART_ARC
(19,13),-2.05254 # DEPENDENCYPART_ARC
(19,15),-1.83566 # DEPENDENCYPART_ARC
(19,16),-1.0031 # DEPENDENCYPART_ARC
(19,17),-1.22119 # DEPENDENCYPART_ARC
(19,20),1.03742 # DEPENDENCYPART_ARC
(19,21),-0.860575 # DEPENDENCYPART_ARC
(19,22),-1.2687 # DEPENDENCYPART_ARC
(19,23),-0.972137 # DEPENDENCYPART_ARC
(19,24),-1.31324 # DEPENDENCYPART_ARC
(19,25),-1.2776 # DEPENDENCYPART_ARC
(19,26),-1.16447 # DEPENDENCYPART_ARC
(19,27),-1.36907 # DEPENDENCYPART_ARC
(19,28),-1.49749 # DEPENDENCYPART_ARC
(19,30),-0.672288 # DEPENDENCYPART_ARC
(19,33),-1.80438 # DEPENDENCYPART_ARC
(20,16),-1.06681 # DEPENDENCYPART_ARC
(20,21),0.784872 # DEPENDENCYPART_ARC
(20,22),-0.552608 # DEPENDENCYPART_ARC
(20,23),-0.495075 # DEPENDENCYPART_ARC
(20,24),-0.988921 # DEPENDENCYPART_ARC
(20,26),-1.01194 # DEPENDENCYPART_ARC
(20,27),-1.19292 # DEPENDENCYPART_ARC
(20,28),-1.1698 # DEPENDENCYPART_ARC
(20,29),-1.02609 # DEPENDENCYPART_ARC
(20,30),-0.95211 # DEPENDENCYPART_ARC
(20,32),-2.15222 # DEPENDENCYPART_ARC
(20,33),-1.69442 # DEPENDENCYPART_ARC
(21,14),-1.15126 # DEPENDENCYPART_ARC
(21,17),-1.19915 # DEPENDENCYPART_ARC
(21,22),0.361682 # DEPENDENCYPART_ARC
(21,23),-0.288405 # DEPENDENCYPART_ARC
(21,24),-0.822515 # DEPENDENCYPART_ARC
(21,26),-0.883839 # DEPENDENCYPART_ARC
(21,27),-0.916434 # DEPENDENCYPART_ARC
(21,28),-0.908208 # DEPENDENCYPART_ARC
(21,32),-1.45519 # DEPENDENCYPART_ARC
(22,21),-0.161301 # DEPENDENCYPART_ARC
(22,23),-0.359315 # DEPENDENCYPART_ARC
(22,24),-1.41444 # DEPENDENCYPART_ARC
(23,7),-2.32794 # DEPENDENCYPART_ARC
(23,16),-0.880174 # DEPENDENCYPART_ARC
(23,17),-1.7126 # DEPENDENCYPART_ARC
(23,18),-1.47526 # DEPENDENCYPART_ARC
(23,21),-1.00846 # DEPENDENCYPART_ARC
(23,22),1.2171 # DEPENDENCYPART_ARC
(23,24),0.395666 # DEPENDENCYPART_ARC
(23,25),-0.811543 # DEPENDENCYPART_ARC
(23,26),-0.726516 # DEPENDENCYPART_ARC
(23,27),-1.071 # DEPENDENCYPART_ARC
(23,28),-1.46397 # DEPENDENCYPART_ARC
(23,29),-1.35921 # DEPENDENCYPART_ARC
(23,32),-2.37584 # DEPENDENCYPART_ARC
(24,22),-1.41044 # DEPENDENCYPART_ARC
(24,23),-0.42135 # DEPENDENCYPART_ARC
(24,25),-0.127451 # DEPENDENCYPART_ARC
(24,26),-1.13454 # DEPENDENCYPART_ARC
(24,28),-1.53894 # DEPENDENCYPART_ARC
(26,1),-1.32912 # DEPENDENCYPART_ARC
(26,3),-1.80422 # DEPENDENCYPART_ARC
(26,4),-1.95185 # DEPENDENCYPART_ARC
(26,6),-2.01206 # DEPENDENCYPART_ARC
(26,7),-1.78436 # DEPENDENCYPART_ARC
(26,9),-2.17814 # DEPENDENCYPART_ARC
(26,10),-1.98287 # DEPENDENCYPART_ARC
(26,11),-0.764332 # DEPENDENCYPART_ARC
(26,13),-1.51795 # DEPENDENCYPART_ARC
(26,16),-0.588888 # DEPENDENCYPART_ARC
(26,18),-1.19438 # DEPENDENCYPART_ARC
(26,19),-1.22121 # DEPENDENCYPART_ARC
(26,20),-1.23733 # DEPENDENCYPART_ARC
(26,21),-1.34707 # DEPENDENCYPART_ARC
(26,23),-1.05572 # DEPENDENCYPART_ARC
(26,24),-0.234806 # DEPENDENCYPART_ARC
(26,25),0.825609 # DEPENDENCYPART_ARC
(26,27),1.59997 # DEPENDENCYPART_ARC
(26,29),-0.718471 # DEPENDENCYPART_ARC
(26,30),-0.96697 # DEPENDENCYPART_ARC
(26,32),-1.44165 # DEPENDENCYPART_ARC
(26,33),-1.18615 # DEPENDENCYPART_ARC
(27,21),-2.2848 # DEPENDENCYPART_ARC
(27,24),-1.37789 # DEPENDENCYPART_ARC
(27,28),0.22301 # DEPENDENCYPART_ARC
(27,29),-0.975615 # DEPENDENCYPART_ARC
(27,30),-1.58499 # DEPENDENCYPART_ARC
(27,32),-2.11391 # DEPENDENCYPART_ARC
(28,21),-0.965751 # DEPENDENCYPART_ARC
(28,22),-0.903901 # DEPENDENCYPART_ARC
(28,24),-0.664302 # DEPENDENCYPART_ARC
(28,25),-0.923277 # DEPENDENCYPART_ARC
(28,29),-0.158974 # DEPENDENCYPART_ARC
(28,32),-1.50157 # DEPENDENCYPART_ARC
(32,1),0.830507 # DEPENDENCYPART_ARC
(32,3),-1.02296 # DEPENDENCYPART_ARC
(32,4),-1.76722 # DEPENDENCYPART_ARC
(32,5),-1.23708 # DEPENDENCYPART_ARC
(32,10),-3.75607 # DEPENDENCYPART_ARC
(32,11),-0.811574 # DEPENDENCYPART_ARC
(32,13),-1.26416 # DEPENDENCYPART_ARC
(32,16),-2.04019 # DEPENDENCYPART_ARC
(32,18),-1.26367 # DEPENDENCYPART_ARC
(32,19),-1.45228 # DEPENDENCYPART_ARC
(32,20),-1.09335 # DEPENDENCYPART_ARC
(32,21),-1.6828 # DEPENDENCYPART_ARC
(32,23),-1.13376 # DEPENDENCYPART_ARC
(32,24),-1.5514 # DEPENDENCYPART_ARC
(32,25),-1.99453 # DEPENDENCYPART_ARC
(32,26),-1.29694 # DEPENDENCYPART_ARC
(32,27),-1.04096 # DEPENDENCYPART_ARC
(32,28),-1.55055 # DEPENDENCYPART_ARC
(32,29),-0.645334 # DEPENDENCYPART_ARC
(32,30),-0.387241 # DEPENDENCYPART_ARC
(32,31),1.03942 # DEPENDENCYPART_ARC
(32,33),0.728808 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.163839 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.162074 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.138651 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.162074 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0738319 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.161672 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.186137 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.160819 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.138399 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.160819 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.072448 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.160417 # DEPENDENCYPART_SIBL
(0,5),(0,32),-0.184882 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.138399 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.164275 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.072448 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.163874 # DEPENDENCYPART_SIBL
(0,6),(0,32),-0.188339 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.134366 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0630688 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.134551 # DEPENDENCYPART_SIBL
(0,11),(0,32),-0.164412 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.072448 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.163881 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.188346 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.105031 # DEPENDENCYPART_SIBL
(0,18),(0,32),-0.113069 # DEPENDENCYPART_SIBL
(0,20),(0,32),-0.196404 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0099343 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0724625 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0331411 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.029907 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00439195 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0154513 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0349446 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0085772 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0265324 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.006597 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.00995643 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0349446 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.494207 # DEPENDENCYPART_SIBL
(3,1),(3,32),-0.004235 # DEPENDENCYPART_SIBL
(3,1),(3,33),0.0250821 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0753932 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0594114 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0563406 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0907021 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00676405 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.119038 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.13573 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.052966 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0847886 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0495963 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.119038 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.00794437 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.025258 # DEPENDENCYPART_SIBL
(3,2),(3,33),-0.032522 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.185081 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.185745 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.016488 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0172542 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0585618 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0305539 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.185577 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0401115 # DEPENDENCYPART_SIBL
(3,4),(3,26),0.0456149 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0585618 # DEPENDENCYPART_SIBL
(3,4),(3,30),0.0561479 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.152128 # DEPENDENCYPART_SIBL
(3,4),(3,33),0.098105 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0208303 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00858216 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0166229 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0248626 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0651243 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0206627 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0275472 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0211209 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0248626 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.026597 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0038779 # DEPENDENCYPART_SIBL
(3,5),(3,33),0.0573904 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0135884 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0216833 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0428388 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0701849 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0086767 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0326078 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0261815 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.0428388 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0215364 # DEPENDENCYPART_SIBL
(3,6),(3,32),-0.00810809 # DEPENDENCYPART_SIBL
(3,6),(3,33),0.0565272 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0180644 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.059836 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.076558 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0204762 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0506004 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0490392 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.059836 # DEPENDENCYPART_SIBL
(3,7),(3,30),-0.0785431 # DEPENDENCYPART_SIBL
(3,7),(3,32),0.0219446 # DEPENDENCYPART_SIBL
(3,7),(3,33),-0.0271091 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00194184 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.030955 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0571532 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0301019 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0103771 # DEPENDENCYPART_SIBL
(3,9),(3,29),-0.00194184 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.0205343 # DEPENDENCYPART_SIBL
(3,9),(3,32),0.0676029 # DEPENDENCYPART_SIBL
(3,9),(3,33),0.0650425 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.049803 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00520104 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0221156 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.0227498 # DEPENDENCYPART_SIBL
(3,10),(3,29),-0.0501138 # DEPENDENCYPART_SIBL
(3,10),(3,30),-0.0035327 # DEPENDENCYPART_SIBL
(3,10),(3,32),-0.0197986 # DEPENDENCYPART_SIBL
(3,10),(3,33),-0.0190847 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0150967 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0268388 # DEPENDENCYPART_SIBL
(3,11),(3,26),-0.00868622 # DEPENDENCYPART_SIBL
(3,11),(3,29),-0.0603445 # DEPENDENCYPART_SIBL
(3,11),(3,30),-0.00794669 # DEPENDENCYPART_SIBL
(3,11),(3,32),0.00482483 # DEPENDENCYPART_SIBL
(3,11),(3,33),0.041427 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0345018 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.0280755 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.0447327 # DEPENDENCYPART_SIBL
(3,13),(3,30),0.0196424 # DEPENDENCYPART_SIBL
(3,13),(3,32),-0.010009 # DEPENDENCYPART_SIBL
(3,13),(3,33),0.0471996 # DEPENDENCYPART_SIBL
(3,18),(3,26),-0.0571539 # DEPENDENCYPART_SIBL
(3,18),(3,29),-0.0310149 # DEPENDENCYPART_SIBL
(3,18),(3,30),-0.0473671 # DEPENDENCYPART_SIBL
(3,18),(3,32),0.0283375 # DEPENDENCYPART_SIBL
(3,18),(3,33),0.0509777 # DEPENDENCYPART_SIBL
(3,26),(3,29),-0.0333849 # DEPENDENCYPART_SIBL
(3,26),(3,30),0.000101994 # DEPENDENCYPART_SIBL
(3,26),(3,32),0.0353216 # DEPENDENCYPART_SIBL
(3,26),(3,33),0.0537269 # DEPENDENCYPART_SIBL
(3,29),(3,30),-0.0035327 # DEPENDENCYPART_SIBL
(3,29),(3,32),-0.0197986 # DEPENDENCYPART_SIBL
(3,29),(3,33),-0.0190847 # DEPENDENCYPART_SIBL
(3,30),(3,32),0.0251803 # DEPENDENCYPART_SIBL
(3,30),(3,33),-0.0373753 # DEPENDENCYPART_SIBL
(3,32),(3,33),0.0806763 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00665512 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0893099 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0894732 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0493965 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.110439 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.17379 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.174632 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0449708 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0643694 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0144427 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0811853 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00533609 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0812126 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00533627 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0101971 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0347475 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0326917 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00112386 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00501163 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0336598 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.039977 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00890748 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0654249 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0124418 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00163708 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00636805 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00394539 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00647955 # DEPENDENCYPART_SIBL
(5,1),(5,33),0.0338091 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0140709 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0364946 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0526958 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0146783 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0436962 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0124402 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0611367 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.117064 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0493213 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.190232 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.105807 # DEPENDENCYPART_SIBL
