# _root_ With no petroleum-related news or changes in the fundamentals to dictate price moves , `` technicians are wanting to sell this stuff , '' said Eric Bolling of Edge Trading Corp .
#goldHeads=17,4,4,5,1,5,6,9,7,11,5,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
#predictedHeads=17,5,5,5,1,5,6,9,7,11,9,13,11,17,17,17,25,17,20,18,22,20,25,25,0,27,25,27,31,31,28,25,
(11,7),-0.875982 # DEPENDENCYPART_ARC
(11,8),-1.45515 # DEPENDENCYPART_ARC
(11,9),-1.06247 # DEPENDENCYPART_ARC
(11,10),1.16513 # DEPENDENCYPART_ARC
(11,12),0.410422 # DEPENDENCYPART_ARC
(11,13),0.0808845 # DEPENDENCYPART_ARC
(11,14),-1.08412 # DEPENDENCYPART_ARC
(11,15),-1.48972 # DEPENDENCYPART_ARC
(11,16),-1.56496 # DEPENDENCYPART_ARC
(11,17),-1.5734 # DEPENDENCYPART_ARC
(11,18),-1.93153 # DEPENDENCYPART_ARC
(11,19),-2.20166 # DEPENDENCYPART_ARC
(11,20),-1.80079 # DEPENDENCYPART_ARC
(11,22),-2.15785 # DEPENDENCYPART_ARC
(11,23),-2.24269 # DEPENDENCYPART_ARC
(11,24),-1.01988 # DEPENDENCYPART_ARC
(11,25),-2.27715 # DEPENDENCYPART_ARC
(11,32),-1.63308 # DEPENDENCYPART_ARC
(12,8),-2.39262 # DEPENDENCYPART_ARC
(12,10),-1.63924 # DEPENDENCYPART_ARC
(12,16),-2.19968 # DEPENDENCYPART_ARC
(12,17),-2.11082 # DEPENDENCYPART_ARC
(13,1),-1.44983 # DEPENDENCYPART_ARC
(13,5),-0.865687 # DEPENDENCYPART_ARC
(13,8),-1.081 # DEPENDENCYPART_ARC
(13,9),-0.833198 # DEPENDENCYPART_ARC
(13,10),-1.32658 # DEPENDENCYPART_ARC
(13,11),-0.35481 # DEPENDENCYPART_ARC
(13,12),2.39009 # DEPENDENCYPART_ARC
(13,14),-0.174604 # DEPENDENCYPART_ARC
(13,15),-1.85077 # DEPENDENCYPART_ARC
(13,16),-1.87985 # DEPENDENCYPART_ARC
(13,17),-2.06809 # DEPENDENCYPART_ARC
(13,18),-2.4822 # DEPENDENCYPART_ARC
(13,20),-2.58332 # DEPENDENCYPART_ARC
(13,22),-1.71037 # DEPENDENCYPART_ARC
(13,23),-1.57384 # DEPENDENCYPART_ARC
(13,24),-1.39373 # DEPENDENCYPART_ARC
(13,27),-1.82625 # DEPENDENCYPART_ARC
(13,31),-2.22057 # DEPENDENCYPART_ARC
(13,32),-2.13864 # DEPENDENCYPART_ARC
(16,8),-2.36174 # DEPENDENCYPART_ARC
(16,11),-1.70363 # DEPENDENCYPART_ARC
(16,12),-1.25319 # DEPENDENCYPART_ARC
(16,13),-1.58908 # DEPENDENCYPART_ARC
(16,14),-1.20115 # DEPENDENCYPART_ARC
(16,15),0.351885 # DEPENDENCYPART_ARC
(16,17),-0.196793 # DEPENDENCYPART_ARC
(16,18),-1.06436 # DEPENDENCYPART_ARC
(16,20),-1.38793 # DEPENDENCYPART_ARC
(16,22),-1.18153 # DEPENDENCYPART_ARC
(16,27),-1.55793 # DEPENDENCYPART_ARC
(17,1),-0.915227 # DEPENDENCYPART_ARC
(17,2),-2.00793 # DEPENDENCYPART_ARC
(17,3),-1.67269 # DEPENDENCYPART_ARC
(17,4),-1.91328 # DEPENDENCYPART_ARC
(17,5),-1.28515 # DEPENDENCYPART_ARC
(17,6),-1.70526 # DEPENDENCYPART_ARC
(17,7),-1.38408 # DEPENDENCYPART_ARC
(17,9),-1.81806 # DEPENDENCYPART_ARC
(17,10),-2.25049 # DEPENDENCYPART_ARC
(17,11),-1.29996 # DEPENDENCYPART_ARC
(17,13),-1.77754 # DEPENDENCYPART_ARC
(17,14),-0.882111 # DEPENDENCYPART_ARC
(17,15),-0.454597 # DEPENDENCYPART_ARC
(17,16),1.11283 # DEPENDENCYPART_ARC
(17,18),1.69945 # DEPENDENCYPART_ARC
(17,19),-0.864678 # DEPENDENCYPART_ARC
(17,20),-0.625503 # DEPENDENCYPART_ARC
(17,21),-1.24597 # DEPENDENCYPART_ARC
(17,22),-1.14722 # DEPENDENCYPART_ARC
(17,23),-1.51192 # DEPENDENCYPART_ARC
(17,24),-1.08691 # DEPENDENCYPART_ARC
(17,25),-2.25044 # DEPENDENCYPART_ARC
(17,32),-0.830562 # DEPENDENCYPART_ARC
(18,14),-2.25195 # DEPENDENCYPART_ARC
(18,16),-1.4555 # DEPENDENCYPART_ARC
(18,19),0.287356 # DEPENDENCYPART_ARC
(18,20),0.134665 # DEPENDENCYPART_ARC
(18,21),-1.28757 # DEPENDENCYPART_ARC
(18,22),-0.890611 # DEPENDENCYPART_ARC
(18,23),-1.42691 # DEPENDENCYPART_ARC
(18,24),-1.44639 # DEPENDENCYPART_ARC
(18,25),-2.1098 # DEPENDENCYPART_ARC
(18,27),-2.08434 # DEPENDENCYPART_ARC
(18,32),-1.6842 # DEPENDENCYPART_ARC
(19,20),-0.365118 # DEPENDENCYPART_ARC
(19,22),-1.84639 # DEPENDENCYPART_ARC
(19,25),-2.42027 # DEPENDENCYPART_ARC
(19,27),-3.30719 # DEPENDENCYPART_ARC
(20,7),-1.99158 # DEPENDENCYPART_ARC
(20,11),-1.72197 # DEPENDENCYPART_ARC
(20,13),-2.66482 # DEPENDENCYPART_ARC
(20,14),-2.14675 # DEPENDENCYPART_ARC
(20,15),-1.37732 # DEPENDENCYPART_ARC
(20,16),-1.40183 # DEPENDENCYPART_ARC
(20,17),-1.71524 # DEPENDENCYPART_ARC
(20,18),-1.1978 # DEPENDENCYPART_ARC
(20,19),1.26182 # DEPENDENCYPART_ARC
(20,21),0.0135002 # DEPENDENCYPART_ARC
(20,22),0.244586 # DEPENDENCYPART_ARC
(20,23),-1.22998 # DEPENDENCYPART_ARC
(20,24),-1.53082 # DEPENDENCYPART_ARC
(20,25),-2.18241 # DEPENDENCYPART_ARC
(20,26),-2.09996 # DEPENDENCYPART_ARC
(20,27),-1.46912 # DEPENDENCYPART_ARC
(20,28),-2.65201 # DEPENDENCYPART_ARC
(20,31),-2.06056 # DEPENDENCYPART_ARC
(22,15),-1.4873 # DEPENDENCYPART_ARC
(22,19),-1.61557 # DEPENDENCYPART_ARC
(22,20),-0.724091 # DEPENDENCYPART_ARC
(22,21),1.1353 # DEPENDENCYPART_ARC
(22,23),-0.354452 # DEPENDENCYPART_ARC
(22,24),-1.48792 # DEPENDENCYPART_ARC
(22,25),-2.04465 # DEPENDENCYPART_ARC
(22,27),-2.05652 # DEPENDENCYPART_ARC
(22,28),-2.27553 # DEPENDENCYPART_ARC
(22,31),-2.33669 # DEPENDENCYPART_ARC
(25,1),-2.00927 # DEPENDENCYPART_ARC
(25,4),-2.14125 # DEPENDENCYPART_ARC
(25,5),-1.46678 # DEPENDENCYPART_ARC
(25,6),-2.04783 # DEPENDENCYPART_ARC
(25,7),-1.54103 # DEPENDENCYPART_ARC
(25,9),-2.10407 # DEPENDENCYPART_ARC
(25,11),-1.60439 # DEPENDENCYPART_ARC
(25,13),-1.91755 # DEPENDENCYPART_ARC
(25,14),-2.47392 # DEPENDENCYPART_ARC
(25,15),-0.972066 # DEPENDENCYPART_ARC
(25,16),-2.75132 # DEPENDENCYPART_ARC
(25,17),-1.35947 # DEPENDENCYPART_ARC
(25,18),-1.15608 # DEPENDENCYPART_ARC
(25,19),-1.76255 # DEPENDENCYPART_ARC
(25,20),-1.23935 # DEPENDENCYPART_ARC
(25,21),-1.6817 # DEPENDENCYPART_ARC
(25,22),-1.94401 # DEPENDENCYPART_ARC
(25,23),-0.315921 # DEPENDENCYPART_ARC
(25,24),0.680579 # DEPENDENCYPART_ARC
(25,26),0.17768 # DEPENDENCYPART_ARC
(25,27),0.020788 # DEPENDENCYPART_ARC
(25,28),-0.75141 # DEPENDENCYPART_ARC
(25,29),-1.14203 # DEPENDENCYPART_ARC
(25,30),-1.1146 # DEPENDENCYPART_ARC
(25,31),-0.958615 # DEPENDENCYPART_ARC
(25,32),1.0206 # DEPENDENCYPART_ARC
(26,27),-0.525295 # DEPENDENCYPART_ARC
(26,28),-1.07078 # DEPENDENCYPART_ARC
(26,31),-2.1965 # DEPENDENCYPART_ARC
(27,21),-2.81183 # DEPENDENCYPART_ARC
(27,22),-2.40847 # DEPENDENCYPART_ARC
(27,24),-1.82019 # DEPENDENCYPART_ARC
(27,25),-1.09494 # DEPENDENCYPART_ARC
(27,26),1.45775 # DEPENDENCYPART_ARC
(27,28),0.370878 # DEPENDENCYPART_ARC
(27,29),-1.02368 # DEPENDENCYPART_ARC
(27,30),-1.24703 # DEPENDENCYPART_ARC
(27,31),-1.50128 # DEPENDENCYPART_ARC
(27,32),-1.16219 # DEPENDENCYPART_ARC
(28,29),-0.0420093 # DEPENDENCYPART_ARC
(28,30),-0.815243 # DEPENDENCYPART_ARC
(28,31),-1.14068 # DEPENDENCYPART_ARC
(29,30),-0.49732 # DEPENDENCYPART_ARC
(29,31),-1.55644 # DEPENDENCYPART_ARC
(30,26),-1.87976 # DEPENDENCYPART_ARC
(30,29),-0.0375992 # DEPENDENCYPART_ARC
(30,31),-0.772664 # DEPENDENCYPART_ARC
(31,22),-2.81956 # DEPENDENCYPART_ARC
(31,26),-0.463041 # DEPENDENCYPART_ARC
(31,27),-1.05043 # DEPENDENCYPART_ARC
(31,29),0.5996 # DEPENDENCYPART_ARC
(31,30),1.571 # DEPENDENCYPART_ARC
(31,32),-0.24896 # DEPENDENCYPART_ARC
(32,27),-1.60683 # DEPENDENCYPART_ARC
(32,31),-0.646968 # DEPENDENCYPART_ARC
(0,5),(0,17),-0.132166 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.148391 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.263344 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00858022 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.028994 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0527321 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0160911 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0587126 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0255064 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00724314 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0240647 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0144592 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0219072 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0177365 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0520378 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0759583 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0414694 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0465826 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0500392 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0103665 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0486517 # DEPENDENCYPART_SIBL
(1,3),(1,17),7.33447e-05 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0126988 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0100781 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.130864 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0995825 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0658172 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.107911 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0591459 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.105252 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0374184 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0578418 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.0562138 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00860845 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0284215 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0180259 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0207602 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0165325 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0033886 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0098614 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.0142467 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0681686 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.101726 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0644212 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0990663 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0300898 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0505139 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0462771 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0353231 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0841775 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0291963 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0346201 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0415515 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0504045 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0590765 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.103951 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0369444 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.057369 # DEPENDENCYPART_SIBL
(1,9),(1,25),-0.055741 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0295026 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0291589 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0214881 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.0303367 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0389515 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.0593761 # DEPENDENCYPART_SIBL
(1,13),(1,25),-0.057748 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.0478129 # DEPENDENCYPART_SIBL
(1,17),(1,25),-0.0609909 # DEPENDENCYPART_SIBL
(1,18),(1,25),-0.0589851 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0136372 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00120849 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00520785 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0433983 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0343312 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.02819 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0744701 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00474168 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00974399 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.172807 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00407176 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0151148 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0099848 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00706784 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00217895 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0269318 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0243383 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0090204 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0172853 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0265956 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0566828 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0658656 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00541387 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0235261 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0463007 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0108083 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0962931 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.106491 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0186571 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0327051 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00356229 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0201122 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0308123 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00228741 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0468458 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00230479 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0420027 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0127429 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.011715 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0231049 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0298417 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0137909 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0270651 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00103582 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0473217 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00989997 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00451337 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0298477 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.018469 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00644623 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0070119 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0348292 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0937088 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.154635 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0509408 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0961594 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0362434 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0315224 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.094892 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0891562 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0145709 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0919647 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0179877 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0358846 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0466826 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0891562 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.00328534 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.00640788 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0630753 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0378719 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0425494 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0617 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00481667 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0450436 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0185827 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0436796 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0470274 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0686594 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0273001 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.048399 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0599582 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0455343 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0121029 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0686594 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0164611 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0464197 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00750748 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0197351 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0122002 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0340829 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0227849 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0052197 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0460166 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0266388 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0539766 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0533294 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.027271 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0224215 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0503749 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.00493294 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0539766 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.00138026 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0335993 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0859489 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0166135 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0700886 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0933822 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.112749 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0471521 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0989606 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0279511 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00771038 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.103617 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0217921 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0605351 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00632194 # DEPENDENCYPART_SIBL
