# _root_ `` We 've started trying just about anything to keep sales moving in the stores , '' says Kim Renk , a Swank vice president .
#goldHeads=18,3,18,3,4,8,8,5,10,5,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
#predictedHeads=18,3,18,3,4,7,5,7,10,8,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
(12,7),-1.61773 # DEPENDENCYPART_ARC
(12,8),-1.36761 # DEPENDENCYPART_ARC
(12,11),-0.481122 # DEPENDENCYPART_ARC
(12,13),0.855141 # DEPENDENCYPART_ARC
(12,14),-0.989078 # DEPENDENCYPART_ARC
(12,15),-1.08308 # DEPENDENCYPART_ARC
(12,16),-1.14629 # DEPENDENCYPART_ARC
(12,17),-1.33792 # DEPENDENCYPART_ARC
(12,18),-1.98654 # DEPENDENCYPART_ARC
(12,20),-2.71388 # DEPENDENCYPART_ARC
(12,21),-1.97731 # DEPENDENCYPART_ARC
(12,26),-1.36626 # DEPENDENCYPART_ARC
(13,9),-1.6816 # DEPENDENCYPART_ARC
(13,11),-1.56062 # DEPENDENCYPART_ARC
(13,12),-0.521484 # DEPENDENCYPART_ARC
(13,14),0.0207147 # DEPENDENCYPART_ARC
(13,15),0.0836781 # DEPENDENCYPART_ARC
(13,16),-1.00932 # DEPENDENCYPART_ARC
(13,17),-1.45509 # DEPENDENCYPART_ARC
(13,18),-1.95453 # DEPENDENCYPART_ARC
(13,20),-2.71609 # DEPENDENCYPART_ARC
(13,25),-3.44988 # DEPENDENCYPART_ARC
(15,6),-1.8307 # DEPENDENCYPART_ARC
(15,14),1.0474 # DEPENDENCYPART_ARC
(15,16),-0.190558 # DEPENDENCYPART_ARC
(15,17),-1.40143 # DEPENDENCYPART_ARC
(15,18),-1.79552 # DEPENDENCYPART_ARC
(15,20),-1.91044 # DEPENDENCYPART_ARC
(15,21),-1.50395 # DEPENDENCYPART_ARC
(15,25),-2.27243 # DEPENDENCYPART_ARC
(15,26),-2.01336 # DEPENDENCYPART_ARC
(18,1),-0.159309 # DEPENDENCYPART_ARC
(18,3),-1.31299 # DEPENDENCYPART_ARC
(18,4),-1.3249 # DEPENDENCYPART_ARC
(18,5),-1.04368 # DEPENDENCYPART_ARC
(18,6),-2.0292 # DEPENDENCYPART_ARC
(18,7),-2.23454 # DEPENDENCYPART_ARC
(18,8),-2.20347 # DEPENDENCYPART_ARC
(18,9),-1.85268 # DEPENDENCYPART_ARC
(18,10),-1.24386 # DEPENDENCYPART_ARC
(18,11),-2.25901 # DEPENDENCYPART_ARC
(18,12),-0.981734 # DEPENDENCYPART_ARC
(18,13),-1.42092 # DEPENDENCYPART_ARC
(18,14),-1.61774 # DEPENDENCYPART_ARC
(18,15),-1.81356 # DEPENDENCYPART_ARC
(18,16),-0.229744 # DEPENDENCYPART_ARC
(18,17),0.614247 # DEPENDENCYPART_ARC
(18,19),0.415912 # DEPENDENCYPART_ARC
(18,20),0.125936 # DEPENDENCYPART_ARC
(18,21),-0.734463 # DEPENDENCYPART_ARC
(18,23),-1.75514 # DEPENDENCYPART_ARC
(18,24),-1.95524 # DEPENDENCYPART_ARC
(18,25),-1.91431 # DEPENDENCYPART_ARC
(18,26),-0.181481 # DEPENDENCYPART_ARC
(19,20),-0.753189 # DEPENDENCYPART_ARC
(19,25),-2.50439 # DEPENDENCYPART_ARC
(20,14),-2.01312 # DEPENDENCYPART_ARC
(20,15),-1.95712 # DEPENDENCYPART_ARC
(20,17),-1.42417 # DEPENDENCYPART_ARC
(20,19),1.76668 # DEPENDENCYPART_ARC
(20,21),0.466674 # DEPENDENCYPART_ARC
(20,23),-1.56566 # DEPENDENCYPART_ARC
(20,24),-1.66387 # DEPENDENCYPART_ARC
(20,25),-1.85496 # DEPENDENCYPART_ARC
(20,26),-1.73132 # DEPENDENCYPART_ARC
(23,22),-0.623679 # DEPENDENCYPART_ARC
(23,24),-0.485421 # DEPENDENCYPART_ARC
(24,22),-0.710402 # DEPENDENCYPART_ARC
(24,23),0.243825 # DEPENDENCYPART_ARC
(24,25),-0.71597 # DEPENDENCYPART_ARC
(25,14),-1.14878 # DEPENDENCYPART_ARC
(25,19),-1.21097 # DEPENDENCYPART_ARC
(25,20),-1.5338 # DEPENDENCYPART_ARC
(25,21),-1.25577 # DEPENDENCYPART_ARC
(25,22),-0.139646 # DEPENDENCYPART_ARC
(25,23),0.788069 # DEPENDENCYPART_ARC
(25,24),1.88308 # DEPENDENCYPART_ARC
(25,26),-0.162343 # DEPENDENCYPART_ARC
(26,25),-0.375724 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.161058 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.165395 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.18851 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.166679 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.189789 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.189253 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00303737 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0979674 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0919682 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0929492 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0266552 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0163536 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.042413 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0319387 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0728121 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0931275 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0599461 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.10125 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.565276 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0370798 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.10125 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.157931 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.109946 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.138783 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0563894 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.014022 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00514963 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0533532 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0847839 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.102521 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0286846 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0479499 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.060676 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0619976 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0479499 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.174143 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.000999824 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0495846 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0312799 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0175794 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0291601 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00950761 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00577379 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00326767 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00271378 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0374116 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.025119 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.00271378 # DEPENDENCYPART_SIBL
(3,4),(3,26),0.041758 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0654584 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0476386 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0334512 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0450354 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0262035 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0219389 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0130969 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0189559 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00874745 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0412842 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0189559 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.00324631 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0312605 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0689345 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00959653 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00758372 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00143628 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.012805 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0237118 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0202392 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0271925 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0237118 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0511464 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0556926 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0354405 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0359018 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0376955 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0373851 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0288165 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0391216 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0111686 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0288165 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0597226 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0235579 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0112661 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0231069 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0392153 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00205582 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00573379 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0151887 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.00205582 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.000138338 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0131854 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00560371 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00431014 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00871576 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0364763 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0130171 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00871576 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.00427098 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0222878 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0179244 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0153633 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00734063 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0416331 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0153633 # DEPENDENCYPART_SIBL
(3,10),(3,26),0.0124175 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0173699 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0189403 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.000766244 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0450519 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0189403 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0140656 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.000420798 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0583136 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0274654 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.000420798 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.0277194 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0269783 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0089562 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0130946 # DEPENDENCYPART_SIBL
(3,16),(3,26),-0.00822202 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.00301785 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.031773 # DEPENDENCYPART_SIBL
(3,17),(3,26),-0.0770445 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0347936 # DEPENDENCYPART_SIBL
(3,18),(3,26),0.03678 # DEPENDENCYPART_SIBL
(3,21),(3,26),-0.00822202 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0355968 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0270387 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0565847 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.010762 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0403796 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00744215 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0368193 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.024598 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00509698 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0399199 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0199477 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0188273 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0399199 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0225224 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.06133 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0328967 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0158716 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0362932 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0144302 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0104912 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0101657 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00137663 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00365434 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00953871 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0291218 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.00365434 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0194151 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0245604 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.062403 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0079059 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00825645 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0546503 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00076354 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00721362 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00348984 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0187735 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0272687 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00348984 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0503166 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0422323 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0281767 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0255359 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0333554 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0273297 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0282229 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00389633 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.036443 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.000467151 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.00389633 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0442059 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0267197 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0186413 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0158457 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0304822 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0423943 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.022533 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00699017 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0229529 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.022533 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.00682475 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0109805 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0178893 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00339888 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0063139 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0061725 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0410551 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0104247 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0061725 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.000953338 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0111954 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0105146 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00345093 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00724695 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00813189 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0294707 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.00724695 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0285862 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00451536 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.000715763 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0173137 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0236513 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0120108 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0173137 # DEPENDENCYPART_SIBL
(4,11),(4,26),-0.0275138 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00289645 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00366999 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0015575 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0328895 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.00366999 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.00210312 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.027813 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0528727 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0409027 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.027813 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.00911399 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0422189 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0213059 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.03521 # DEPENDENCYPART_SIBL
(4,16),(4,26),0.0159826 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.00742829 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0116879 # DEPENDENCYPART_SIBL
(4,17),(4,26),-0.0628358 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.057354 # DEPENDENCYPART_SIBL
(4,18),(4,26),0.0529008 # DEPENDENCYPART_SIBL
(4,21),(4,26),0.0159826 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00323739 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0129024 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00248019 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0314797 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0284085 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0877389 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0218807 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0590725 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.039632 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0166667 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0367288 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0116903 # DEPENDENCYPART_SIBL
