# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(10,20),-1.65147 # DEPENDENCYPART_ARC
(10,21),-1.83354 # DEPENDENCYPART_ARC
(10,24),-1.59417 # DEPENDENCYPART_ARC
(11,3),-2.19021 # DEPENDENCYPART_ARC
(11,7),-1.38239 # DEPENDENCYPART_ARC
(11,10),-0.53087 # DEPENDENCYPART_ARC
(11,12),-0.0232589 # DEPENDENCYPART_ARC
(11,13),-0.249476 # DEPENDENCYPART_ARC
(11,14),-0.552465 # DEPENDENCYPART_ARC
(11,15),-1.32143 # DEPENDENCYPART_ARC
(11,16),-1.83102 # DEPENDENCYPART_ARC
(11,17),-1.78521 # DEPENDENCYPART_ARC
(11,18),-1.66107 # DEPENDENCYPART_ARC
(11,20),-2.2461 # DEPENDENCYPART_ARC
(12,13),-0.473962 # DEPENDENCYPART_ARC
(13,4),-3.32543 # DEPENDENCYPART_ARC
(13,12),-0.00590219 # DEPENDENCYPART_ARC
(13,14),-0.677782 # DEPENDENCYPART_ARC
(13,15),-0.912766 # DEPENDENCYPART_ARC
(13,18),-1.55902 # DEPENDENCYPART_ARC
(14,1),-1.77414 # DEPENDENCYPART_ARC
(14,5),-1.72484 # DEPENDENCYPART_ARC
(14,7),-1.35807 # DEPENDENCYPART_ARC
(14,8),-1.637 # DEPENDENCYPART_ARC
(14,10),-1.03162 # DEPENDENCYPART_ARC
(14,11),-0.876132 # DEPENDENCYPART_ARC
(14,12),0.509435 # DEPENDENCYPART_ARC
(14,13),1.65099 # DEPENDENCYPART_ARC
(14,15),-0.403628 # DEPENDENCYPART_ARC
(14,16),-1.42363 # DEPENDENCYPART_ARC
(14,17),-1.46722 # DEPENDENCYPART_ARC
(14,18),-1.57029 # DEPENDENCYPART_ARC
(14,20),-1.64209 # DEPENDENCYPART_ARC
(14,23),-1.90161 # DEPENDENCYPART_ARC
(14,24),-1.70756 # DEPENDENCYPART_ARC
(15,1),-1.37766 # DEPENDENCYPART_ARC
(15,2),-1.93112 # DEPENDENCYPART_ARC
(15,3),-2.70823 # DEPENDENCYPART_ARC
(15,4),-1.85195 # DEPENDENCYPART_ARC
(15,5),-0.571759 # DEPENDENCYPART_ARC
(15,6),-0.336194 # DEPENDENCYPART_ARC
(15,7),-0.632111 # DEPENDENCYPART_ARC
(15,8),-1.39246 # DEPENDENCYPART_ARC
(15,9),-1.16341 # DEPENDENCYPART_ARC
(15,10),-0.43782 # DEPENDENCYPART_ARC
(15,11),-0.431076 # DEPENDENCYPART_ARC
(15,12),-1.00633 # DEPENDENCYPART_ARC
(15,13),-0.462574 # DEPENDENCYPART_ARC
(15,14),0.757464 # DEPENDENCYPART_ARC
(15,16),0.291186 # DEPENDENCYPART_ARC
(15,17),0.36528 # DEPENDENCYPART_ARC
(15,18),-0.183132 # DEPENDENCYPART_ARC
(15,20),-0.355647 # DEPENDENCYPART_ARC
(15,21),-0.675502 # DEPENDENCYPART_ARC
(15,22),-1.04426 # DEPENDENCYPART_ARC
(15,24),0.223203 # DEPENDENCYPART_ARC
(16,12),-1.58924 # DEPENDENCYPART_ARC
(16,13),-1.46878 # DEPENDENCYPART_ARC
(16,17),-0.160036 # DEPENDENCYPART_ARC
(16,20),-1.39454 # DEPENDENCYPART_ARC
(16,21),-1.42296 # DEPENDENCYPART_ARC
(16,23),-1.55677 # DEPENDENCYPART_ARC
(17,7),-1.50648 # DEPENDENCYPART_ARC
(17,8),-2.56242 # DEPENDENCYPART_ARC
(17,11),-1.51183 # DEPENDENCYPART_ARC
(17,12),-1.35739 # DEPENDENCYPART_ARC
(17,13),-1.26024 # DEPENDENCYPART_ARC
(17,14),-1.44758 # DEPENDENCYPART_ARC
(17,15),-0.79806 # DEPENDENCYPART_ARC
(17,16),0.841415 # DEPENDENCYPART_ARC
(17,18),-0.0500306 # DEPENDENCYPART_ARC
(17,19),-1.2366 # DEPENDENCYPART_ARC
(17,20),-1.13586 # DEPENDENCYPART_ARC
(17,21),-1.23971 # DEPENDENCYPART_ARC
(17,22),-1.49103 # DEPENDENCYPART_ARC
(17,23),-1.49823 # DEPENDENCYPART_ARC
(17,24),-1.22548 # DEPENDENCYPART_ARC
(18,16),-1.19114 # DEPENDENCYPART_ARC
(18,17),-0.31582 # DEPENDENCYPART_ARC
(18,19),0.17331 # DEPENDENCYPART_ARC
(18,20),-0.181527 # DEPENDENCYPART_ARC
(18,21),-0.92408 # DEPENDENCYPART_ARC
(18,22),-0.907976 # DEPENDENCYPART_ARC
(18,24),-0.706653 # DEPENDENCYPART_ARC
(19,21),-1.10888 # DEPENDENCYPART_ARC
(20,12),-2.08297 # DEPENDENCYPART_ARC
(20,16),-1.1628 # DEPENDENCYPART_ARC
(20,17),-1.24314 # DEPENDENCYPART_ARC
(20,18),-0.982359 # DEPENDENCYPART_ARC
(20,19),1.15522 # DEPENDENCYPART_ARC
(20,21),0.604474 # DEPENDENCYPART_ARC
(20,22),-0.833361 # DEPENDENCYPART_ARC
(20,23),-0.935864 # DEPENDENCYPART_ARC
(20,24),-0.780771 # DEPENDENCYPART_ARC
(21,17),-1.42534 # DEPENDENCYPART_ARC
(21,18),-1.40758 # DEPENDENCYPART_ARC
(21,19),-1.23873 # DEPENDENCYPART_ARC
(21,20),-0.365123 # DEPENDENCYPART_ARC
(21,22),-0.262957 # DEPENDENCYPART_ARC
(21,23),-0.807616 # DEPENDENCYPART_ARC
(21,24),-1.23157 # DEPENDENCYPART_ARC
(22,19),-1.38029 # DEPENDENCYPART_ARC
(22,20),-1.16292 # DEPENDENCYPART_ARC
(22,21),0.110785 # DEPENDENCYPART_ARC
(22,23),-0.0179953 # DEPENDENCYPART_ARC
(22,24),-1.10008 # DEPENDENCYPART_ARC
(23,19),-0.798569 # DEPENDENCYPART_ARC
(23,20),-0.763718 # DEPENDENCYPART_ARC
(23,21),-0.700588 # DEPENDENCYPART_ARC
(23,22),0.958266 # DEPENDENCYPART_ARC
(23,24),0.180821 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0250486 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0618658 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0156998 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0280829 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0356019 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0951515 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00251397 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0154616 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0320459 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0319438 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.090097 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0398423 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.000584862 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.000709612 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0705933 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0321065 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0320044 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0900974 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0511068 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.091498 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.102772 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0575008 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00582313 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0165843 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0568713 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0178631 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0585772 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.021439 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0422233 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.081465 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.115293 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.000145724 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.01013 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00657651 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00844665 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0275738 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.00759792 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0517168 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0181236 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0584755 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.016932 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0601815 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0205079 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0437673 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0823955 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.014349 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0112614 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0209238 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0167411 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.013429 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.103412 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0208617 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0561011 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00150525 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0220392 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0479749 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0206784 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.007256 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.063706 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.00856199 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00135534 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0310942 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0480952 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0555061 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0154222 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.100215 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0478918 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0461875 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0578748 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0267707 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.040167 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00485051 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0017445 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00263879 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0153739 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0193491 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0153763 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00347329 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0158986 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0253236 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0408744 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0215367 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0535678 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00255946 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0970589 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0044797 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0310626 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.02562 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0310765 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0026617 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0213819 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0100751 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0429682 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0134709 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0429682 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00463893 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00506672 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00572043 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0433054 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.000851628 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0901446 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0145048 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.016204 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0705079 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0193897 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0196905 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00058793 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0455352 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0117093 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0180678 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0178679 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0096448 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.153577 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0113387 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0472081 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0745165 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0655849 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0204625 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0470099 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0617008 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0464513 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00693544 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0438697 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0549865 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0470106 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0342572 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.037669 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0362673 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0383178 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0450542 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0562269 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.00411551 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.173036 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0235996 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.000875686 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0303275 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0130771 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0189205 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0241829 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0839055 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0225669 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.014386 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0368069 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0631442 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0009487 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.005478 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0599427 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0316901 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00843624 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0134536 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.18892 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.11313 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.186438 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.173901 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0169468 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.166527 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0783264 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00115353 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0304977 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0126852 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0139357 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0200333 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0837362 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0184174 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00733727 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0376773 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0586945 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.00181822 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0875295 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.143924 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0826056 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0200176 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00931559 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0189861 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0281923 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.013497 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0286867 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0316649 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0352841 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0420633 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0339465 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0754223 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0377903 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0272778 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0182179 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.00572656 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0546669 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0212048 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0154308 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0354289 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0162351 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0242265 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0220032 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0238539 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.00928888 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0157456 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00812322 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0149493 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0250198 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00646377 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0220259 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.00876042 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0253416 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0165731 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0262612 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0108685 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0097406 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.0156177 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.00165205 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00850117 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.00116241 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0429036 # DEPENDENCYPART_SIBL
(6,11),(6,24),0.0485878 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0272147 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.00958106 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0106941 # DEPENDENCYPART_SIBL
(6,13),(6,24),0.0208498 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0186438 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.00717514 # DEPENDENCYPART_SIBL
(6,14),(6,24),0.00527439 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0383914 # DEPENDENCYPART_SIBL
(6,15),(6,24),-0.00817088 # DEPENDENCYPART_SIBL
(6,17),(6,24),0.023585 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0220978 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00627812 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00297647 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0411551 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00897416 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0221366 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00811369 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00573572 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.000469445 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00740979 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.226596 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0174198 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.106654 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.116881 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.18527 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.111772 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.187917 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.175173 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.159316 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.182875 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.213973 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0783249 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0348468 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0339077 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0254864 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0342756 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0509568 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0270001 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0563249 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0153774 # DEPENDENCYPART_SIBL
