# _root_ That puts the real strategic decisions in the hands of others : bean counters , budgeteers , and pork-barrelers .
#goldHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
#predictedHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
(9,10),0.427739 # DEPENDENCYPART_ARC
(9,11),-0.922416 # DEPENDENCYPART_ARC
(9,12),-0.731324 # DEPENDENCYPART_ARC
(9,13),-1.26874 # DEPENDENCYPART_ARC
(9,14),-1.51434 # DEPENDENCYPART_ARC
(9,15),-1.77824 # DEPENDENCYPART_ARC
(9,16),-1.89206 # DEPENDENCYPART_ARC
(9,17),-1.89608 # DEPENDENCYPART_ARC
(9,18),-0.919426 # DEPENDENCYPART_ARC
(9,19),-1.89448 # DEPENDENCYPART_ARC
(9,20),-1.16763 # DEPENDENCYPART_ARC
(10,6),-1.55814 # DEPENDENCYPART_ARC
(10,8),-1.31786 # DEPENDENCYPART_ARC
(10,9),-0.381843 # DEPENDENCYPART_ARC
(10,11),0.858845 # DEPENDENCYPART_ARC
(10,12),-1.16691 # DEPENDENCYPART_ARC
(10,13),-1.71482 # DEPENDENCYPART_ARC
(10,14),-1.32608 # DEPENDENCYPART_ARC
(10,16),-2.81275 # DEPENDENCYPART_ARC
(10,18),-1.56227 # DEPENDENCYPART_ARC
(10,19),-2.58462 # DEPENDENCYPART_ARC
(11,7),-1.50069 # DEPENDENCYPART_ARC
(11,8),-1.19792 # DEPENDENCYPART_ARC
(11,9),-0.603356 # DEPENDENCYPART_ARC
(11,10),-0.0169795 # DEPENDENCYPART_ARC
(11,12),-0.0278401 # DEPENDENCYPART_ARC
(11,13),-1.07942 # DEPENDENCYPART_ARC
(11,14),-1.53148 # DEPENDENCYPART_ARC
(11,15),-1.907 # DEPENDENCYPART_ARC
(11,16),-1.89004 # DEPENDENCYPART_ARC
(11,17),-1.90271 # DEPENDENCYPART_ARC
(11,18),-0.938707 # DEPENDENCYPART_ARC
(11,19),-2.05049 # DEPENDENCYPART_ARC
(11,20),-1.412 # DEPENDENCYPART_ARC
(12,7),-1.41202 # DEPENDENCYPART_ARC
(12,10),-1.23305 # DEPENDENCYPART_ARC
(12,13),-0.315481 # DEPENDENCYPART_ARC
(12,20),-0.467092 # DEPENDENCYPART_ARC
(13,11),-1.42475 # DEPENDENCYPART_ARC
(13,12),-0.759305 # DEPENDENCYPART_ARC
(13,14),-0.559914 # DEPENDENCYPART_ARC
(13,15),-1.71461 # DEPENDENCYPART_ARC
(13,16),-1.91538 # DEPENDENCYPART_ARC
(13,17),-2.01761 # DEPENDENCYPART_ARC
(13,19),-2.11881 # DEPENDENCYPART_ARC
(14,5),-2.03653 # DEPENDENCYPART_ARC
(14,7),-1.53823 # DEPENDENCYPART_ARC
(14,8),-1.54763 # DEPENDENCYPART_ARC
(14,9),-1.02686 # DEPENDENCYPART_ARC
(14,10),-1.26423 # DEPENDENCYPART_ARC
(14,11),-0.491688 # DEPENDENCYPART_ARC
(14,12),-0.841545 # DEPENDENCYPART_ARC
(14,13),1.89756 # DEPENDENCYPART_ARC
(14,15),0.31449 # DEPENDENCYPART_ARC
(14,16),-1.24373 # DEPENDENCYPART_ARC
(14,17),-1.04729 # DEPENDENCYPART_ARC
(14,18),-1.54852 # DEPENDENCYPART_ARC
(14,19),-1.83914 # DEPENDENCYPART_ARC
(14,20),-1.23468 # DEPENDENCYPART_ARC
(16,8),-1.87154 # DEPENDENCYPART_ARC
(16,9),-2.03952 # DEPENDENCYPART_ARC
(16,11),-1.48573 # DEPENDENCYPART_ARC
(16,12),-1.70105 # DEPENDENCYPART_ARC
(16,13),-0.658887 # DEPENDENCYPART_ARC
(16,14),-0.408925 # DEPENDENCYPART_ARC
(16,15),0.650503 # DEPENDENCYPART_ARC
(16,17),-0.156765 # DEPENDENCYPART_ARC
(16,18),-1.93244 # DEPENDENCYPART_ARC
(16,19),-1.67601 # DEPENDENCYPART_ARC
(16,20),-1.69928 # DEPENDENCYPART_ARC
(18,1),-0.792631 # DEPENDENCYPART_ARC
(18,2),-1.73796 # DEPENDENCYPART_ARC
(18,3),-2.30692 # DEPENDENCYPART_ARC
(18,4),-1.62325 # DEPENDENCYPART_ARC
(18,5),-1.41113 # DEPENDENCYPART_ARC
(18,6),-0.870312 # DEPENDENCYPART_ARC
(18,7),-1.18019 # DEPENDENCYPART_ARC
(18,8),-1.28848 # DEPENDENCYPART_ARC
(18,9),-0.698021 # DEPENDENCYPART_ARC
(18,10),-1.08197 # DEPENDENCYPART_ARC
(18,11),-0.821155 # DEPENDENCYPART_ARC
(18,12),-0.358505 # DEPENDENCYPART_ARC
(18,13),-0.342177 # DEPENDENCYPART_ARC
(18,14),-0.155052 # DEPENDENCYPART_ARC
(18,15),-0.73353 # DEPENDENCYPART_ARC
(18,16),-0.287562 # DEPENDENCYPART_ARC
(18,17),1.75585 # DEPENDENCYPART_ARC
(18,19),0.591191 # DEPENDENCYPART_ARC
(18,20),-0.380034 # DEPENDENCYPART_ARC
(19,14),-2.07192 # DEPENDENCYPART_ARC
(19,16),-2.16666 # DEPENDENCYPART_ARC
(19,17),-1.67787 # DEPENDENCYPART_ARC
(19,20),-0.332217 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.107878 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0250491 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0521374 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0767418 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.182078 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.105539 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0503307 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0184744 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0159066 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0257498 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0885806 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0240937 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.137719 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0383881 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0214 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0353069 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00843274 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00843274 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0110004 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0324913 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0352382 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0353915 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0400075 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.057022 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0410023 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.032124 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0404369 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0348169 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0376843 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0256541 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0256541 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.031798 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0353357 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0599908 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0447131 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0409418 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0485397 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00970234 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0448479 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0332374 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0419793 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0148096 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0148096 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0267148 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0118969 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0402561 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0430459 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0440827 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0121293 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0403909 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.031869 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0375223 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.015587 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.015587 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0253525 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0100322 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0723702 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0349683 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0153782 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0367788 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00725715 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0314879 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00461726 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00461726 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0183963 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0225647 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0139358 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0490654 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0106404 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00928771 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00779048 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0105218 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0105218 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0236904 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00741291 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0593326 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.02112 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0171386 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0158291 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0240118 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0240118 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0108953 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0157571 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.039671 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0185896 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0359668 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0414426 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0414426 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0558691 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0278327 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00383207 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0434013 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00278181 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00278181 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0284749 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.00197078 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.117268 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.108844 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.108844 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.00651498 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.162973 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.00189744 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.00189744 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0203192 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.012892 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.00092291 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0242563 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0126765 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0242563 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0126765 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0732517 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00641017 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0123901 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0116561 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.125792 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0134643 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0357656 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.132948 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0351051 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.160859 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.121048 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0220938 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0361615 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0576359 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.104784 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.353478 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.103129 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.56199 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.279223 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0734978 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0508721 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.021406 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0110478 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0201315 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00856119 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0307781 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0213158 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.00701687 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0189475 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00415974 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00729931 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00855455 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0495018 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00906194 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0320079 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0419223 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0170495 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0318068 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.00211341 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00810963 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0129072 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0510737 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.017807 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.150691 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0193498 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0500858 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0278272 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0492327 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0135309 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.125644 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00984864 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.133181 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0346063 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0185071 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.35393 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.104052 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0650125 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00943841 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.032009 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.314813 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0579086 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0533219 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0804235 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.100365 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0137117 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.102403 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0329317 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.099186 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.099186 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0596969 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.099186 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0596969 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0235255 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.099186 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0834786 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0613407 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0659508 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.036457 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00231366 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.381957 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00833302 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0621904 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00784478 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00784478 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0319096 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00784478 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0319096 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00157839 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00784478 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0685905 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0159494 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.106725 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00225549 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0505436 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0053844 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0756376 # DEPENDENCYPART_SIBL
(6,4),(6,13),-4.59918e-05 # DEPENDENCYPART_SIBL
(6,4),(6,14),-4.59918e-05 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00409812 # DEPENDENCYPART_SIBL
(6,4),(6,16),-4.59918e-05 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.00409812 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0722995 # DEPENDENCYPART_SIBL
(6,4),(6,19),-4.59918e-05 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0508284 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.082528 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00362094 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0262707 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.000492028 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0553962 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00583044 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00583044 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00152723 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00583044 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00152723 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0474346 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.00583044 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0496035 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00899725 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0328703 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00601852 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0294878 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0139067 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0139067 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0231992 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0139067 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0231992 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0132267 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0139067 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0026262 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0120641 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0200265 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0186237 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0105256 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0105256 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0197801 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0105256 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0197801 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0409465 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0105256 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0201669 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0126246 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0133892 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0222184 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0222184 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0148812 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0222184 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0148812 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0608066 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0222184 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0358044 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0157423 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0171921 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0171921 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0169765 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0171921 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0169765 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0421314 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0171921 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0186451 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.126272 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.126272 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0090445 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.126272 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0090445 # DEPENDENCYPART_SIBL
