# _root_ Kellogg is based in Battle Creek , Mich. , a city that calls itself the breakfast capital of the world .
#goldHeads=2,0,2,3,6,4,6,6,6,11,6,13,11,17,17,17,13,17,20,18,2,
#predictedHeads=2,0,2,3,6,4,6,6,8,11,8,13,11,17,17,17,13,17,20,18,2,
(4,5),0.312347 # DEPENDENCYPART_ARC
(4,6),-0.349554 # DEPENDENCYPART_ARC
(4,7),-1.06865 # DEPENDENCYPART_ARC
(4,8),-2.18524 # DEPENDENCYPART_ARC
(4,9),-1.66526 # DEPENDENCYPART_ARC
(4,11),-2.59647 # DEPENDENCYPART_ARC
(4,13),-1.9557 # DEPENDENCYPART_ARC
(5,6),-0.618034 # DEPENDENCYPART_ARC
(5,7),-1.53454 # DEPENDENCYPART_ARC
(5,8),-1.94713 # DEPENDENCYPART_ARC
(5,9),-1.91604 # DEPENDENCYPART_ARC
(5,11),-2.20905 # DEPENDENCYPART_ARC
(5,13),-1.73943 # DEPENDENCYPART_ARC
(5,17),-2.60502 # DEPENDENCYPART_ARC
(6,1),-1.67025 # DEPENDENCYPART_ARC
(6,4),-1.2513 # DEPENDENCYPART_ARC
(6,5),1.42612 # DEPENDENCYPART_ARC
(6,7),0.403766 # DEPENDENCYPART_ARC
(6,8),-1.17083 # DEPENDENCYPART_ARC
(6,9),-0.863271 # DEPENDENCYPART_ARC
(6,11),-1.87603 # DEPENDENCYPART_ARC
(6,13),-1.51527 # DEPENDENCYPART_ARC
(6,17),-1.95235 # DEPENDENCYPART_ARC
(6,18),-2.51 # DEPENDENCYPART_ARC
(6,20),-2.26515 # DEPENDENCYPART_ARC
(6,21),-2.19186 # DEPENDENCYPART_ARC
(8,5),-1.09787 # DEPENDENCYPART_ARC
(8,6),-0.95741 # DEPENDENCYPART_ARC
(8,7),0.238242 # DEPENDENCYPART_ARC
(8,9),0.365449 # DEPENDENCYPART_ARC
(8,11),-1.54319 # DEPENDENCYPART_ARC
(8,13),-1.54553 # DEPENDENCYPART_ARC
(8,17),-1.84392 # DEPENDENCYPART_ARC
(8,18),-2.34319 # DEPENDENCYPART_ARC
(8,20),-2.14627 # DEPENDENCYPART_ARC
(8,21),-2.27624 # DEPENDENCYPART_ARC
(10,9),-0.0144608 # DEPENDENCYPART_ARC
(10,13),-1.36876 # DEPENDENCYPART_ARC
(11,5),-1.71517 # DEPENDENCYPART_ARC
(11,6),-1.64031 # DEPENDENCYPART_ARC
(11,7),-1.962 # DEPENDENCYPART_ARC
(11,8),-1.58983 # DEPENDENCYPART_ARC
(11,9),-0.903401 # DEPENDENCYPART_ARC
(11,10),1.27504 # DEPENDENCYPART_ARC
(11,12),-0.0568404 # DEPENDENCYPART_ARC
(11,13),-0.156745 # DEPENDENCYPART_ARC
(11,15),-1.36963 # DEPENDENCYPART_ARC
(11,16),-1.28399 # DEPENDENCYPART_ARC
(11,17),-1.46695 # DEPENDENCYPART_ARC
(11,18),-1.33385 # DEPENDENCYPART_ARC
(11,20),-1.59546 # DEPENDENCYPART_ARC
(11,21),-1.61299 # DEPENDENCYPART_ARC
(13,1),-1.55206 # DEPENDENCYPART_ARC
(13,2),-1.80151 # DEPENDENCYPART_ARC
(13,4),-1.02672 # DEPENDENCYPART_ARC
(13,5),-1.30673 # DEPENDENCYPART_ARC
(13,6),-1.32796 # DEPENDENCYPART_ARC
(13,7),-2.07902 # DEPENDENCYPART_ARC
(13,8),-2.288 # DEPENDENCYPART_ARC
(13,9),-1.21317 # DEPENDENCYPART_ARC
(13,10),-1.27789 # DEPENDENCYPART_ARC
(13,11),-1.04026 # DEPENDENCYPART_ARC
(13,12),0.488783 # DEPENDENCYPART_ARC
(13,14),0.33663 # DEPENDENCYPART_ARC
(13,15),-0.680747 # DEPENDENCYPART_ARC
(13,16),-0.512797 # DEPENDENCYPART_ARC
(13,17),-0.309301 # DEPENDENCYPART_ARC
(13,18),-1.13898 # DEPENDENCYPART_ARC
(13,20),-0.999269 # DEPENDENCYPART_ARC
(13,21),-0.498508 # DEPENDENCYPART_ARC
(14,15),0.0899605 # DEPENDENCYPART_ARC
(14,18),-1.08276 # DEPENDENCYPART_ARC
(15,14),-0.323804 # DEPENDENCYPART_ARC
(15,16),-0.330634 # DEPENDENCYPART_ARC
(15,18),-1.28698 # DEPENDENCYPART_ARC
(16,12),-2.52011 # DEPENDENCYPART_ARC
(16,14),-1.47757 # DEPENDENCYPART_ARC
(16,15),-0.00432624 # DEPENDENCYPART_ARC
(16,17),-0.588892 # DEPENDENCYPART_ARC
(16,18),-1.05643 # DEPENDENCYPART_ARC
(16,20),-1.89652 # DEPENDENCYPART_ARC
(17,7),-2.43963 # DEPENDENCYPART_ARC
(17,10),-1.91994 # DEPENDENCYPART_ARC
(17,11),-1.75732 # DEPENDENCYPART_ARC
(17,12),-1.67323 # DEPENDENCYPART_ARC
(17,14),-0.994789 # DEPENDENCYPART_ARC
(17,15),0.209189 # DEPENDENCYPART_ARC
(17,16),1.53518 # DEPENDENCYPART_ARC
(17,18),0.417081 # DEPENDENCYPART_ARC
(17,19),-1.19248 # DEPENDENCYPART_ARC
(17,20),-1.18974 # DEPENDENCYPART_ARC
(17,21),-1.07655 # DEPENDENCYPART_ARC
(18,16),-1.32193 # DEPENDENCYPART_ARC
(18,17),-0.355151 # DEPENDENCYPART_ARC
(18,19),-0.0705812 # DEPENDENCYPART_ARC
(18,20),0.0531125 # DEPENDENCYPART_ARC
(18,21),-1.16102 # DEPENDENCYPART_ARC
(20,11),-2.45632 # DEPENDENCYPART_ARC
(20,15),-1.46958 # DEPENDENCYPART_ARC
(20,16),-1.09219 # DEPENDENCYPART_ARC
(20,17),-1.35916 # DEPENDENCYPART_ARC
(20,18),-0.813553 # DEPENDENCYPART_ARC
(20,19),1.25571 # DEPENDENCYPART_ARC
(20,21),-0.326712 # DEPENDENCYPART_ARC
(21,18),-1.08994 # DEPENDENCYPART_ARC
(21,20),-0.326578 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.102136 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.101278 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0987221 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.187205 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.179753 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.166386 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0245611 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0321309 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0373427 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.021859 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0415138 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.021859 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0281639 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0375085 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0356797 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00917562 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0207333 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0493741 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0249043 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0493741 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0115545 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00250934 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0190703 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0256682 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0360236 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0202473 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0360236 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0304223 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00742591 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0271517 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0155455 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0186724 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0155455 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0238566 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0112246 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00774627 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0285117 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.036982 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0432236 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0193943 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0421748 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.022566 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0094803 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0224556 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0220246 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0432236 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0193943 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0421748 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0186569 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0168544 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0121433 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0169656 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.030516 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.100871 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.106843 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0299031 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.114578 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0299031 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.101962 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00913815 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0293943 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0501722 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0704553 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0679621 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0606523 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0679629 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0606523 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0685448 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0599626 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0295425 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0132859 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.011901 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0161001 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0126684 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0161001 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0151028 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0433113 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0660199 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0623282 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0215669 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0639025 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0215669 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.050656 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0238043 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0181165 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00661258 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0467122 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00661258 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0334657 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00850772 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.00382217 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0247569 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0491599 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0249967 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0349264 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.008903 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0214562 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0358687 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0092797 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.00378239 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0249967 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0349264 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.008903 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00886623 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.00279963 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0327031 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0312919 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0521815 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0368999 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.042874 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.034339 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0506086 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.034339 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0379906 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00813958 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.048747 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0244545 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0106393 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0180099 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0179161 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0254325 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0179531 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0254325 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0187374 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.022505 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.023339 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0211732 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0146383 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0132534 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0310698 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0140208 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0310698 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0164552 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0444669 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0157183 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0615539 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0340787 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.010034 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.035653 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.010034 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0224065 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00934546 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0396234 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0202741 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00491972 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0184633 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00491972 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00521685 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00595053 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0224338 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.00166338 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0193286 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00651824 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0190887 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0194694 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0176313 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0121422 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0099239 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00761979 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00517855 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0247877 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.00162361 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0190887 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0194694 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0176313 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0121422 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00559243 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0236226 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00495758 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0145468 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.0206929 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.00930137 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.105902 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00367712 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.107476 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00367712 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0939016 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.041987 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00417894 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.105852 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00417894 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0922779 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0413075 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0558769 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0267531 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0558642 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00287759 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0106728 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0946902 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0420889 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0558642 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00287759 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0419675 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.01513 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0186774 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.01513 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0238515 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0115533 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.00775134 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0283888 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0364491 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0431007 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0188332 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0420518 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0229814 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00947523 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0227843 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0220297 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0431007 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0188332 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0420518 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0189855 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0168594 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0125623 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.000141646 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0134112 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0553151 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00271772 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0553151 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0491287 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0180714 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0195062 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0425227 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0191482 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0110646 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0115443 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0320258 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0457192 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0320258 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0268548 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0327021 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0404712 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0245186 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0395412 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0202018 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0443222 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00957957 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0443222 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0422664 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.025221 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0126444 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0356477 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0122863 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.00618549 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0285117 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.036982 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0432236 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0193943 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0421748 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0346147 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0466167 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.00261008 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.022566 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0094803 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0224556 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0220246 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0183693 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0257757 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0104484 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0432236 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0193943 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0421748 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0346147 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0466167 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.00261008 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0186569 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0168544 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0189526 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0206139 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.000559857 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0121433 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0115793 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.01366 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.00679916 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0104738 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0116286 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0153972 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.000481765 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0112069 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.0162459 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0250573 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0844275 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.121615 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0538661 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0124454 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0242457 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0484392 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0238876 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0189906 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0847998 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.12083 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.055644 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0123696 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0260232 # DEPENDENCYPART_SIBL
