# _root_ Still , for those with a long-term eye on the vast U.S. retail market , this is a tempting time to look for bargains .
#goldHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
#predictedHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
(14,5),-1.17732 # DEPENDENCYPART_ARC
(14,6),-1.41065 # DEPENDENCYPART_ARC
(14,7),-0.924728 # DEPENDENCYPART_ARC
(14,8),-1.69269 # DEPENDENCYPART_ARC
(14,9),-0.895921 # DEPENDENCYPART_ARC
(14,10),-0.141841 # DEPENDENCYPART_ARC
(14,11),-0.0391546 # DEPENDENCYPART_ARC
(14,12),0.175544 # DEPENDENCYPART_ARC
(14,13),1.71839 # DEPENDENCYPART_ARC
(14,15),0.144361 # DEPENDENCYPART_ARC
(14,16),-1.697 # DEPENDENCYPART_ARC
(14,17),-1.69689 # DEPENDENCYPART_ARC
(14,19),-1.97581 # DEPENDENCYPART_ARC
(14,20),-1.67838 # DEPENDENCYPART_ARC
(14,21),-1.76958 # DEPENDENCYPART_ARC
(14,22),-2.31166 # DEPENDENCYPART_ARC
(14,23),-1.77781 # DEPENDENCYPART_ARC
(14,24),-1.74086 # DEPENDENCYPART_ARC
(14,25),-2.44833 # DEPENDENCYPART_ARC
(16,15),0.401309 # DEPENDENCYPART_ARC
(16,17),-0.572237 # DEPENDENCYPART_ARC
(17,1),-0.93035 # DEPENDENCYPART_ARC
(17,2),-1.54752 # DEPENDENCYPART_ARC
(17,3),-1.36712 # DEPENDENCYPART_ARC
(17,5),-0.863913 # DEPENDENCYPART_ARC
(17,7),-1.43725 # DEPENDENCYPART_ARC
(17,8),-1.76186 # DEPENDENCYPART_ARC
(17,9),-1.11089 # DEPENDENCYPART_ARC
(17,10),-1.93533 # DEPENDENCYPART_ARC
(17,11),-1.59947 # DEPENDENCYPART_ARC
(17,12),-1.77978 # DEPENDENCYPART_ARC
(17,13),-1.56142 # DEPENDENCYPART_ARC
(17,14),-1.58254 # DEPENDENCYPART_ARC
(17,15),-0.278933 # DEPENDENCYPART_ARC
(17,16),0.497364 # DEPENDENCYPART_ARC
(17,18),0.0799113 # DEPENDENCYPART_ARC
(17,19),-0.522724 # DEPENDENCYPART_ARC
(17,20),-0.207504 # DEPENDENCYPART_ARC
(17,21),-1.04484 # DEPENDENCYPART_ARC
(17,22),-0.943378 # DEPENDENCYPART_ARC
(17,23),-1.25468 # DEPENDENCYPART_ARC
(17,24),-1.56111 # DEPENDENCYPART_ARC
(17,25),-0.218271 # DEPENDENCYPART_ARC
(18,19),-0.375324 # DEPENDENCYPART_ARC
(18,23),-1.45973 # DEPENDENCYPART_ARC
(19,14),-1.92929 # DEPENDENCYPART_ARC
(19,16),-1.48194 # DEPENDENCYPART_ARC
(19,18),-0.0376307 # DEPENDENCYPART_ARC
(19,20),-0.349943 # DEPENDENCYPART_ARC
(19,21),-0.990196 # DEPENDENCYPART_ARC
(19,22),-0.948574 # DEPENDENCYPART_ARC
(19,23),-1.32419 # DEPENDENCYPART_ARC
(19,24),-1.70419 # DEPENDENCYPART_ARC
(20,10),-2.3225 # DEPENDENCYPART_ARC
(20,11),-1.83833 # DEPENDENCYPART_ARC
(20,13),-1.84331 # DEPENDENCYPART_ARC
(20,16),-1.19606 # DEPENDENCYPART_ARC
(20,18),0.423902 # DEPENDENCYPART_ARC
(20,19),1.55438 # DEPENDENCYPART_ARC
(20,21),-0.0688641 # DEPENDENCYPART_ARC
(20,22),-0.667957 # DEPENDENCYPART_ARC
(20,23),-0.969956 # DEPENDENCYPART_ARC
(20,24),-1.47184 # DEPENDENCYPART_ARC
(20,25),-1.41495 # DEPENDENCYPART_ARC
(21,20),-0.32033 # DEPENDENCYPART_ARC
(21,22),-0.320261 # DEPENDENCYPART_ARC
(21,23),-1.40474 # DEPENDENCYPART_ARC
(21,24),-1.82165 # DEPENDENCYPART_ARC
(21,25),-1.45488 # DEPENDENCYPART_ARC
(22,5),-1.4868 # DEPENDENCYPART_ARC
(22,8),-2.26915 # DEPENDENCYPART_ARC
(22,9),-1.48294 # DEPENDENCYPART_ARC
(22,12),-2.097 # DEPENDENCYPART_ARC
(22,14),-2.16112 # DEPENDENCYPART_ARC
(22,15),-1.59356 # DEPENDENCYPART_ARC
(22,17),-1.53581 # DEPENDENCYPART_ARC
(22,18),-1.17584 # DEPENDENCYPART_ARC
(22,19),-1.11109 # DEPENDENCYPART_ARC
(22,20),-0.627406 # DEPENDENCYPART_ARC
(22,21),1.25547 # DEPENDENCYPART_ARC
(22,23),0.866204 # DEPENDENCYPART_ARC
(22,24),-0.251221 # DEPENDENCYPART_ARC
(22,25),-0.494925 # DEPENDENCYPART_ARC
(23,20),-1.6569 # DEPENDENCYPART_ARC
(23,21),-1.47379 # DEPENDENCYPART_ARC
(23,22),-0.492204 # DEPENDENCYPART_ARC
(23,24),0.565918 # DEPENDENCYPART_ARC
(23,25),-1.13758 # DEPENDENCYPART_ARC
(24,16),-2.7537 # DEPENDENCYPART_ARC
(24,18),-2.39247 # DEPENDENCYPART_ARC
(24,19),-1.7942 # DEPENDENCYPART_ARC
(24,21),-1.82598 # DEPENDENCYPART_ARC
(24,22),-0.986557 # DEPENDENCYPART_ARC
(24,23),-0.116538 # DEPENDENCYPART_ARC
(24,25),-0.32349 # DEPENDENCYPART_ARC
(25,23),-1.00089 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0204977 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0938577 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0894829 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.133303 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.11166 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.179924 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00194554 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00563708 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00137721 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0109129 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0199735 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.018927 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00858643 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00439975 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.000935163 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0256374 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0350041 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.007146 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0104127 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0504601 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0432988 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0617642 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0707368 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0844808 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0609632 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.199972 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.105528 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.106501 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.117033 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.184987 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0856395 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.205982 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.196557 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.936902 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0273135 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0265334 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0542242 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.010911 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0544124 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0534584 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00462422 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.016753 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0374382 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0414881 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0394005 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0289344 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00889762 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0593027 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0277733 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.059886 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0599281 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0123304 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0379022 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.091057 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0779245 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0319482 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.039258 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0327158 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0192872 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0815903 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0530026 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0261522 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0718224 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0216055 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0485197 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.350003 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.037751 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0277045 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0718341 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00160369 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00955252 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00352379 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0437137 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0172919 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.026979 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0393184 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00363321 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0269308 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0307385 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.038668 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.088016 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0489036 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0145664 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0183233 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0805786 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00266291 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0182753 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0721224 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0854889 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.103741 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0312198 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0134364 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00902318 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0278144 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0134361 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00883642 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00978643 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.006786 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0133758 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0392893 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0194694 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0230864 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0398719 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0399137 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00552138 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0076688 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0135908 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0395438 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.095114 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0819812 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0350914 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0373434 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0147271 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0208856 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0143419 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0111661 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0335892 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.039384 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0394258 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00540085 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.00818532 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.085645 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0140345 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0401884 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0408836 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0469615 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0232432 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.000184367 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0735378 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00720193 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0232723 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0469451 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0295006 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0642711 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0286004 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0220421 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00324031 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0125288 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0232468 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00347438 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0375562 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0312233 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0320375 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0241277 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0246877 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00566725 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0915699 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0993421 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0209469 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00129289 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00654169 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0311873 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0793393 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0199379 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00275053 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00804286 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.118988 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0240919 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0045001 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.013651 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00396536 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0371235 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0417146 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0256612 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0246209 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0241463 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.100177 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0614169 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0687646 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0459552 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0881629 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0953257 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.14176 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0808113 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.017242 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0810627 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00791472 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.134997 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.138146 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.00371922 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.00639085 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0363187 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0190573 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.101685 # DEPENDENCYPART_SIBL
(8,2),(8,25),0.027459 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00868688 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0392957 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0145466 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0117259 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0306178 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0453713 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0484936 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0316001 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0485014 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0305899 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.00781287 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0353464 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.033647 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00537169 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0344182 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0201649 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0432086 # DEPENDENCYPART_SIBL
(8,3),(8,25),0.0279066 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0323871 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.224648 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0414648 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0104434 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.10576 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0494565 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0814705 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.045206 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0897145 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.050994 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0869179 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.084936 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0583748 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0415777 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0632532 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.018676 # DEPENDENCYPART_SIBL
(8,4),(8,25),-0.0278708 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0284418 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00544463 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0159718 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0494466 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0421736 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00928711 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0421828 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00242179 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0251989 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0395565 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0501807 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0152405 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0276512 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.03873 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0397449 # DEPENDENCYPART_SIBL
(8,5),(8,25),0.0221119 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0646754 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0964918 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0829332 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0167669 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0410434 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0210051 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0512167 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.076797 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0584048 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.263101 # DEPENDENCYPART_SIBL
