# _root_ The notes , which are noncallable , were priced at a spread of 45 basis points above the Treasury 's 10-year note .
#goldHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
#predictedHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
(2,12),(2,22),-0.0311127 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.00897449 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00798061 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0206356 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00859796 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.0150034 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.017868 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.024521 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.00840888 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.00835675 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0430389 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.00744015 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.000887921 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.118425 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.016748 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0481687 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0405939 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0110915 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0291683 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0456479 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.116217 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0352481 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.140039 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0177752 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0120489 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0495422 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0563027 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0143514 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.210012 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0494432 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0476765 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00422459 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.222903 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0111546 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0328184 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0482922 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0254767 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.010155 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0336577 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.045846 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0332229 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0158167 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.137659 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0770875 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0321357 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0844399 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0259633 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0233293 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.208387 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0647355 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0246454 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00314357 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00770923 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00614831 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.411149 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0564179 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0379983 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0232778 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0206109 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0141733 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0315416 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0154621 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0884777 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00143295 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0385545 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0470711 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0300793 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0478328 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0480855 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0389158 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0637284 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.113834 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0719108 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0488099 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0637284 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0757123 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0138473 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0493547 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.249018 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.054626 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.00920597 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.109513 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00485781 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.115572 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0127215 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0365355 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00485781 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.00499639 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0389212 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0428721 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0557143 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0297966 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0366579 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0247407 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.119595 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.016892 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0178988 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0903317 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0434799 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0179831 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0153898 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0951059 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0153611 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.00433322 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0612558 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0178256 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0278588 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0121117 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0367961 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0247691 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0121321 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0390557 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.00609363 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0166139 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.205263 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0326155 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0513526 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00339768 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0373801 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.000567502 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0312411 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.000321182 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0102972 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0476186 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0733365 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00123285 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0165454 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.025561 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0167926 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0252612 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0258224 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.0373942 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0434799 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0179831 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0153898 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0951059 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0153611 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.00433322 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0612558 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0933396 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0217691 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0838873 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0212359 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0646627 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0108524 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0340985 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0613397 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0293289 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0373354 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.0494263 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0608294 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.038463 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0429095 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.0450506 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.00126588 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.152881 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0541473 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.000732443 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0153876 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.024576 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0211731 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0928292 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0175695 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0211731 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.00110311 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0165624 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.122447 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0578129 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.044541 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0275941 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0698601 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0447158 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0246877 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0454471 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0226601 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.103216 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00690535 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0481763 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0274244 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.00178902 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.113805 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0142449 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0853251 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.027275 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0104977 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0142406 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.00555066 # DEPENDENCYPART_SIBL
