# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(8,15),-2.04483 # DEPENDENCYPART_ARC
(8,16),-2.19827 # DEPENDENCYPART_ARC
(8,17),-1.81973 # DEPENDENCYPART_ARC
(8,18),-1.38235 # DEPENDENCYPART_ARC
(9,2),-3.64877 # DEPENDENCYPART_ARC
(9,3),-4.17284 # DEPENDENCYPART_ARC
(9,4),-2.59582 # DEPENDENCYPART_ARC
(9,5),-1.92575 # DEPENDENCYPART_ARC
(9,6),-2.25909 # DEPENDENCYPART_ARC
(9,7),-0.472677 # DEPENDENCYPART_ARC
(9,8),-0.268939 # DEPENDENCYPART_ARC
(9,10),-1.99903 # DEPENDENCYPART_ARC
(9,11),-2.52363 # DEPENDENCYPART_ARC
(9,13),-3.131 # DEPENDENCYPART_ARC
(11,1),-1.49878 # DEPENDENCYPART_ARC
(11,2),-1.66378 # DEPENDENCYPART_ARC
(11,3),-1.25671 # DEPENDENCYPART_ARC
(11,4),-1.03825 # DEPENDENCYPART_ARC
(11,5),-0.925015 # DEPENDENCYPART_ARC
(11,6),-1.99189 # DEPENDENCYPART_ARC
(11,7),-1.79908 # DEPENDENCYPART_ARC
(11,8),-1.20828 # DEPENDENCYPART_ARC
(11,9),-0.842641 # DEPENDENCYPART_ARC
(11,10),-0.859564 # DEPENDENCYPART_ARC
(11,12),-0.504804 # DEPENDENCYPART_ARC
(11,13),0.65962 # DEPENDENCYPART_ARC
(11,14),-0.807429 # DEPENDENCYPART_ARC
(11,15),-0.805216 # DEPENDENCYPART_ARC
(11,16),-0.727252 # DEPENDENCYPART_ARC
(11,17),0.105463 # DEPENDENCYPART_ARC
(11,18),0.0226227 # DEPENDENCYPART_ARC
(13,3),-3.27459 # DEPENDENCYPART_ARC
(13,6),-2.29456 # DEPENDENCYPART_ARC
(13,8),-1.71507 # DEPENDENCYPART_ARC
(13,12),1.43963 # DEPENDENCYPART_ARC
(13,14),-0.962022 # DEPENDENCYPART_ARC
(13,15),-1.2538 # DEPENDENCYPART_ARC
(13,16),-1.60949 # DEPENDENCYPART_ARC
(13,17),-1.72357 # DEPENDENCYPART_ARC
(13,18),-1.54907 # DEPENDENCYPART_ARC
(14,3),-3.69978 # DEPENDENCYPART_ARC
(14,12),-2.3368 # DEPENDENCYPART_ARC
(14,13),-1.487 # DEPENDENCYPART_ARC
(14,15),-1.78726 # DEPENDENCYPART_ARC
(15,6),-2.03605 # DEPENDENCYPART_ARC
(15,13),-1.97036 # DEPENDENCYPART_ARC
(15,14),-1.48176 # DEPENDENCYPART_ARC
(15,16),-1.1884 # DEPENDENCYPART_ARC
(15,17),-1.93172 # DEPENDENCYPART_ARC
(15,18),-1.38407 # DEPENDENCYPART_ARC
(16,2),-2.43809 # DEPENDENCYPART_ARC
(16,3),-2.38262 # DEPENDENCYPART_ARC
(16,5),-2.29928 # DEPENDENCYPART_ARC
(16,6),-1.65959 # DEPENDENCYPART_ARC
(16,8),-2.08095 # DEPENDENCYPART_ARC
(16,10),-2.14974 # DEPENDENCYPART_ARC
(16,12),-1.57034 # DEPENDENCYPART_ARC
(16,13),-1.41673 # DEPENDENCYPART_ARC
(16,14),-0.588648 # DEPENDENCYPART_ARC
(16,15),0.93503 # DEPENDENCYPART_ARC
(16,17),-1.48103 # DEPENDENCYPART_ARC
(16,18),-1.71602 # DEPENDENCYPART_ARC
(17,14),-2.41858 # DEPENDENCYPART_ARC
(17,15),-2.69158 # DEPENDENCYPART_ARC
(17,16),-2.47181 # DEPENDENCYPART_ARC
(17,18),-2.12074 # DEPENDENCYPART_ARC
(18,15),-2.46322 # DEPENDENCYPART_ARC
(18,16),-2.52615 # DEPENDENCYPART_ARC
(18,17),-1.90648 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.218247 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.776079 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.776077 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0623888 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.013917 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0286638 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00988279 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.107825 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.013917 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0123476 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0283496 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00959177 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.107341 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0123476 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.945027 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.148511 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.658425 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0603233 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00462828 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0632076 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.2835 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0099159 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.105832 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0131285 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.001411 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0926338 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.134841 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0642886 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00141026 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00865441 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.322872 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0926338 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0538968 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0282558 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0504658 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.022715 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.031624 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0206532 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0245679 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0412293 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0150537 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0639909 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.109575 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.18228 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0245679 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0885931 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0595596 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0138749 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0493463 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00162293 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00676941 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.921035 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.136638 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.688847 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.651425 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.374741 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0426796 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.476844 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.352154 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.34951 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.31545 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00965807 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.190228 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00738117 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0307754 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.063095 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.128787 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.27339 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0658574 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.121357 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0146131 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0278362 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0832853 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0084253 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0163455 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0116862 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0776471 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.100691 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0101427 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0343157 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0364205 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0211375 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0070877 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00594635 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.109408 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.182073 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0270723 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0883914 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.059358 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0136731 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0491445 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00636081 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00697114 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.194992 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0253489 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0968984 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0787501 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0221442 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0621241 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.00113226 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0116583 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0319671 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.128818 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00558226 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0176723 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0499834 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0964408 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00952773 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.476844 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.352154 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.34951 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.31545 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00965807 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.190228 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00750077 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0114928 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0430035 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0507915 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0691549 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0345635 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00569411 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0975646 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0154521 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.113702 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.268839 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.331849 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0358362 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0132694 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.69753 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.213336 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.136365 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.159349 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0845322 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0404428 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0331987 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.364726 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.136365 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0734021 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0477568 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0309647 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.051195 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00321397 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0511315 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0401543 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.239623 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.165346 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.116241 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0878908 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0931324 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.412083 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.239623 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.105357 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0861217 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.011325 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0851107 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0273537 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0844092 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0767932 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.929981 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.14155 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.690493 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.653071 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.376387 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0497328 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.479908 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.355212 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.352567 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.351492 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.318508 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0065758 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.193285 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00555022 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0305262 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0628459 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.128538 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.28165 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0651356 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.120637 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0153327 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0134254 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0271162 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0840232 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00770576 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0158761 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0112168 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0781165 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.106799 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.010146 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0343144 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0364215 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0432302 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0211361 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00707185 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00594535 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.104164 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.17683 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00927612 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0826753 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0536439 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00795933 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.043288 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0434304 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.000630858 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0126849 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.189748 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00755265 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0911824 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.073036 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0164304 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.04857 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0564099 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00686221 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00594451 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0497639 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.123101 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.000132507 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0119578 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0414302 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0442686 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.102172 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0152422 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.479908 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.355212 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.352567 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.351492 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.318508 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0065758 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.193285 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00750039 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0114927 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0304076 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.043003 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0508064 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.069155 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0345628 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.00588033 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00569309 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0975814 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0154514 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0579112 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.113702 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.268854 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.331849 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.00464461 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.00900991 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.00868077 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0358518 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0132701 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.69753 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0336407 # DEPENDENCYPART_SIBL
(5,1),(5,3),-8.57089e-05 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0790773 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0817672 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0206312 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00714011 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.083162 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0560353 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0877101 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0366724 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.000778405 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0403478 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0333732 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0293585 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0168725 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0061329 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0887573 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0814194 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0282593 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00673093 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0907436 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0911018 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0875039 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0339012 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00609024 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0397344 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0343401 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0300767 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0195717 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0967641 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0780244 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0226008 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00517046 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0851316 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0327071 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0849325 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0311068 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0068503 # DEPENDENCYPART_SIBL
