# _root_ The next day , Mr. Schaeffer presented the couple with a check for $ 151,000 to help them build a new home in the same neighborhood .
#goldHeads=3,3,7,7,6,7,0,9,7,7,12,10,12,15,13,17,7,19,17,22,22,19,19,26,26,23,7,
#predictedHeads=3,3,7,7,6,7,0,9,7,7,12,10,12,15,13,17,12,19,17,22,22,19,22,26,26,23,7,
(1,2),(1,4),0.0279786 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0128441 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.150578 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.356536 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.155039 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.214722 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0503984 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0147172 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00517146 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.131601 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0380034 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00478417 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0225356 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0167936 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0282199 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0231779 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.098696 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0240852 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.328599 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0245934 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.147694 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0570035 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0687501 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.112861 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0220138 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0209924 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0185686 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0433415 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0190537 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.129562 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0194957 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.140376 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0872611 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0749565 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.100146 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0464787 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0380079 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00766752 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0479105 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0350432 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0502896 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0544256 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0357625 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.00824784 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.00665626 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0135044 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.020264 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0102718 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0161664 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00980585 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00901377 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00836125 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0189789 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0192343 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0185242 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00624434 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0137122 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00577835 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00864331 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00793723 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0172392 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0258026 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00605967 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0246916 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00672753 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0148521 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0139591 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0153613 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.00366116 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0157578 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00519184 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00845416 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00774809 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0153316 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0204539 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.018078 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0402737 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0300611 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.000193118 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0215852 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00872143 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00801536 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0173517 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0184051 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.031164 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.010791 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.00975584 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0150809 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.082874 # DEPENDENCYPART_SIBL
(3,17),(3,27),-0.00917997 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0369498 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0106332 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.01223 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00823543 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.13901 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00914274 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0102372 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0488435 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0133268 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0214791 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0138119 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0253282 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00150739 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.031441 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.000463777 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0317519 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0167358 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0267507 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0181108 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0155368 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0106851 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.027359 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0234424 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0170089 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0183907 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.14961 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.000470406 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.265618 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00097386 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0320572 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00579159 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0471376 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.028636 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0155654 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00735448 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0813048 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0077924 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0301602 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0257768 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.158219 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0289635 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00368929 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00482851 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.000542845 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0398668 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0583258 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.020416 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0222564 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0834359 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0288582 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.084182 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.117835 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.011216 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.177497 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0143624 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0774413 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0102667 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0173142 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0109329 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0118073 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0112743 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0130281 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0152409 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0209387 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00668504 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0149742 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0757634 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0580822 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.127448 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0569093 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0409774 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.130929 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0779345 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.191644 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.134188 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0720914 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00418268 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0894232 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0799434 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0950465 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0777317 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0710483 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0101995 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.097398 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0246726 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00703815 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0123148 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00279424 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0494158 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0610986 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0683525 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0316048 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0673795 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0220402 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00179293 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0358775 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0255218 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.00614331 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0732024 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0145232 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0478806 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0495744 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.103297 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0372575 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.11804 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0322992 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0393601 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.144288 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.029149 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00187318 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.093208 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0103324 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0651951 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0389706 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0235525 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.0294315 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.00803152 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0496346 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00492574 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.118328 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00619034 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0299642 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.139949 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00654772 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.1051 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0515574 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00747977 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.00716454 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00745902 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0104477 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.0222484 # DEPENDENCYPART_SIBL
(7,4),(7,27),0.0514392 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.125762 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.116839 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0145964 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.106591 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.143087 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0114462 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.072082 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0882461 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00144779 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0781355 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0518641 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.00584714 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.109556 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.0306813 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.103917 # DEPENDENCYPART_SIBL
