# _root_ If these conditions are met , he said , the ANC would be prepared to discuss suspending its guerrilla activities .
#goldHeads=4,3,4,12,4,7,12,7,7,11,12,0,12,13,16,14,16,20,20,17,12,
#predictedHeads=4,3,4,12,4,8,8,12,8,11,12,0,12,13,16,14,16,20,20,17,12,
(5,3),-1.14262 # DEPENDENCYPART_ARC
(5,4),-0.941649 # DEPENDENCYPART_ARC
(5,6),0.172283 # DEPENDENCYPART_ARC
(5,7),-1.42284 # DEPENDENCYPART_ARC
(5,8),-1.55078 # DEPENDENCYPART_ARC
(5,9),-1.65774 # DEPENDENCYPART_ARC
(5,11),-1.93167 # DEPENDENCYPART_ARC
(5,12),-1.82339 # DEPENDENCYPART_ARC
(5,13),-1.92712 # DEPENDENCYPART_ARC
(5,14),-1.65242 # DEPENDENCYPART_ARC
(5,15),-1.78195 # DEPENDENCYPART_ARC
(5,16),-1.6829 # DEPENDENCYPART_ARC
(5,17),-1.63592 # DEPENDENCYPART_ARC
(5,21),-2.57838 # DEPENDENCYPART_ARC
(7,6),0.12042 # DEPENDENCYPART_ARC
(7,8),0.126813 # DEPENDENCYPART_ARC
(7,9),-0.743098 # DEPENDENCYPART_ARC
(7,11),-1.72863 # DEPENDENCYPART_ARC
(8,1),-1.47478 # DEPENDENCYPART_ARC
(8,2),-1.80379 # DEPENDENCYPART_ARC
(8,3),-2.2107 # DEPENDENCYPART_ARC
(8,4),-1.48746 # DEPENDENCYPART_ARC
(8,5),-1.07897 # DEPENDENCYPART_ARC
(8,6),-0.168851 # DEPENDENCYPART_ARC
(8,7),1.05782 # DEPENDENCYPART_ARC
(8,9),0.305005 # DEPENDENCYPART_ARC
(8,10),-1.531 # DEPENDENCYPART_ARC
(8,11),-2.01769 # DEPENDENCYPART_ARC
(8,12),-1.65609 # DEPENDENCYPART_ARC
(8,13),-1.87179 # DEPENDENCYPART_ARC
(8,14),-1.90508 # DEPENDENCYPART_ARC
(8,15),-2.20358 # DEPENDENCYPART_ARC
(8,16),-2.08108 # DEPENDENCYPART_ARC
(8,17),-1.93758 # DEPENDENCYPART_ARC
(8,21),-1.40116 # DEPENDENCYPART_ARC
(10,9),-0.06742 # DEPENDENCYPART_ARC
(10,12),-1.16371 # DEPENDENCYPART_ARC
(10,14),-1.61531 # DEPENDENCYPART_ARC
(10,17),-1.59987 # DEPENDENCYPART_ARC
(11,8),-2.31561 # DEPENDENCYPART_ARC
(11,10),0.522428 # DEPENDENCYPART_ARC
(11,12),-0.488411 # DEPENDENCYPART_ARC
(11,13),-0.80497 # DEPENDENCYPART_ARC
(11,14),-1.32915 # DEPENDENCYPART_ARC
(11,16),-1.34646 # DEPENDENCYPART_ARC
(11,20),-1.5609 # DEPENDENCYPART_ARC
(12,1),-1.03564 # DEPENDENCYPART_ARC
(12,2),-1.28943 # DEPENDENCYPART_ARC
(12,3),-1.13577 # DEPENDENCYPART_ARC
(12,4),-0.819915 # DEPENDENCYPART_ARC
(12,5),-0.742347 # DEPENDENCYPART_ARC
(12,6),-1.72902 # DEPENDENCYPART_ARC
(12,7),-1.77964 # DEPENDENCYPART_ARC
(12,8),-1.12142 # DEPENDENCYPART_ARC
(12,9),-0.638732 # DEPENDENCYPART_ARC
(12,10),-0.577299 # DEPENDENCYPART_ARC
(12,11),0.937069 # DEPENDENCYPART_ARC
(12,13),1.73305 # DEPENDENCYPART_ARC
(12,14),-0.184743 # DEPENDENCYPART_ARC
(12,16),-0.715084 # DEPENDENCYPART_ARC
(12,21),-0.460683 # DEPENDENCYPART_ARC
(13,1),-1.98549 # DEPENDENCYPART_ARC
(13,3),-1.72087 # DEPENDENCYPART_ARC
(13,4),-1.85561 # DEPENDENCYPART_ARC
(13,6),-2.76185 # DEPENDENCYPART_ARC
(13,7),-2.70639 # DEPENDENCYPART_ARC
(13,9),-1.4884 # DEPENDENCYPART_ARC
(13,10),-1.5175 # DEPENDENCYPART_ARC
(13,11),-1.12514 # DEPENDENCYPART_ARC
(13,12),-0.679931 # DEPENDENCYPART_ARC
(13,14),1.07966 # DEPENDENCYPART_ARC
(13,15),-0.892657 # DEPENDENCYPART_ARC
(13,16),-0.830859 # DEPENDENCYPART_ARC
(13,17),-0.592998 # DEPENDENCYPART_ARC
(13,20),-1.46577 # DEPENDENCYPART_ARC
(13,21),-1.29234 # DEPENDENCYPART_ARC
(14,1),-1.95148 # DEPENDENCYPART_ARC
(14,3),-2.18949 # DEPENDENCYPART_ARC
(14,6),-2.69573 # DEPENDENCYPART_ARC
(14,8),-2.08213 # DEPENDENCYPART_ARC
(14,9),-1.82657 # DEPENDENCYPART_ARC
(14,10),-1.83774 # DEPENDENCYPART_ARC
(14,11),-1.46583 # DEPENDENCYPART_ARC
(14,15),0.116673 # DEPENDENCYPART_ARC
(14,16),-0.0976405 # DEPENDENCYPART_ARC
(14,17),-0.772542 # DEPENDENCYPART_ARC
(14,20),-1.39468 # DEPENDENCYPART_ARC
(14,21),-1.13602 # DEPENDENCYPART_ARC
(15,16),-0.341688 # DEPENDENCYPART_ARC
(15,17),-1.27084 # DEPENDENCYPART_ARC
(15,19),-1.86758 # DEPENDENCYPART_ARC
(15,20),-2.0238 # DEPENDENCYPART_ARC
(15,21),-1.2788 # DEPENDENCYPART_ARC
(16,1),-1.88368 # DEPENDENCYPART_ARC
(16,3),-1.92813 # DEPENDENCYPART_ARC
(16,4),-1.84167 # DEPENDENCYPART_ARC
(16,6),-2.62514 # DEPENDENCYPART_ARC
(16,9),-1.77851 # DEPENDENCYPART_ARC
(16,11),-1.39528 # DEPENDENCYPART_ARC
(16,12),-1.48667 # DEPENDENCYPART_ARC
(16,15),1.15473 # DEPENDENCYPART_ARC
(16,17),0.97075 # DEPENDENCYPART_ARC
(16,19),-0.931301 # DEPENDENCYPART_ARC
(16,20),-0.807819 # DEPENDENCYPART_ARC
(16,21),-1.38438 # DEPENDENCYPART_ARC
(17,3),-2.58291 # DEPENDENCYPART_ARC
(17,4),-2.63217 # DEPENDENCYPART_ARC
(17,8),-2.40481 # DEPENDENCYPART_ARC
(17,19),-0.13894 # DEPENDENCYPART_ARC
(17,20),-0.313831 # DEPENDENCYPART_ARC
(17,21),-0.561017 # DEPENDENCYPART_ARC
(19,18),-0.242009 # DEPENDENCYPART_ARC
(19,20),-0.675246 # DEPENDENCYPART_ARC
(20,5),-1.42632 # DEPENDENCYPART_ARC
(20,11),-1.69773 # DEPENDENCYPART_ARC
(20,14),-1.18032 # DEPENDENCYPART_ARC
(20,15),-1.47566 # DEPENDENCYPART_ARC
(20,16),-1.05458 # DEPENDENCYPART_ARC
(20,17),-0.737759 # DEPENDENCYPART_ARC
(20,18),0.125344 # DEPENDENCYPART_ARC
(20,19),1.80675 # DEPENDENCYPART_ARC
(20,21),-0.194977 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0936297 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0993122 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.115449 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0500075 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.106497 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.098678 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.100073 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0985246 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.175309 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.205042 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0781939 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.184876 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.177283 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.177225 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.177201 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.191829 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.072448 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.173136 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.166501 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.166443 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.166419 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.082817 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.177547 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.170911 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.170852 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.170829 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.105077 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.10483 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.104835 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.10483 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.175249 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.17519 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.175166 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.165809 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.165785 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.164628 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0233784 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00731456 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0202629 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0128404 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00303042 # DEPENDENCYPART_SIBL
(1,3),(1,4),4.00324e-05 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00156008 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0291019 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0332406 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.101627 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0305201 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.00851089 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00416795 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00769651 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00698044 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0499579 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0451361 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0148573 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0180469 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00999525 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00554488 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0407563 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0108784 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0407563 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0195614 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0934496 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0507999 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.150918 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0394491 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.150918 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00178492 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00949923 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0509466 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0145241 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0509466 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00670803 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0160746 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0146856 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0160746 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.000434071 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00416841 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0516264 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.000422803 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0276626 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0109015 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.000422803 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0391037 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.077508 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0154629 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0741011 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00854135 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0741011 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0836029 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0690657 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.016165 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0168936 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0152294 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0230075 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.227571 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0355491 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0596913 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0322803 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.04741 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0322803 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0347067 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.065764 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0576828 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.057208 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0532822 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00130267 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0524975 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0219054 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0160997 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0322445 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0160997 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0289709 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00222472 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00935247 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0179244 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0280039 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0239697 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00306612 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0581218 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.120056 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0581218 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0552147 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.149315 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.108359 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.110132 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.112599 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0558104 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0343826 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0475457 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0473254 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0465131 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0648211 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0138558 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0157373 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0182506 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0227127 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0158167 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00151291 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0334049 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.109097 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0681414 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.069914 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0723814 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0380974 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.00536594 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0465131 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0648211 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0138558 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0157373 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0182506 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0227127 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0158167 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0614003 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0299657 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0318635 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0343673 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0250918 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0371877 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0853069 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0870795 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0895469 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0467651 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0058325 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.106416 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.108883 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0535409 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0419587 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.101155 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0483058 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.028138 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0475495 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0203607 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.00442278 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0379791 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.106468 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00722526 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0330016 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0464492 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00772496 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0330016 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.000404718 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0632215 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0301352 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0117906 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0731214 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0141047 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0157689 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.183691 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00247536 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0550726 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0378154 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0377968 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0358616 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0378154 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00055692 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0308436 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0371415 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0371859 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0597362 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0344291 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0305032 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0557432 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0244841 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.003998 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0549179 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.016202 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.003998 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0125335 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0152439 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00386786 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00409571 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00861012 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0149496 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0250292 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0198022 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0507989 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.045472 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00614628 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0507989 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00480323 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0322736 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.000605086 # DEPENDENCYPART_SIBL
(5,4),(5,14),1.79866e-05 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0404788 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00158522 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0111223 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0527253 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00438473 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0126905 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0285706 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00121537 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0227405 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00247236 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0467921 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00453439 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0449107 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0423973 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00599124 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00327156 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00121352 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0129049 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0191463 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0115424 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00673523 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0145597 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00487496 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00236597 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0211103 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0300415 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0139554 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0228902 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.03006 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00919611 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0265238 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.00742356 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.00495613 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0258344 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00121537 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0227405 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00247236 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0467921 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00453439 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0449107 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0423973 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.00599124 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0608251 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0618891 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0160321 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00404153 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0207165 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0201332 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0152394 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0358717 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00613783 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0290838 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.00803565 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0105394 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0213242 # DEPENDENCYPART_SIBL
