# _root_ They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .
#goldHeads=2,0,2,6,6,3,6,9,7,9,22,11,12,12,16,14,22,22,18,21,19,9,22,23,27,27,24,29,27,2,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,12,9,14,12,16,14,16,16,18,21,22,19,22,23,27,27,24,29,27,2,
(3,22),-0.833055 # DEPENDENCYPART_ARC
(3,24),-2.49483 # DEPENDENCYPART_ARC
(3,27),-1.02022 # DEPENDENCYPART_ARC
(3,30),-0.942007 # DEPENDENCYPART_ARC
(4,5),-0.52483 # DEPENDENCYPART_ARC
(4,7),-1.30706 # DEPENDENCYPART_ARC
(5,1),-1.66133 # DEPENDENCYPART_ARC
(5,4),0.0883299 # DEPENDENCYPART_ARC
(5,7),-1.09887 # DEPENDENCYPART_ARC
(5,8),-1.05224 # DEPENDENCYPART_ARC
(5,9),-1.61579 # DEPENDENCYPART_ARC
(6,1),-1.43132 # DEPENDENCYPART_ARC
(6,2),-1.35009 # DEPENDENCYPART_ARC
(6,3),-1.18123 # DEPENDENCYPART_ARC
(6,4),0.219828 # DEPENDENCYPART_ARC
(6,5),1.46386 # DEPENDENCYPART_ARC
(6,7),0.676359 # DEPENDENCYPART_ARC
(6,8),-1.01875 # DEPENDENCYPART_ARC
(6,9),-1.1567 # DEPENDENCYPART_ARC
(6,10),-1.61836 # DEPENDENCYPART_ARC
(6,11),-1.904 # DEPENDENCYPART_ARC
(6,12),-1.61602 # DEPENDENCYPART_ARC
(6,13),-1.79787 # DEPENDENCYPART_ARC
(6,14),-2.04949 # DEPENDENCYPART_ARC
(6,16),-1.69329 # DEPENDENCYPART_ARC
(6,17),-1.97846 # DEPENDENCYPART_ARC
(6,18),-1.95548 # DEPENDENCYPART_ARC
(6,19),-1.76901 # DEPENDENCYPART_ARC
(6,22),-0.873258 # DEPENDENCYPART_ARC
(6,30),-1.61459 # DEPENDENCYPART_ARC
(7,5),-1.48574 # DEPENDENCYPART_ARC
(7,8),-0.133583 # DEPENDENCYPART_ARC
(7,9),-0.115734 # DEPENDENCYPART_ARC
(7,10),-1.34756 # DEPENDENCYPART_ARC
(7,22),-1.24516 # DEPENDENCYPART_ARC
(9,4),-1.28692 # DEPENDENCYPART_ARC
(9,5),-0.740256 # DEPENDENCYPART_ARC
(9,6),-0.975123 # DEPENDENCYPART_ARC
(9,7),-0.798936 # DEPENDENCYPART_ARC
(9,8),1.5739 # DEPENDENCYPART_ARC
(9,10),-0.207348 # DEPENDENCYPART_ARC
(9,11),-1.84233 # DEPENDENCYPART_ARC
(9,12),-1.81838 # DEPENDENCYPART_ARC
(9,13),-1.9782 # DEPENDENCYPART_ARC
(9,14),-2.14066 # DEPENDENCYPART_ARC
(9,15),-2.11792 # DEPENDENCYPART_ARC
(9,16),-1.74464 # DEPENDENCYPART_ARC
(9,17),-1.67861 # DEPENDENCYPART_ARC
(9,18),-2.03585 # DEPENDENCYPART_ARC
(9,22),-1.19961 # DEPENDENCYPART_ARC
(9,27),-1.09436 # DEPENDENCYPART_ARC
(9,30),-1.95494 # DEPENDENCYPART_ARC
(11,10),-0.09826 # DEPENDENCYPART_ARC
(11,12),-0.0164396 # DEPENDENCYPART_ARC
(11,14),-1.14028 # DEPENDENCYPART_ARC
(11,15),-1.46244 # DEPENDENCYPART_ARC
(12,2),-2.6221 # DEPENDENCYPART_ARC
(12,6),-3.05036 # DEPENDENCYPART_ARC
(12,9),-2.90478 # DEPENDENCYPART_ARC
(12,10),-1.66757 # DEPENDENCYPART_ARC
(12,11),-0.558059 # DEPENDENCYPART_ARC
(12,13),0.113975 # DEPENDENCYPART_ARC
(12,14),-0.49829 # DEPENDENCYPART_ARC
(12,15),-1.27658 # DEPENDENCYPART_ARC
(12,16),-1.1488 # DEPENDENCYPART_ARC
(12,17),-1.55942 # DEPENDENCYPART_ARC
(12,18),-2.41847 # DEPENDENCYPART_ARC
(12,19),-1.96672 # DEPENDENCYPART_ARC
(12,20),-2.13371 # DEPENDENCYPART_ARC
(12,22),-1.30707 # DEPENDENCYPART_ARC
(12,23),-1.9551 # DEPENDENCYPART_ARC
(12,24),-2.3816 # DEPENDENCYPART_ARC
(12,30),-1.10824 # DEPENDENCYPART_ARC
(13,6),-2.00404 # DEPENDENCYPART_ARC
(13,7),-1.98182 # DEPENDENCYPART_ARC
(13,9),-2.00802 # DEPENDENCYPART_ARC
(13,10),-1.53704 # DEPENDENCYPART_ARC
(13,11),-1.26863 # DEPENDENCYPART_ARC
(13,12),-0.0599602 # DEPENDENCYPART_ARC
(13,14),-0.018993 # DEPENDENCYPART_ARC
(13,15),-0.858575 # DEPENDENCYPART_ARC
(13,16),-1.27359 # DEPENDENCYPART_ARC
(13,18),-1.91097 # DEPENDENCYPART_ARC
(13,21),-2.1478 # DEPENDENCYPART_ARC
(14,13),-0.104714 # DEPENDENCYPART_ARC
(14,15),0.0335158 # DEPENDENCYPART_ARC
(14,16),0.0567766 # DEPENDENCYPART_ARC
(14,17),-1.0857 # DEPENDENCYPART_ARC
(14,18),-1.95661 # DEPENDENCYPART_ARC
(14,19),-1.71369 # DEPENDENCYPART_ARC
(14,20),-1.81727 # DEPENDENCYPART_ARC
(14,21),-2.77361 # DEPENDENCYPART_ARC
(14,22),-1.84815 # DEPENDENCYPART_ARC
(14,24),-1.31583 # DEPENDENCYPART_ARC
(15,11),-2.01613 # DEPENDENCYPART_ARC
(15,13),-1.52686 # DEPENDENCYPART_ARC
(15,16),-0.554264 # DEPENDENCYPART_ARC
(16,11),-1.86577 # DEPENDENCYPART_ARC
(16,13),-0.953484 # DEPENDENCYPART_ARC
(16,14),-1.06147 # DEPENDENCYPART_ARC
(16,15),1.36957 # DEPENDENCYPART_ARC
(16,17),-0.0149496 # DEPENDENCYPART_ARC
(16,18),-1.42971 # DEPENDENCYPART_ARC
(16,19),-1.63523 # DEPENDENCYPART_ARC
(16,20),-1.95645 # DEPENDENCYPART_ARC
(16,21),-2.02816 # DEPENDENCYPART_ARC
(16,22),-1.2543 # DEPENDENCYPART_ARC
(16,23),-1.87309 # DEPENDENCYPART_ARC
(16,24),-2.16226 # DEPENDENCYPART_ARC
(16,25),-2.00936 # DEPENDENCYPART_ARC
(16,26),-2.04364 # DEPENDENCYPART_ARC
(16,27),-1.19273 # DEPENDENCYPART_ARC
(16,28),-2.08325 # DEPENDENCYPART_ARC
(16,29),-2.05079 # DEPENDENCYPART_ARC
(16,30),-1.58235 # DEPENDENCYPART_ARC
(18,11),-2.37893 # DEPENDENCYPART_ARC
(18,12),-1.62026 # DEPENDENCYPART_ARC
(18,13),-1.68436 # DEPENDENCYPART_ARC
(18,14),-1.58386 # DEPENDENCYPART_ARC
(18,15),-1.05337 # DEPENDENCYPART_ARC
(18,16),-0.704812 # DEPENDENCYPART_ARC
(18,17),-0.0510468 # DEPENDENCYPART_ARC
(18,19),0.410288 # DEPENDENCYPART_ARC
(18,20),-1.18026 # DEPENDENCYPART_ARC
(18,21),-1.39822 # DEPENDENCYPART_ARC
(18,23),-1.38008 # DEPENDENCYPART_ARC
(18,24),-1.24086 # DEPENDENCYPART_ARC
(18,25),-1.55537 # DEPENDENCYPART_ARC
(18,26),-1.56137 # DEPENDENCYPART_ARC
(18,27),-0.527803 # DEPENDENCYPART_ARC
(18,28),-1.48924 # DEPENDENCYPART_ARC
(18,29),-1.77565 # DEPENDENCYPART_ARC
(18,30),-0.925383 # DEPENDENCYPART_ARC
(19,18),-0.508334 # DEPENDENCYPART_ARC
(19,20),0.0939945 # DEPENDENCYPART_ARC
(19,21),0.0127507 # DEPENDENCYPART_ARC
(19,22),-0.957857 # DEPENDENCYPART_ARC
(19,23),-0.916569 # DEPENDENCYPART_ARC
(19,24),-1.07987 # DEPENDENCYPART_ARC
(19,26),-1.79708 # DEPENDENCYPART_ARC
(19,27),-1.53024 # DEPENDENCYPART_ARC
(19,29),-2.06154 # DEPENDENCYPART_ARC
(20,21),-0.459194 # DEPENDENCYPART_ARC
(20,23),-1.05554 # DEPENDENCYPART_ARC
(20,28),-1.17449 # DEPENDENCYPART_ARC
(21,15),-2.03726 # DEPENDENCYPART_ARC
(21,16),-2.11141 # DEPENDENCYPART_ARC
(21,18),-0.957229 # DEPENDENCYPART_ARC
(21,19),-1.00924 # DEPENDENCYPART_ARC
(21,20),1.25712 # DEPENDENCYPART_ARC
(21,23),-1.35738 # DEPENDENCYPART_ARC
(21,24),-1.27742 # DEPENDENCYPART_ARC
(21,29),-2.01234 # DEPENDENCYPART_ARC
(22,1),-1.75523 # DEPENDENCYPART_ARC
(22,2),-2.13314 # DEPENDENCYPART_ARC
(22,3),-2.15633 # DEPENDENCYPART_ARC
(22,4),-2.0276 # DEPENDENCYPART_ARC
(22,5),-2.0101 # DEPENDENCYPART_ARC
(22,6),-1.32665 # DEPENDENCYPART_ARC
(22,7),-1.25922 # DEPENDENCYPART_ARC
(22,8),-1.7902 # DEPENDENCYPART_ARC
(22,9),-0.782219 # DEPENDENCYPART_ARC
(22,10),-2.01669 # DEPENDENCYPART_ARC
(22,11),-2.24868 # DEPENDENCYPART_ARC
(22,12),-1.63518 # DEPENDENCYPART_ARC
(22,13),-1.50217 # DEPENDENCYPART_ARC
(22,14),-1.59826 # DEPENDENCYPART_ARC
(22,15),-1.55122 # DEPENDENCYPART_ARC
(22,16),-0.816986 # DEPENDENCYPART_ARC
(22,17),-0.649147 # DEPENDENCYPART_ARC
(22,18),-0.52477 # DEPENDENCYPART_ARC
(22,19),-0.743982 # DEPENDENCYPART_ARC
(22,20),-0.131306 # DEPENDENCYPART_ARC
(22,21),1.82173 # DEPENDENCYPART_ARC
(22,23),0.0205771 # DEPENDENCYPART_ARC
(22,24),-0.801875 # DEPENDENCYPART_ARC
(22,25),-1.35279 # DEPENDENCYPART_ARC
(22,26),-0.822825 # DEPENDENCYPART_ARC
(22,27),-1.23179 # DEPENDENCYPART_ARC
(22,28),-1.31693 # DEPENDENCYPART_ARC
(22,29),-1.04403 # DEPENDENCYPART_ARC
(22,30),-1.55629 # DEPENDENCYPART_ARC
(23,20),-1.60903 # DEPENDENCYPART_ARC
(23,21),-1.38792 # DEPENDENCYPART_ARC
(23,24),0.0837233 # DEPENDENCYPART_ARC
(23,26),-1.30964 # DEPENDENCYPART_ARC
(23,27),-1.11661 # DEPENDENCYPART_ARC
(23,28),-0.920522 # DEPENDENCYPART_ARC
(23,29),-1.52685 # DEPENDENCYPART_ARC
(24,21),-1.51066 # DEPENDENCYPART_ARC
(24,23),-0.656155 # DEPENDENCYPART_ARC
(24,25),0.367419 # DEPENDENCYPART_ARC
(24,26),0.290572 # DEPENDENCYPART_ARC
(24,27),-0.846561 # DEPENDENCYPART_ARC
(24,28),-0.926038 # DEPENDENCYPART_ARC
(24,29),-0.75679 # DEPENDENCYPART_ARC
(25,26),-0.354954 # DEPENDENCYPART_ARC
(26,23),-1.84842 # DEPENDENCYPART_ARC
(26,25),0.990067 # DEPENDENCYPART_ARC
(26,28),-1.21469 # DEPENDENCYPART_ARC
(26,29),-1.48213 # DEPENDENCYPART_ARC
(27,1),-1.76399 # DEPENDENCYPART_ARC
(27,2),-2.22731 # DEPENDENCYPART_ARC
(27,3),-2.30985 # DEPENDENCYPART_ARC
(27,6),-1.63261 # DEPENDENCYPART_ARC
(27,8),-2.27967 # DEPENDENCYPART_ARC
(27,9),-0.985425 # DEPENDENCYPART_ARC
(27,10),-2.41999 # DEPENDENCYPART_ARC
(27,11),-2.87969 # DEPENDENCYPART_ARC
(27,12),-1.97147 # DEPENDENCYPART_ARC
(27,13),-1.66603 # DEPENDENCYPART_ARC
(27,14),-1.80709 # DEPENDENCYPART_ARC
(27,15),-2.09836 # DEPENDENCYPART_ARC
(27,16),-1.13909 # DEPENDENCYPART_ARC
(27,17),-1.13868 # DEPENDENCYPART_ARC
(27,18),-0.989817 # DEPENDENCYPART_ARC
(27,19),-1.12463 # DEPENDENCYPART_ARC
(27,20),-1.23397 # DEPENDENCYPART_ARC
(27,21),-0.27521 # DEPENDENCYPART_ARC
(27,22),-0.791746 # DEPENDENCYPART_ARC
(27,23),-0.782868 # DEPENDENCYPART_ARC
(27,24),-0.968728 # DEPENDENCYPART_ARC
(27,25),0.308344 # DEPENDENCYPART_ARC
(27,26),1.39178 # DEPENDENCYPART_ARC
(27,28),0.465887 # DEPENDENCYPART_ARC
(27,29),0.85307 # DEPENDENCYPART_ARC
(27,30),-1.16997 # DEPENDENCYPART_ARC
(28,25),-1.96496 # DEPENDENCYPART_ARC
(28,26),-1.51573 # DEPENDENCYPART_ARC
(28,29),-0.746676 # DEPENDENCYPART_ARC
(29,20),-1.65926 # DEPENDENCYPART_ARC
(29,25),-1.11946 # DEPENDENCYPART_ARC
(29,26),-0.916231 # DEPENDENCYPART_ARC
(29,27),-0.52415 # DEPENDENCYPART_ARC
(29,28),0.983767 # DEPENDENCYPART_ARC
(29,30),-0.587648 # DEPENDENCYPART_ARC
(30,28),-1.33176 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.226537 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0675772 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.226615 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0675612 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.225535 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0901028 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0135217 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00251182 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.115718 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0391988 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0642829 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00132923 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0646352 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0524902 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0148904 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0524902 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0534803 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0374818 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.0374818 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.0493664 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00330776 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0174353 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0082426 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0327379 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00824937 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0127864 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00791869 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0127864 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0730803 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0382659 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0382659 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.0760923 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0545849 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0443853 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0447182 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0443775 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0768507 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0476843 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0768507 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0748197 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.056264 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.056264 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0353706 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0384249 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0221081 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0384176 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00768857 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00507652 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00768857 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0540077 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0315082 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0315082 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.00591593 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00960115 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0392621 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00508043 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00378323 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00508043 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0554492 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.040583 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.040583 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.0213067 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0278045 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0325285 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0693682 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0325285 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0332697 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0533826 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.0533826 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.00124264 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0157535 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0160705 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0157535 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0542813 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0424977 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.0424977 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.0189321 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0249371 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00406766 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0213114 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.023963 # DEPENDENCYPART_SIBL
(2,10),(2,27),-0.023963 # DEPENDENCYPART_SIBL
(2,10),(2,30),0.00283442 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0113231 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0728732 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0386505 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.0386505 # DEPENDENCYPART_SIBL
(2,12),(2,30),0.0751794 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0213114 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.023963 # DEPENDENCYPART_SIBL
(2,17),(2,27),-0.023963 # DEPENDENCYPART_SIBL
(2,17),(2,30),0.00283442 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.0113857 # DEPENDENCYPART_SIBL
(2,19),(2,27),-0.0113857 # DEPENDENCYPART_SIBL
(2,19),(2,30),0.0330978 # DEPENDENCYPART_SIBL
(2,22),(2,27),-0.067607 # DEPENDENCYPART_SIBL
(2,22),(2,30),-0.00652749 # DEPENDENCYPART_SIBL
(2,27),(2,30),-0.00652749 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0221379 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0985858 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0205544 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0484723 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0424123 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0244694 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0488246 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0173206 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0196254 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0325666 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0212896 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0173206 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0212896 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0751863 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0212896 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0751863 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.0448963 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0895467 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0107632 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00450045 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0109353 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0131685 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00415812 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0407561 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0155338 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0145356 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00042503 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0407561 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00042503 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00151343 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.00042503 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.00151343 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.0424118 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0527779 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0378949 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0527717 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0535486 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0378871 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0593492 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0447047 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0362144 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0929235 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0593492 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0929235 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0527005 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0929235 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0527005 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.049412 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0335186 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0131269 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0582906 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0335113 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0242884 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00251933 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0338883 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.03498 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0242884 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.03498 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0288465 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.03498 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0288465 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.010362 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00312021 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0260699 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0310964 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0302851 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00180457 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0115257 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0304078 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0302851 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0304078 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0360723 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0304078 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0360723 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.000329898 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0594826 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0238609 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0225013 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0704167 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0340277 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0457103 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0225013 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0457103 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.050987 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0457103 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.050987 # DEPENDENCYPART_SIBL
(3,7),(3,30),-0.0325831 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0334149 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0245237 # DEPENDENCYPART_SIBL
