# _root_ Interprovincial Pipe Line Co. , an oil pipeline operator rumored to be mulling a gas pipeline proposal of its own , said that is n't in the cards .
#goldHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
#predictedHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
(17,14),-0.126946 # DEPENDENCYPART_ARC
(17,15),0.773665 # DEPENDENCYPART_ARC
(17,16),1.80375 # DEPENDENCYPART_ARC
(17,18),0.353777 # DEPENDENCYPART_ARC
(17,20),-0.934793 # DEPENDENCYPART_ARC
(17,21),-1.16904 # DEPENDENCYPART_ARC
(17,22),-1.53238 # DEPENDENCYPART_ARC
(17,23),-1.83207 # DEPENDENCYPART_ARC
(17,24),-1.90417 # DEPENDENCYPART_ARC
(17,25),-1.59477 # DEPENDENCYPART_ARC
(17,26),-1.79553 # DEPENDENCYPART_ARC
(17,29),-2.04706 # DEPENDENCYPART_ARC
(18,20),-0.699458 # DEPENDENCYPART_ARC
(18,21),-1.26434 # DEPENDENCYPART_ARC
(18,22),-1.94347 # DEPENDENCYPART_ARC
(18,23),-2.06852 # DEPENDENCYPART_ARC
(18,24),-2.08673 # DEPENDENCYPART_ARC
(18,25),-1.98628 # DEPENDENCYPART_ARC
(18,26),-2.2381 # DEPENDENCYPART_ARC
(20,11),-1.37668 # DEPENDENCYPART_ARC
(20,15),-1.17768 # DEPENDENCYPART_ARC
(20,16),-1.13272 # DEPENDENCYPART_ARC
(20,17),-1.03917 # DEPENDENCYPART_ARC
(20,18),-1.00834 # DEPENDENCYPART_ARC
(20,19),-0.0538295 # DEPENDENCYPART_ARC
(20,21),-0.355804 # DEPENDENCYPART_ARC
(20,22),-1.52516 # DEPENDENCYPART_ARC
(20,23),-1.78228 # DEPENDENCYPART_ARC
(20,24),-1.98703 # DEPENDENCYPART_ARC
(20,25),-2.02266 # DEPENDENCYPART_ARC
(20,26),-1.94577 # DEPENDENCYPART_ARC
(22,1),-1.68028 # DEPENDENCYPART_ARC
(22,2),-1.58707 # DEPENDENCYPART_ARC
(22,3),-1.58638 # DEPENDENCYPART_ARC
(22,4),-1.44388 # DEPENDENCYPART_ARC
(22,5),-1.92701 # DEPENDENCYPART_ARC
(22,6),-1.99748 # DEPENDENCYPART_ARC
(22,9),-2.40658 # DEPENDENCYPART_ARC
(22,10),-1.36367 # DEPENDENCYPART_ARC
(22,11),-1.94899 # DEPENDENCYPART_ARC
(22,12),-1.41772 # DEPENDENCYPART_ARC
(22,13),-1.16916 # DEPENDENCYPART_ARC
(22,14),-1.52385 # DEPENDENCYPART_ARC
(22,15),-1.67089 # DEPENDENCYPART_ARC
(22,16),-1.62463 # DEPENDENCYPART_ARC
(22,17),-1.43879 # DEPENDENCYPART_ARC
(22,18),-0.897121 # DEPENDENCYPART_ARC
(22,20),-0.833353 # DEPENDENCYPART_ARC
(22,21),1.016 # DEPENDENCYPART_ARC
(22,23),0.722257 # DEPENDENCYPART_ARC
(22,24),0.0314652 # DEPENDENCYPART_ARC
(22,25),-0.803981 # DEPENDENCYPART_ARC
(22,26),-1.04813 # DEPENDENCYPART_ARC
(22,29),0.292088 # DEPENDENCYPART_ARC
(23,24),-0.393243 # DEPENDENCYPART_ARC
(24,1),-1.84902 # DEPENDENCYPART_ARC
(24,2),-1.97929 # DEPENDENCYPART_ARC
(24,3),-1.98666 # DEPENDENCYPART_ARC
(24,4),-1.9316 # DEPENDENCYPART_ARC
(24,5),-3.01067 # DEPENDENCYPART_ARC
(24,9),-2.72971 # DEPENDENCYPART_ARC
(24,10),-1.90734 # DEPENDENCYPART_ARC
(24,12),-2.0345 # DEPENDENCYPART_ARC
(24,13),-1.8383 # DEPENDENCYPART_ARC
(24,17),-2.24432 # DEPENDENCYPART_ARC
(24,18),-1.78884 # DEPENDENCYPART_ARC
(24,20),-1.88459 # DEPENDENCYPART_ARC
(24,21),-1.51578 # DEPENDENCYPART_ARC
(24,22),-1.22653 # DEPENDENCYPART_ARC
(24,23),0.564259 # DEPENDENCYPART_ARC
(24,25),1.07287 # DEPENDENCYPART_ARC
(24,26),0.203736 # DEPENDENCYPART_ARC
(24,28),-0.2683 # DEPENDENCYPART_ARC
(24,29),0.0663634 # DEPENDENCYPART_ARC
(25,20),-2.17225 # DEPENDENCYPART_ARC
(25,23),-1.18431 # DEPENDENCYPART_ARC
(25,24),-0.210562 # DEPENDENCYPART_ARC
(25,26),-0.0992358 # DEPENDENCYPART_ARC
(25,27),-0.905774 # DEPENDENCYPART_ARC
(25,28),-1.14944 # DEPENDENCYPART_ARC
(26,23),-1.35598 # DEPENDENCYPART_ARC
(26,25),-0.189868 # DEPENDENCYPART_ARC
(26,27),0.323855 # DEPENDENCYPART_ARC
(26,28),0.365233 # DEPENDENCYPART_ARC
(26,29),-0.791719 # DEPENDENCYPART_ARC
(28,19),-2.44783 # DEPENDENCYPART_ARC
(28,23),-1.52079 # DEPENDENCYPART_ARC
(28,25),-1.20908 # DEPENDENCYPART_ARC
(28,26),-0.849776 # DEPENDENCYPART_ARC
(28,27),1.20453 # DEPENDENCYPART_ARC
(28,29),-0.279612 # DEPENDENCYPART_ARC
(29,26),-1.02714 # DEPENDENCYPART_ARC
(0,4),(0,10),-0.102655 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.110626 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.102654 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.119717 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.103289 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.170995 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.164277 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.189687 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.163626 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.175166 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.203366 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.173231 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.189686 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.163624 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.170665 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0145454 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.027472 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0155292 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0103096 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0129474 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0325287 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0183158 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0153663 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00609932 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0536956 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0139168 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0128415 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0473263 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0226968 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0134029 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.012179 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0149049 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0513987 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0225048 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0130128 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0343 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.016601 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0325268 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0183204 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0211921 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0185602 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0153644 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00609875 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0537002 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0202454 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0171076 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0139149 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.012841 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0335458 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0416786 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0473333 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0226998 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0167033 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0135075 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0157881 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0111756 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0116816 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0134024 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00667247 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.040019 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0209607 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00260887 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0121009 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00918635 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0395326 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0500926 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0136348 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0115115 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0210044 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.000283695 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0433599 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0529099 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0239516 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0208138 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0176211 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0142671 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.02533 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0334628 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0391175 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0226875 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0204096 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0172138 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0172142 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0148818 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0131077 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0148285 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0136365 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0131661 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.127712 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0425991 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0331071 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0590201 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00724432 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0397003 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.127712 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.0329696 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0154384 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.115758 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0291512 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0196584 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0455722 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0142673 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0262524 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.115758 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0259354 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.115867 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.029579 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0200869 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0459999 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0166347 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0266802 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.115867 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0237729 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0369166 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0450494 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.051876 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0436455 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0442299 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0384541 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.00201623 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.016131 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0124668 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00739776 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0154219 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0181295 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.0151811 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0101348 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00329124 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0130899 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0198137 # DEPENDENCYPART_SIBL
(4,8),(4,29),0.00995656 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00501242 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0122243 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0209738 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0124657 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0206923 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0121108 # DEPENDENCYPART_SIBL
(4,10),(4,29),-0.0139788 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0159085 # DEPENDENCYPART_SIBL
(4,17),(4,29),0.0161391 # DEPENDENCYPART_SIBL
(4,21),(4,29),-0.00201623 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0584357 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0231312 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.291241 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.292044 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.291261 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.014581 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0235657 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0145693 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0174209 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0097439 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0286339 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0596211 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0349982 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0368398 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0354008 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0363925 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0747397 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.274517 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.27532 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.274538 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0189876 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0173303 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0185403 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0183417 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0106647 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0295547 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0288321 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0283425 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.00475341 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0462996 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0581975 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0380255 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0341575 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0155128 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0657762 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0138553 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0150655 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0206852 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.04757 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.0148778 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0524876 # DEPENDENCYPART_SIBL
(9,1),(9,29),0.0118952 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0306025 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.00250894 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.046641 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0578476 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.04027 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0364019 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0193401 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.069602 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0176826 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0188928 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0117827 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0437444 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0110529 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0451618 # DEPENDENCYPART_SIBL
(9,2),(9,29),0.00805967 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00371992 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0502862 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0583445 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0390591 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0351911 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0217053 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0711248 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0200494 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0212579 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0122146 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0424789 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.00948322 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.0452736 # DEPENDENCYPART_SIBL
(9,3),(9,29),0.00589935 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0572008 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.051679 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0550192 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0529869 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0290374 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0638073 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0275983 # DEPENDENCYPART_SIBL
