# _root_ `` This week was uneventful for the CD market , '' said Norberto Mehl , chairman of Banxquote .
#goldHeads=12,3,4,12,4,4,9,9,6,12,12,0,14,12,14,14,16,17,12,
#predictedHeads=12,3,4,12,4,5,9,9,6,12,12,0,14,12,14,14,16,17,12,
(5,8),-0.93293 # DEPENDENCYPART_ARC
(5,9),-1.04298 # DEPENDENCYPART_ARC
(5,10),-0.932705 # DEPENDENCYPART_ARC
(5,11),-1.05142 # DEPENDENCYPART_ARC
(5,12),-1.33929 # DEPENDENCYPART_ARC
(5,15),-1.39166 # DEPENDENCYPART_ARC
(5,16),-1.43047 # DEPENDENCYPART_ARC
(5,17),-1.61529 # DEPENDENCYPART_ARC
(5,19),-1.55134 # DEPENDENCYPART_ARC
(6,3),-1.59652 # DEPENDENCYPART_ARC
(6,5),-0.629747 # DEPENDENCYPART_ARC
(6,7),0.118123 # DEPENDENCYPART_ARC
(6,8),-0.169519 # DEPENDENCYPART_ARC
(6,9),-0.503818 # DEPENDENCYPART_ARC
(6,10),-1.03016 # DEPENDENCYPART_ARC
(6,11),-1.3218 # DEPENDENCYPART_ARC
(6,12),-1.87366 # DEPENDENCYPART_ARC
(6,14),-2.63124 # DEPENDENCYPART_ARC
(6,15),-1.56502 # DEPENDENCYPART_ARC
(6,16),-2.65818 # DEPENDENCYPART_ARC
(7,6),-0.42093 # DEPENDENCYPART_ARC
(7,8),-0.359766 # DEPENDENCYPART_ARC
(7,10),-1.18594 # DEPENDENCYPART_ARC
(8,1),-2.45677 # DEPENDENCYPART_ARC
(8,4),-2.18183 # DEPENDENCYPART_ARC
(8,5),-2.44907 # DEPENDENCYPART_ARC
(8,6),-1.68734 # DEPENDENCYPART_ARC
(8,7),-0.0690052 # DEPENDENCYPART_ARC
(8,9),-0.7655 # DEPENDENCYPART_ARC
(8,10),-1.57492 # DEPENDENCYPART_ARC
(8,11),-1.75329 # DEPENDENCYPART_ARC
(8,12),-1.98929 # DEPENDENCYPART_ARC
(8,14),-2.54935 # DEPENDENCYPART_ARC
(8,16),-2.63588 # DEPENDENCYPART_ARC
(9,1),-1.1644 # DEPENDENCYPART_ARC
(9,2),-1.99732 # DEPENDENCYPART_ARC
(9,3),-1.71949 # DEPENDENCYPART_ARC
(9,4),-0.97106 # DEPENDENCYPART_ARC
(9,5),-1.16203 # DEPENDENCYPART_ARC
(9,6),-0.840418 # DEPENDENCYPART_ARC
(9,7),0.621798 # DEPENDENCYPART_ARC
(9,8),1.79733 # DEPENDENCYPART_ARC
(9,10),0.0865369 # DEPENDENCYPART_ARC
(9,11),-1.56981 # DEPENDENCYPART_ARC
(9,12),-2.03852 # DEPENDENCYPART_ARC
(9,13),-1.81443 # DEPENDENCYPART_ARC
(9,14),-1.96344 # DEPENDENCYPART_ARC
(9,15),-1.43537 # DEPENDENCYPART_ARC
(9,16),-1.99803 # DEPENDENCYPART_ARC
(9,17),-2.22804 # DEPENDENCYPART_ARC
(9,19),-2.17758 # DEPENDENCYPART_ARC
(12,1),-0.817671 # DEPENDENCYPART_ARC
(12,2),-1.91301 # DEPENDENCYPART_ARC
(12,3),-2.08459 # DEPENDENCYPART_ARC
(12,4),-0.942001 # DEPENDENCYPART_ARC
(12,5),-1.59401 # DEPENDENCYPART_ARC
(12,6),-1.22854 # DEPENDENCYPART_ARC
(12,7),-1.68972 # DEPENDENCYPART_ARC
(12,8),-1.96767 # DEPENDENCYPART_ARC
(12,9),-1.74072 # DEPENDENCYPART_ARC
(12,10),-0.231057 # DEPENDENCYPART_ARC
(12,11),0.674025 # DEPENDENCYPART_ARC
(12,13),0.306066 # DEPENDENCYPART_ARC
(12,14),0.0412511 # DEPENDENCYPART_ARC
(12,15),-0.910526 # DEPENDENCYPART_ARC
(12,16),-1.37012 # DEPENDENCYPART_ARC
(12,17),-1.62274 # DEPENDENCYPART_ARC
(12,19),0.0468907 # DEPENDENCYPART_ARC
(13,11),-1.98899 # DEPENDENCYPART_ARC
(13,12),-0.669406 # DEPENDENCYPART_ARC
(13,14),-0.676827 # DEPENDENCYPART_ARC
(13,15),-1.56659 # DEPENDENCYPART_ARC
(13,16),-1.99791 # DEPENDENCYPART_ARC
(13,17),-1.95101 # DEPENDENCYPART_ARC
(14,5),-3.03016 # DEPENDENCYPART_ARC
(14,7),-2.26435 # DEPENDENCYPART_ARC
(14,8),-2.02616 # DEPENDENCYPART_ARC
(14,9),-2.23858 # DEPENDENCYPART_ARC
(14,10),-1.97641 # DEPENDENCYPART_ARC
(14,11),-1.59785 # DEPENDENCYPART_ARC
(14,12),-0.769447 # DEPENDENCYPART_ARC
(14,13),1.593 # DEPENDENCYPART_ARC
(14,15),0.404923 # DEPENDENCYPART_ARC
(14,16),-1.08419 # DEPENDENCYPART_ARC
(14,17),-1.72992 # DEPENDENCYPART_ARC
(14,18),-1.88762 # DEPENDENCYPART_ARC
(14,19),-1.82174 # DEPENDENCYPART_ARC
(16,2),-2.59718 # DEPENDENCYPART_ARC
(16,5),-2.36637 # DEPENDENCYPART_ARC
(16,6),-1.63838 # DEPENDENCYPART_ARC
(16,7),-1.36277 # DEPENDENCYPART_ARC
(16,8),-1.62497 # DEPENDENCYPART_ARC
(16,9),-2.20561 # DEPENDENCYPART_ARC
(16,10),-2.49722 # DEPENDENCYPART_ARC
(16,12),-1.52442 # DEPENDENCYPART_ARC
(16,13),-1.06508 # DEPENDENCYPART_ARC
(16,14),-1.03123 # DEPENDENCYPART_ARC
(16,15),-0.123276 # DEPENDENCYPART_ARC
(16,17),0.878112 # DEPENDENCYPART_ARC
(16,18),-0.82526 # DEPENDENCYPART_ARC
(16,19),-0.744616 # DEPENDENCYPART_ARC
(17,15),-1.4116 # DEPENDENCYPART_ARC
(17,16),-0.609027 # DEPENDENCYPART_ARC
(17,18),0.818915 # DEPENDENCYPART_ARC
(17,19),-1.06871 # DEPENDENCYPART_ARC
(18,16),-1.17906 # DEPENDENCYPART_ARC
(18,19),-0.379333 # DEPENDENCYPART_ARC
(19,17),-1.03606 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.120502 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.126566 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.193787 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00936725 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0189038 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00180499 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0743457 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0112935 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0346561 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0663719 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0316765 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.120425 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.746494 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00552449 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0359666 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.120425 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0166195 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0181838 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.112859 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.195795 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.134631 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.158652 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0452278 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00345966 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.118946 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.158652 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0814482 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00238113 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0118373 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0268142 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0390653 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.10978 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0100603 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0244405 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0390653 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0110009 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00976758 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.023781 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.014622 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0074071 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.012729 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0175675 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.014622 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.00643234 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0260195 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.017081 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0100019 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0251183 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.028468 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.017081 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0644994 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00873304 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00837956 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.020156 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0264783 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00873304 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0201995 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0718058 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0189159 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.000149896 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00785754 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.01876 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00283432 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0333243 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0137436 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0181559 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0396467 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.021982 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0276827 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00874548 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0244915 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.01876 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0182543 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.015731 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0752161 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.104627 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0510527 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0609488 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.137952 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.481402 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0296264 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0510605 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.137952 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0877303 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0277066 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0356951 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.105147 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.000137507 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0428149 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0402848 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0548746 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.10485 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00520821 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0428341 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0548746 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0553162 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.038972 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0434418 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0556611 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0219039 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0283109 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00977678 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0208745 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00599744 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.02188 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00977678 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.02365 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0598079 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00428519 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0448107 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0366915 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0113042 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0379848 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0138718 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0448107 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0113042 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0510258 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.00209401 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0233247 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00757673 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0227119 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.047525 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0362714 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.023323 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0227119 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0301241 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0202935 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0258423 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00194016 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0108971 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0437578 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0593458 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00194016 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0697037 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.00132462 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0231386 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0107498 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0311787 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0551971 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0231386 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.065555 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00458908 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0477308 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00788688 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.00716396 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0313414 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0201344 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.00960865 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00858308 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0155372 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0231142 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00669876 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0616303 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0302306 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0253016 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0397071 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.028596 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00201097 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0696637 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.00124918 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0201344 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.00960865 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.00733434 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0506953 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00210956 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0229989 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0419207 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0424145 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.187188 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.563926 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0426041 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.187188 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0564021 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0883742 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0239423 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0463055 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.108817 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.041015 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0325714 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.129966 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.122041 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0815454 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.129966 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0459404 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.1794 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0233681 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00852063 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0151164 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00200403 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0503101 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0130796 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00927857 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0503101 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0179072 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00412498 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0021547 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0685708 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0709126 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0475878 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00187174 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.000387946 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0475878 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0703301 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0112462 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0489101 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0272614 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0260179 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00178017 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00188686 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0260179 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0151578 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.00722987 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0085647 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0247836 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00544657 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00314378 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0247836 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00961295 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0120461 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0132749 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0224131 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00537113 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.107109 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0852588 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0177491 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0131469 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00825733 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0115933 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0682669 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0697438 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0407836 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0728584 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.041112 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0399073 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0529359 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0852588 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0177491 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0131469 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.00722821 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.00799496 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.033724 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00176172 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0749161 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0254483 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0405998 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.103779 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.027666 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.047478 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.025436 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.103779 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0227982 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00988459 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0575703 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0666114 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.14178 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0037312 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0300034 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0575549 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.14178 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0592486 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0647362 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0647686 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00156509 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0130326 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0464327 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0647356 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00156509 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0647374 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0774714 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0334593 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0414345 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0341601 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0887258 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0334593 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0893742 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0261522 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0283202 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0408359 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.102215 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0261522 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.102863 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0226384 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0257013 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0586272 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0423022 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.061411 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0432338 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0305828 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.00299544 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0306225 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0509328 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.102505 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0516232 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0334766 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0893722 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.061411 # DEPENDENCYPART_SIBL
