# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,19,19,19,15,19,20,21,21,25,23,25,29,29,26,19,21,34,34,31,3,
(10,6),-1.22785 # DEPENDENCYPART_ARC
(10,7),-0.858179 # DEPENDENCYPART_ARC
(10,11),-0.794493 # DEPENDENCYPART_ARC
(10,12),0.488252 # DEPENDENCYPART_ARC
(10,13),-1.20525 # DEPENDENCYPART_ARC
(10,14),-1.34064 # DEPENDENCYPART_ARC
(10,15),-0.652281 # DEPENDENCYPART_ARC
(10,16),-0.852898 # DEPENDENCYPART_ARC
(10,17),-2.41737 # DEPENDENCYPART_ARC
(10,18),-1.74298 # DEPENDENCYPART_ARC
(10,19),-1.03285 # DEPENDENCYPART_ARC
(10,20),-1.60929 # DEPENDENCYPART_ARC
(10,21),-1.83988 # DEPENDENCYPART_ARC
(10,22),-2.07761 # DEPENDENCYPART_ARC
(10,23),-1.74058 # DEPENDENCYPART_ARC
(10,25),-2.25825 # DEPENDENCYPART_ARC
(10,26),-2.12301 # DEPENDENCYPART_ARC
(10,30),-1.22515 # DEPENDENCYPART_ARC
(10,31),-2.57608 # DEPENDENCYPART_ARC
(10,35),-2.31675 # DEPENDENCYPART_ARC
(12,7),-2.10238 # DEPENDENCYPART_ARC
(12,11),1.58569 # DEPENDENCYPART_ARC
(12,13),-0.970692 # DEPENDENCYPART_ARC
(12,14),-1.01413 # DEPENDENCYPART_ARC
(12,15),-1.58653 # DEPENDENCYPART_ARC
(12,16),-1.2185 # DEPENDENCYPART_ARC
(12,19),-1.75368 # DEPENDENCYPART_ARC
(12,20),-2.04844 # DEPENDENCYPART_ARC
(12,22),-1.88992 # DEPENDENCYPART_ARC
(14,15),0.554739 # DEPENDENCYPART_ARC
(14,16),-0.988882 # DEPENDENCYPART_ARC
(14,17),-2.39404 # DEPENDENCYPART_ARC
(14,18),-1.90571 # DEPENDENCYPART_ARC
(14,19),-0.391651 # DEPENDENCYPART_ARC
(14,20),-1.07964 # DEPENDENCYPART_ARC
(14,21),-2.3346 # DEPENDENCYPART_ARC
(15,11),-1.04943 # DEPENDENCYPART_ARC
(15,12),-2.19978 # DEPENDENCYPART_ARC
(15,16),-0.21146 # DEPENDENCYPART_ARC
(15,17),-1.96183 # DEPENDENCYPART_ARC
(15,18),-1.72735 # DEPENDENCYPART_ARC
(15,19),-0.95342 # DEPENDENCYPART_ARC
(15,20),-1.36043 # DEPENDENCYPART_ARC
(15,21),-2.49075 # DEPENDENCYPART_ARC
(15,22),-1.73648 # DEPENDENCYPART_ARC
(15,23),-1.89284 # DEPENDENCYPART_ARC
(15,25),-2.1025 # DEPENDENCYPART_ARC
(15,26),-2.31922 # DEPENDENCYPART_ARC
(15,30),-1.10254 # DEPENDENCYPART_ARC
(15,34),-3.1322 # DEPENDENCYPART_ARC
(16,15),-1.96345 # DEPENDENCYPART_ARC
(16,17),-1.66535 # DEPENDENCYPART_ARC
(16,18),-2.23443 # DEPENDENCYPART_ARC
(17,15),-2.52375 # DEPENDENCYPART_ARC
(17,18),-1.1561 # DEPENDENCYPART_ARC
(17,20),-1.50836 # DEPENDENCYPART_ARC
(17,21),-2.1843 # DEPENDENCYPART_ARC
(17,23),-1.76512 # DEPENDENCYPART_ARC
(17,25),-2.61102 # DEPENDENCYPART_ARC
(17,26),-1.96008 # DEPENDENCYPART_ARC
(18,17),-1.91618 # DEPENDENCYPART_ARC
(19,2),-2.51541 # DEPENDENCYPART_ARC
(19,3),-1.93381 # DEPENDENCYPART_ARC
(19,4),-2.26161 # DEPENDENCYPART_ARC
(19,5),-2.20803 # DEPENDENCYPART_ARC
(19,6),-1.7086 # DEPENDENCYPART_ARC
(19,7),-1.95438 # DEPENDENCYPART_ARC
(19,8),-2.03642 # DEPENDENCYPART_ARC
(19,9),-2.08949 # DEPENDENCYPART_ARC
(19,11),-2.00887 # DEPENDENCYPART_ARC
(19,12),-1.56243 # DEPENDENCYPART_ARC
(19,13),-1.82738 # DEPENDENCYPART_ARC
(19,15),-0.958171 # DEPENDENCYPART_ARC
(19,16),-1.08322 # DEPENDENCYPART_ARC
(19,17),0.521191 # DEPENDENCYPART_ARC
(19,18),1.42334 # DEPENDENCYPART_ARC
(19,20),0.573064 # DEPENDENCYPART_ARC
(19,21),-0.607055 # DEPENDENCYPART_ARC
(19,22),-1.25929 # DEPENDENCYPART_ARC
(19,23),-1.15035 # DEPENDENCYPART_ARC
(19,25),-2.02864 # DEPENDENCYPART_ARC
(19,26),-1.76723 # DEPENDENCYPART_ARC
(19,29),-2.55986 # DEPENDENCYPART_ARC
(19,30),-1.15684 # DEPENDENCYPART_ARC
(19,35),-1.2784 # DEPENDENCYPART_ARC
(20,1),-1.7971 # DEPENDENCYPART_ARC
(20,2),-1.79397 # DEPENDENCYPART_ARC
(20,3),-1.98114 # DEPENDENCYPART_ARC
(20,4),-2.0285 # DEPENDENCYPART_ARC
(20,5),-2.05119 # DEPENDENCYPART_ARC
(20,6),-1.26952 # DEPENDENCYPART_ARC
(20,7),-0.821037 # DEPENDENCYPART_ARC
(20,8),-1.25315 # DEPENDENCYPART_ARC
(20,9),-1.48819 # DEPENDENCYPART_ARC
(20,11),-1.71535 # DEPENDENCYPART_ARC
(20,12),-0.972183 # DEPENDENCYPART_ARC
(20,13),-1.98458 # DEPENDENCYPART_ARC
(20,14),-1.8186 # DEPENDENCYPART_ARC
(20,15),-0.703309 # DEPENDENCYPART_ARC
(20,16),-1.22172 # DEPENDENCYPART_ARC
(20,17),-0.362917 # DEPENDENCYPART_ARC
(20,18),-0.306907 # DEPENDENCYPART_ARC
(20,19),-0.638197 # DEPENDENCYPART_ARC
(20,21),2.02988 # DEPENDENCYPART_ARC
(20,22),-1.32916 # DEPENDENCYPART_ARC
(20,23),-1.05254 # DEPENDENCYPART_ARC
(20,25),-1.59924 # DEPENDENCYPART_ARC
(20,26),-1.28597 # DEPENDENCYPART_ARC
(20,29),-2.13145 # DEPENDENCYPART_ARC
(20,30),-1.37748 # DEPENDENCYPART_ARC
(20,31),-1.71346 # DEPENDENCYPART_ARC
(20,32),-2.32226 # DEPENDENCYPART_ARC
(20,35),0.0836025 # DEPENDENCYPART_ARC
(21,3),-2.13214 # DEPENDENCYPART_ARC
(21,6),-1.6012 # DEPENDENCYPART_ARC
(21,15),-1.32649 # DEPENDENCYPART_ARC
(21,17),-0.271493 # DEPENDENCYPART_ARC
(21,18),-1.5464 # DEPENDENCYPART_ARC
(21,22),-0.399635 # DEPENDENCYPART_ARC
(21,23),-0.287787 # DEPENDENCYPART_ARC
(21,25),-0.83804 # DEPENDENCYPART_ARC
(21,26),-1.0679 # DEPENDENCYPART_ARC
(21,29),-1.86873 # DEPENDENCYPART_ARC
(21,30),-0.865657 # DEPENDENCYPART_ARC
(21,31),-1.82158 # DEPENDENCYPART_ARC
(21,32),-2.26975 # DEPENDENCYPART_ARC
(21,34),-2.31553 # DEPENDENCYPART_ARC
(21,35),-1.92899 # DEPENDENCYPART_ARC
(23,17),-1.87299 # DEPENDENCYPART_ARC
(23,22),-1.31012 # DEPENDENCYPART_ARC
(23,24),-1.21555 # DEPENDENCYPART_ARC
(23,25),0.426288 # DEPENDENCYPART_ARC
(23,26),-1.18934 # DEPENDENCYPART_ARC
(23,28),-1.98693 # DEPENDENCYPART_ARC
(23,29),-1.5881 # DEPENDENCYPART_ARC
(23,30),-1.23872 # DEPENDENCYPART_ARC
(23,31),-1.85404 # DEPENDENCYPART_ARC
(23,34),-2.88987 # DEPENDENCYPART_ARC
(24,26),-1.98695 # DEPENDENCYPART_ARC
(25,23),-1.43436 # DEPENDENCYPART_ARC
(25,24),1.55703 # DEPENDENCYPART_ARC
(25,26),0.76174 # DEPENDENCYPART_ARC
(25,27),-1.58099 # DEPENDENCYPART_ARC
(25,28),-1.02408 # DEPENDENCYPART_ARC
(25,29),-1.02571 # DEPENDENCYPART_ARC
(25,30),-0.712255 # DEPENDENCYPART_ARC
(25,31),-1.93405 # DEPENDENCYPART_ARC
(25,32),-1.44725 # DEPENDENCYPART_ARC
(25,34),-1.81985 # DEPENDENCYPART_ARC
(25,35),-1.92403 # DEPENDENCYPART_ARC
(26,27),-0.780509 # DEPENDENCYPART_ARC
(26,28),-0.93992 # DEPENDENCYPART_ARC
(26,29),0.937823 # DEPENDENCYPART_ARC
(26,31),-1.51237 # DEPENDENCYPART_ARC
(26,32),-2.07848 # DEPENDENCYPART_ARC
(26,34),-0.907555 # DEPENDENCYPART_ARC
(27,28),-0.985751 # DEPENDENCYPART_ARC
(27,32),-2.08483 # DEPENDENCYPART_ARC
(28,27),-0.669245 # DEPENDENCYPART_ARC
(28,32),-1.79505 # DEPENDENCYPART_ARC
(29,11),-1.9723 # DEPENDENCYPART_ARC
(29,24),-1.21688 # DEPENDENCYPART_ARC
(29,25),-1.36497 # DEPENDENCYPART_ARC
(29,27),1.27448 # DEPENDENCYPART_ARC
(29,28),1.59186 # DEPENDENCYPART_ARC
(29,30),-0.380348 # DEPENDENCYPART_ARC
(29,31),-1.53975 # DEPENDENCYPART_ARC
(29,32),-1.44361 # DEPENDENCYPART_ARC
(29,33),-1.68415 # DEPENDENCYPART_ARC
(29,34),-1.61771 # DEPENDENCYPART_ARC
(29,35),-1.9062 # DEPENDENCYPART_ARC
(30,29),-2.00664 # DEPENDENCYPART_ARC
(30,31),-1.56411 # DEPENDENCYPART_ARC
(31,2),-2.03723 # DEPENDENCYPART_ARC
(31,3),-3.03452 # DEPENDENCYPART_ARC
(31,17),-1.99074 # DEPENDENCYPART_ARC
(31,22),-1.83088 # DEPENDENCYPART_ARC
(31,23),-1.44164 # DEPENDENCYPART_ARC
(31,25),-1.27314 # DEPENDENCYPART_ARC
(31,26),-1.51879 # DEPENDENCYPART_ARC
(31,27),-1.59341 # DEPENDENCYPART_ARC
(31,28),-1.37965 # DEPENDENCYPART_ARC
(31,29),-0.95491 # DEPENDENCYPART_ARC
(31,30),-0.743734 # DEPENDENCYPART_ARC
(31,32),0.108287 # DEPENDENCYPART_ARC
(31,33),0.246803 # DEPENDENCYPART_ARC
(31,34),0.230585 # DEPENDENCYPART_ARC
(31,35),-0.934929 # DEPENDENCYPART_ARC
(32,29),-1.78577 # DEPENDENCYPART_ARC
(32,31),-0.98723 # DEPENDENCYPART_ARC
(32,33),-1.03528 # DEPENDENCYPART_ARC
(32,34),-1.66336 # DEPENDENCYPART_ARC
(33,32),-0.439909 # DEPENDENCYPART_ARC
(33,34),-1.15542 # DEPENDENCYPART_ARC
(34,24),-2.54056 # DEPENDENCYPART_ARC
(34,25),-2.11123 # DEPENDENCYPART_ARC
(34,27),-0.994229 # DEPENDENCYPART_ARC
(34,28),-1.29594 # DEPENDENCYPART_ARC
(34,29),-1.451 # DEPENDENCYPART_ARC
(34,30),-1.53822 # DEPENDENCYPART_ARC
(34,31),-1.30804 # DEPENDENCYPART_ARC
(34,32),0.772106 # DEPENDENCYPART_ARC
(34,33),1.85319 # DEPENDENCYPART_ARC
(35,34),-2.65935 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.732167 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.103745 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.364612 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.3324 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.635211 # DEPENDENCYPART_SIBL
(0,3),(0,19),-1.02895 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.873176 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.288425 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.211831 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.592404 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0586269 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0393125 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0173248 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0526109 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00530621 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0766751 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0603453 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0563328 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.141277 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.363009 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0384125 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.041954 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00783212 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0133463 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0496912 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00323919 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0751387 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0188277 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0637804 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0499222 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0641331 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0524606 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0361308 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0620514 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.141878 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.029736 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.335407 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0356699 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0443333 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0551805 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00508952 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0157257 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0282799 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0466292 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0790643 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0286023 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.869412 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0928881 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0121612 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.029332 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00310694 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0614705 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0113272 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0665065 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0141782 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0168163 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0103935 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0197626 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0665065 # DEPENDENCYPART_SIBL
(3,1),(3,35),0.00966577 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.117161 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00669352 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0758933 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00209562 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.055271 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00818223 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00350671 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.000327867 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0188043 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0106278 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00263603 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00350671 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.00241723 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.787514 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.210766 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.419785 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.226178 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.261272 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.15552 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.411492 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.294787 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0153746 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.135225 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.15552 # DEPENDENCYPART_SIBL
(3,4),(3,35),0.300854 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.301487 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.542679 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.331033 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.354961 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0420938 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0833496 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0275746 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.165705 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.262084 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0420938 # DEPENDENCYPART_SIBL
(3,5),(3,35),0.0808042 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.247733 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0160604 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.207384 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.000929531 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0342296 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.101584 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00924958 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.121401 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.000929531 # DEPENDENCYPART_SIBL
(3,6),(3,35),-0.0245197 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0379389 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0129264 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00565356 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0933552 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0106497 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0330807 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0500578 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.00565356 # DEPENDENCYPART_SIBL
(3,7),(3,35),-0.0301733 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.146386 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00409471 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0204403 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.023955 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0611681 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.133051 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00409471 # DEPENDENCYPART_SIBL
(3,8),(3,35),0.091558 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00259364 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0728707 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0403493 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0108873 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.091069 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.00259364 # DEPENDENCYPART_SIBL
(3,9),(3,35),-0.039945 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.743271 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.126237 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.259047 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.318805 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0971298 # DEPENDENCYPART_SIBL
(3,13),(3,35),-0.000682224 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00539741 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.036959 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0740996 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0357855 # DEPENDENCYPART_SIBL
(3,14),(3,35),1.40966e-06 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.284359 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.188748 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.172436 # DEPENDENCYPART_SIBL
(3,16),(3,35),-0.039499 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.163117 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0783944 # DEPENDENCYPART_SIBL
(3,19),(3,35),0.101956 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.0431063 # DEPENDENCYPART_SIBL
(3,20),(3,35),0.0013978 # DEPENDENCYPART_SIBL
(3,22),(3,35),-0.000682224 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0898958 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.120324 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00697738 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0432954 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0411092 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0737396 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0715937 # DEPENDENCYPART_SIBL
