# _root_ Here , wedged between shifting dunes and pounding waves at the world 's most inhospitable diamond dig , lies the earth 's most precious jewel box .
#goldHeads=19,19,19,3,6,7,4,9,7,3,12,17,12,15,17,17,10,19,0,21,26,21,26,26,26,19,19,
#predictedHeads=19,19,19,3,7,5,4,7,8,8,12,10,12,15,17,17,13,19,0,21,22,19,24,26,26,22,19,
(9,13),-1.14741 # DEPENDENCYPART_ARC
(9,15),-1.5284 # DEPENDENCYPART_ARC
(9,17),-1.86789 # DEPENDENCYPART_ARC
(9,18),-1.85314 # DEPENDENCYPART_ARC
(9,27),-2.33934 # DEPENDENCYPART_ARC
(10,5),-1.7899 # DEPENDENCYPART_ARC
(10,9),-0.514955 # DEPENDENCYPART_ARC
(10,11),-0.00768907 # DEPENDENCYPART_ARC
(10,12),0.0850043 # DEPENDENCYPART_ARC
(10,13),-1.27446 # DEPENDENCYPART_ARC
(10,15),-1.2475 # DEPENDENCYPART_ARC
(10,16),-1.803 # DEPENDENCYPART_ARC
(10,17),-1.65869 # DEPENDENCYPART_ARC
(10,21),-2.84662 # DEPENDENCYPART_ARC
(12,9),-1.32676 # DEPENDENCYPART_ARC
(12,10),-0.837599 # DEPENDENCYPART_ARC
(12,11),1.28159 # DEPENDENCYPART_ARC
(12,13),-0.121836 # DEPENDENCYPART_ARC
(12,18),-1.4448 # DEPENDENCYPART_ARC
(13,1),-1.96576 # DEPENDENCYPART_ARC
(13,2),-1.98563 # DEPENDENCYPART_ARC
(13,3),-1.31255 # DEPENDENCYPART_ARC
(13,4),-1.06195 # DEPENDENCYPART_ARC
(13,5),-1.42461 # DEPENDENCYPART_ARC
(13,6),-1.12362 # DEPENDENCYPART_ARC
(13,7),-0.952547 # DEPENDENCYPART_ARC
(13,8),-1.24851 # DEPENDENCYPART_ARC
(13,9),-0.614245 # DEPENDENCYPART_ARC
(13,10),-0.40034 # DEPENDENCYPART_ARC
(13,11),-0.644894 # DEPENDENCYPART_ARC
(13,12),0.437123 # DEPENDENCYPART_ARC
(13,14),0.170899 # DEPENDENCYPART_ARC
(13,15),-0.409541 # DEPENDENCYPART_ARC
(13,16),-0.553715 # DEPENDENCYPART_ARC
(13,17),-0.626075 # DEPENDENCYPART_ARC
(13,18),-1.20574 # DEPENDENCYPART_ARC
(13,19),-1.51431 # DEPENDENCYPART_ARC
(13,21),-2.35336 # DEPENDENCYPART_ARC
(13,22),-2.12831 # DEPENDENCYPART_ARC
(13,24),-1.72566 # DEPENDENCYPART_ARC
(13,26),-2.21388 # DEPENDENCYPART_ARC
(13,27),-1.17253 # DEPENDENCYPART_ARC
(14,15),-0.0817756 # DEPENDENCYPART_ARC
(15,11),-1.38009 # DEPENDENCYPART_ARC
(15,12),-1.03995 # DEPENDENCYPART_ARC
(15,14),0.63122 # DEPENDENCYPART_ARC
(15,16),-0.484722 # DEPENDENCYPART_ARC
(16,11),-2.16395 # DEPENDENCYPART_ARC
(16,12),-1.8871 # DEPENDENCYPART_ARC
(16,14),-0.84693 # DEPENDENCYPART_ARC
(16,15),0.262956 # DEPENDENCYPART_ARC
(16,17),-0.63062 # DEPENDENCYPART_ARC
(16,19),-1.78868 # DEPENDENCYPART_ARC
(16,21),-2.13965 # DEPENDENCYPART_ARC
(16,26),-2.30991 # DEPENDENCYPART_ARC
(17,8),-0.952398 # DEPENDENCYPART_ARC
(17,10),-1.21749 # DEPENDENCYPART_ARC
(17,11),-1.28985 # DEPENDENCYPART_ARC
(17,12),-0.763099 # DEPENDENCYPART_ARC
(17,15),0.359145 # DEPENDENCYPART_ARC
(17,16),1.89598 # DEPENDENCYPART_ARC
(17,18),0.267001 # DEPENDENCYPART_ARC
(17,19),-1.69369 # DEPENDENCYPART_ARC
(17,21),-1.85204 # DEPENDENCYPART_ARC
(17,22),-2.35903 # DEPENDENCYPART_ARC
(17,24),-1.94889 # DEPENDENCYPART_ARC
(17,26),-1.84543 # DEPENDENCYPART_ARC
(19,1),-1.42908 # DEPENDENCYPART_ARC
(19,2),-2.34796 # DEPENDENCYPART_ARC
(19,3),-1.59208 # DEPENDENCYPART_ARC
(19,4),-1.728 # DEPENDENCYPART_ARC
(19,5),-1.4416 # DEPENDENCYPART_ARC
(19,6),-2.11487 # DEPENDENCYPART_ARC
(19,7),-1.22933 # DEPENDENCYPART_ARC
(19,8),-1.40503 # DEPENDENCYPART_ARC
(19,9),-1.77301 # DEPENDENCYPART_ARC
(19,10),-1.15258 # DEPENDENCYPART_ARC
(19,12),-1.96427 # DEPENDENCYPART_ARC
(19,13),-1.33384 # DEPENDENCYPART_ARC
(19,15),-1.37072 # DEPENDENCYPART_ARC
(19,16),-1.60951 # DEPENDENCYPART_ARC
(19,17),-1.25542 # DEPENDENCYPART_ARC
(19,18),0.635975 # DEPENDENCYPART_ARC
(19,20),0.396992 # DEPENDENCYPART_ARC
(19,21),0.263673 # DEPENDENCYPART_ARC
(19,22),-0.288642 # DEPENDENCYPART_ARC
(19,23),-0.861953 # DEPENDENCYPART_ARC
(19,24),-0.901551 # DEPENDENCYPART_ARC
(19,25),-0.830078 # DEPENDENCYPART_ARC
(19,26),-0.656458 # DEPENDENCYPART_ARC
(19,27),-0.249795 # DEPENDENCYPART_ARC
(20,22),-1.12949 # DEPENDENCYPART_ARC
(21,19),-0.71893 # DEPENDENCYPART_ARC
(21,20),1.33535 # DEPENDENCYPART_ARC
(21,22),-0.172448 # DEPENDENCYPART_ARC
(21,24),-1.43768 # DEPENDENCYPART_ARC
(21,26),-1.74834 # DEPENDENCYPART_ARC
(22,1),-1.72897 # DEPENDENCYPART_ARC
(22,2),-3.08071 # DEPENDENCYPART_ARC
(22,4),-2.22916 # DEPENDENCYPART_ARC
(22,5),-1.58921 # DEPENDENCYPART_ARC
(22,7),-1.52946 # DEPENDENCYPART_ARC
(22,8),-1.36509 # DEPENDENCYPART_ARC
(22,9),-2.21297 # DEPENDENCYPART_ARC
(22,10),-1.81053 # DEPENDENCYPART_ARC
(22,12),-2.17092 # DEPENDENCYPART_ARC
(22,13),-1.55642 # DEPENDENCYPART_ARC
(22,15),-1.73655 # DEPENDENCYPART_ARC
(22,17),-2.19766 # DEPENDENCYPART_ARC
(22,18),-1.47901 # DEPENDENCYPART_ARC
(22,19),-1.21045 # DEPENDENCYPART_ARC
(22,20),-0.581063 # DEPENDENCYPART_ARC
(22,21),0.436698 # DEPENDENCYPART_ARC
(22,23),0.197543 # DEPENDENCYPART_ARC
(22,24),-0.382897 # DEPENDENCYPART_ARC
(22,25),-0.527071 # DEPENDENCYPART_ARC
(22,26),-0.512844 # DEPENDENCYPART_ARC
(22,27),-0.199579 # DEPENDENCYPART_ARC
(23,24),-0.0817757 # DEPENDENCYPART_ARC
(24,17),-1.63507 # DEPENDENCYPART_ARC
(24,20),-1.38161 # DEPENDENCYPART_ARC
(24,21),-1.04449 # DEPENDENCYPART_ARC
(24,23),0.631218 # DEPENDENCYPART_ARC
(24,25),-0.484727 # DEPENDENCYPART_ARC
(24,26),-1.335 # DEPENDENCYPART_ARC
(24,27),-1.41869 # DEPENDENCYPART_ARC
(25,20),-2.28301 # DEPENDENCYPART_ARC
(25,21),-2.05558 # DEPENDENCYPART_ARC
(25,23),-0.958684 # DEPENDENCYPART_ARC
(25,24),0.151203 # DEPENDENCYPART_ARC
(25,26),-0.593437 # DEPENDENCYPART_ARC
(26,11),-2.55833 # DEPENDENCYPART_ARC
(26,15),-1.92138 # DEPENDENCYPART_ARC
(26,16),-1.69236 # DEPENDENCYPART_ARC
(26,20),-1.24663 # DEPENDENCYPART_ARC
(26,21),-0.909994 # DEPENDENCYPART_ARC
(26,24),0.326178 # DEPENDENCYPART_ARC
(26,25),1.86204 # DEPENDENCYPART_ARC
(26,27),-0.241733 # DEPENDENCYPART_ARC
(27,26),-0.326773 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0802441 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0802441 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0203021 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0562286 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0802441 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0748174 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0793013 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0748174 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.164275 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0602935 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.131702 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.164275 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.164498 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.165161 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.164498 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0602935 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.131702 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.164275 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.164498 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.165161 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.164498 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0912498 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.101479 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0961191 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.102181 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0961191 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.132251 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.128516 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.134112 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.128516 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.164498 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.165161 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.164498 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.168922 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.170216 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.164534 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0473087 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0169343 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.000270036 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0100631 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0631564 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00372013 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0165045 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.000749527 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00890216 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0331912 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00330119 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0697548 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0923812 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0630912 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0399777 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0634983 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0812152 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0871151 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.142337 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0854746 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0871151 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.0697874 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0409819 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00568929 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00171773 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00832005 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00212978 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.039295 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0269394 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.158081 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0131063 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0269394 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0519199 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0140431 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0227729 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0456796 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0199741 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0227801 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0155312 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0133886 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0192948 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0155312 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.028524 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0231643 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0566365 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0222318 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0190098 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00899154 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00418259 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0252787 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.00899154 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.00636598 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0345847 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0240659 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0255803 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.000708813 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0104208 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.014754 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.000708813 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.00615028 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0147989 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0362021 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0181577 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0012717 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00610521 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0181577 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.00499534 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0252022 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00263178 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00774043 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.016677 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.00263178 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.00727891 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.013989 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.101335 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0173478 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.013989 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.025809 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.00892536 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0291049 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0147746 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.00746444 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0309418 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0341899 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.00522725 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.00552347 # DEPENDENCYPART_SIBL
(3,19),(3,27),0.026817 # DEPENDENCYPART_SIBL
(3,22),(3,27),0.00746444 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0253634 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0100988 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0184705 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.044075 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0608119 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0184705 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0440845 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00192108 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.100319 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0918896 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0727441 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.100319 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0918952 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0394774 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0685057 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00699357 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0394774 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.068496 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0351282 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0615287 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.013625 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0351282 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.102 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00167404 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0173784 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0363851 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0130427 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0351282 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0119438 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0140821 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00171773 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00832005 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00568929 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00212978 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.039295 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0269394 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00171466 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.158081 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0131063 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0269394 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0519199 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0332334 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00139625 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0191505 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00136627 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.000989344 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0392385 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00315656 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00139732 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0488141 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00477661 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00315656 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0232933 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0121519 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0181034 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0392612 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0125588 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0314162 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0425043 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0121508 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.095875 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.032176 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0425043 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0466785 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0333688 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00918864 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.02285 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0237903 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00050712 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0228496 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0116367 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0135381 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.00050712 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.00493435 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.000569215 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0147989 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0346991 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0181577 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0147986 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0012717 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00610521 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0181577 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.00499534 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0222318 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0205128 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.00899154 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0222314 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.00418259 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0252787 # DEPENDENCYPART_SIBL
