# _root_ The unpopular Mr. Sarney , whose task was to bring about a smooth transition to democracy after 21 years of military rule , is n't seeking re-election .
#goldHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,14,15,10,19,17,19,22,20,4,0,24,24,26,24,
#predictedHeads=4,4,4,24,4,7,8,4,10,8,10,14,14,10,10,15,10,19,17,19,22,20,4,0,24,24,26,24,
(14,20),-1.4351 # DEPENDENCYPART_ARC
(14,21),-1.33937 # DEPENDENCYPART_ARC
(14,22),-1.83838 # DEPENDENCYPART_ARC
(14,23),-1.47607 # DEPENDENCYPART_ARC
(14,24),-1.79721 # DEPENDENCYPART_ARC
(14,26),-2.24558 # DEPENDENCYPART_ARC
(14,28),-2.00906 # DEPENDENCYPART_ARC
(15,14),-0.322968 # DEPENDENCYPART_ARC
(15,16),0.547543 # DEPENDENCYPART_ARC
(15,17),-0.911607 # DEPENDENCYPART_ARC
(15,18),-1.23416 # DEPENDENCYPART_ARC
(15,19),-1.29299 # DEPENDENCYPART_ARC
(15,20),-1.23653 # DEPENDENCYPART_ARC
(15,22),-1.77362 # DEPENDENCYPART_ARC
(15,27),-3.1491 # DEPENDENCYPART_ARC
(16,1),-3.11388 # DEPENDENCYPART_ARC
(16,7),-2.36722 # DEPENDENCYPART_ARC
(16,8),-1.77806 # DEPENDENCYPART_ARC
(16,12),-0.945506 # DEPENDENCYPART_ARC
(16,13),-0.896497 # DEPENDENCYPART_ARC
(16,14),-0.619064 # DEPENDENCYPART_ARC
(16,15),0.163439 # DEPENDENCYPART_ARC
(16,17),0.127036 # DEPENDENCYPART_ARC
(16,18),-1.16019 # DEPENDENCYPART_ARC
(16,19),-1.24688 # DEPENDENCYPART_ARC
(16,20),-1.1999 # DEPENDENCYPART_ARC
(16,21),-1.43682 # DEPENDENCYPART_ARC
(16,22),-1.63583 # DEPENDENCYPART_ARC
(16,23),-1.55688 # DEPENDENCYPART_ARC
(16,24),-1.86756 # DEPENDENCYPART_ARC
(16,26),-2.32738 # DEPENDENCYPART_ARC
(16,28),-2.13992 # DEPENDENCYPART_ARC
(17,9),-1.49159 # DEPENDENCYPART_ARC
(17,14),-1.18362 # DEPENDENCYPART_ARC
(17,15),-1.03703 # DEPENDENCYPART_ARC
(17,16),-0.236711 # DEPENDENCYPART_ARC
(17,18),-0.216955 # DEPENDENCYPART_ARC
(17,19),-0.060307 # DEPENDENCYPART_ARC
(17,20),-1.01081 # DEPENDENCYPART_ARC
(17,21),-1.2085 # DEPENDENCYPART_ARC
(17,22),-1.24858 # DEPENDENCYPART_ARC
(17,24),-1.93627 # DEPENDENCYPART_ARC
(17,25),-1.98856 # DEPENDENCYPART_ARC
(18,16),-1.44739 # DEPENDENCYPART_ARC
(18,17),-0.381666 # DEPENDENCYPART_ARC
(18,20),-1.13692 # DEPENDENCYPART_ARC
(18,21),-1.14853 # DEPENDENCYPART_ARC
(18,22),-1.42723 # DEPENDENCYPART_ARC
(18,24),-1.79231 # DEPENDENCYPART_ARC
(18,27),-2.19209 # DEPENDENCYPART_ARC
(19,12),-1.79879 # DEPENDENCYPART_ARC
(19,13),-1.76789 # DEPENDENCYPART_ARC
(19,14),-1.82039 # DEPENDENCYPART_ARC
(19,15),-1.66848 # DEPENDENCYPART_ARC
(19,16),-1.44237 # DEPENDENCYPART_ARC
(19,17),-0.773745 # DEPENDENCYPART_ARC
(19,18),0.714815 # DEPENDENCYPART_ARC
(19,20),0.633409 # DEPENDENCYPART_ARC
(19,21),-0.772164 # DEPENDENCYPART_ARC
(19,22),-0.933637 # DEPENDENCYPART_ARC
(19,23),-1.19949 # DEPENDENCYPART_ARC
(19,24),-1.40672 # DEPENDENCYPART_ARC
(19,25),-1.44968 # DEPENDENCYPART_ARC
(19,26),-1.88006 # DEPENDENCYPART_ARC
(19,27),-1.53239 # DEPENDENCYPART_ARC
(19,28),-1.77304 # DEPENDENCYPART_ARC
(20,15),-1.415 # DEPENDENCYPART_ARC
(20,18),-1.12162 # DEPENDENCYPART_ARC
(20,19),-0.09223 # DEPENDENCYPART_ARC
(20,21),0.0431289 # DEPENDENCYPART_ARC
(20,22),-0.0684649 # DEPENDENCYPART_ARC
(20,23),-1.13718 # DEPENDENCYPART_ARC
(20,24),-1.81586 # DEPENDENCYPART_ARC
(20,25),-1.90952 # DEPENDENCYPART_ARC
(20,27),-2.48022 # DEPENDENCYPART_ARC
(22,12),-1.89479 # DEPENDENCYPART_ARC
(22,13),-1.45735 # DEPENDENCYPART_ARC
(22,17),-1.11169 # DEPENDENCYPART_ARC
(22,18),-0.959297 # DEPENDENCYPART_ARC
(22,19),-1.07509 # DEPENDENCYPART_ARC
(22,20),-0.663639 # DEPENDENCYPART_ARC
(22,21),1.56496 # DEPENDENCYPART_ARC
(22,23),0.278023 # DEPENDENCYPART_ARC
(22,24),-1.49046 # DEPENDENCYPART_ARC
(22,25),-1.75194 # DEPENDENCYPART_ARC
(22,26),-2.11634 # DEPENDENCYPART_ARC
(22,27),-1.63863 # DEPENDENCYPART_ARC
(24,3),-1.49115 # DEPENDENCYPART_ARC
(24,4),-0.985979 # DEPENDENCYPART_ARC
(24,5),-2.40721 # DEPENDENCYPART_ARC
(24,7),-2.06928 # DEPENDENCYPART_ARC
(24,8),-1.43124 # DEPENDENCYPART_ARC
(24,10),-1.41384 # DEPENDENCYPART_ARC
(24,12),-2.04007 # DEPENDENCYPART_ARC
(24,13),-1.54595 # DEPENDENCYPART_ARC
(24,14),-1.60515 # DEPENDENCYPART_ARC
(24,15),-1.96743 # DEPENDENCYPART_ARC
(24,16),-1.7167 # DEPENDENCYPART_ARC
(24,17),-1.08205 # DEPENDENCYPART_ARC
(24,18),-1.70744 # DEPENDENCYPART_ARC
(24,19),-1.63676 # DEPENDENCYPART_ARC
(24,20),-1.16106 # DEPENDENCYPART_ARC
(24,21),-1.37474 # DEPENDENCYPART_ARC
(24,22),-1.3029 # DEPENDENCYPART_ARC
(24,23),0.407325 # DEPENDENCYPART_ARC
(24,25),1.01333 # DEPENDENCYPART_ARC
(24,26),0.297832 # DEPENDENCYPART_ARC
(24,27),-0.649163 # DEPENDENCYPART_ARC
(24,28),-0.28433 # DEPENDENCYPART_ARC
(25,26),-0.152798 # DEPENDENCYPART_ARC
(25,27),-0.957169 # DEPENDENCYPART_ARC
(26,8),-2.19086 # DEPENDENCYPART_ARC
(26,25),-0.429941 # DEPENDENCYPART_ARC
(26,27),0.65835 # DEPENDENCYPART_ARC
(26,28),-0.192176 # DEPENDENCYPART_ARC
(27,12),-2.82878 # DEPENDENCYPART_ARC
(27,18),-1.87845 # DEPENDENCYPART_ARC
(27,21),-1.77789 # DEPENDENCYPART_ARC
(27,22),-1.80663 # DEPENDENCYPART_ARC
(27,23),-1.37702 # DEPENDENCYPART_ARC
(27,25),-0.307963 # DEPENDENCYPART_ARC
(27,26),0.818125 # DEPENDENCYPART_ARC
(27,28),-0.314212 # DEPENDENCYPART_ARC
(28,27),-0.298008 # DEPENDENCYPART_ARC
(0,4),(0,7),-0.0506301 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.10972 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0982228 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.102106 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.097629 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.110737 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0992399 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.103123 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.0986462 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.167597 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.165103 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.167094 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.163821 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.164122 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.177604 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0235366 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.105475 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.107038 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.220383 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.107037 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.167387 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.014577 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0198811 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0145825 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00721116 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0247955 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0160169 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00762558 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0884778 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.04141 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0066083 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0441682 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0132801 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00690382 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0132805 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.115984 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00470347 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00327647 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0047036 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00984217 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0107845 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0136305 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00980607 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0414924 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0697813 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0102042 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.056372 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0389833 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0193899 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0109253 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.123578 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0109249 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0193899 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.116468 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0133212 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00826708 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00371846 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00367722 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00371833 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00826708 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0191807 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.125493 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.010387 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.044996 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0105332 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.125493 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0291825 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0444972 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0803618 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0444974 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0547861 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0022272 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00622801 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0123549 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0326446 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0199961 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0200714 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0513853 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.00802859 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0227231 # DEPENDENCYPART_SIBL
(4,14),(4,28),0.0200465 # DEPENDENCYPART_SIBL
(4,23),(4,28),0.0022272 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0533306 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0416926 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0445297 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0242879 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00946788 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.115917 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0028127 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.128319 # DEPENDENCYPART_SIBL
(7,1),(7,28),-0.116708 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.012642 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0568399 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.128081 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00222079 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0147024 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.032182 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.032648 # DEPENDENCYPART_SIBL
(7,2),(7,28),-0.0236289 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0403389 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0192577 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0404433 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0611612 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.110162 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0984103 # DEPENDENCYPART_SIBL
(7,3),(7,28),-0.0364045 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0407451 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0193822 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0214596 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0674987 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0136501 # DEPENDENCYPART_SIBL
(7,4),(7,28),0.0117762 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0262271 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0201983 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0345126 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0048236 # DEPENDENCYPART_SIBL
(7,5),(7,28),0.027459 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0420398 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0201707 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0397714 # DEPENDENCYPART_SIBL
(7,6),(7,28),-0.024332 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0105803 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00941089 # DEPENDENCYPART_SIBL
(7,8),(7,28),-0.00962597 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00663203 # DEPENDENCYPART_SIBL
(7,9),(7,28),0.0615617 # DEPENDENCYPART_SIBL
(7,10),(7,28),0.0111502 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0340144 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0586432 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.03774 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0622586 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0359779 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0597832 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0834427 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0794723 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0270326 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0439002 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0597832 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0435134 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.00350791 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0547374 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0441032 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.0401137 # DEPENDENCYPART_SIBL
(8,1),(8,25),-0.0964355 # DEPENDENCYPART_SIBL
(8,1),(8,26),-0.0552658 # DEPENDENCYPART_SIBL
(8,1),(8,28),-0.122188 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0331138 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0333055 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0408625 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0333056 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0343232 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0319904 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0394979 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.146535 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0307797 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0343232 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0311672 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00845522 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0194551 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0350757 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.0548774 # DEPENDENCYPART_SIBL
(8,2),(8,25),0.0909791 # DEPENDENCYPART_SIBL
(8,2),(8,26),-0.0208398 # DEPENDENCYPART_SIBL
(8,2),(8,28),0.010066 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.167425 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0207423 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.167426 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0651058 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0549957 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0275715 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0243424 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0530854 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0651058 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0525366 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0810103 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0928896 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0137312 # DEPENDENCYPART_SIBL
(8,3),(8,24),-0.0561312 # DEPENDENCYPART_SIBL
(8,3),(8,25),-0.00011454 # DEPENDENCYPART_SIBL
(8,3),(8,26),-0.0325952 # DEPENDENCYPART_SIBL
(8,3),(8,28),-0.0140371 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0193451 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.144332 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0493011 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.00832376 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0134056 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0365693 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0377216 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0493011 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0371728 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0256132 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0758355 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.00763357 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.013683 # DEPENDENCYPART_SIBL
(8,4),(8,25),0.0217457 # DEPENDENCYPART_SIBL
(8,4),(8,26),0.0140776 # DEPENDENCYPART_SIBL
(8,4),(8,28),0.0124889 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0213755 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0485084 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0041376 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0018976 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0160118 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.000744643 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0485084 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.00115748 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0662579 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.019149 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.114312 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.0200407 # DEPENDENCYPART_SIBL
(8,5),(8,25),-0.0624448 # DEPENDENCYPART_SIBL
(8,5),(8,26),0.0225686 # DEPENDENCYPART_SIBL
(8,5),(8,28),0.0398334 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0504466 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0114268 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0145611 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.035414 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0388627 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0504466 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0383139 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0267689 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0769766 # DEPENDENCYPART_SIBL
