# _root_ Ten minutes later , the Dow hit bottom - down 63.52 points , another 2.5 % .
#goldHeads=2,3,7,7,6,7,0,7,7,7,12,10,12,16,14,12,7,
#predictedHeads=2,3,7,7,6,7,0,7,8,7,12,10,12,16,16,10,7,
(3,1),(3,5),-0.00297931 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0216659 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0166537 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0228958 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.000152474 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00506633 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0245017 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0173517 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0533204 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0326118 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0884276 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0380151 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.101078 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.169984 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0153261 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0492891 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0849303 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0518719 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0884276 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0345356 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.121409 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0458151 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.253469 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.376461 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.251572 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0503091 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.408823 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.150892 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0573746 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.125975 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0973616 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0818303 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0199524 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0955033 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0303591 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0428553 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0184149 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0583175 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.11177 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0370086 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00297259 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0660268 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00873966 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0182992 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0798595 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.000624977 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0473 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.135952 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0863139 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0551848 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0276312 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0719151 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.100733 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0919196 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.179718 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0128552 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0491245 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.216769 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.017862 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.163828 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0703941 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0506973 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0780391 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.171508 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.110115 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0462244 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0151484 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00426647 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0568606 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0487066 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0448146 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.102692 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0478505 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.125975 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0973616 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0866888 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00312766 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00416015 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0397329 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0354756 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.020348 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0238492 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0444934 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0552038 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0499654 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0834007 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0989747 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0433663 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0181741 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.151063 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0419612 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0546617 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0138212 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0240674 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0626372 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0391624 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0595196 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0283329 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.115161 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00383328 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0189495 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.048573 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0374284 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0118981 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0387929 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0253427 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0488353 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0281463 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0109618 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0664663 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0259163 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0631556 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.130493 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.149323 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0824905 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.118356 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.170793 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0312611 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0599625 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0813875 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0472944 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.108637 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0763554 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0381654 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.00330012 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.035639 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0315473 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0659418 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0918856 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.283499 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0266676 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.188962 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0980933 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.126425 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.284696 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.10881 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0277882 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0527312 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0350224 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0510901 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0595446 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0143688 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0102023 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0899348 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.064925 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.2431 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.102233 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.27545 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.535963 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00442692 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0635554 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00949248 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0427134 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0622168 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00907309 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0234824 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0384428 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0652836 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0362442 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0131167 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0616982 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0449725 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0173291 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0432052 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0145077 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.12747 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0291712 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0081231 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.054601 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0213989 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.101248 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0183156 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0248813 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0803949 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00800188 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0949648 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.025747 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0243964 # DEPENDENCYPART_SIBL
