# _root_ `` Demand from Japan is expected to continue strong , but not from other areas of the world into the first quarter of next year , '' he said .
#goldHeads=29,5,2,3,29,5,8,6,8,6,13,13,6,15,13,15,18,16,13,22,22,19,22,25,23,29,29,29,0,29,
#predictedHeads=29,5,2,3,29,5,8,6,11,11,8,11,12,15,13,15,18,16,8,22,22,19,22,25,23,29,29,29,0,29,
(2,10),(2,11),0.0377578 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00559612 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0244226 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0123192 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0533337 # DEPENDENCYPART_SIBL
(2,10),(2,30),0.0131967 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.012084 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00352937 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0125619 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.049814 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.0467981 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0245663 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0374134 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.000752975 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.00814287 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0398948 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.142284 # DEPENDENCYPART_SIBL
(2,13),(2,30),0.0886917 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.0304033 # DEPENDENCYPART_SIBL
(2,16),(2,30),-0.0206568 # DEPENDENCYPART_SIBL
(2,26),(2,30),0.0131967 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0063592 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00313231 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00377605 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00283298 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.127626 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0112696 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00636852 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0180689 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0158204 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0227645 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0135837 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0347912 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0199088 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0184433 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0558757 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0368911 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0508369 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0365704 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0532204 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0488567 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0147226 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0574241 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0404355 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0553434 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.016448 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00993178 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0352655 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0416613 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.019457 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0209669 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00313637 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0221523 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0811295 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0188528 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0224585 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00983521 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0412487 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0157897 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0152418 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00646761 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00246725 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0171977 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0112601 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0530353 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0261547 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0613536 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0264681 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0559232 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0187254 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.000500716 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0341637 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0315361 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0191823 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.109165 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0299831 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0402415 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.407754 # DEPENDENCYPART_SIBL
(5,1),(5,30),0.0387898 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0721351 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.121886 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.030897 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0559789 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0295707 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0490497 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00348871 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.100062 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0476844 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0168025 # DEPENDENCYPART_SIBL
(5,2),(5,30),0.0274653 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0949859 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0991331 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.137444 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.084453 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0382294 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.119228 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0369028 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0305002 # DEPENDENCYPART_SIBL
(5,3),(5,27),-0.0825018 # DEPENDENCYPART_SIBL
(5,3),(5,30),-0.0775696 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0241349 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0295185 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0269176 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0428887 # DEPENDENCYPART_SIBL
