# _root_ Asked what he would do differently on the morrow , Craig allowed that he might play his outfielders deeper , `` maybe on the other side of the fence . ''
#goldHeads=12,5,4,1,4,5,5,9,7,12,12,0,15,15,12,15,18,16,16,16,16,16,16,26,26,23,26,29,27,12,12,
#predictedHeads=12,5,4,1,4,5,5,9,7,12,12,0,15,15,12,15,18,16,16,16,16,23,16,26,26,23,26,29,27,12,12,
(22,13),-2.25731 # DEPENDENCYPART_ARC
(22,18),-2.1507 # DEPENDENCYPART_ARC
(22,20),-1.41138 # DEPENDENCYPART_ARC
(22,21),-0.364964 # DEPENDENCYPART_ARC
(22,23),-0.054549 # DEPENDENCYPART_ARC
(22,24),-0.810735 # DEPENDENCYPART_ARC
(22,25),-0.876169 # DEPENDENCYPART_ARC
(22,26),-1.16098 # DEPENDENCYPART_ARC
(22,27),-1.31078 # DEPENDENCYPART_ARC
(22,29),-1.47285 # DEPENDENCYPART_ARC
(23,21),-1.49786 # DEPENDENCYPART_ARC
(23,22),-0.199097 # DEPENDENCYPART_ARC
(23,24),-0.0150052 # DEPENDENCYPART_ARC
(23,25),-0.729185 # DEPENDENCYPART_ARC
(23,26),-0.490066 # DEPENDENCYPART_ARC
(23,27),-1.25707 # DEPENDENCYPART_ARC
(23,29),-1.34795 # DEPENDENCYPART_ARC
(23,30),-0.722213 # DEPENDENCYPART_ARC
(23,31),-0.810797 # DEPENDENCYPART_ARC
(24,25),-0.560063 # DEPENDENCYPART_ARC
(24,27),-1.32805 # DEPENDENCYPART_ARC
(25,21),-1.44252 # DEPENDENCYPART_ARC
(25,22),-1.36301 # DEPENDENCYPART_ARC
(25,24),0.145859 # DEPENDENCYPART_ARC
(25,27),-1.20206 # DEPENDENCYPART_ARC
(25,29),-1.76548 # DEPENDENCYPART_ARC
(26,17),-1.98271 # DEPENDENCYPART_ARC
(26,18),-2.72124 # DEPENDENCYPART_ARC
(26,20),-2.19504 # DEPENDENCYPART_ARC
(26,21),-1.27443 # DEPENDENCYPART_ARC
(26,22),-1.18599 # DEPENDENCYPART_ARC
(26,24),0.205146 # DEPENDENCYPART_ARC
(26,25),1.52855 # DEPENDENCYPART_ARC
(26,27),0.683111 # DEPENDENCYPART_ARC
(26,28),-1.26466 # DEPENDENCYPART_ARC
(26,29),-1.13539 # DEPENDENCYPART_ARC
(26,30),-1.17679 # DEPENDENCYPART_ARC
(26,31),-1.08943 # DEPENDENCYPART_ARC
(27,25),-1.65108 # DEPENDENCYPART_ARC
(27,28),-0.119897 # DEPENDENCYPART_ARC
(27,29),0.0482684 # DEPENDENCYPART_ARC
(27,31),-1.16184 # DEPENDENCYPART_ARC
(29,21),-1.62079 # DEPENDENCYPART_ARC
(29,24),-1.74757 # DEPENDENCYPART_ARC
(29,25),-1.51129 # DEPENDENCYPART_ARC
(29,28),1.31621 # DEPENDENCYPART_ARC
(29,30),-0.217023 # DEPENDENCYPART_ARC
(29,31),-1.21956 # DEPENDENCYPART_ARC
(30,27),-1.19565 # DEPENDENCYPART_ARC
(30,29),-0.30894 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0652575 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.10672 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.23178 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.2236 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0929612 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.222989 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0151651 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.099445 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.098878 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0123272 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0988739 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.116916 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.11558 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0468039 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.115583 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.239192 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0983182 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.238582 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.091415 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.228697 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.112451 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0165676 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0536544 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00729676 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0108702 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00171013 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0048056 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0433494 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00126872 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0273485 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0048056 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0108702 # DEPENDENCYPART_SIBL
(1,3),(1,30),0.000485186 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0100578 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00699052 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0620856 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0226862 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00464141 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0105794 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0529565 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.00179577 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.00464141 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0620856 # DEPENDENCYPART_SIBL
(1,4),(1,30),0.0333695 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.000922645 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00224931 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00138779 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.022695 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00334355 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0099935 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0153642 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.022695 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.00224931 # DEPENDENCYPART_SIBL
(1,5),(1,30),0.0400723 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0162419 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0349443 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0233909 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00901836 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0152302 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.013672 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0233909 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.0162419 # DEPENDENCYPART_SIBL
(1,6),(1,30),-0.0209845 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0212606 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0283953 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00887097 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0242253 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0126526 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0283953 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0301144 # DEPENDENCYPART_SIBL
(1,7),(1,30),-0.00628434 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00258711 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0245348 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0162642 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0194986 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.00258711 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.000558978 # DEPENDENCYPART_SIBL
(1,9),(1,30),0.0464002 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0418053 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0069817 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0304436 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.00538298 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0291368 # DEPENDENCYPART_SIBL
(1,10),(1,30),0.00589562 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.00523221 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0234142 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.00818058 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.032741 # DEPENDENCYPART_SIBL
(1,12),(1,30),0.0147641 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.00166861 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00682676 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0620833 # DEPENDENCYPART_SIBL
(1,15),(1,30),-0.00617541 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.00336845 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.0261417 # DEPENDENCYPART_SIBL
(1,16),(1,30),0.0264773 # DEPENDENCYPART_SIBL
(1,20),(1,23),0.0291368 # DEPENDENCYPART_SIBL
(1,20),(1,30),0.00589562 # DEPENDENCYPART_SIBL
(1,23),(1,30),-0.00628434 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00351083 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00131907 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0017632 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0647317 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0173477 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0109137 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0129989 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00856207 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0344239 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.000372536 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0124324 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0691752 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.000810642 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0273328 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0176847 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0240012 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.000810642 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.0246729 # DEPENDENCYPART_SIBL
(4,1),(4,31),0.0368523 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0334252 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0788813 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0692506 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0338995 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0657033 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0652091 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0811474 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0379233 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.082295 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0652091 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.0749178 # DEPENDENCYPART_SIBL
(4,2),(4,31),0.0138462 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.075236 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.03892 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0673787 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0764413 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0034897 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0759242 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0439391 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0853321 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0034897 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.000686117 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.048219 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.128383 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0616738 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.073213 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.034428 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.121873 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0382985 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.120385 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.034428 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.0403928 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.0273641 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0148026 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00591039 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0112742 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0274097 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0319523 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0228153 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0112742 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.0230532 # DEPENDENCYPART_SIBL
(4,6),(4,31),0.135875 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00319878 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0125443 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0317187 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0179225 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0369874 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0125443 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.00519316 # DEPENDENCYPART_SIBL
(4,7),(4,31),0.080389 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0013873 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0783404 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0191507 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0823518 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0013873 # DEPENDENCYPART_SIBL
(4,9),(4,30),-0.00326747 # DEPENDENCYPART_SIBL
(4,9),(4,31),0.0567641 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0440042 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.019908 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.04733 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.067776 # DEPENDENCYPART_SIBL
(4,10),(4,30),-0.0440728 # DEPENDENCYPART_SIBL
(4,10),(4,31),0.0282738 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0255545 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.097891 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0272017 # DEPENDENCYPART_SIBL
(4,12),(4,30),-0.0207326 # DEPENDENCYPART_SIBL
(4,12),(4,31),0.0139331 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0155841 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0211071 # DEPENDENCYPART_SIBL
(4,15),(4,30),-0.00980275 # DEPENDENCYPART_SIBL
(4,15),(4,31),0.0640323 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0242996 # DEPENDENCYPART_SIBL
(4,16),(4,30),-0.0129447 # DEPENDENCYPART_SIBL
(4,16),(4,31),0.0132808 # DEPENDENCYPART_SIBL
(4,20),(4,30),-0.0440728 # DEPENDENCYPART_SIBL
(4,20),(4,31),0.0282738 # DEPENDENCYPART_SIBL
(4,30),(4,31),0.176046 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.059943 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0115601 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.033431 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.101037 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.157775 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.184586 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.262667 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.18517 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.281541 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.17204 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.27189 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.262667 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.101293 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0397432 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.101037 # DEPENDENCYPART_SIBL
(5,2),(5,30),-0.277029 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00949679 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00233077 # DEPENDENCYPART_SIBL
