# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(1,2),(1,3),0.0113233 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0112984 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0254164 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00698633 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0113233 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0159998 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0260334 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00698997 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0160247 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0256453 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00698997 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0160247 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0300842 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0884778 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0479941 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0150077 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0150085 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0415292 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0156806 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0150077 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0184524 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0150077 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0415292 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0320477 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0115314 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0155443 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0129378 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0115065 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0258832 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0115065 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0155443 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0188202 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0151562 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0129378 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0115065 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0258832 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0115065 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0151562 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.024227 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0233845 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0418632 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0352345 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0418632 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0369617 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00263033 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0170353 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0107379 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0170353 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0188328 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00458664 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0258832 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0115065 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0155443 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0201978 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0109108 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0365854 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0559372 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0155443 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0201978 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.00263033 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0611772 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.015358 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0415292 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0156808 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0153571 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0184363 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0153571 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0415292 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0240063 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0681099 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0138155 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0240087 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00509671 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0240087 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0681099 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0151558 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0129368 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0114961 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0258868 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0114961 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0151558 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0234086 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0419113 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0352532 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0419113 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.036982 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0170252 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0107394 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0170252 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0188328 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0258868 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0114961 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0155439 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0109007 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0365854 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0155439 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0596084 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0507093 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0414802 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0156806 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0122538 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0184522 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0122538 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0414802 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0207158 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.012882 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0379649 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0122547 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0320478 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0166431 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0706157 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0114087 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0326227 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00753582 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0326227 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0706157 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00225299 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0220466 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0303697 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0321727 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0132957 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0563963 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.015149 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0281723 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0055585 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0281723 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0563963 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00599325 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0175962 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0322328 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0277222 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0113617 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0230433 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0439079 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0348873 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0439079 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0311881 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0312373 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0660559 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00531725 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0439071 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00297622 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0163353 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0107387 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0163353 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0150772 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00737011 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00212789 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.000168178 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0163353 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00458764 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0263337 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0112554 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0104384 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.012838 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00915949 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0250024 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0132807 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0197462 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0108293 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0317041 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00200501 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00217252 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00941833 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0108318 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0554637 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0104384 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.012838 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00915949 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0250024 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0132807 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0197462 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0312373 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0660559 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00531725 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0439071 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.00297622 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.00216168 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00037436 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0163691 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00633079 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0229435 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00750182 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0250041 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0384153 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0593359 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0197096 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0614175 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.012978 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00328464 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00589577 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0210095 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0495367 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.000280481 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0637433 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00142406 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.000280481 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0159538 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0333449 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0269664 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0140675 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00237374 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0615366 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0124363 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0689096 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0112508 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0124363 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0103775 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0119645 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0242744 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0250125 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.020494 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00107013 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0462262 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00294131 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00107013 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.155596 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00693051 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0650019 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0557914 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0626313 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00371061 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0614529 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0626313 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00319747 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00103619 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.113839 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0305832 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0399858 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.022442 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.022442 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00458444 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00964266 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0186961 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0099088 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0169252 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0169252 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0267078 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0107659 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0237077 # DEPENDENCYPART_SIBL
(7,9),(7,19),-7.79876e-05 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0278234 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0126538 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0209425 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0240776 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00669534 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00458444 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.00964266 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0186961 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0099088 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0334223 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0153181 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0132901 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.00644823 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0207004 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.00208365 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0611772 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0522781 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0521029 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.126991 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.061572 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0734398 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0184525 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0146779 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0146605 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0415292 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0207161 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0152887 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0379645 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0320477 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0213495 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0233854 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0356294 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0559075 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0364013 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00584198 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0261183 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0261148 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0688227 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.00394689 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0155387 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0320633 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0116016 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0151396 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0390637 # DEPENDENCYPART_SIBL
