# _root_ While profitable , it `` was n't growing and was n't providing a satisfactory return on invested capital , '' he says .
#goldHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,6,6,22,0,22,
#predictedHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,22,22,22,0,22,
(12,17),-0.787943 # DEPENDENCYPART_ARC
(12,18),-0.411804 # DEPENDENCYPART_ARC
(12,19),-0.897046 # DEPENDENCYPART_ARC
(12,20),-0.827963 # DEPENDENCYPART_ARC
(12,21),-1.2192 # DEPENDENCYPART_ARC
(12,22),-1.20877 # DEPENDENCYPART_ARC
(12,23),-2.05392 # DEPENDENCYPART_ARC
(14,11),-1.94842 # DEPENDENCYPART_ARC
(14,13),-0.59815 # DEPENDENCYPART_ARC
(14,16),-1.3761 # DEPENDENCYPART_ARC
(14,17),-1.73457 # DEPENDENCYPART_ARC
(15,2),-2.33633 # DEPENDENCYPART_ARC
(15,3),-2.93956 # DEPENDENCYPART_ARC
(15,5),-2.25082 # DEPENDENCYPART_ARC
(15,7),-2.60401 # DEPENDENCYPART_ARC
(15,8),-1.99342 # DEPENDENCYPART_ARC
(15,11),-1.43356 # DEPENDENCYPART_ARC
(15,12),-1.40713 # DEPENDENCYPART_ARC
(15,13),1.53863 # DEPENDENCYPART_ARC
(15,14),1.78823 # DEPENDENCYPART_ARC
(15,16),0.261495 # DEPENDENCYPART_ARC
(15,17),-0.950096 # DEPENDENCYPART_ARC
(15,18),-1.14482 # DEPENDENCYPART_ARC
(15,19),-1.26079 # DEPENDENCYPART_ARC
(15,20),-1.53629 # DEPENDENCYPART_ARC
(15,21),-2.08929 # DEPENDENCYPART_ARC
(15,22),-1.49406 # DEPENDENCYPART_ARC
(15,23),-2.37379 # DEPENDENCYPART_ARC
(16,15),-1.40385 # DEPENDENCYPART_ARC
(16,17),-0.289259 # DEPENDENCYPART_ARC
(16,18),1.01707 # DEPENDENCYPART_ARC
(16,19),-1.56117 # DEPENDENCYPART_ARC
(16,20),-1.39248 # DEPENDENCYPART_ARC
(16,21),-2.08969 # DEPENDENCYPART_ARC
(16,22),-1.45698 # DEPENDENCYPART_ARC
(17,15),-2.04765 # DEPENDENCYPART_ARC
(17,16),-1.13709 # DEPENDENCYPART_ARC
(17,18),-0.29804 # DEPENDENCYPART_ARC
(17,19),-1.63259 # DEPENDENCYPART_ARC
(17,20),-1.20431 # DEPENDENCYPART_ARC
(17,21),-1.77205 # DEPENDENCYPART_ARC
(17,22),-1.73319 # DEPENDENCYPART_ARC
(17,23),-2.15711 # DEPENDENCYPART_ARC
(18,5),-2.47758 # DEPENDENCYPART_ARC
(18,11),-2.40286 # DEPENDENCYPART_ARC
(18,12),-2.03995 # DEPENDENCYPART_ARC
(18,13),-0.731217 # DEPENDENCYPART_ARC
(18,14),-0.652693 # DEPENDENCYPART_ARC
(18,15),-1.28576 # DEPENDENCYPART_ARC
(18,16),-0.949404 # DEPENDENCYPART_ARC
(18,17),0.858263 # DEPENDENCYPART_ARC
(18,19),-0.916397 # DEPENDENCYPART_ARC
(18,20),-1.32413 # DEPENDENCYPART_ARC
(18,21),-1.99272 # DEPENDENCYPART_ARC
(18,22),-1.6515 # DEPENDENCYPART_ARC
(20,18),-2.78934 # DEPENDENCYPART_ARC
(20,21),-1.87268 # DEPENDENCYPART_ARC
(21,6),-2.85353 # DEPENDENCYPART_ARC
(21,18),-2.15705 # DEPENDENCYPART_ARC
(21,20),-1.49005 # DEPENDENCYPART_ARC
(22,1),-1.46284 # DEPENDENCYPART_ARC
(22,2),-2.6284 # DEPENDENCYPART_ARC
(22,3),-3.31572 # DEPENDENCYPART_ARC
(22,4),-2.73965 # DEPENDENCYPART_ARC
(22,5),-0.461052 # DEPENDENCYPART_ARC
(22,6),-0.492709 # DEPENDENCYPART_ARC
(22,7),-2.06092 # DEPENDENCYPART_ARC
(22,8),-2.00502 # DEPENDENCYPART_ARC
(22,9),-1.83227 # DEPENDENCYPART_ARC
(22,10),-0.535671 # DEPENDENCYPART_ARC
(22,11),-1.76506 # DEPENDENCYPART_ARC
(22,12),-1.54811 # DEPENDENCYPART_ARC
(22,15),-1.57516 # DEPENDENCYPART_ARC
(22,16),-1.75332 # DEPENDENCYPART_ARC
(22,17),-1.83602 # DEPENDENCYPART_ARC
(22,18),-1.56808 # DEPENDENCYPART_ARC
(22,19),-0.0323133 # DEPENDENCYPART_ARC
(22,20),0.175943 # DEPENDENCYPART_ARC
(22,21),1.82053 # DEPENDENCYPART_ARC
(22,23),0.306232 # DEPENDENCYPART_ARC
(0,6),(0,22),-1.9231 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0132548 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.184044 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.168901 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.583905 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0727169 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.402965 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0708291 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.583905 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.402977 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0132548 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0783995 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0724509 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.216857 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0959571 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.368432 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.158189 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.517243 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0959571 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.146775 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0801208 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0767069 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.409583 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.661727 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.174526 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.478575 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.166062 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.661727 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.478071 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.231853 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.225979 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0637493 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0987981 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0494664 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0629637 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0637493 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0590442 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0188327 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.22268 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0122278 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.278295 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.350218 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.913829 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.279019 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.120957 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.308043 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.330963 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.134657 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.412402 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.338024 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00671355 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0221891 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00229866 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.736429 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.568344 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.031075 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.076107 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.312868 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.113473 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0422367 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0123582 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.279019 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.120957 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.308043 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.065818 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0201082 # DEPENDENCYPART_SIBL
(1,19),(1,23),0.0767069 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0881865 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0112344 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0298722 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0316947 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.041098 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0746189 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.117691 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0316947 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0620687 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0386917 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.317143 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.425721 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.297369 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.455675 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.323869 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.425721 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.440858 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.208647 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0626999 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0202632 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0824341 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0883011 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0626999 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0826308 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.256487 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0559286 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.020334 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0496967 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.256487 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0100556 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.018733 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0523217 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.163294 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.3389 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0537464 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0671136 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.120172 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0477767 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0751495 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.093711 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0134164 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.117182 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00392237 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00907601 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0537464 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0101517 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.026813 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0620257 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0129182 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.636766 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0410246 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00212043 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0256977 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0600906 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0501799 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00212043 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.113684 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0210628 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0194392 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.050063 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0064708 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0190288 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0194392 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.1046 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.243737 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.127145 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.133241 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0124337 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.243737 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.147553 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0174014 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0134794 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.108804 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.147553 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0272971 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0365822 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.153246 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.40727 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.063465 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0986703 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0162441 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0475835 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.103767 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0455255 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0101608 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.650685 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.227847 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0321108 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.121866 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0113321 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0162311 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.049699 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0186982 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0262135 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0408993 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.976327 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.250424 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.185677 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0888154 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0597425 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.053532 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0260822 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0888154 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0472746 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0241816 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0401914 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00365221 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0362709 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0519185 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.137292 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0113086 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.104498 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.058028 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0273073 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.147749 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.152446 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.000170649 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.055295 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0600691 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0264844 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00469611 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.055295 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0454813 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0383973 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0311987 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.013162 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00937013 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0161452 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00573334 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00538693 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.113744 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0508769 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0385407 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0482008 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0524278 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0439899 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.013717 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0568178 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0107088 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0439899 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00164317 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00605651 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0358758 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0141241 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.137724 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0414604 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00268046 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0294421 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.120665 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0210764 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0636823 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0780139 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.339145 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0499258 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0267894 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0154354 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.339145 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0579458 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0295576 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.115538 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0745733 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.117456 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0989643 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.000490416 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0236196 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.105613 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.141603 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0576134 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0966427 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0240176 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0106085 # DEPENDENCYPART_SIBL
