# _root_ Trade Representative Carla Hills , who along with Agriculture Secretary Clayton Yeutter unveiled the proposal , said she is confident it will gain considerable support from the U.S. 's trading partners .
#goldHeads=4,4,4,17,4,13,13,7,12,12,12,8,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
#predictedHeads=4,4,4,17,4,13,13,7,12,12,12,13,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
(23,26),-0.496169 # DEPENDENCYPART_ARC
(23,27),-1.41615 # DEPENDENCYPART_ARC
(23,28),-0.90991 # DEPENDENCYPART_ARC
(23,30),-1.34377 # DEPENDENCYPART_ARC
(23,31),-1.10114 # DEPENDENCYPART_ARC
(23,32),-0.650774 # DEPENDENCYPART_ARC
(24,20),-1.47615 # DEPENDENCYPART_ARC
(24,21),-1.62915 # DEPENDENCYPART_ARC
(24,26),-1.19791 # DEPENDENCYPART_ARC
(25,14),-3.08941 # DEPENDENCYPART_ARC
(25,20),-1.06413 # DEPENDENCYPART_ARC
(25,21),-1.24642 # DEPENDENCYPART_ARC
(25,23),-0.760207 # DEPENDENCYPART_ARC
(25,24),1.57111 # DEPENDENCYPART_ARC
(25,26),0.423127 # DEPENDENCYPART_ARC
(25,27),-1.49695 # DEPENDENCYPART_ARC
(25,28),-1.38788 # DEPENDENCYPART_ARC
(25,30),-1.58327 # DEPENDENCYPART_ARC
(25,31),-1.59207 # DEPENDENCYPART_ARC
(26,24),-1.7187 # DEPENDENCYPART_ARC
(26,25),-0.773576 # DEPENDENCYPART_ARC
(26,27),0.0267647 # DEPENDENCYPART_ARC
(26,28),-0.220951 # DEPENDENCYPART_ARC
(26,30),-0.828368 # DEPENDENCYPART_ARC
(26,31),-0.790379 # DEPENDENCYPART_ARC
(28,24),-2.05585 # DEPENDENCYPART_ARC
(28,27),1.17899 # DEPENDENCYPART_ARC
(28,29),0.888938 # DEPENDENCYPART_ARC
(28,30),-1.13567 # DEPENDENCYPART_ARC
(30,20),-3.17228 # DEPENDENCYPART_ARC
(30,25),-2.05198 # DEPENDENCYPART_ARC
(30,27),-2.0134 # DEPENDENCYPART_ARC
(30,28),-0.518667 # DEPENDENCYPART_ARC
(30,29),-0.644282 # DEPENDENCYPART_ARC
(30,31),-0.700197 # DEPENDENCYPART_ARC
(31,24),-1.66409 # DEPENDENCYPART_ARC
(31,25),-1.72221 # DEPENDENCYPART_ARC
(31,27),-0.719331 # DEPENDENCYPART_ARC
(31,28),-0.0157725 # DEPENDENCYPART_ARC
(31,29),-0.827412 # DEPENDENCYPART_ARC
(31,30),1.77401 # DEPENDENCYPART_ARC
(0,4),(0,13),-0.123704 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.134325 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.125877 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0437931 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.254356 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.236125 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.116328 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.247878 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.138128 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.123186 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0105585 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00890205 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0388188 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0114151 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0226198 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0083673 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0388188 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.00921077 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00865665 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0391014 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0119583 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0231647 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0083374 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0391014 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.00917939 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0318191 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00913188 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0203383 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0111638 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0318191 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0120058 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0723919 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.088764 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0419363 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.068752 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.05785 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.024728 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.000112519 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0511657 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0304243 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.00474908 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0626112 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0288326 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0399631 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.0123441 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.05785 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0108973 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00171649 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00418902 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0120835 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00960544 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0113141 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0309822 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00418902 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0117289 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.015083 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0097273 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0084788 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0133961 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0173016 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.015083 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00780074 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0125537 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0113052 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.017983 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.020128 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00780074 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0454355 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0479319 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0441407 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0221788 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0393828 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0176945 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00599542 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0147667 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00812864 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0212105 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00984434 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0198661 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0173211 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.015082 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0241069 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0256342 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00133285 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00389629 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00389629 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.027294 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0556986 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0556986 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00864832 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00864832 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0393972 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0234313 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0222707 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00821875 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00171048 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0199785 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.010458 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00842399 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00993373 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0103496 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0229259 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0159278 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00821875 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0043935 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0159829 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0371423 # DEPENDENCYPART_SIBL
(4,1),(4,32),0.0185741 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0156053 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0678137 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.011842 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0173835 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0181688 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0370508 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0186931 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0182773 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00956069 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.012705 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0678137 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00897283 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0267317 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0472738 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0279315 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0582094 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0173705 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0076732 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0169276 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0358097 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.017452 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0170361 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0107583 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0114639 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0582094 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00777523 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0255341 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0528023 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.027272 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0579252 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0604218 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0600502 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0820435 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0604334 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0604179 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0347617 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0557556 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0651369 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.031439 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0472564 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.00195634 # DEPENDENCYPART_SIBL
(4,5),(4,32),0.0282393 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0176602 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00522947 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00171061 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00514866 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00515392 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0146426 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00708801 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0151834 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00445602 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0502935 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0210732 # DEPENDENCYPART_SIBL
(4,7),(4,32),0.0414716 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0204446 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0169257 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0203638 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.020369 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00972021 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0223031 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0269209 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00187844 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.048416 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.020079 # DEPENDENCYPART_SIBL
(4,8),(4,32),-0.00289287 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00639438 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00575544 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00576189 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0103364 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00739178 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0336832 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.001334 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0145971 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0105449 # DEPENDENCYPART_SIBL
(4,9),(4,32),0.0431171 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0147198 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0147263 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0157595 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0163561 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0105444 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00675705 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0200492 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0128715 # DEPENDENCYPART_SIBL
(4,10),(4,32),0.0308156 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00566174 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0102405 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00729165 # DEPENDENCYPART_SIBL
