# _root_ Perhaps the shock would have been less if they 'd fixed to another low-tax , deregulated , supply-side economy .
#goldHeads=4,3,4,0,4,5,6,10,10,6,10,11,19,19,19,19,19,19,12,4,
#predictedHeads=4,3,4,0,4,5,6,10,10,7,10,11,14,12,6,19,19,19,6,4,
(7,19),-1.58226 # DEPENDENCYPART_ARC
(7,20),-1.18344 # DEPENDENCYPART_ARC
(8,3),-1.89315 # DEPENDENCYPART_ARC
(8,7),-0.583962 # DEPENDENCYPART_ARC
(8,9),-0.19037 # DEPENDENCYPART_ARC
(8,10),-1.12619 # DEPENDENCYPART_ARC
(8,11),-1.65318 # DEPENDENCYPART_ARC
(8,12),-1.68591 # DEPENDENCYPART_ARC
(8,14),-2.35557 # DEPENDENCYPART_ARC
(9,14),-1.40478 # DEPENDENCYPART_ARC
(10,1),-1.31381 # DEPENDENCYPART_ARC
(10,3),-1.39039 # DEPENDENCYPART_ARC
(10,4),-1.44263 # DEPENDENCYPART_ARC
(10,6),-1.38552 # DEPENDENCYPART_ARC
(10,7),-1.11664 # DEPENDENCYPART_ARC
(10,8),-0.0630817 # DEPENDENCYPART_ARC
(10,9),1.07828 # DEPENDENCYPART_ARC
(10,11),1.41499 # DEPENDENCYPART_ARC
(10,12),-0.824096 # DEPENDENCYPART_ARC
(10,13),-1.39152 # DEPENDENCYPART_ARC
(10,14),-1.12198 # DEPENDENCYPART_ARC
(10,15),-1.63115 # DEPENDENCYPART_ARC
(10,16),-1.78398 # DEPENDENCYPART_ARC
(10,17),-1.92943 # DEPENDENCYPART_ARC
(10,18),-1.96122 # DEPENDENCYPART_ARC
(10,19),-1.79694 # DEPENDENCYPART_ARC
(10,20),-1.49523 # DEPENDENCYPART_ARC
(11,3),-2.1179 # DEPENDENCYPART_ARC
(11,8),-1.00448 # DEPENDENCYPART_ARC
(11,9),-1.4832 # DEPENDENCYPART_ARC
(11,10),-1.00522 # DEPENDENCYPART_ARC
(11,12),0.236468 # DEPENDENCYPART_ARC
(11,13),-1.24924 # DEPENDENCYPART_ARC
(11,14),-0.781617 # DEPENDENCYPART_ARC
(11,15),-1.13422 # DEPENDENCYPART_ARC
(11,16),-1.547 # DEPENDENCYPART_ARC
(11,17),-2.0378 # DEPENDENCYPART_ARC
(11,18),-2.07087 # DEPENDENCYPART_ARC
(11,19),-2.01566 # DEPENDENCYPART_ARC
(11,20),-1.67836 # DEPENDENCYPART_ARC
(12,8),-0.954221 # DEPENDENCYPART_ARC
(12,13),0.0480262 # DEPENDENCYPART_ARC
(12,14),-0.202841 # DEPENDENCYPART_ARC
(12,15),-0.954488 # DEPENDENCYPART_ARC
(12,17),-1.73607 # DEPENDENCYPART_ARC
(12,19),-2.0239 # DEPENDENCYPART_ARC
(12,20),-1.21107 # DEPENDENCYPART_ARC
(13,15),-1.17593 # DEPENDENCYPART_ARC
(13,16),-1.65192 # DEPENDENCYPART_ARC
(14,8),-1.77071 # DEPENDENCYPART_ARC
(14,9),-1.56378 # DEPENDENCYPART_ARC
(14,11),-1.14299 # DEPENDENCYPART_ARC
(14,12),-1.07899 # DEPENDENCYPART_ARC
(14,13),1.08035 # DEPENDENCYPART_ARC
(14,15),0.0173821 # DEPENDENCYPART_ARC
(14,16),-1.47241 # DEPENDENCYPART_ARC
(14,17),-1.41178 # DEPENDENCYPART_ARC
(14,18),-1.69396 # DEPENDENCYPART_ARC
(14,19),-1.90526 # DEPENDENCYPART_ARC
(14,20),-1.57352 # DEPENDENCYPART_ARC
(16,8),-2.1401 # DEPENDENCYPART_ARC
(16,10),-2.11681 # DEPENDENCYPART_ARC
(16,12),-2.12293 # DEPENDENCYPART_ARC
(16,13),-2.16977 # DEPENDENCYPART_ARC
(16,14),-2.01062 # DEPENDENCYPART_ARC
(16,15),0.0704794 # DEPENDENCYPART_ARC
(16,17),-0.264553 # DEPENDENCYPART_ARC
(16,18),-1.69393 # DEPENDENCYPART_ARC
(16,19),-1.76109 # DEPENDENCYPART_ARC
(16,20),-1.91219 # DEPENDENCYPART_ARC
(18,12),-1.51549 # DEPENDENCYPART_ARC
(18,14),-1.07078 # DEPENDENCYPART_ARC
(18,17),0.0980589 # DEPENDENCYPART_ARC
(18,19),-0.446187 # DEPENDENCYPART_ARC
(19,13),-1.38438 # DEPENDENCYPART_ARC
(19,14),-1.38166 # DEPENDENCYPART_ARC
(19,15),-2.01323 # DEPENDENCYPART_ARC
(19,16),-1.36268 # DEPENDENCYPART_ARC
(19,17),-0.814127 # DEPENDENCYPART_ARC
(19,18),1.56339 # DEPENDENCYPART_ARC
(19,20),-0.656722 # DEPENDENCYPART_ARC
(20,16),-1.93989 # DEPENDENCYPART_ARC
(20,18),-1.34398 # DEPENDENCYPART_ARC
(20,19),-0.461737 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0133901 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0148727 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.108546 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0971401 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.116655 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.114444 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.114436 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0503069 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.128067 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.124481 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.128285 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.12462 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.123546 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.117602 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.11611 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.116135 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.115575 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.115575 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.231714 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.230928 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.228262 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.228176 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.229746 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.227079 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.226994 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.227262 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.227177 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.225565 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0214659 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0212483 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0313289 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.016842 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0285864 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00932954 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00256777 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0365592 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00404797 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0252315 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00401473 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0202481 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0785596 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0193558 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.00455914 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0507424 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00100773 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0191163 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0127662 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0173715 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00985296 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0178921 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0357911 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00513124 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0395321 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00364218 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00710196 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0397211 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00497705 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00553501 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.109764 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.197453 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.081059 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.166776 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00419292 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.133168 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0120258 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0123092 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00832026 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0115404 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0253641 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.015044 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00597595 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0198133 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00667756 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0135656 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0073235 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.000797668 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0119791 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00425778 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0113331 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0112697 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.000328493 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0153126 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00243347 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00970285 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0106843 # DEPENDENCYPART_SIBL
(4,1),(4,2),4.72524e-05 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0220727 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.102475 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0406218 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0109536 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0284787 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0290718 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00444968 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00444968 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0752806 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0411723 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.000139504 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0378821 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0124994 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0437627 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0580011 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0115232 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0115232 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0589783 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0905375 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0152233 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0504136 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0106361 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00307676 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0245361 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0245361 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.00579576 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0984801 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0528337 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0990154 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0944601 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0125179 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0125179 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.00741254 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0551454 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0997563 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.095201 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0038417 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0038417 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00409622 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0236694 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0228589 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0115178 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0115178 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0178465 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0970398 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0226688 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0226688 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00402049 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0243835 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0243835 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0015114 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.067776 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0440728 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0440728 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00971447 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0526035 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.162147 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0582073 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0220362 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0590735 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0617394 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0729466 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0172087 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.015399 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0733388 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.015399 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0202511 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0901614 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0611769 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0499278 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.13367 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0812301 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0637202 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00634899 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.028988 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0552506 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.02239 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00786488 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.02239 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0168521 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0244199 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0968231 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.160375 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.176627 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.142275 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.134363 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.125432 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.134972 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0992655 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.128991 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0992655 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0931503 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00580526 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0292807 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0316138 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0132869 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0161712 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0152772 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0593756 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0624943 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0115731 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0624943 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00855151 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0981475 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0870606 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.044462 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0689876 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0709462 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0562757 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0256442 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0671496 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0256442 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0770542 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.068613 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0506682 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0642249 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0664056 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0703515 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0412778 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0625104 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0412778 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0463504 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0561902 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0246478 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0215811 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0617445 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.019718 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0177066 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.019718 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0240197 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0487659 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0669697 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.109179 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0288736 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0632656 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0288736 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0443344 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0181401 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.105329 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0282691 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.057276 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0282691 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0406371 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0321471 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00966218 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0444012 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00966218 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0483083 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0431057 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.00604099 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.00817081 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0147379 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.00620596 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.029786 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0436367 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0111189 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0147379 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.00620596 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0122944 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.000124915 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0449537 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0113774 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0607029 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0719101 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0259883 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0213702 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0125185 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0723023 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0125185 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00135688 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0971049 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.11474 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0527867 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0270416 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0623786 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.000293817 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0156107 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0100667 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0412555 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0100667 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.036035 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0584181 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0256753 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.057328 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.059287 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00824035 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0264677 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0128939 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0554905 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0128939 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0222433 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0220126 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0790227 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0812039 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0305342 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.00908823 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0453573 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0773087 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0453573 # DEPENDENCYPART_SIBL
