# _root_ Like Lebanon , and however unfairly , Israel is regarded by the Arab world as a colonial aberration .
#goldHeads=4,1,4,0,4,5,4,4,4,9,10,14,14,11,10,18,18,15,4,
#predictedHeads=9,4,4,1,4,5,9,9,0,9,10,14,14,11,10,18,18,15,9,
(4,10),-2.15119 # DEPENDENCYPART_ARC
(4,11),-1.91546 # DEPENDENCYPART_ARC
(4,13),-1.85994 # DEPENDENCYPART_ARC
(4,14),-2.65933 # DEPENDENCYPART_ARC
(4,15),-2.25092 # DEPENDENCYPART_ARC
(4,18),-2.96686 # DEPENDENCYPART_ARC
(4,19),-0.826802 # DEPENDENCYPART_ARC
(5,1),-2.56487 # DEPENDENCYPART_ARC
(5,2),-2.32504 # DEPENDENCYPART_ARC
(5,4),-0.528777 # DEPENDENCYPART_ARC
(5,6),0.278599 # DEPENDENCYPART_ARC
(5,7),-0.942887 # DEPENDENCYPART_ARC
(5,8),-1.50044 # DEPENDENCYPART_ARC
(5,9),-1.49702 # DEPENDENCYPART_ARC
(5,11),-1.72214 # DEPENDENCYPART_ARC
(5,15),-1.90329 # DEPENDENCYPART_ARC
(6,1),-1.84838 # DEPENDENCYPART_ARC
(6,2),-1.61799 # DEPENDENCYPART_ARC
(6,3),-1.07194 # DEPENDENCYPART_ARC
(6,4),-0.884749 # DEPENDENCYPART_ARC
(6,5),-0.109442 # DEPENDENCYPART_ARC
(6,7),-0.171917 # DEPENDENCYPART_ARC
(6,8),-1.35551 # DEPENDENCYPART_ARC
(6,9),-1.41892 # DEPENDENCYPART_ARC
(6,11),-1.88651 # DEPENDENCYPART_ARC
(7,6),-0.327866 # DEPENDENCYPART_ARC
(8,2),-2.21625 # DEPENDENCYPART_ARC
(8,4),-1.77107 # DEPENDENCYPART_ARC
(8,5),-2.01937 # DEPENDENCYPART_ARC
(8,6),-1.55068 # DEPENDENCYPART_ARC
(8,7),-0.428585 # DEPENDENCYPART_ARC
(8,9),-0.406889 # DEPENDENCYPART_ARC
(8,10),-1.30732 # DEPENDENCYPART_ARC
(8,11),-1.20748 # DEPENDENCYPART_ARC
(8,14),-1.66682 # DEPENDENCYPART_ARC
(8,15),-1.20559 # DEPENDENCYPART_ARC
(8,18),-1.86193 # DEPENDENCYPART_ARC
(8,19),-1.97309 # DEPENDENCYPART_ARC
(9,1),-0.651552 # DEPENDENCYPART_ARC
(9,2),-0.689075 # DEPENDENCYPART_ARC
(9,3),-2.05867 # DEPENDENCYPART_ARC
(9,4),-1.57795 # DEPENDENCYPART_ARC
(9,5),-1.41448 # DEPENDENCYPART_ARC
(9,6),-1.37965 # DEPENDENCYPART_ARC
(9,7),-0.130974 # DEPENDENCYPART_ARC
(9,8),1.03713 # DEPENDENCYPART_ARC
(9,10),1.45125 # DEPENDENCYPART_ARC
(9,11),-0.519889 # DEPENDENCYPART_ARC
(9,14),-1.10325 # DEPENDENCYPART_ARC
(9,15),-1.22157 # DEPENDENCYPART_ARC
(9,18),-1.56334 # DEPENDENCYPART_ARC
(9,19),0.0123514 # DEPENDENCYPART_ARC
(10,1),-1.63437 # DEPENDENCYPART_ARC
(10,2),-1.78434 # DEPENDENCYPART_ARC
(10,3),-3.0763 # DEPENDENCYPART_ARC
(10,4),-2.26637 # DEPENDENCYPART_ARC
(10,5),-2.46891 # DEPENDENCYPART_ARC
(10,6),-2.39273 # DEPENDENCYPART_ARC
(10,7),-1.6865 # DEPENDENCYPART_ARC
(10,8),-1.43921 # DEPENDENCYPART_ARC
(10,9),-1.10391 # DEPENDENCYPART_ARC
(10,11),0.775052 # DEPENDENCYPART_ARC
(10,12),-0.962378 # DEPENDENCYPART_ARC
(10,13),-1.19201 # DEPENDENCYPART_ARC
(10,14),-1.00452 # DEPENDENCYPART_ARC
(10,15),-0.837671 # DEPENDENCYPART_ARC
(10,17),-1.46246 # DEPENDENCYPART_ARC
(10,18),-1.47586 # DEPENDENCYPART_ARC
(10,19),-0.240586 # DEPENDENCYPART_ARC
(11,12),-0.0717235 # DEPENDENCYPART_ARC
(11,13),-0.739379 # DEPENDENCYPART_ARC
(11,14),-0.63467 # DEPENDENCYPART_ARC
(11,15),-1.30404 # DEPENDENCYPART_ARC
(11,17),-1.27071 # DEPENDENCYPART_ARC
(11,18),-1.46693 # DEPENDENCYPART_ARC
(11,19),-1.16836 # DEPENDENCYPART_ARC
(12,13),-0.405838 # DEPENDENCYPART_ARC
(12,15),-1.14143 # DEPENDENCYPART_ARC
(13,12),-0.0580517 # DEPENDENCYPART_ARC
(13,15),-0.933789 # DEPENDENCYPART_ARC
(13,18),-1.63562 # DEPENDENCYPART_ARC
(14,7),-1.84751 # DEPENDENCYPART_ARC
(14,8),-1.82149 # DEPENDENCYPART_ARC
(14,11),-0.850205 # DEPENDENCYPART_ARC
(14,12),0.479303 # DEPENDENCYPART_ARC
(14,13),1.67907 # DEPENDENCYPART_ARC
(14,15),0.278951 # DEPENDENCYPART_ARC
(14,16),-1.42546 # DEPENDENCYPART_ARC
(14,17),-1.371 # DEPENDENCYPART_ARC
(14,18),-1.53758 # DEPENDENCYPART_ARC
(14,19),-1.5064 # DEPENDENCYPART_ARC
(15,11),-1.26214 # DEPENDENCYPART_ARC
(15,13),-1.24976 # DEPENDENCYPART_ARC
(15,14),-0.4251 # DEPENDENCYPART_ARC
(15,16),-0.278722 # DEPENDENCYPART_ARC
(15,17),-0.795472 # DEPENDENCYPART_ARC
(15,18),-0.76978 # DEPENDENCYPART_ARC
(15,19),-1.43986 # DEPENDENCYPART_ARC
(16,17),-0.320465 # DEPENDENCYPART_ARC
(17,14),-1.22713 # DEPENDENCYPART_ARC
(17,16),-0.102388 # DEPENDENCYPART_ARC
(17,19),-1.23239 # DEPENDENCYPART_ARC
(18,7),-1.80862 # DEPENDENCYPART_ARC
(18,11),-1.30411 # DEPENDENCYPART_ARC
(18,12),-1.59107 # DEPENDENCYPART_ARC
(18,13),-0.759033 # DEPENDENCYPART_ARC
(18,14),-1.21318 # DEPENDENCYPART_ARC
(18,15),-0.900717 # DEPENDENCYPART_ARC
(18,16),0.403745 # DEPENDENCYPART_ARC
(18,17),1.51344 # DEPENDENCYPART_ARC
(18,19),-0.378785 # DEPENDENCYPART_ARC
(19,18),-0.258541 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0160329 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0620193 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00624215 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0106892 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.114599 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.107827 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0288248 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0252655 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.10211 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.101483 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0328217 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0340106 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.13746 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.132251 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0246715 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0976481 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0832885 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.105691 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0907106 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.177954 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0108683 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.124991 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.039519 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0341435 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0108683 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0838229 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0286267 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0266192 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0401164 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0388309 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0494635 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0184058 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0464153 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.000836638 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00125982 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0284362 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0617601 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0321027 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0194482 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00785238 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0326045 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0245131 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0145777 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.033213 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0323309 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0184058 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0464153 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.029818 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0199935 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.000262079 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0198532 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0352272 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0199935 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00440706 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0111699 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0215044 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0209111 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00613365 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0043507 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0539063 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0177935 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.021354 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0107041 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.036982 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0416151 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0323658 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0234054 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0235964 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0466167 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0419113 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.00261008 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0194003 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00714473 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0236044 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0315379 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0253208 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0118562 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00989997 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0309505 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0314787 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.00104341 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0166479 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0209492 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0145762 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0300468 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00619343 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0263544 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0128414 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0146354 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.026319 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00851586 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0165536 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0380169 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0135425 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0171683 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0148188 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0166129 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.00508041 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0416151 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0323658 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0234054 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0235964 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0466167 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0419113 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00261008 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0317886 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0130734 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00636259 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0115566 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0115538 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0219643 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0346694 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0281074 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0371969 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0373427 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0313736 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0059892 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0169495 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0170958 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00865503 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00485269 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.00735388 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0486518 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0150939 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0162459 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0201988 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0500302 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00608283 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0102283 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00792936 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0540567 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.141913 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0172362 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0102053 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.188204 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0552722 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.156045 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.229217 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.141912 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0109934 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0251369 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0173887 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0241578 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.006208 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0517481 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0559744 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0759754 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.134421 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0049458 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0415683 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0338662 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.05106 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0151618 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0184388 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0142934 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0260725 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0185619 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0297975 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00351433 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0854971 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00559338 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0318321 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0290759 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0185606 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.011274 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0180711 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00566664 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00834883 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0377979 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00517479 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0163816 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0132274 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00410854 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.010692 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00834901 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0298662 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00306697 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00655571 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0463568 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0131126 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0249679 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.016033 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00590165 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0205223 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00655589 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0543853 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0131798 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0119527 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00597053 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0328095 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0850804 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00948294 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0158743 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0132984 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00925661 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0269581 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0155979 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0169154 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00475237 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0247659 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.013677 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0177668 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.041556 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.016682 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0172701 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0157569 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0180689 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0413237 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0251778 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.13509 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00324871 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0125586 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0115482 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0243263 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00443946 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.015197 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00841211 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0297399 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.000434041 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0210961 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.047362 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00587452 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0180606 # DEPENDENCYPART_SIBL
(4,13),(4,18),-3.96728e-05 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.108927 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0162798 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0257116 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.050964 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0161352 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0222924 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0433798 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0190331 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0183455 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.012535 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.121781 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0639208 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0421539 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.11078 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.211353 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00192461 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0111822 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.121525 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.155134 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0491957 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0549285 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.103408 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0167214 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.155644 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0901746 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0290971 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0289026 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.118486 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0120906 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0249914 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0496301 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.045926 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0620275 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00158473 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0604799 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0218452 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0168811 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0191316 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.001868 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00366368 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0422381 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0511586 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0048277 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0163995 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00312672 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0157579 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0365954 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.109138 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0672689 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0475321 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.114349 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0880072 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00694957 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.065817 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.108223 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.158753 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0549623 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0512631 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0527056 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.133078 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.570391 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.231705 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.129795 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0546179 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0146429 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.135438 # DEPENDENCYPART_SIBL
