# _root_ New Jersey Turnpike Authority 's 7.20 % issue of 2018 was off 3\/4 at 98 1\/2 bid , yielding 7.32 % , up 0.07 percentage point from late Friday .
#goldHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
#predictedHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
(11,13),-0.848022 # DEPENDENCYPART_ARC
(11,14),0.188103 # DEPENDENCYPART_ARC
(11,15),-1.97546 # DEPENDENCYPART_ARC
(11,16),-2.05648 # DEPENDENCYPART_ARC
(11,17),-1.46544 # DEPENDENCYPART_ARC
(11,18),-0.514413 # DEPENDENCYPART_ARC
(11,19),-0.749091 # DEPENDENCYPART_ARC
(11,21),-2.56069 # DEPENDENCYPART_ARC
(11,22),-1.0462 # DEPENDENCYPART_ARC
(11,23),-1.70842 # DEPENDENCYPART_ARC
(11,26),-3.12304 # DEPENDENCYPART_ARC
(11,27),-2.06238 # DEPENDENCYPART_ARC
(11,28),-2.82058 # DEPENDENCYPART_ARC
(11,29),-2.4804 # DEPENDENCYPART_ARC
(11,30),0.0685211 # DEPENDENCYPART_ARC
(12,8),-2.27487 # DEPENDENCYPART_ARC
(12,9),-1.87538 # DEPENDENCYPART_ARC
(12,10),-1.84766 # DEPENDENCYPART_ARC
(12,13),-0.383245 # DEPENDENCYPART_ARC
(12,14),-0.75272 # DEPENDENCYPART_ARC
(12,15),-1.40767 # DEPENDENCYPART_ARC
(12,16),-1.5187 # DEPENDENCYPART_ARC
(12,17),-1.47694 # DEPENDENCYPART_ARC
(12,18),-1.63846 # DEPENDENCYPART_ARC
(12,19),-1.66508 # DEPENDENCYPART_ARC
(12,20),-2.36166 # DEPENDENCYPART_ARC
(12,21),-1.83363 # DEPENDENCYPART_ARC
(12,22),-1.86744 # DEPENDENCYPART_ARC
(12,24),-2.595 # DEPENDENCYPART_ARC
(12,27),-1.88587 # DEPENDENCYPART_ARC
(13,6),-2.65939 # DEPENDENCYPART_ARC
(13,8),-2.65386 # DEPENDENCYPART_ARC
(13,9),-1.9325 # DEPENDENCYPART_ARC
(13,10),-1.4066 # DEPENDENCYPART_ARC
(13,12),-0.545289 # DEPENDENCYPART_ARC
(13,14),-0.887917 # DEPENDENCYPART_ARC
(13,15),-1.78844 # DEPENDENCYPART_ARC
(13,16),-2.30553 # DEPENDENCYPART_ARC
(13,17),-2.09645 # DEPENDENCYPART_ARC
(13,18),-1.61835 # DEPENDENCYPART_ARC
(13,19),-1.90486 # DEPENDENCYPART_ARC
(13,21),-2.6146 # DEPENDENCYPART_ARC
(13,22),-1.62385 # DEPENDENCYPART_ARC
(14,12),-2.44584 # DEPENDENCYPART_ARC
(14,13),-1.93587 # DEPENDENCYPART_ARC
(14,15),-0.180551 # DEPENDENCYPART_ARC
(14,16),-1.04194 # DEPENDENCYPART_ARC
(14,17),-0.503056 # DEPENDENCYPART_ARC
(14,18),-1.52134 # DEPENDENCYPART_ARC
(14,19),-1.67548 # DEPENDENCYPART_ARC
(14,21),-2.00075 # DEPENDENCYPART_ARC
(14,22),-1.66232 # DEPENDENCYPART_ARC
(14,23),-2.36203 # DEPENDENCYPART_ARC
(14,24),-3.33056 # DEPENDENCYPART_ARC
(14,27),-1.69841 # DEPENDENCYPART_ARC
(15,13),-1.67215 # DEPENDENCYPART_ARC
(15,14),-1.32427 # DEPENDENCYPART_ARC
(15,16),-1.38103 # DEPENDENCYPART_ARC
(15,17),-1.51209 # DEPENDENCYPART_ARC
(15,18),-1.29794 # DEPENDENCYPART_ARC
(15,19),-1.87928 # DEPENDENCYPART_ARC
(15,21),-2.45491 # DEPENDENCYPART_ARC
(16,9),-1.70919 # DEPENDENCYPART_ARC
(16,10),-1.9781 # DEPENDENCYPART_ARC
(16,12),-2.05742 # DEPENDENCYPART_ARC
(16,13),-1.30606 # DEPENDENCYPART_ARC
(16,14),-0.609473 # DEPENDENCYPART_ARC
(16,15),1.00191 # DEPENDENCYPART_ARC
(16,17),-0.748983 # DEPENDENCYPART_ARC
(16,18),-1.67052 # DEPENDENCYPART_ARC
(16,19),-1.77965 # DEPENDENCYPART_ARC
(16,21),-2.15731 # DEPENDENCYPART_ARC
(17,1),-2.75398 # DEPENDENCYPART_ARC
(17,4),-2.17922 # DEPENDENCYPART_ARC
(17,6),-2.88475 # DEPENDENCYPART_ARC
(17,8),-3.17992 # DEPENDENCYPART_ARC
(17,9),-2.20092 # DEPENDENCYPART_ARC
(17,10),-2.73086 # DEPENDENCYPART_ARC
(17,12),-0.880782 # DEPENDENCYPART_ARC
(17,13),-1.66309 # DEPENDENCYPART_ARC
(17,14),-1.15294 # DEPENDENCYPART_ARC
(17,15),-0.657587 # DEPENDENCYPART_ARC
(17,16),0.565112 # DEPENDENCYPART_ARC
(17,18),-0.929192 # DEPENDENCYPART_ARC
(17,19),-1.35121 # DEPENDENCYPART_ARC
(17,20),-1.66462 # DEPENDENCYPART_ARC
(17,21),-1.30615 # DEPENDENCYPART_ARC
(17,22),-1.12799 # DEPENDENCYPART_ARC
(17,23),-1.65129 # DEPENDENCYPART_ARC
(17,24),-2.49199 # DEPENDENCYPART_ARC
(17,25),-2.28702 # DEPENDENCYPART_ARC
(17,26),-2.67255 # DEPENDENCYPART_ARC
(17,27),-2.08075 # DEPENDENCYPART_ARC
(17,28),-2.65412 # DEPENDENCYPART_ARC
(17,29),-3.29232 # DEPENDENCYPART_ARC
(17,30),-2.32522 # DEPENDENCYPART_ARC
(19,8),-2.70158 # DEPENDENCYPART_ARC
(19,15),-2.4286 # DEPENDENCYPART_ARC
(19,16),-2.12418 # DEPENDENCYPART_ARC
(19,17),-2.09764 # DEPENDENCYPART_ARC
(19,18),-1.48269 # DEPENDENCYPART_ARC
(19,20),0.0620507 # DEPENDENCYPART_ARC
(19,21),0.904681 # DEPENDENCYPART_ARC
(19,22),-0.307166 # DEPENDENCYPART_ARC
(19,23),-0.569744 # DEPENDENCYPART_ARC
(19,24),-1.58807 # DEPENDENCYPART_ARC
(19,25),-0.81669 # DEPENDENCYPART_ARC
(19,26),-0.587948 # DEPENDENCYPART_ARC
(19,27),-0.128515 # DEPENDENCYPART_ARC
(19,28),-1.46876 # DEPENDENCYPART_ARC
(19,29),-1.44362 # DEPENDENCYPART_ARC
(19,30),-1.65332 # DEPENDENCYPART_ARC
(20,14),-1.82996 # DEPENDENCYPART_ARC
(20,15),-2.00504 # DEPENDENCYPART_ARC
(20,16),-2.28375 # DEPENDENCYPART_ARC
(20,21),-1.20631 # DEPENDENCYPART_ARC
(20,22),-1.71404 # DEPENDENCYPART_ARC
(20,23),-1.82936 # DEPENDENCYPART_ARC
(20,24),-2.56538 # DEPENDENCYPART_ARC
(21,6),-4.27623 # DEPENDENCYPART_ARC
(21,10),-4.14709 # DEPENDENCYPART_ARC
(21,12),-2.31753 # DEPENDENCYPART_ARC
(21,13),-3.35202 # DEPENDENCYPART_ARC
(21,14),-2.27924 # DEPENDENCYPART_ARC
(21,15),-2.86078 # DEPENDENCYPART_ARC
(21,16),-1.56057 # DEPENDENCYPART_ARC
(21,17),-1.6509 # DEPENDENCYPART_ARC
(21,18),-1.82629 # DEPENDENCYPART_ARC
(21,19),-1.09333 # DEPENDENCYPART_ARC
(21,20),1.4387 # DEPENDENCYPART_ARC
(21,22),-0.690881 # DEPENDENCYPART_ARC
(21,23),-1.14357 # DEPENDENCYPART_ARC
(21,24),-1.79569 # DEPENDENCYPART_ARC
(21,25),-1.71985 # DEPENDENCYPART_ARC
(21,26),-2.28351 # DEPENDENCYPART_ARC
(21,27),-2.26403 # DEPENDENCYPART_ARC
(21,28),-2.60692 # DEPENDENCYPART_ARC
(21,29),-3.01744 # DEPENDENCYPART_ARC
(23,24),0.181192 # DEPENDENCYPART_ARC
(23,25),-0.298177 # DEPENDENCYPART_ARC
(23,26),-0.507332 # DEPENDENCYPART_ARC
(23,27),-0.326298 # DEPENDENCYPART_ARC
(23,28),-1.47521 # DEPENDENCYPART_ARC
(23,29),-2.4559 # DEPENDENCYPART_ARC
(23,30),-2.18994 # DEPENDENCYPART_ARC
(24,20),-2.51129 # DEPENDENCYPART_ARC
(24,23),-1.41199 # DEPENDENCYPART_ARC
(24,25),-1.03867 # DEPENDENCYPART_ARC
(24,26),-1.98044 # DEPENDENCYPART_ARC
(25,20),-2.42142 # DEPENDENCYPART_ARC
(25,23),-1.31314 # DEPENDENCYPART_ARC
(25,24),-0.518446 # DEPENDENCYPART_ARC
(25,27),-1.61342 # DEPENDENCYPART_ARC
(25,28),-2.13926 # DEPENDENCYPART_ARC
(25,29),-2.4725 # DEPENDENCYPART_ARC
(26,10),-3.61357 # DEPENDENCYPART_ARC
(26,12),-2.13067 # DEPENDENCYPART_ARC
(26,13),-3.24797 # DEPENDENCYPART_ARC
(26,15),-3.12012 # DEPENDENCYPART_ARC
(26,16),-2.32039 # DEPENDENCYPART_ARC
(26,19),-1.56762 # DEPENDENCYPART_ARC
(26,20),-1.55856 # DEPENDENCYPART_ARC
(26,21),-1.09484 # DEPENDENCYPART_ARC
(26,22),-1.19589 # DEPENDENCYPART_ARC
(26,23),-0.485025 # DEPENDENCYPART_ARC
(26,24),0.424448 # DEPENDENCYPART_ARC
(26,25),1.88303 # DEPENDENCYPART_ARC
(26,27),-0.0973867 # DEPENDENCYPART_ARC
(26,28),-1.4489 # DEPENDENCYPART_ARC
(26,29),-1.71193 # DEPENDENCYPART_ARC
(26,30),-1.54734 # DEPENDENCYPART_ARC
(27,26),-1.55231 # DEPENDENCYPART_ARC
(27,28),-0.117718 # DEPENDENCYPART_ARC
(27,29),0.0881311 # DEPENDENCYPART_ARC
(28,26),-2.00816 # DEPENDENCYPART_ARC
(28,29),-1.44616 # DEPENDENCYPART_ARC
(29,24),-2.23846 # DEPENDENCYPART_ARC
(29,25),-1.79522 # DEPENDENCYPART_ARC
(29,26),-1.96938 # DEPENDENCYPART_ARC
(29,28),0.92548 # DEPENDENCYPART_ARC
(29,30),-1.45399 # DEPENDENCYPART_ARC
(30,29),-2.22257 # DEPENDENCYPART_ARC
(0,4),(0,8),-0.178753 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.810061 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.753389 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0361869 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0721301 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.011217 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.131627 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.00121461 # DEPENDENCYPART_SIBL
(2,5),(2,30),-0.0882998 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.17721 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0182517 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0605225 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.018251 # DEPENDENCYPART_SIBL
(3,1),(3,30),-2.2058e-05 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00446234 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0535249 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0208534 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.0349888 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.131963 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0261815 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0067808 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0957768 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0775828 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0554822 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.179856 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.20072 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.100097 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0473959 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0565524 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00821527 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00920037 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0442225 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.0705454 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.143271 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.084673 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0427226 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0194396 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0847145 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0678961 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0396099 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0982785 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0804017 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0389818 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00769917 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0729761 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0540818 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.035867 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.115525 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0895954 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.265848 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.243663 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.240433 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0895512 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.0596019 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0706404 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0601216 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0110881 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00962535 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.040281 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.239135 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0983548 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0743876 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.100945 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0407415 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0588462 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.0643665 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0398299 # DEPENDENCYPART_SIBL
(4,9),(4,30),-0.0112277 # DEPENDENCYPART_SIBL
(4,10),(4,30),-0.040282 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0683072 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.124867 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.050678 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0537045 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0557328 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0212892 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0956554 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.296278 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0930254 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.170602 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.295545 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.120143 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.206033 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.115901 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0419043 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.136273 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.268039 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.253027 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.310929 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0961635 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.181517 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.368544 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0200484 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0810806 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.186229 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.125833 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0946253 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.000217402 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0468497 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.205864 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0774025 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.205864 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0291453 # DEPENDENCYPART_SIBL
(8,1),(8,26),-0.0190808 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.0387355 # DEPENDENCYPART_SIBL
(8,1),(8,28),0.0387065 # DEPENDENCYPART_SIBL
(8,1),(8,30),0.0739695 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.109952 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.171134 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0368498 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.11053 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.269478 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0237733 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0209927 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0867586 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0814028 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0344185 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0314332 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0664625 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.146599 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.00927871 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.146599 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0102911 # DEPENDENCYPART_SIBL
(8,2),(8,26),-0.00291378 # DEPENDENCYPART_SIBL
(8,2),(8,27),0.0130419 # DEPENDENCYPART_SIBL
(8,2),(8,28),-0.00396373 # DEPENDENCYPART_SIBL
(8,2),(8,30),0.0353522 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.161352 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0311027 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.105077 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.261876 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.010544 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00233578 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0480293 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0590124 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0110942 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.065798 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0345295 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.036059 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0143554 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.036059 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0342965 # DEPENDENCYPART_SIBL
(8,3),(8,26),-0.034837 # DEPENDENCYPART_SIBL
(8,3),(8,27),-0.0195812 # DEPENDENCYPART_SIBL
(8,3),(8,28),-0.0263541 # DEPENDENCYPART_SIBL
(8,3),(8,30),0.0274963 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0454822 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.11768 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.285042 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.01241 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0160834 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0418325 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0513838 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.000781913 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0637361 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0373532 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0187777 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0194081 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0187777 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0393447 # DEPENDENCYPART_SIBL
(8,4),(8,26),-0.0319999 # DEPENDENCYPART_SIBL
(8,4),(8,27),-0.023179 # DEPENDENCYPART_SIBL
(8,4),(8,28),-0.0339827 # DEPENDENCYPART_SIBL
(8,4),(8,30),0.0101728 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.156194 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.10519 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0490643 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0669189 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0525858 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0409593 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0643205 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0181742 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0173618 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0303241 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.00913363 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0303241 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0543328 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.065909 # DEPENDENCYPART_SIBL
(8,5),(8,27),0.0144303 # DEPENDENCYPART_SIBL
(8,5),(8,28),-0.0137011 # DEPENDENCYPART_SIBL
(8,5),(8,30),0.248699 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.102684 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0524839 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0365533 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0150411 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.109311 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0438531 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0154618 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.015318 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0103605 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0119766 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0103605 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.042379 # DEPENDENCYPART_SIBL
(8,6),(8,26),-0.0799859 # DEPENDENCYPART_SIBL
(8,6),(8,27),-0.0884379 # DEPENDENCYPART_SIBL
(8,6),(8,28),-0.00109009 # DEPENDENCYPART_SIBL
(8,6),(8,30),0.0406392 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.051178 # DEPENDENCYPART_SIBL
