# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,7,5,5,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(5,18),-1.5783 # DEPENDENCYPART_ARC
(5,19),-1.42177 # DEPENDENCYPART_ARC
(5,20),-1.96006 # DEPENDENCYPART_ARC
(5,23),-2.56657 # DEPENDENCYPART_ARC
(5,24),-1.9421 # DEPENDENCYPART_ARC
(5,29),-1.88628 # DEPENDENCYPART_ARC
(6,1),-1.28957 # DEPENDENCYPART_ARC
(6,3),-1.19377 # DEPENDENCYPART_ARC
(6,4),-0.445044 # DEPENDENCYPART_ARC
(6,5),-0.0438701 # DEPENDENCYPART_ARC
(6,7),-0.887334 # DEPENDENCYPART_ARC
(6,8),-1.64725 # DEPENDENCYPART_ARC
(6,9),-1.37502 # DEPENDENCYPART_ARC
(6,11),-2.139 # DEPENDENCYPART_ARC
(6,13),-1.59884 # DEPENDENCYPART_ARC
(6,14),-2.0778 # DEPENDENCYPART_ARC
(7,1),-3.43186 # DEPENDENCYPART_ARC
(7,2),-3.645 # DEPENDENCYPART_ARC
(7,3),-3.32224 # DEPENDENCYPART_ARC
(7,4),-2.50655 # DEPENDENCYPART_ARC
(7,5),-2.62836 # DEPENDENCYPART_ARC
(7,6),-0.50241 # DEPENDENCYPART_ARC
(7,8),-1.53027 # DEPENDENCYPART_ARC
(7,9),-1.945 # DEPENDENCYPART_ARC
(7,10),-2.59749 # DEPENDENCYPART_ARC
(7,11),-2.56297 # DEPENDENCYPART_ARC
(7,12),-2.54386 # DEPENDENCYPART_ARC
(7,13),-2.21867 # DEPENDENCYPART_ARC
(7,14),-2.52101 # DEPENDENCYPART_ARC
(7,16),-2.55118 # DEPENDENCYPART_ARC
(7,19),-2.16133 # DEPENDENCYPART_ARC
(9,5),-2.22903 # DEPENDENCYPART_ARC
(9,6),-1.79708 # DEPENDENCYPART_ARC
(9,7),-2.23519 # DEPENDENCYPART_ARC
(9,8),-1.14428 # DEPENDENCYPART_ARC
(9,10),-0.734074 # DEPENDENCYPART_ARC
(9,11),0.07193 # DEPENDENCYPART_ARC
(9,12),-1.1805 # DEPENDENCYPART_ARC
(9,13),0.836912 # DEPENDENCYPART_ARC
(9,14),-1.64126 # DEPENDENCYPART_ARC
(9,15),-1.60357 # DEPENDENCYPART_ARC
(9,16),-0.926026 # DEPENDENCYPART_ARC
(9,17),-1.74894 # DEPENDENCYPART_ARC
(9,18),-0.955596 # DEPENDENCYPART_ARC
(9,19),-1.06676 # DEPENDENCYPART_ARC
(9,20),-1.05781 # DEPENDENCYPART_ARC
(9,24),-1.87686 # DEPENDENCYPART_ARC
(10,7),-2.534 # DEPENDENCYPART_ARC
(10,9),-1.74252 # DEPENDENCYPART_ARC
(11,6),-1.79547 # DEPENDENCYPART_ARC
(11,7),-1.95388 # DEPENDENCYPART_ARC
(11,8),-1.81636 # DEPENDENCYPART_ARC
(11,9),-1.40537 # DEPENDENCYPART_ARC
(11,10),1.42992 # DEPENDENCYPART_ARC
(11,12),-0.791335 # DEPENDENCYPART_ARC
(11,13),-1.03606 # DEPENDENCYPART_ARC
(11,14),-1.08405 # DEPENDENCYPART_ARC
(11,16),-1.15448 # DEPENDENCYPART_ARC
(11,18),-1.76219 # DEPENDENCYPART_ARC
(11,19),-1.60512 # DEPENDENCYPART_ARC
(11,20),-2.10312 # DEPENDENCYPART_ARC
(11,24),-2.30107 # DEPENDENCYPART_ARC
(12,9),-1.31479 # DEPENDENCYPART_ARC
(12,10),-1.56767 # DEPENDENCYPART_ARC
(12,11),-1.30046 # DEPENDENCYPART_ARC
(12,13),-1.06215 # DEPENDENCYPART_ARC
(12,14),-1.47682 # DEPENDENCYPART_ARC
(13,1),-0.725012 # DEPENDENCYPART_ARC
(13,2),-2.76797 # DEPENDENCYPART_ARC
(13,3),-1.26874 # DEPENDENCYPART_ARC
(13,4),-1.33311 # DEPENDENCYPART_ARC
(13,5),-1.75967 # DEPENDENCYPART_ARC
(13,6),-1.4059 # DEPENDENCYPART_ARC
(13,7),-0.485887 # DEPENDENCYPART_ARC
(13,8),-0.742006 # DEPENDENCYPART_ARC
(13,9),-1.01515 # DEPENDENCYPART_ARC
(13,10),-0.826733 # DEPENDENCYPART_ARC
(13,11),0.327235 # DEPENDENCYPART_ARC
(13,12),0.692072 # DEPENDENCYPART_ARC
(13,14),0.808613 # DEPENDENCYPART_ARC
(13,15),-0.0981246 # DEPENDENCYPART_ARC
(13,16),-0.183138 # DEPENDENCYPART_ARC
(13,17),-1.1125 # DEPENDENCYPART_ARC
(13,18),-0.938155 # DEPENDENCYPART_ARC
(13,19),-0.575929 # DEPENDENCYPART_ARC
(13,20),-1.27746 # DEPENDENCYPART_ARC
(13,23),-1.84167 # DEPENDENCYPART_ARC
(13,24),-1.54433 # DEPENDENCYPART_ARC
(13,27),-3.16504 # DEPENDENCYPART_ARC
(13,28),-3.0543 # DEPENDENCYPART_ARC
(13,29),-0.987157 # DEPENDENCYPART_ARC
(14,11),-2.13657 # DEPENDENCYPART_ARC
(14,12),-1.67932 # DEPENDENCYPART_ARC
(14,15),2.006 # DEPENDENCYPART_ARC
(14,16),-0.573792 # DEPENDENCYPART_ARC
(14,17),-0.793577 # DEPENDENCYPART_ARC
(14,18),-1.53422 # DEPENDENCYPART_ARC
(15,1),-2.45271 # DEPENDENCYPART_ARC
(15,3),-2.0936 # DEPENDENCYPART_ARC
(15,5),-2.16387 # DEPENDENCYPART_ARC
(15,6),-1.74998 # DEPENDENCYPART_ARC
(15,7),-1.73787 # DEPENDENCYPART_ARC
(15,8),-2.02991 # DEPENDENCYPART_ARC
(15,9),-1.19621 # DEPENDENCYPART_ARC
(15,10),-1.4482 # DEPENDENCYPART_ARC
(15,11),-1.36572 # DEPENDENCYPART_ARC
(15,12),-1.06728 # DEPENDENCYPART_ARC
(15,13),-1.37091 # DEPENDENCYPART_ARC
(15,14),-0.715029 # DEPENDENCYPART_ARC
(15,16),0.869182 # DEPENDENCYPART_ARC
(15,17),0.0961745 # DEPENDENCYPART_ARC
(15,18),-0.924403 # DEPENDENCYPART_ARC
(15,19),-0.910773 # DEPENDENCYPART_ARC
(15,20),-0.458331 # DEPENDENCYPART_ARC
(15,22),-1.10281 # DEPENDENCYPART_ARC
(15,23),-0.791638 # DEPENDENCYPART_ARC
(15,24),-0.944514 # DEPENDENCYPART_ARC
(15,25),-1.89935 # DEPENDENCYPART_ARC
(15,26),-1.92562 # DEPENDENCYPART_ARC
(15,27),-1.96492 # DEPENDENCYPART_ARC
(15,28),-1.88265 # DEPENDENCYPART_ARC
(15,29),-1.67057 # DEPENDENCYPART_ARC
(16,17),1.22544 # DEPENDENCYPART_ARC
(16,18),-1.09679 # DEPENDENCYPART_ARC
(16,20),-0.390471 # DEPENDENCYPART_ARC
(16,23),-2.057 # DEPENDENCYPART_ARC
(16,24),-1.68806 # DEPENDENCYPART_ARC
(17,12),-1.90759 # DEPENDENCYPART_ARC
(17,16),-0.911469 # DEPENDENCYPART_ARC
(17,18),-1.06387 # DEPENDENCYPART_ARC
(17,19),-1.3128 # DEPENDENCYPART_ARC
(17,20),-0.977897 # DEPENDENCYPART_ARC
(17,22),-1.75553 # DEPENDENCYPART_ARC
(17,23),-1.84202 # DEPENDENCYPART_ARC
(17,24),-1.68501 # DEPENDENCYPART_ARC
(17,26),-2.73075 # DEPENDENCYPART_ARC
(17,27),-2.76731 # DEPENDENCYPART_ARC
(17,28),-2.86345 # DEPENDENCYPART_ARC
(17,29),-2.46503 # DEPENDENCYPART_ARC
(19,17),-2.38033 # DEPENDENCYPART_ARC
(20,1),-0.197601 # DEPENDENCYPART_ARC
(20,2),-2.27452 # DEPENDENCYPART_ARC
(20,3),-1.01005 # DEPENDENCYPART_ARC
(20,4),-2.73377 # DEPENDENCYPART_ARC
(20,5),-2.0198 # DEPENDENCYPART_ARC
(20,6),-2.62847 # DEPENDENCYPART_ARC
(20,7),-2.35518 # DEPENDENCYPART_ARC
(20,8),-3.61913 # DEPENDENCYPART_ARC
(20,9),-2.07398 # DEPENDENCYPART_ARC
(20,10),-1.96402 # DEPENDENCYPART_ARC
(20,11),-1.6128 # DEPENDENCYPART_ARC
(20,12),-2.25027 # DEPENDENCYPART_ARC
(20,13),-1.05368 # DEPENDENCYPART_ARC
(20,14),-1.96711 # DEPENDENCYPART_ARC
(20,15),-1.78497 # DEPENDENCYPART_ARC
(20,16),-1.96874 # DEPENDENCYPART_ARC
(20,17),-1.32924 # DEPENDENCYPART_ARC
(20,18),-0.315432 # DEPENDENCYPART_ARC
(20,19),-0.0853812 # DEPENDENCYPART_ARC
(20,21),-0.880186 # DEPENDENCYPART_ARC
(20,22),-0.396058 # DEPENDENCYPART_ARC
(20,23),-0.385093 # DEPENDENCYPART_ARC
(20,24),-0.759475 # DEPENDENCYPART_ARC
(20,25),-1.9486 # DEPENDENCYPART_ARC
(20,26),-2.22081 # DEPENDENCYPART_ARC
(20,27),-2.31603 # DEPENDENCYPART_ARC
(20,28),-2.12124 # DEPENDENCYPART_ARC
(20,29),0.614948 # DEPENDENCYPART_ARC
(21,22),-0.955029 # DEPENDENCYPART_ARC
(22,21),0.237599 # DEPENDENCYPART_ARC
(22,24),-1.23765 # DEPENDENCYPART_ARC
(22,26),-2.20299 # DEPENDENCYPART_ARC
(22,27),-2.35991 # DEPENDENCYPART_ARC
(23,3),-2.56283 # DEPENDENCYPART_ARC
(23,10),-1.4145 # DEPENDENCYPART_ARC
(23,17),-2.26224 # DEPENDENCYPART_ARC
(23,19),-1.56757 # DEPENDENCYPART_ARC
(23,20),-1.31097 # DEPENDENCYPART_ARC
(23,21),1.17643 # DEPENDENCYPART_ARC
(23,22),2.00836 # DEPENDENCYPART_ARC
(23,24),0.118177 # DEPENDENCYPART_ARC
(23,25),-1.70907 # DEPENDENCYPART_ARC
(23,26),-1.57589 # DEPENDENCYPART_ARC
(23,27),-1.79108 # DEPENDENCYPART_ARC
(23,28),-2.04123 # DEPENDENCYPART_ARC
(24,23),-1.63479 # DEPENDENCYPART_ARC
(24,25),-0.255927 # DEPENDENCYPART_ARC
(24,26),-0.557755 # DEPENDENCYPART_ARC
(24,27),-1.25198 # DEPENDENCYPART_ARC
(24,28),-1.58159 # DEPENDENCYPART_ARC
(25,26),-1.70591 # DEPENDENCYPART_ARC
(25,27),-2.28121 # DEPENDENCYPART_ARC
(25,28),-2.65163 # DEPENDENCYPART_ARC
(26,25),-0.764139 # DEPENDENCYPART_ARC
(26,27),-1.64168 # DEPENDENCYPART_ARC
(26,28),-1.91663 # DEPENDENCYPART_ARC
(27,22),-1.21533 # DEPENDENCYPART_ARC
(27,23),-1.55069 # DEPENDENCYPART_ARC
(27,25),0.375822 # DEPENDENCYPART_ARC
(27,26),0.413421 # DEPENDENCYPART_ARC
(27,28),-0.0838365 # DEPENDENCYPART_ARC
(28,6),-4.46748 # DEPENDENCYPART_ARC
(28,22),-2.24095 # DEPENDENCYPART_ARC
(28,23),-1.99668 # DEPENDENCYPART_ARC
(28,25),-1.33845 # DEPENDENCYPART_ARC
(28,26),-0.897509 # DEPENDENCYPART_ARC
(28,27),-0.330915 # DEPENDENCYPART_ARC
(28,29),-0.684562 # DEPENDENCYPART_ARC
(29,28),-2.38041 # DEPENDENCYPART_ARC
(0,3),(0,13),-1.5142 # DEPENDENCYPART_SIBL
(0,3),(0,20),-2.29766 # DEPENDENCYPART_SIBL
(0,13),(0,20),-2.27159 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0532002 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0489726 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.000608454 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00274778 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0445175 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.011445 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0473781 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.358727 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.16054 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.175332 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.201627 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0577855 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.214149 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0941163 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0310578 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0915379 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.1124 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0882992 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0173179 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.104995 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.126684 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.060355 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0770082 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0689396 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.167932 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0612843 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.1124 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.193532 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0592555 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.121398 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.206796 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.20085 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0793174 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0246786 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0240029 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0207559 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.147404 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0241065 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0905778 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.128957 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0178577 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0769145 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0662075 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0390432 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0893573 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0207559 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0645263 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0694391 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0852088 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0415272 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.411948 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.152954 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0464936 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0213809 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.392745 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0499885 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.012868 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0442062 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0634056 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.294774 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.422169 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.125507 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.440839 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0213809 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.022382 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0295604 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.025417 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0404049 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.257175 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.324443 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0247717 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.152144 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.093745 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.337046 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.148702 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0794296 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.237853 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.343715 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0831845 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.339515 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0247717 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0505655 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0404434 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.334145 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.108536 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00585159 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0730889 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.106413 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0340473 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0521435 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0530174 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0259074 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0159911 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0625279 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0850011 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0689947 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0730889 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0357725 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0688501 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0495652 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.0667232 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00961175 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0225586 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.083203 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.225785 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0872943 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0866881 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.106247 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0130141 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0299216 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0161104 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00961175 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0760954 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.067188 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.219728 # DEPENDENCYPART_SIBL
(3,7),(3,29),0.0121625 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.173029 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0289365 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0252525 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0941271 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.27459 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0646761 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.220668 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.552478 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.231132 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.145513 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0882488 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.12239 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0762262 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.00149823 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.170515 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.234403 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.119216 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.164694 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.267883 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0571052 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.104127 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.037705 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0478434 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0295836 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.153899 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.233087 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.00358895 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.141843 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0983292 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0685481 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.202149 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.016884 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0494704 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0231645 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.10146 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.048539 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0241861 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.139335 # DEPENDENCYPART_SIBL
(3,10),(3,29),-0.118 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0627644 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0428132 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.100216 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0192951 # DEPENDENCYPART_SIBL
(3,11),(3,16),-9.39166e-05 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0164477 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00700745 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00989303 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0477089 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.201929 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.0296669 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0966591 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.198016 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.192528 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.015546 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.205185 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.00484973 # DEPENDENCYPART_SIBL
(3,12),(3,19),1.6821e-05 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.09651 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0977897 # DEPENDENCYPART_SIBL
(3,12),(3,29),-0.00537078 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.344856 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0943827 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0042629 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0814362 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0109615 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0367391 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.430208 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.207088 # DEPENDENCYPART_SIBL
(3,13),(3,29),0.0175075 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.103477 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.132533 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.109015 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0416604 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0484851 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0280387 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0675996 # DEPENDENCYPART_SIBL
(3,14),(3,29),0.0373309 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0459943 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.367446 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0364248 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0419401 # DEPENDENCYPART_SIBL
