# _root_ But most of them , led by Morgan Stanley & Co. , moved back in earlier this year .
#goldHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
#predictedHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
(10,8),-0.0826541 # DEPENDENCYPART_ARC
(10,9),2.39853 # DEPENDENCYPART_ARC
(10,11),2.06653 # DEPENDENCYPART_ARC
(10,12),-0.650741 # DEPENDENCYPART_ARC
(10,13),-1.62024 # DEPENDENCYPART_ARC
(10,14),-1.75469 # DEPENDENCYPART_ARC
(10,15),-1.8347 # DEPENDENCYPART_ARC
(10,16),-1.86992 # DEPENDENCYPART_ARC
(10,18),-2.246 # DEPENDENCYPART_ARC
(10,19),-1.96468 # DEPENDENCYPART_ARC
(11,5),-2.8381 # DEPENDENCYPART_ARC
(11,6),-2.2507 # DEPENDENCYPART_ARC
(11,8),-1.2106 # DEPENDENCYPART_ARC
(11,9),-1.23 # DEPENDENCYPART_ARC
(11,10),-0.299425 # DEPENDENCYPART_ARC
(11,12),-0.527112 # DEPENDENCYPART_ARC
(11,13),-2.28634 # DEPENDENCYPART_ARC
(11,14),-2.3471 # DEPENDENCYPART_ARC
(11,15),-2.50928 # DEPENDENCYPART_ARC
(11,18),-2.26331 # DEPENDENCYPART_ARC
(13,1),-0.789491 # DEPENDENCYPART_ARC
(13,2),-0.865507 # DEPENDENCYPART_ARC
(13,3),-1.09731 # DEPENDENCYPART_ARC
(13,4),-1.70323 # DEPENDENCYPART_ARC
(13,5),-1.91195 # DEPENDENCYPART_ARC
(13,6),-1.21174 # DEPENDENCYPART_ARC
(13,7),-1.17983 # DEPENDENCYPART_ARC
(13,8),-1.61963 # DEPENDENCYPART_ARC
(13,9),-1.49339 # DEPENDENCYPART_ARC
(13,10),-1.17992 # DEPENDENCYPART_ARC
(13,11),-1.17333 # DEPENDENCYPART_ARC
(13,12),0.722192 # DEPENDENCYPART_ARC
(13,14),1.04774 # DEPENDENCYPART_ARC
(13,15),0.068453 # DEPENDENCYPART_ARC
(13,16),-0.379527 # DEPENDENCYPART_ARC
(13,17),-0.751597 # DEPENDENCYPART_ARC
(13,18),-0.174188 # DEPENDENCYPART_ARC
(13,19),0.26687 # DEPENDENCYPART_ARC
(14,1),-1.60101 # DEPENDENCYPART_ARC
(14,3),-1.93717 # DEPENDENCYPART_ARC
(14,7),-2.22694 # DEPENDENCYPART_ARC
(14,10),-1.97979 # DEPENDENCYPART_ARC
(14,12),-1.48691 # DEPENDENCYPART_ARC
(14,15),0.165934 # DEPENDENCYPART_ARC
(14,16),-0.779263 # DEPENDENCYPART_ARC
(14,18),-1.15621 # DEPENDENCYPART_ARC
(14,19),-1.15714 # DEPENDENCYPART_ARC
(15,1),-1.69222 # DEPENDENCYPART_ARC
(15,5),-2.61167 # DEPENDENCYPART_ARC
(15,7),-2.22298 # DEPENDENCYPART_ARC
(15,8),-2.04297 # DEPENDENCYPART_ARC
(15,10),-2.12341 # DEPENDENCYPART_ARC
(15,12),-1.61512 # DEPENDENCYPART_ARC
(15,14),-0.421781 # DEPENDENCYPART_ARC
(15,16),0.181047 # DEPENDENCYPART_ARC
(15,17),-0.833708 # DEPENDENCYPART_ARC
(15,18),-1.0475 # DEPENDENCYPART_ARC
(15,19),-1.15909 # DEPENDENCYPART_ARC
(16,15),-0.314023 # DEPENDENCYPART_ARC
(16,18),-0.942447 # DEPENDENCYPART_ARC
(16,19),-1.21637 # DEPENDENCYPART_ARC
(17,19),-1.27335 # DEPENDENCYPART_ARC
(18,10),-1.90048 # DEPENDENCYPART_ARC
(18,13),-1.40734 # DEPENDENCYPART_ARC
(18,14),-1.12234 # DEPENDENCYPART_ARC
(18,15),-0.954491 # DEPENDENCYPART_ARC
(18,16),-0.21446 # DEPENDENCYPART_ARC
(18,17),1.30964 # DEPENDENCYPART_ARC
(18,19),-0.355228 # DEPENDENCYPART_ARC
(19,18),-0.677389 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0360324 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.14757 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0657853 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.147921 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.112234 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0504481 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.113366 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.144934 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.226705 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.132338 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00874649 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.024745 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0444855 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0500917 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.133559 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0116652 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0315092 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0377827 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0498935 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00391087 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00702841 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.00241759 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.102115 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.00733803 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0339692 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.134775 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0193081 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00941313 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0114518 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0215747 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0277446 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00603897 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0275581 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.168924 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0138554 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0180038 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.066287 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0540834 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.168924 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0188123 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.000532722 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0426705 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00646225 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.111116 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00958844 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.147558 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0131094 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0154422 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.119353 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.001035 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.147558 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0164338 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0253166 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0585939 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0286109 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0240672 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0112323 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0259965 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0176341 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0359128 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.048315 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0112323 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0255469 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00319818 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0688638 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0082143 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0159865 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0165394 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0459052 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0246249 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0472184 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0802035 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0107942 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0876536 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0587094 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0907603 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.00297112 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0232817 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0507343 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0818194 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.075282 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0511054 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0108716 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0129308 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00704772 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0419672 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0354892 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.064538 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00480454 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.02847 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0241139 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0347697 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0292893 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0536566 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.146508 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00255466 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0480989 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0196077 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0222751 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0098633 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0419129 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0331687 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0303489 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00932498 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0228279 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0134934 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0196686 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0107942 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0876536 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0587094 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0907603 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00297112 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0109042 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0129765 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00708035 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0509824 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00766787 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0121627 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0218479 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.00222383 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0220043 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0098781 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0365114 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0124476 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00742762 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0184486 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0141388 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0236285 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0393863 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0403003 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0396271 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.000872308 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0439947 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.000766841 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0346017 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0183916 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0597918 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0446822 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.117214 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0568409 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.016058 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.11804 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0264333 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0277756 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0600174 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0354745 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.1239 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0355114 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0476206 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0657538 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0441996 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0114419 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0234342 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.130308 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0511585 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0525697 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.053892 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0515882 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0157753 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.022533 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00567752 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0443597 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0359224 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00423586 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0463608 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0218268 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0207141 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0373211 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0014332 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.183561 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0059856 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0495394 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0526952 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.042415 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0452434 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00638497 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00663424 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0569958 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00911917 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00741491 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0159853 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0154028 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00791901 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0223675 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0888976 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0517974 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0730648 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0619401 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0224127 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0274999 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00457816 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0330904 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0348284 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0234506 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0785071 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.070584 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0286027 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0338593 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00183721 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0188326 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0434723 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0348615 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0432684 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0256582 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0227986 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00487564 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00981219 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0164538 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0482269 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00249604 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0398826 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00277794 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.018973 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0490872 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0301265 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.032424 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0310765 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0216113 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0126033 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.00403147 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0137136 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.00775049 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.00852956 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0461431 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0101564 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0772573 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.0753785 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.013451 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.0288929 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0476614 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0373377 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.02225 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0703332 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.070537 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0327526 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0781701 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0940388 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0490595 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0452548 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0770225 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0609326 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00462139 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.145899 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.148164 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.107324 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.165479 # DEPENDENCYPART_SIBL
(7,5),(7,12),1.03256 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.141502 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0728577 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0639358 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0630767 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0917493 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0920388 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0260376 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0920679 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.131813 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0224561 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0532923 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0611624 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0634443 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.118258 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.136793 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.127318 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00745301 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0246652 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0394416 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0429546 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0273843 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.13582 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.1282 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00753142 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0246353 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0394413 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.046876 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0273841 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0734991 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.014814 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0207975 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0315275 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.04435 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0334225 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0444884 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0236289 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0362876 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0414966 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0242304 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0127512 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.027634 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.000957443 # DEPENDENCYPART_SIBL
