# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(3,5),(3,9),-0.0565657 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0520574 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.142147 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0366415 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.111801 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.129414 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.109325 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.111801 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.075605 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0227883 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0501151 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0514673 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0702722 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.160849 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0614009 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0584194 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.143988 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.188998 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0584194 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.14092 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.251302 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.304405 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.265034 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.254283 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.21443 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0638205 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.357209 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.255224 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0638205 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.265333 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.133064 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.126197 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.160802 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0457607 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.109317 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.104827 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.147025 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.109317 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.108745 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0768826 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0126612 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0500984 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.207259 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0242296 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.120403 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.207259 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0179733 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.152728 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.014334 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0222965 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0643657 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0898927 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0222965 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.0702848 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0260804 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.118273 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0529698 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.065901 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.118273 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0725043 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.109072 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0916237 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0653671 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.109072 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.402872 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0376497 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.141639 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.00239937 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.151262 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0586583 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.147039 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.077927 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.0863399 # DEPENDENCYPART_SIBL
(3,21),(3,25),-0.159222 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.151262 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0392015 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0361447 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0281095 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0671775 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0376367 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0363211 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.253748 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0212486 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0243018 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0523722 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0442439 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00218529 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.101301 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0543357 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.060194 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.238964 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.177264 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0575708 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.242133 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.118685 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0456316 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0771364 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.269847 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0407426 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0622922 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.191452 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.203971 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0387982 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0240227 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0124839 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0206171 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.101684 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0645503 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0230333 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0139237 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00266494 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.041703 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.02544 # DEPENDENCYPART_SIBL
