# _root_ Laboring in blue and gray overalls , they are supposed to concentrate on cleaning out crevices , and not strain their eyes looking for diamonds .
#goldHeads=9,1,4,6,4,2,9,9,0,9,12,18,12,13,14,14,18,10,18,18,22,20,20,23,24,9,
#predictedHeads=18,1,4,6,4,2,9,9,18,9,12,10,12,13,14,14,18,0,20,18,22,20,20,23,24,18,
(9,3),-1.74444 # DEPENDENCYPART_ARC
(9,4),-1.17536 # DEPENDENCYPART_ARC
(9,5),-1.62462 # DEPENDENCYPART_ARC
(9,6),-1.74846 # DEPENDENCYPART_ARC
(9,7),-0.405306 # DEPENDENCYPART_ARC
(9,8),0.903393 # DEPENDENCYPART_ARC
(9,10),1.28705 # DEPENDENCYPART_ARC
(9,11),-0.847648 # DEPENDENCYPART_ARC
(9,12),-0.657032 # DEPENDENCYPART_ARC
(9,13),-1.04764 # DEPENDENCYPART_ARC
(9,14),-1.06341 # DEPENDENCYPART_ARC
(9,16),-1.6084 # DEPENDENCYPART_ARC
(9,17),-1.71889 # DEPENDENCYPART_ARC
(9,18),-1.09385 # DEPENDENCYPART_ARC
(9,19),-2.27531 # DEPENDENCYPART_ARC
(9,23),-2.1031 # DEPENDENCYPART_ARC
(9,26),-1.58759 # DEPENDENCYPART_ARC
(10,2),-1.99125 # DEPENDENCYPART_ARC
(10,3),-2.26538 # DEPENDENCYPART_ARC
(10,4),-1.95638 # DEPENDENCYPART_ARC
(10,6),-2.51352 # DEPENDENCYPART_ARC
(10,7),-1.59925 # DEPENDENCYPART_ARC
(10,9),-0.767408 # DEPENDENCYPART_ARC
(10,11),0.152134 # DEPENDENCYPART_ARC
(10,12),-0.0184678 # DEPENDENCYPART_ARC
(10,13),-0.909374 # DEPENDENCYPART_ARC
(10,14),-1.13531 # DEPENDENCYPART_ARC
(10,16),-1.62538 # DEPENDENCYPART_ARC
(10,17),-1.44224 # DEPENDENCYPART_ARC
(10,18),-1.27336 # DEPENDENCYPART_ARC
(10,19),-2.35455 # DEPENDENCYPART_ARC
(10,20),-2.08643 # DEPENDENCYPART_ARC
(10,23),-1.93795 # DEPENDENCYPART_ARC
(10,26),-1.89893 # DEPENDENCYPART_ARC
(11,12),-0.352178 # DEPENDENCYPART_ARC
(11,13),-1.37638 # DEPENDENCYPART_ARC
(11,14),-1.56326 # DEPENDENCYPART_ARC
(11,16),-1.9392 # DEPENDENCYPART_ARC
(12,2),-1.77732 # DEPENDENCYPART_ARC
(12,6),-2.3233 # DEPENDENCYPART_ARC
(12,7),-1.52214 # DEPENDENCYPART_ARC
(12,8),-1.51291 # DEPENDENCYPART_ARC
(12,9),-1.46332 # DEPENDENCYPART_ARC
(12,11),1.29766 # DEPENDENCYPART_ARC
(12,13),0.748299 # DEPENDENCYPART_ARC
(12,14),-0.382637 # DEPENDENCYPART_ARC
(12,15),-0.944078 # DEPENDENCYPART_ARC
(12,16),-1.22083 # DEPENDENCYPART_ARC
(12,17),-1.53936 # DEPENDENCYPART_ARC
(12,18),-1.10949 # DEPENDENCYPART_ARC
(12,19),-2.11736 # DEPENDENCYPART_ARC
(12,20),-2.24361 # DEPENDENCYPART_ARC
(12,22),-2.61411 # DEPENDENCYPART_ARC
(12,23),-2.11946 # DEPENDENCYPART_ARC
(12,24),-2.15729 # DEPENDENCYPART_ARC
(12,26),-1.9625 # DEPENDENCYPART_ARC
(13,11),-1.4401 # DEPENDENCYPART_ARC
(13,14),0.575728 # DEPENDENCYPART_ARC
(13,15),-0.785438 # DEPENDENCYPART_ARC
(13,16),-0.985032 # DEPENDENCYPART_ARC
(13,18),-1.51849 # DEPENDENCYPART_ARC
(13,19),-1.45103 # DEPENDENCYPART_ARC
(13,20),-1.74486 # DEPENDENCYPART_ARC
(13,22),-2.54433 # DEPENDENCYPART_ARC
(13,23),-1.84105 # DEPENDENCYPART_ARC
(14,8),-2.82013 # DEPENDENCYPART_ARC
(14,13),-0.622046 # DEPENDENCYPART_ARC
(14,15),0.664398 # DEPENDENCYPART_ARC
(14,16),0.097059 # DEPENDENCYPART_ARC
(14,17),-0.90965 # DEPENDENCYPART_ARC
(14,18),-1.00505 # DEPENDENCYPART_ARC
(14,19),-1.56527 # DEPENDENCYPART_ARC
(14,20),-1.70416 # DEPENDENCYPART_ARC
(14,22),-2.10496 # DEPENDENCYPART_ARC
(14,23),-1.98783 # DEPENDENCYPART_ARC
(14,24),-2.02864 # DEPENDENCYPART_ARC
(14,26),-1.83916 # DEPENDENCYPART_ARC
(15,13),-0.899385 # DEPENDENCYPART_ARC
(15,14),0.0717092 # DEPENDENCYPART_ARC
(15,16),-0.38726 # DEPENDENCYPART_ARC
(16,2),-2.34173 # DEPENDENCYPART_ARC
(16,10),-1.48177 # DEPENDENCYPART_ARC
(16,11),-1.75794 # DEPENDENCYPART_ARC
(16,12),-1.34815 # DEPENDENCYPART_ARC
(16,13),-1.21739 # DEPENDENCYPART_ARC
(16,14),-0.606478 # DEPENDENCYPART_ARC
(16,17),0.0617027 # DEPENDENCYPART_ARC
(16,18),-1.51706 # DEPENDENCYPART_ARC
(16,19),-1.55543 # DEPENDENCYPART_ARC
(16,20),-1.91028 # DEPENDENCYPART_ARC
(16,22),-1.72843 # DEPENDENCYPART_ARC
(16,24),-1.74938 # DEPENDENCYPART_ARC
(16,25),-1.69822 # DEPENDENCYPART_ARC
(18,1),-2.11194 # DEPENDENCYPART_ARC
(18,2),-0.633363 # DEPENDENCYPART_ARC
(18,3),-1.74076 # DEPENDENCYPART_ARC
(18,4),-1.06639 # DEPENDENCYPART_ARC
(18,5),-1.71004 # DEPENDENCYPART_ARC
(18,6),-1.65513 # DEPENDENCYPART_ARC
(18,7),-1.67396 # DEPENDENCYPART_ARC
(18,8),-1.55917 # DEPENDENCYPART_ARC
(18,9),-1.72598 # DEPENDENCYPART_ARC
(18,10),-1.69677 # DEPENDENCYPART_ARC
(18,11),-1.22378 # DEPENDENCYPART_ARC
(18,12),-1.28228 # DEPENDENCYPART_ARC
(18,13),-1.03899 # DEPENDENCYPART_ARC
(18,14),-0.825598 # DEPENDENCYPART_ARC
(18,16),-0.859935 # DEPENDENCYPART_ARC
(18,17),1.48189 # DEPENDENCYPART_ARC
(18,19),0.528361 # DEPENDENCYPART_ARC
(18,20),0.465592 # DEPENDENCYPART_ARC
(18,22),-1.13519 # DEPENDENCYPART_ARC
(18,23),-0.973111 # DEPENDENCYPART_ARC
(18,24),-0.861376 # DEPENDENCYPART_ARC
(18,25),-1.70252 # DEPENDENCYPART_ARC
(18,26),0.22489 # DEPENDENCYPART_ARC
(19,4),-2.20165 # DEPENDENCYPART_ARC
(19,20),-0.571012 # DEPENDENCYPART_ARC
(19,22),-1.62542 # DEPENDENCYPART_ARC
(19,24),-1.74385 # DEPENDENCYPART_ARC
(19,25),-1.90817 # DEPENDENCYPART_ARC
(20,6),-1.75778 # DEPENDENCYPART_ARC
(20,9),-1.83823 # DEPENDENCYPART_ARC
(20,12),-1.76042 # DEPENDENCYPART_ARC
(20,13),-1.88266 # DEPENDENCYPART_ARC
(20,16),-1.97195 # DEPENDENCYPART_ARC
(20,17),-1.2943 # DEPENDENCYPART_ARC
(20,19),0.469511 # DEPENDENCYPART_ARC
(20,21),0.35967 # DEPENDENCYPART_ARC
(20,22),-0.00127186 # DEPENDENCYPART_ARC
(20,23),-0.333838 # DEPENDENCYPART_ARC
(20,24),-1.04071 # DEPENDENCYPART_ARC
(20,25),-1.1951 # DEPENDENCYPART_ARC
(20,26),-0.512624 # DEPENDENCYPART_ARC
(22,19),-1.56117 # DEPENDENCYPART_ARC
(22,20),-1.00585 # DEPENDENCYPART_ARC
(22,21),0.537579 # DEPENDENCYPART_ARC
(22,23),-0.0228487 # DEPENDENCYPART_ARC
(22,24),-0.774892 # DEPENDENCYPART_ARC
(22,25),-1.29262 # DEPENDENCYPART_ARC
(23,9),-2.50505 # DEPENDENCYPART_ARC
(23,16),-2.78012 # DEPENDENCYPART_ARC
(23,22),-0.225856 # DEPENDENCYPART_ARC
(23,24),0.768106 # DEPENDENCYPART_ARC
(23,25),-0.670571 # DEPENDENCYPART_ARC
(23,26),-0.0600742 # DEPENDENCYPART_ARC
(24,22),-1.5261 # DEPENDENCYPART_ARC
(24,25),0.433321 # DEPENDENCYPART_ARC
(25,19),-1.99292 # DEPENDENCYPART_ARC
(25,21),-1.691 # DEPENDENCYPART_ARC
(25,22),-1.56051 # DEPENDENCYPART_ARC
(25,23),-1.00168 # DEPENDENCYPART_ARC
(25,24),-0.121473 # DEPENDENCYPART_ARC
(25,26),-0.331413 # DEPENDENCYPART_ARC
(26,24),-1.0029 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0302072 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.131702 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0602935 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.163795 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.164973 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.164275 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.164277 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.164275 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.164382 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0700436 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0170248 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.110671 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.101757 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.101755 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.10176 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0700436 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.101755 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0984665 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0609008 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.132401 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.132262 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.132251 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.132251 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.113963 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.132251 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.132779 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.100359 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.101667 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0993109 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.101478 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0912498 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.101478 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0984371 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.177926 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.177201 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.177203 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.139941 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.177201 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.177308 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.165757 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.165759 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.132869 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.165757 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.165864 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.164277 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.164275 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.164382 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.164275 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.164382 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.132251 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.132779 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.164382 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0321444 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0277477 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.032161 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0129124 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0182943 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0262161 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.011487 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0100547 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0182943 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0277477 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0122212 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0233174 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0196549 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0395883 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0210009 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0202061 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0146515 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00131171 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.000118949 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0202061 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0196549 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.00204757 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0102075 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0112126 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0147999 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00127222 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00954514 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00128124 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.00273321 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00127222 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0457488 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.000566694 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.00496754 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0206364 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0203278 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0143196 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.000979769 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.000450885 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0203278 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0194479 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00171563 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.00987644 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0100823 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00701515 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0102176 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00424294 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0100823 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0349232 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0107446 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.00651623 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00422217 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0370958 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0390006 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0319443 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.00198852 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.036834 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.00520077 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0513903 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0492342 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00210727 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0850497 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0514007 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.00911001 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0230488 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.00602697 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0606491 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.0252153 # DEPENDENCYPART_SIBL
(1,10),(1,26),0.00899588 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.00418209 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.056637 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0205766 # DEPENDENCYPART_SIBL
(1,12),(1,26),0.00649133 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.00198852 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.036834 # DEPENDENCYPART_SIBL
(1,17),(1,26),0.00520077 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.000566694 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.00496754 # DEPENDENCYPART_SIBL
(1,20),(1,26),0.00633798 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0416074 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0100191 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0358561 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0778593 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.113387 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.072637 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0352847 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0682588 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0200445 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0123963 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0753656 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0213998 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0682258 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0202532 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00417894 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0105754 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0271126 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0123774 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0627933 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0762095 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.084326 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.382916 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0237321 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.376062 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.333486 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.340693 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0348592 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.340691 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0237321 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0130995 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0117023 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0405295 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0464623 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.167633 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0472141 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.066698 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00628191 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00979687 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.254902 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00979688 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0472141 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0764246 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0252643 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.433335 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0150633 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00178154 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0559693 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0692117 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0650334 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00784289 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0650345 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00178154 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00574349 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0486027 # DEPENDENCYPART_SIBL
(4,5),(4,6),-5.44834e-05 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000949588 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00301588 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0109816 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00885154 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00904435 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00885154 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.000949588 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0163804 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.108935 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00708256 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00716321 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0181719 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0133537 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0245785 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0155213 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00708256 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0257968 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0433798 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0388086 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00266621 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00597053 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0753361 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00597053 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.074718 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.000685068 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00925661 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0225433 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0183575 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0630282 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0183596 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0574089 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0022515 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0989269 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0392364 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0421043 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0392385 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00623577 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0190027 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0170903 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0402371 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0363311 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.00590694 # DEPENDENCYPART_SIBL
