# _root_ `` I do n't think anyone is now immune from takeover , '' said Robert Schneider of Duff & Phelps Inc. , Chicago .
#goldHeads=14,3,14,3,3,7,5,7,7,9,10,14,14,0,16,14,16,19,21,19,17,21,21,14,
#predictedHeads=14,3,14,3,3,7,5,9,7,9,10,14,14,0,16,14,16,19,21,19,17,21,21,14,
(0,3),(0,14),-0.193243 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.061306 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.163012 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.189017 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0603907 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.204198 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0697312 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0730294 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00591137 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.127782 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.090801 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0872244 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0473119 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0679034 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0194191 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0547392 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00087969 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0443413 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.137869 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.530124 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0793854 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0405797 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.137869 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0618435 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.105529 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0742609 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0449027 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0814056 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.103372 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0390282 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00590224 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0477966 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0741259 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0798874 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0616534 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0110862 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0741259 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.101386 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.136024 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.029541 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.062064 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0283068 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.059554 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0253451 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.028966 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0613941 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0106732 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.126244 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0141636 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0613941 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00607891 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0355338 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.022791 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0586449 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0522278 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0435825 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0348502 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0384241 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00576645 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.025636 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0713036 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0384241 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0135544 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00994024 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0339962 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0259748 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0422801 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0227695 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00163878 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0207767 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00776064 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0363651 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00163878 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.00177214 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0679304 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0633038 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0731362 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0496027 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00393747 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0131269 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0383554 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0871713 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.00393747 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.00592463 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00555727 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.018828 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0333086 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0364365 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0485633 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0419733 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0494811 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0364365 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0024715 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0129794 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0230359 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00851335 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0287214 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0392677 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.02282 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.00851335 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00142823 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0185854 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0275682 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0031593 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.023395 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0313192 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0275682 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0279821 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00968751 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0288656 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00151647 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0446773 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.00968751 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.00489059 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0301463 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0152404 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0622001 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.00988778 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0255732 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0152218 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00301785 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0341326 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.066433 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0636169 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.00605589 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0290067 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0403727 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0488912 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0255732 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0102403 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.065492 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0701631 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0649672 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0372168 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.038496 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0097138 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.070287 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.152657 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0629527 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.140639 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0122783 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0478239 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0573286 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0629498 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00516643 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0189411 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0169151 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0441301 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0688577 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00527469 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0181386 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0307755 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0399278 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0384684 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.023289 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0181451 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0408815 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0544206 # DEPENDENCYPART_SIBL
(4,7),(4,11),-2.22367e-05 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0708036 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0582248 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00733336 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0421161 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00942339 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0335421 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.119017 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0245616 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0440457 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.040324 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0120231 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0685627 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0168752 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0494229 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0432965 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0404258 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.497078 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.000461198 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0428815 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.047306 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0404258 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.041404 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0528708 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00865982 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.110421 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0861237 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0525116 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.000601347 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0207792 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.113316 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0364562 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.104108 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0356716 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.112901 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0697095 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0364562 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.112912 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0605292 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0769848 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0680084 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0598705 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.053601 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0272856 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0800058 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0985687 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0370568 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0643563 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0795852 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0880485 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0985687 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.00362506 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0846381 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0213361 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0669809 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.051384 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0452345 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0869989 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.113365 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0187029 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0528804 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0865765 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0646134 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.113365 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0122716 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0591272 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0436819 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0491762 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00548693 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0472703 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0351411 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0428989 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0705894 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0472498 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0702971 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0351411 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.042311 # DEPENDENCYPART_SIBL
