# _root_ Further , under the agreement , First Tennesse would continue to develop the software that creates customer products and sevices .
#goldHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,19,19,16,19,9,
#predictedHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,18,19,16,19,9,
(12,5),-2.53964 # DEPENDENCYPART_ARC
(12,6),-1.89298 # DEPENDENCYPART_ARC
(12,7),-1.50587 # DEPENDENCYPART_ARC
(12,8),-1.3575 # DEPENDENCYPART_ARC
(12,9),-1.43144 # DEPENDENCYPART_ARC
(12,11),1.32365 # DEPENDENCYPART_ARC
(12,13),0.027588 # DEPENDENCYPART_ARC
(12,14),0.348129 # DEPENDENCYPART_ARC
(12,16),-1.01259 # DEPENDENCYPART_ARC
(12,17),-0.949017 # DEPENDENCYPART_ARC
(12,18),-0.756995 # DEPENDENCYPART_ARC
(12,19),-0.648 # DEPENDENCYPART_ARC
(12,20),-1.14831 # DEPENDENCYPART_ARC
(12,21),-1.23502 # DEPENDENCYPART_ARC
(14,11),-1.62121 # DEPENDENCYPART_ARC
(14,12),-0.782215 # DEPENDENCYPART_ARC
(14,13),1.43466 # DEPENDENCYPART_ARC
(14,15),-0.273801 # DEPENDENCYPART_ARC
(14,16),-0.334558 # DEPENDENCYPART_ARC
(14,17),-1.43293 # DEPENDENCYPART_ARC
(14,18),-1.65181 # DEPENDENCYPART_ARC
(14,19),-1.08842 # DEPENDENCYPART_ARC
(14,20),-1.6209 # DEPENDENCYPART_ARC
(14,21),-1.38781 # DEPENDENCYPART_ARC
(16,1),-2.04652 # DEPENDENCYPART_ARC
(16,2),-2.70971 # DEPENDENCYPART_ARC
(16,3),-1.97877 # DEPENDENCYPART_ARC
(16,5),-3.10449 # DEPENDENCYPART_ARC
(16,6),-2.10717 # DEPENDENCYPART_ARC
(16,8),-1.87896 # DEPENDENCYPART_ARC
(16,9),-1.79375 # DEPENDENCYPART_ARC
(16,11),-1.59339 # DEPENDENCYPART_ARC
(16,14),-1.24199 # DEPENDENCYPART_ARC
(16,15),0.459149 # DEPENDENCYPART_ARC
(16,17),0.14849 # DEPENDENCYPART_ARC
(16,18),-0.26992 # DEPENDENCYPART_ARC
(16,19),-0.669196 # DEPENDENCYPART_ARC
(16,20),-0.97769 # DEPENDENCYPART_ARC
(16,21),-1.27947 # DEPENDENCYPART_ARC
(17,13),-2.38382 # DEPENDENCYPART_ARC
(17,14),-1.98311 # DEPENDENCYPART_ARC
(17,15),-1.71693 # DEPENDENCYPART_ARC
(17,16),-0.491755 # DEPENDENCYPART_ARC
(17,18),-0.724064 # DEPENDENCYPART_ARC
(18,13),-1.55662 # DEPENDENCYPART_ARC
(18,14),-1.4078 # DEPENDENCYPART_ARC
(18,15),-1.70099 # DEPENDENCYPART_ARC
(18,16),-0.905858 # DEPENDENCYPART_ARC
(18,17),1.62056 # DEPENDENCYPART_ARC
(18,20),-1.50308 # DEPENDENCYPART_ARC
(18,21),-1.35091 # DEPENDENCYPART_ARC
(19,1),-1.42932 # DEPENDENCYPART_ARC
(19,2),-2.30259 # DEPENDENCYPART_ARC
(19,3),-1.11357 # DEPENDENCYPART_ARC
(19,4),-2.27155 # DEPENDENCYPART_ARC
(19,5),-1.20237 # DEPENDENCYPART_ARC
(19,6),-0.990727 # DEPENDENCYPART_ARC
(19,7),-0.816548 # DEPENDENCYPART_ARC
(19,8),-1.02005 # DEPENDENCYPART_ARC
(19,9),-0.646252 # DEPENDENCYPART_ARC
(19,10),-1.41801 # DEPENDENCYPART_ARC
(19,11),-1.25421 # DEPENDENCYPART_ARC
(19,12),-1.01136 # DEPENDENCYPART_ARC
(19,13),-0.89527 # DEPENDENCYPART_ARC
(19,14),-0.573549 # DEPENDENCYPART_ARC
(19,15),-0.395549 # DEPENDENCYPART_ARC
(19,16),-0.390379 # DEPENDENCYPART_ARC
(19,17),0.214481 # DEPENDENCYPART_ARC
(19,18),2.56849 # DEPENDENCYPART_ARC
(19,20),1.73265 # DEPENDENCYPART_ARC
(19,21),-1.2161 # DEPENDENCYPART_ARC
(20,17),-1.17158 # DEPENDENCYPART_ARC
(20,18),-1.12381 # DEPENDENCYPART_ARC
(20,21),-0.64064 # DEPENDENCYPART_ARC
(0,1),(0,8),-0.0198146 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0153186 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.108026 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.105237 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.110359 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0592787 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0503069 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.129909 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.130954 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.123601 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.10513 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.116491 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.115588 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.115575 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0968427 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.219764 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.227672 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.185382 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.223548 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.18209 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.182153 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00786864 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0217746 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0210498 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0376909 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00742358 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0125693 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0204334 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0131813 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00758074 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0376909 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0776917 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00861383 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0755371 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0941567 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.179701 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0939961 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0972976 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0533991 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0407214 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.117853 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.113334 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.964061 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.128374 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.12772 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.11665 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.087211 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0428333 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00789418 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0474399 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0434082 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00336048 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0852036 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0136131 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0789451 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0906022 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0306841 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.176299 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0157238 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0233403 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0491506 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0722676 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0904458 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0351243 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.18054 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0306499 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.174081 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0928728 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0532164 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0250179 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00184849 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0217071 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0087766 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0211903 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0385112 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0139784 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0159154 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.012637 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0218302 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0400199 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0172856 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0372199 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00711861 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0618282 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.046036 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0259337 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.10234 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0206143 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0237092 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0421431 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0449886 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.047862 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0256806 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0442839 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0571418 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0342109 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0152473 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0357618 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00926611 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00337532 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0296113 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00151653 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0197826 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00374557 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00870845 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0058538 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0410413 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00263117 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00189414 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0110695 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00119844 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.140788 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.183966 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0111946 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.167713 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0217402 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0794315 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0424192 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0184312 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0176923 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.000499328 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00286536 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0180071 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.00108613 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.00254999 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0101137 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00727997 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0226324 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0219186 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0204095 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00778301 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0140218 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0379283 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0398221 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0299432 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0275977 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0260886 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0214551 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0197008 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0432775 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0226114 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0166753 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0139759 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0107017 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0149255 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0352602 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0188699 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00956448 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0234205 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0179672 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0363831 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.019337 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0110132 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.000516445 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0225056 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.00761729 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0206681 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0433265 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0259285 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.028751 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.00155821 # DEPENDENCYPART_SIBL
(5,19),(5,21),0.0021928 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0277083 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0240116 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0448477 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0480867 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.193728 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.235746 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0326592 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0165174 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0184748 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0210161 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00336734 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0220426 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0405687 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0277686 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0300618 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0290742 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0270003 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0260714 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0158771 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0137578 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00560081 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0274512 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0209765 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.207938 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00225085 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0393583 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0173123 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0196054 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0237355 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0166076 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0520032 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0331259 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0224184 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0191876 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0988202 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00706776 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.108934 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.150951 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.000423628 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.135859 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.00825126 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0779908 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0350142 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0194451 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0215393 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0284205 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00403713 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0273317 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00655125 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0301229 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0275195 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00225085 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0393583 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0173123 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0196054 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0237355 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0166076 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0520032 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0331259 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0537577 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0011255 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0255089 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0694117 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0229948 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0639915 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0601329 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0168584 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.014739 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00573977 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0151085 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0331957 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0203241 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.00824105 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0163034 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0160637 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.032539 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.0221552 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.00389603 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00242003 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0186615 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0104355 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.018077 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0387434 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.0295269 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0249069 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.00437643 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.00447609 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0175847 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.015445 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0040673 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0338041 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0175847 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0352267 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0327312 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0300275 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.00158114 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0214485 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.00744672 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0251306 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0470826 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0177588 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.02148 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0258529 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.09602 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0311314 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0242347 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0691177 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00308051 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0283844 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00550847 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.00879863 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0550035 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00312713 # DEPENDENCYPART_SIBL
