# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(5,4),-0.194955 # DEPENDENCYPART_ARC
(5,6),0.0730992 # DEPENDENCYPART_ARC
(5,12),-2.05813 # DEPENDENCYPART_ARC
(5,14),-1.61199 # DEPENDENCYPART_ARC
(6,1),-1.45936 # DEPENDENCYPART_ARC
(6,7),-0.413292 # DEPENDENCYPART_ARC
(6,8),-0.686625 # DEPENDENCYPART_ARC
(6,9),-1.18023 # DEPENDENCYPART_ARC
(6,11),-2.20797 # DEPENDENCYPART_ARC
(6,12),-2.01638 # DEPENDENCYPART_ARC
(7,1),-1.34441 # DEPENDENCYPART_ARC
(7,2),-1.58452 # DEPENDENCYPART_ARC
(7,3),-1.43751 # DEPENDENCYPART_ARC
(7,5),-1.19036 # DEPENDENCYPART_ARC
(7,6),0.00908903 # DEPENDENCYPART_ARC
(7,8),-0.405871 # DEPENDENCYPART_ARC
(7,9),-1.25632 # DEPENDENCYPART_ARC
(7,11),-2.06595 # DEPENDENCYPART_ARC
(7,14),-1.83342 # DEPENDENCYPART_ARC
(8,1),-1.22865 # DEPENDENCYPART_ARC
(8,2),-1.66087 # DEPENDENCYPART_ARC
(8,3),-1.06891 # DEPENDENCYPART_ARC
(8,5),-0.61501 # DEPENDENCYPART_ARC
(8,6),-0.742533 # DEPENDENCYPART_ARC
(8,7),1.18925 # DEPENDENCYPART_ARC
(8,9),0.125724 # DEPENDENCYPART_ARC
(8,10),-1.69505 # DEPENDENCYPART_ARC
(8,11),-1.39441 # DEPENDENCYPART_ARC
(8,12),-1.86745 # DEPENDENCYPART_ARC
(8,13),-1.67299 # DEPENDENCYPART_ARC
(8,14),-1.72298 # DEPENDENCYPART_ARC
(8,15),-2.0488 # DEPENDENCYPART_ARC
(8,20),-1.95505 # DEPENDENCYPART_ARC
(8,27),-1.32798 # DEPENDENCYPART_ARC
(8,28),-1.5001 # DEPENDENCYPART_ARC
(8,29),-2.07283 # DEPENDENCYPART_ARC
(8,32),-2.63128 # DEPENDENCYPART_ARC
(10,9),-0.247662 # DEPENDENCYPART_ARC
(10,12),-1.47018 # DEPENDENCYPART_ARC
(11,7),-2.5273 # DEPENDENCYPART_ARC
(11,8),-2.65384 # DEPENDENCYPART_ARC
(11,10),0.401953 # DEPENDENCYPART_ARC
(11,12),0.501269 # DEPENDENCYPART_ARC
(11,13),-0.926795 # DEPENDENCYPART_ARC
(11,14),-0.637648 # DEPENDENCYPART_ARC
(11,15),-0.986365 # DEPENDENCYPART_ARC
(11,17),-1.29615 # DEPENDENCYPART_ARC
(11,21),-1.18275 # DEPENDENCYPART_ARC
(11,28),-1.64876 # DEPENDENCYPART_ARC
(11,32),-1.40183 # DEPENDENCYPART_ARC
(12,6),-2.33478 # DEPENDENCYPART_ARC
(12,8),-2.13227 # DEPENDENCYPART_ARC
(12,10),-1.5036 # DEPENDENCYPART_ARC
(12,13),0.642973 # DEPENDENCYPART_ARC
(12,14),-1.32441 # DEPENDENCYPART_ARC
(12,15),-1.40325 # DEPENDENCYPART_ARC
(12,16),-1.97312 # DEPENDENCYPART_ARC
(12,18),-2.44099 # DEPENDENCYPART_ARC
(12,19),-2.62587 # DEPENDENCYPART_ARC
(12,20),-2.5493 # DEPENDENCYPART_ARC
(13,10),-1.9146 # DEPENDENCYPART_ARC
(13,11),-1.15872 # DEPENDENCYPART_ARC
(13,12),-0.681224 # DEPENDENCYPART_ARC
(13,14),-0.580786 # DEPENDENCYPART_ARC
(13,15),-1.13568 # DEPENDENCYPART_ARC
(13,17),-1.49199 # DEPENDENCYPART_ARC
(14,1),-1.5024 # DEPENDENCYPART_ARC
(14,3),-2.03534 # DEPENDENCYPART_ARC
(14,4),-1.46076 # DEPENDENCYPART_ARC
(14,7),-1.71466 # DEPENDENCYPART_ARC
(14,8),-1.77436 # DEPENDENCYPART_ARC
(14,9),-0.986352 # DEPENDENCYPART_ARC
(14,10),-1.30898 # DEPENDENCYPART_ARC
(14,11),-0.574934 # DEPENDENCYPART_ARC
(14,12),-0.525072 # DEPENDENCYPART_ARC
(14,13),0.871192 # DEPENDENCYPART_ARC
(14,15),1.54581 # DEPENDENCYPART_ARC
(14,16),-0.821307 # DEPENDENCYPART_ARC
(14,18),-1.34574 # DEPENDENCYPART_ARC
(14,19),-1.46281 # DEPENDENCYPART_ARC
(14,20),-1.7012 # DEPENDENCYPART_ARC
(14,29),-2.81962 # DEPENDENCYPART_ARC
(14,32),-0.930334 # DEPENDENCYPART_ARC
(15,1),-2.03101 # DEPENDENCYPART_ARC
(15,4),-2.12954 # DEPENDENCYPART_ARC
(15,8),-2.87218 # DEPENDENCYPART_ARC
(15,9),-1.91003 # DEPENDENCYPART_ARC
(15,11),-1.68835 # DEPENDENCYPART_ARC
(15,12),-1.25669 # DEPENDENCYPART_ARC
(15,13),-1.41214 # DEPENDENCYPART_ARC
(15,14),-0.644504 # DEPENDENCYPART_ARC
(15,16),0.516546 # DEPENDENCYPART_ARC
(15,18),-0.635099 # DEPENDENCYPART_ARC
(15,19),-0.768871 # DEPENDENCYPART_ARC
(15,20),-0.577191 # DEPENDENCYPART_ARC
(15,21),-0.773606 # DEPENDENCYPART_ARC
(15,22),-1.59176 # DEPENDENCYPART_ARC
(15,23),-1.54111 # DEPENDENCYPART_ARC
(15,24),-1.16555 # DEPENDENCYPART_ARC
(15,25),-1.2079 # DEPENDENCYPART_ARC
(15,26),-1.71807 # DEPENDENCYPART_ARC
(15,27),-1.51739 # DEPENDENCYPART_ARC
(15,28),-1.33654 # DEPENDENCYPART_ARC
(15,29),-1.72686 # DEPENDENCYPART_ARC
(15,32),-2.17853 # DEPENDENCYPART_ARC
(16,10),-2.66324 # DEPENDENCYPART_ARC
(16,11),-1.8068 # DEPENDENCYPART_ARC
(16,13),-1.33464 # DEPENDENCYPART_ARC
(16,15),-0.200277 # DEPENDENCYPART_ARC
(16,17),1.02922 # DEPENDENCYPART_ARC
(16,18),-0.974496 # DEPENDENCYPART_ARC
(16,19),-1.21196 # DEPENDENCYPART_ARC
(16,21),-0.933231 # DEPENDENCYPART_ARC
(16,22),-1.69937 # DEPENDENCYPART_ARC
(16,27),-1.50204 # DEPENDENCYPART_ARC
(16,29),-1.69715 # DEPENDENCYPART_ARC
(18,13),-2.09262 # DEPENDENCYPART_ARC
(18,16),-0.628665 # DEPENDENCYPART_ARC
(18,17),-0.751214 # DEPENDENCYPART_ARC
(18,19),-0.520881 # DEPENDENCYPART_ARC
(18,21),-1.14515 # DEPENDENCYPART_ARC
(18,25),-1.63665 # DEPENDENCYPART_ARC
(19,16),-0.896559 # DEPENDENCYPART_ARC
(19,17),-1.57665 # DEPENDENCYPART_ARC
(19,18),0.525675 # DEPENDENCYPART_ARC
(19,20),-0.539937 # DEPENDENCYPART_ARC
(19,22),-1.99415 # DEPENDENCYPART_ARC
(19,24),-2.15771 # DEPENDENCYPART_ARC
(19,25),-1.83396 # DEPENDENCYPART_ARC
(20,3),-2.82061 # DEPENDENCYPART_ARC
(20,8),-2.62839 # DEPENDENCYPART_ARC
(20,9),-1.41681 # DEPENDENCYPART_ARC
(20,10),-1.77309 # DEPENDENCYPART_ARC
(20,11),-1.20596 # DEPENDENCYPART_ARC
(20,12),-1.26315 # DEPENDENCYPART_ARC
(20,13),-1.06022 # DEPENDENCYPART_ARC
(20,15),-0.716503 # DEPENDENCYPART_ARC
(20,16),0.229748 # DEPENDENCYPART_ARC
(20,18),0.958735 # DEPENDENCYPART_ARC
(20,19),2.13553 # DEPENDENCYPART_ARC
(20,21),-0.187476 # DEPENDENCYPART_ARC
(20,22),-1.40853 # DEPENDENCYPART_ARC
(20,23),-1.44099 # DEPENDENCYPART_ARC
(20,24),-1.65494 # DEPENDENCYPART_ARC
(20,25),-1.7306 # DEPENDENCYPART_ARC
(20,26),-2.18133 # DEPENDENCYPART_ARC
(20,27),-1.68726 # DEPENDENCYPART_ARC
(20,28),-1.87728 # DEPENDENCYPART_ARC
(20,29),-1.93687 # DEPENDENCYPART_ARC
(20,31),-2.22607 # DEPENDENCYPART_ARC
(20,32),-1.75326 # DEPENDENCYPART_ARC
(21,18),-1.34833 # DEPENDENCYPART_ARC
(21,19),-1.41063 # DEPENDENCYPART_ARC
(21,20),-0.446685 # DEPENDENCYPART_ARC
(21,22),-0.154493 # DEPENDENCYPART_ARC
(21,23),-0.286919 # DEPENDENCYPART_ARC
(21,24),-0.892223 # DEPENDENCYPART_ARC
(21,25),-1.46782 # DEPENDENCYPART_ARC
(21,26),-1.83837 # DEPENDENCYPART_ARC
(21,27),-1.25974 # DEPENDENCYPART_ARC
(21,31),-2.87188 # DEPENDENCYPART_ARC
(22,20),-1.52092 # DEPENDENCYPART_ARC
(22,23),-0.101014 # DEPENDENCYPART_ARC
(22,24),-1.07018 # DEPENDENCYPART_ARC
(22,26),-1.66065 # DEPENDENCYPART_ARC
(22,27),-1.61532 # DEPENDENCYPART_ARC
(22,28),-1.3186 # DEPENDENCYPART_ARC
(23,16),-2.39576 # DEPENDENCYPART_ARC
(23,18),-2.04171 # DEPENDENCYPART_ARC
(23,21),-1.46956 # DEPENDENCYPART_ARC
(23,22),0.190265 # DEPENDENCYPART_ARC
(23,24),-0.440741 # DEPENDENCYPART_ARC
(23,25),-1.22305 # DEPENDENCYPART_ARC
(23,26),-1.75391 # DEPENDENCYPART_ARC
(23,27),-1.55419 # DEPENDENCYPART_ARC
(23,31),-2.1657 # DEPENDENCYPART_ARC
(24,10),-2.58295 # DEPENDENCYPART_ARC
(24,13),-1.66568 # DEPENDENCYPART_ARC
(24,16),-0.979992 # DEPENDENCYPART_ARC
(24,18),-0.971444 # DEPENDENCYPART_ARC
(24,19),-0.49 # DEPENDENCYPART_ARC
(24,20),-0.923519 # DEPENDENCYPART_ARC
(24,21),-0.865528 # DEPENDENCYPART_ARC
(24,22),0.0483715 # DEPENDENCYPART_ARC
(24,23),1.61904 # DEPENDENCYPART_ARC
(24,25),-0.429971 # DEPENDENCYPART_ARC
(24,26),-1.21966 # DEPENDENCYPART_ARC
(24,27),-1.40119 # DEPENDENCYPART_ARC
(24,28),-1.85067 # DEPENDENCYPART_ARC
(24,29),-2.03435 # DEPENDENCYPART_ARC
(24,31),-1.90689 # DEPENDENCYPART_ARC
(24,32),-1.48469 # DEPENDENCYPART_ARC
(25,24),-0.463343 # DEPENDENCYPART_ARC
(25,26),-0.517336 # DEPENDENCYPART_ARC
(25,27),-0.749274 # DEPENDENCYPART_ARC
(25,28),-1.21208 # DEPENDENCYPART_ARC
(25,31),-3.08375 # DEPENDENCYPART_ARC
(26,22),-1.32631 # DEPENDENCYPART_ARC
(26,23),-1.40347 # DEPENDENCYPART_ARC
(26,24),-1.39639 # DEPENDENCYPART_ARC
(26,25),-0.280507 # DEPENDENCYPART_ARC
(26,29),-1.68397 # DEPENDENCYPART_ARC
(26,31),-2.3388 # DEPENDENCYPART_ARC
(27,16),-1.58042 # DEPENDENCYPART_ARC
(27,18),-1.58736 # DEPENDENCYPART_ARC
(27,19),-1.6566 # DEPENDENCYPART_ARC
(27,20),-2.08125 # DEPENDENCYPART_ARC
(27,21),-1.20244 # DEPENDENCYPART_ARC
(27,22),-0.492055 # DEPENDENCYPART_ARC
(27,23),-0.641032 # DEPENDENCYPART_ARC
(27,24),-0.874139 # DEPENDENCYPART_ARC
(27,25),-0.701398 # DEPENDENCYPART_ARC
(27,26),1.15245 # DEPENDENCYPART_ARC
(27,28),-0.0928707 # DEPENDENCYPART_ARC
(27,29),-1.78306 # DEPENDENCYPART_ARC
(27,30),-1.52395 # DEPENDENCYPART_ARC
(27,31),-1.72714 # DEPENDENCYPART_ARC
(29,1),-1.91786 # DEPENDENCYPART_ARC
(29,3),-2.23259 # DEPENDENCYPART_ARC
(29,4),-2.01537 # DEPENDENCYPART_ARC
(29,9),-2.53162 # DEPENDENCYPART_ARC
(29,11),-3.07454 # DEPENDENCYPART_ARC
(29,13),-2.72629 # DEPENDENCYPART_ARC
(29,14),-1.06108 # DEPENDENCYPART_ARC
(29,15),-1.71045 # DEPENDENCYPART_ARC
(29,16),-2.45486 # DEPENDENCYPART_ARC
(29,19),-2.33754 # DEPENDENCYPART_ARC
(29,20),-2.09182 # DEPENDENCYPART_ARC
(29,21),-1.52249 # DEPENDENCYPART_ARC
(29,22),-1.75175 # DEPENDENCYPART_ARC
(29,23),-2.189 # DEPENDENCYPART_ARC
(29,24),-2.02401 # DEPENDENCYPART_ARC
(29,25),-1.40944 # DEPENDENCYPART_ARC
(29,26),-1.51111 # DEPENDENCYPART_ARC
(29,27),-1.45181 # DEPENDENCYPART_ARC
(29,28),0.992161 # DEPENDENCYPART_ARC
(29,30),0.457297 # DEPENDENCYPART_ARC
(29,31),0.0300714 # DEPENDENCYPART_ARC
(29,32),0.729376 # DEPENDENCYPART_ARC
(30,31),-0.785392 # DEPENDENCYPART_ARC
(31,30),1.74457 # DEPENDENCYPART_ARC
(31,32),-0.482069 # DEPENDENCYPART_ARC
(32,31),-0.644338 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.11621 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.00724204 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0510495 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.118545 # DEPENDENCYPART_SIBL
(0,3),(0,29),-0.132074 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0751928 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0933513 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.226864 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.257823 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0421759 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.102852 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.119756 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.120535 # DEPENDENCYPART_SIBL
(0,14),(0,29),-0.133731 # DEPENDENCYPART_SIBL
(0,15),(0,29),-0.257712 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0437336 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0291416 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0343946 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0305013 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0285672 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0456406 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0216978 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0204428 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0271735 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00773613 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0955603 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0193974 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0222014 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0113808 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0377819 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.015011 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00302535 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0310122 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.180177 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0295664 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0684974 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0401783 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0326051 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0022776 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00336476 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0198043 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0750924 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.013149 # DEPENDENCYPART_SIBL
(3,1),(3,32),-0.107041 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0675063 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0385974 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0323885 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00625164 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0355869 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.118692 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0109621 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00746564 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00339084 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00808569 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.00635523 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00193229 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0390337 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00605083 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.00888444 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0151409 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00189074 # DEPENDENCYPART_SIBL
(3,6),(3,32),0.0851982 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00610725 # DEPENDENCYPART_SIBL
(3,8),(3,32),0.0291928 # DEPENDENCYPART_SIBL
(3,9),(3,32),-0.00920261 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0230926 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0482945 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0785979 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0645091 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0182557 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.060695 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0608409 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.043944 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0113456 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0787786 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0171387 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0410439 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0608409 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.0366721 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.242248 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0601765 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.157817 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0977587 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0833465 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0772376 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00483247 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.105513 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.301831 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0800982 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.08548 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0377624 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.00483247 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.122015 # DEPENDENCYPART_SIBL
(4,2),(4,32),-0.102213 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0240714 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0330372 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0343176 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0201377 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0575446 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00389906 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0416711 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0342274 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0215213 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0982546 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0575446 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0143766 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.0246136 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0252561 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0529881 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0416481 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0223907 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0459805 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0207781 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.040662 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0225156 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.010109 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0223907 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.0353739 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.0367459 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0140499 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0314657 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00686991 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0319908 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0249189 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.075669 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0139613 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00975815 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.00686991 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0281443 # DEPENDENCYPART_SIBL
(4,6),(4,32),-0.00864304 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0537424 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00687585 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0473754 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0142942 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00613428 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0124412 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0224562 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.00687585 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.0220978 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.00741114 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0185041 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.038291 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0167996 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0499399 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0159931 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.00189429 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.0185041 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0222636 # DEPENDENCYPART_SIBL
(4,8),(4,32),-0.00792457 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00317231 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0980366 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0521659 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0311896 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00496666 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.0210808 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.00416323 # DEPENDENCYPART_SIBL
(4,9),(4,32),0.00480289 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0538407 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0641723 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.029859 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0266725 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.0230664 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.0345344 # DEPENDENCYPART_SIBL
(4,11),(4,32),-0.0414047 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0461876 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0749471 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0709055 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0318539 # DEPENDENCYPART_SIBL
(4,12),(4,29),-0.0510624 # DEPENDENCYPART_SIBL
(4,12),(4,32),-0.0300585 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00028891 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0165454 # DEPENDENCYPART_SIBL
(4,14),(4,28),-0.00137539 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.000929167 # DEPENDENCYPART_SIBL
(4,14),(4,32),0.0269242 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0107518 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.0236566 # DEPENDENCYPART_SIBL
