# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(8,21),-1.96072 # DEPENDENCYPART_ARC
(8,23),-1.93626 # DEPENDENCYPART_ARC
(8,24),-0.867475 # DEPENDENCYPART_ARC
(9,1),-1.19568 # DEPENDENCYPART_ARC
(9,3),-1.88077 # DEPENDENCYPART_ARC
(9,4),-1.76275 # DEPENDENCYPART_ARC
(9,6),-1.27915 # DEPENDENCYPART_ARC
(9,7),-1.39854 # DEPENDENCYPART_ARC
(9,10),-0.0317958 # DEPENDENCYPART_ARC
(9,11),-0.987553 # DEPENDENCYPART_ARC
(9,12),-0.909431 # DEPENDENCYPART_ARC
(9,13),-1.5372 # DEPENDENCYPART_ARC
(9,14),-1.50916 # DEPENDENCYPART_ARC
(9,17),-2.9074 # DEPENDENCYPART_ARC
(9,18),-2.10151 # DEPENDENCYPART_ARC
(9,23),-2.97778 # DEPENDENCYPART_ARC
(10,8),-1.38943 # DEPENDENCYPART_ARC
(10,9),-0.463923 # DEPENDENCYPART_ARC
(10,11),-0.297327 # DEPENDENCYPART_ARC
(10,13),-1.19622 # DEPENDENCYPART_ARC
(11,2),-1.60929 # DEPENDENCYPART_ARC
(11,3),-1.71686 # DEPENDENCYPART_ARC
(11,5),-1.42339 # DEPENDENCYPART_ARC
(11,8),-1.1851 # DEPENDENCYPART_ARC
(11,10),-0.0713035 # DEPENDENCYPART_ARC
(11,13),-1.19637 # DEPENDENCYPART_ARC
(11,14),-1.47006 # DEPENDENCYPART_ARC
(11,18),-1.75957 # DEPENDENCYPART_ARC
(12,4),-1.13353 # DEPENDENCYPART_ARC
(12,6),-1.4415 # DEPENDENCYPART_ARC
(12,7),-1.24083 # DEPENDENCYPART_ARC
(12,8),-1.07319 # DEPENDENCYPART_ARC
(12,9),-1.07854 # DEPENDENCYPART_ARC
(12,10),0.433717 # DEPENDENCYPART_ARC
(12,11),1.60413 # DEPENDENCYPART_ARC
(12,13),0.351564 # DEPENDENCYPART_ARC
(12,14),-1.17574 # DEPENDENCYPART_ARC
(12,15),-1.73933 # DEPENDENCYPART_ARC
(12,16),-2.10876 # DEPENDENCYPART_ARC
(12,17),-1.8911 # DEPENDENCYPART_ARC
(12,18),-1.75651 # DEPENDENCYPART_ARC
(12,19),-2.12594 # DEPENDENCYPART_ARC
(12,20),-2.22309 # DEPENDENCYPART_ARC
(12,21),-1.98096 # DEPENDENCYPART_ARC
(12,23),-2.23564 # DEPENDENCYPART_ARC
(12,24),-2.07254 # DEPENDENCYPART_ARC
(13,1),-1.27973 # DEPENDENCYPART_ARC
(13,10),-1.60875 # DEPENDENCYPART_ARC
(13,11),-1.49862 # DEPENDENCYPART_ARC
(13,12),-0.592782 # DEPENDENCYPART_ARC
(13,14),0.707128 # DEPENDENCYPART_ARC
(13,15),-1.16222 # DEPENDENCYPART_ARC
(13,17),-2.2106 # DEPENDENCYPART_ARC
(13,18),-2.2296 # DEPENDENCYPART_ARC
(13,20),-2.21473 # DEPENDENCYPART_ARC
(13,23),-2.65849 # DEPENDENCYPART_ARC
(14,10),-1.33095 # DEPENDENCYPART_ARC
(14,11),-1.21298 # DEPENDENCYPART_ARC
(14,12),-0.599905 # DEPENDENCYPART_ARC
(14,13),-0.0151171 # DEPENDENCYPART_ARC
(14,15),-0.016913 # DEPENDENCYPART_ARC
(14,16),-1.79986 # DEPENDENCYPART_ARC
(14,17),-1.55958 # DEPENDENCYPART_ARC
(14,18),-1.65564 # DEPENDENCYPART_ARC
(14,19),-2.14665 # DEPENDENCYPART_ARC
(14,20),-1.92876 # DEPENDENCYPART_ARC
(14,21),-1.5242 # DEPENDENCYPART_ARC
(14,22),-1.82472 # DEPENDENCYPART_ARC
(14,23),-1.88791 # DEPENDENCYPART_ARC
(14,24),-1.9137 # DEPENDENCYPART_ARC
(16,19),-1.36212 # DEPENDENCYPART_ARC
(16,20),-1.85186 # DEPENDENCYPART_ARC
(17,14),-1.90943 # DEPENDENCYPART_ARC
(17,15),-1.19197 # DEPENDENCYPART_ARC
(17,16),1.05219 # DEPENDENCYPART_ARC
(17,18),-0.516277 # DEPENDENCYPART_ARC
(17,19),-1.0128 # DEPENDENCYPART_ARC
(17,20),-1.54671 # DEPENDENCYPART_ARC
(17,23),-2.02333 # DEPENDENCYPART_ARC
(18,1),-1.63112 # DEPENDENCYPART_ARC
(18,2),-1.80354 # DEPENDENCYPART_ARC
(18,4),-1.57018 # DEPENDENCYPART_ARC
(18,5),-1.60632 # DEPENDENCYPART_ARC
(18,6),-1.52713 # DEPENDENCYPART_ARC
(18,7),-2.00617 # DEPENDENCYPART_ARC
(18,8),-1.43129 # DEPENDENCYPART_ARC
(18,9),-1.25009 # DEPENDENCYPART_ARC
(18,11),-1.54288 # DEPENDENCYPART_ARC
(18,12),-1.33177 # DEPENDENCYPART_ARC
(18,13),-1.31894 # DEPENDENCYPART_ARC
(18,14),-1.32391 # DEPENDENCYPART_ARC
(18,15),-0.35931 # DEPENDENCYPART_ARC
(18,16),-0.55784 # DEPENDENCYPART_ARC
(18,17),1.1901 # DEPENDENCYPART_ARC
(18,19),1.35528 # DEPENDENCYPART_ARC
(18,20),-1.07116 # DEPENDENCYPART_ARC
(18,21),-1.41397 # DEPENDENCYPART_ARC
(18,23),-2.15272 # DEPENDENCYPART_ARC
(18,24),-0.937873 # DEPENDENCYPART_ARC
(19,2),-2.67125 # DEPENDENCYPART_ARC
(19,5),-2.67662 # DEPENDENCYPART_ARC
(19,6),-1.91758 # DEPENDENCYPART_ARC
(19,13),-1.71052 # DEPENDENCYPART_ARC
(19,15),-1.50808 # DEPENDENCYPART_ARC
(19,16),-1.51122 # DEPENDENCYPART_ARC
(19,17),-1.25628 # DEPENDENCYPART_ARC
(19,18),-0.584436 # DEPENDENCYPART_ARC
(19,20),0.519267 # DEPENDENCYPART_ARC
(19,21),-0.924274 # DEPENDENCYPART_ARC
(19,22),-1.64573 # DEPENDENCYPART_ARC
(19,23),-1.01831 # DEPENDENCYPART_ARC
(19,24),-1.25615 # DEPENDENCYPART_ARC
(20,16),-1.56077 # DEPENDENCYPART_ARC
(20,17),-1.30973 # DEPENDENCYPART_ARC
(20,19),-0.151863 # DEPENDENCYPART_ARC
(20,21),-0.236007 # DEPENDENCYPART_ARC
(20,22),-1.3171 # DEPENDENCYPART_ARC
(20,23),-1.70384 # DEPENDENCYPART_ARC
(20,24),-1.61284 # DEPENDENCYPART_ARC
(22,12),-1.26789 # DEPENDENCYPART_ARC
(22,17),-1.60022 # DEPENDENCYPART_ARC
(22,20),-1.30059 # DEPENDENCYPART_ARC
(22,21),0.226242 # DEPENDENCYPART_ARC
(22,23),-0.469986 # DEPENDENCYPART_ARC
(23,16),-2.34801 # DEPENDENCYPART_ARC
(23,17),-2.37688 # DEPENDENCYPART_ARC
(23,19),-1.55317 # DEPENDENCYPART_ARC
(23,20),-0.751266 # DEPENDENCYPART_ARC
(23,21),-0.78839 # DEPENDENCYPART_ARC
(23,22),1.45643 # DEPENDENCYPART_ARC
(23,24),-0.601545 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0196329 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0314974 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.120682 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0229168 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0154963 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0221922 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.123929 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00759587 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.118435 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0484531 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0513745 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0479274 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.128988 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.101651 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.00352368 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.00296551 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0417603 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.110246 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0777173 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0771462 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0988772 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.225772 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.05544 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0480281 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.123928 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0483091 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.128113 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.116818 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0080303 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00562998 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0698431 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0388677 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0229656 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0121356 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0118775 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0650449 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00942069 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0765483 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0172227 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0360712 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0518968 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0316298 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0487286 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0241817 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.013411 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.013411 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.00321377 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0197641 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00929142 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0360862 # DEPENDENCYPART_SIBL
(2,3),(2,8),-8.89859e-05 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00561133 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00951093 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.00951093 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0820981 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0233124 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00286436 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0148753 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000998125 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0040377 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0040377 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0146174 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0435863 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0207502 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0211085 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00484349 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00484349 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0113321 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00837856 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0589625 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0215439 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0215439 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.042658 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0113022 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00516921 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.00516921 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.028234 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00540033 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.00540033 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0359578 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.00533388 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0119765 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.0119765 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0272811 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00791523 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0211974 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.123994 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0203399 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0386351 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0272543 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.018404 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0457071 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00593267 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0378797 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00682119 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0411263 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0280076 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00614617 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0271841 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00115116 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0266189 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0434376 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0953755 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0302903 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0943799 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00990004 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0617185 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0126229 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0243526 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0975858 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0228336 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0194039 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0587107 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0343159 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0096117 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0175473 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0349058 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.015843 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0429047 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.000354925 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0393944 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.008549 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0360144 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00486045 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0305157 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0225468 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.023153 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0149948 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0254528 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00676877 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0271708 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00297285 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00794732 # DEPENDENCYPART_SIBL
(4,2),(4,24),4.54316e-05 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0184035 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.113486 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0399446 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0200245 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0408458 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.134586 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0463313 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0193179 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0397832 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.227219 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0312156 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0216124 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0177376 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0256501 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.022464 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0283939 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0219608 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0199675 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0126819 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0123996 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.073327 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0197206 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.041087 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0156381 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0182936 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0470948 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.00789657 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00266995 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0299973 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0138991 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0327412 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00109401 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0304418 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00946407 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.025445 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0672576 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0253327 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0407086 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.107542 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0377973 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.000228761 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0429788 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00834445 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0325513 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0168029 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00886724 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.00541845 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00588566 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.004878 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.000694679 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0408549 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0107238 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0398502 # DEPENDENCYPART_SIBL
(4,15),(4,24),-0.000187236 # DEPENDENCYPART_SIBL
(4,19),(4,24),-0.00667144 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0143276 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0674017 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0170567 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.043823 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0494488 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0139786 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0411844 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0314145 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0483627 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.029191 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0217435 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0123618 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0217435 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0223419 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0231227 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0325698 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0763464 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0381968 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0031 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0196845 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0258318 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00929397 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0341806 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0232734 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0484646 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0232734 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.00886003 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00778555 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0776857 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.201267 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.000831682 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0160114 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.213651 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0436098 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.210653 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0636795 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00619696 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0636795 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0560324 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.05003 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0264687 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0789737 # DEPENDENCYPART_SIBL
