# _root_ All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .
#goldHeads=3,3,7,7,6,7,0,7,14,9,12,10,14,8,14,17,15,17,18,7,
#predictedHeads=3,3,7,7,6,7,0,7,8,8,12,10,8,8,14,17,15,17,18,7,
(12,13),-0.0467333 # DEPENDENCYPART_ARC
(12,14),-1.63463 # DEPENDENCYPART_ARC
(12,15),-1.8716 # DEPENDENCYPART_ARC
(12,17),-1.86566 # DEPENDENCYPART_ARC
(12,18),-2.11911 # DEPENDENCYPART_ARC
(12,19),-1.95141 # DEPENDENCYPART_ARC
(12,20),-1.82962 # DEPENDENCYPART_ARC
(13,15),-1.56031 # DEPENDENCYPART_ARC
(14,3),-1.16735 # DEPENDENCYPART_ARC
(14,9),-1.55225 # DEPENDENCYPART_ARC
(14,10),-1.32679 # DEPENDENCYPART_ARC
(14,11),-1.44363 # DEPENDENCYPART_ARC
(14,12),-1.02982 # DEPENDENCYPART_ARC
(14,13),0.26769 # DEPENDENCYPART_ARC
(14,15),0.236137 # DEPENDENCYPART_ARC
(14,17),-1.05136 # DEPENDENCYPART_ARC
(14,18),-0.981877 # DEPENDENCYPART_ARC
(14,19),-1.26051 # DEPENDENCYPART_ARC
(14,20),-1.02452 # DEPENDENCYPART_ARC
(15,10),-1.91505 # DEPENDENCYPART_ARC
(15,12),-2.0425 # DEPENDENCYPART_ARC
(15,13),-1.50219 # DEPENDENCYPART_ARC
(15,14),-0.483593 # DEPENDENCYPART_ARC
(15,16),0.0691459 # DEPENDENCYPART_ARC
(15,17),0.0398529 # DEPENDENCYPART_ARC
(15,18),-1.11442 # DEPENDENCYPART_ARC
(15,19),-1.08498 # DEPENDENCYPART_ARC
(15,20),-1.24063 # DEPENDENCYPART_ARC
(17,3),-3.25615 # DEPENDENCYPART_ARC
(17,9),-3.03685 # DEPENDENCYPART_ARC
(17,10),-2.47663 # DEPENDENCYPART_ARC
(17,12),-2.37543 # DEPENDENCYPART_ARC
(17,13),-2.12768 # DEPENDENCYPART_ARC
(17,14),-1.60378 # DEPENDENCYPART_ARC
(17,15),-1.29138 # DEPENDENCYPART_ARC
(17,16),0.898496 # DEPENDENCYPART_ARC
(17,18),0.50895 # DEPENDENCYPART_ARC
(17,19),-0.93339 # DEPENDENCYPART_ARC
(17,20),-1.02799 # DEPENDENCYPART_ARC
(18,19),0.730845 # DEPENDENCYPART_ARC
(18,20),-1.25204 # DEPENDENCYPART_ARC
(19,14),-2.31264 # DEPENDENCYPART_ARC
(19,16),-1.18302 # DEPENDENCYPART_ARC
(19,17),-0.714338 # DEPENDENCYPART_ARC
(19,18),-0.0315285 # DEPENDENCYPART_ARC
(19,20),-0.384576 # DEPENDENCYPART_ARC
(20,18),-1.43954 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.0580031 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.119529 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.123534 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.022023 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.119528 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.123582 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0218679 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.221428 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0745953 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0747967 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0196556 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0574628 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0121451 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.110718 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0369616 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0139512 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0139513 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0112092 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0717148 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0149733 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.113482 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0143043 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0369616 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0128835 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.185599 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0219376 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0261756 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00285902 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00242356 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.211072 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.201712 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0494751 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0136836 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00323788 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0261756 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0473791 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00183477 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0732097 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0422882 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0420285 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0396521 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00950271 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.031831 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0226274 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.044145 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0390053 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.031837 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0111517 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.00505641 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0137011 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00969688 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0145331 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.000527121 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00202332 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0148293 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0152378 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.001059 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00852858 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.026109 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00883904 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0136715 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00039819 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00430799 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0144257 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0146311 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.000930072 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00383965 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0259382 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00640365 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.015853 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.014409 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00868021 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0542784 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0158646 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0112749 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0278655 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00173252 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00438394 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00908009 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0421081 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00174407 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0015269 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.00685907 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0191213 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00385351 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0177956 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0187667 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00510082 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00319154 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00469775 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0151303 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.000477403 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00617313 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0464739 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.015336 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.00107045 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00980072 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0261518 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.031837 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0111517 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.00505641 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00509503 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00639672 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.00526857 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0454939 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0191817 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0035964 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.212022 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.202661 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0541764 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00937547 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00878638 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0483838 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0345891 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0634178 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.000847393 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.054064 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0256968 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0359325 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0599479 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0632593 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.087691 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0116124 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.016416 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00194888 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00232526 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00609762 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0159171 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0148471 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00181042 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00483581 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.01956 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0433825 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0191857 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0378269 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.209728 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.200368 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0569625 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.000616434 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00352417 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0215248 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00867676 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0229909 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0353035 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0641334 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00041716 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0455933 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0470854 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0355191 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.021563 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0364466 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0604627 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0635812 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0928169 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.023371 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.119825 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0122263 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0141427 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0162243 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0337819 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0425902 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.15943 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00699089 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0159097 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0148461 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00800111 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0554038 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00179101 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0048228 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00975742 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0432353 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0195677 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00430743 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0180978 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00554208 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0150156 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0143484 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0562353 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.139735 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0503888 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0303552 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0823077 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.109875 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0949743 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.08377 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0546641 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.107598 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.039249 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0946936 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.117714 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.117054 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0947457 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0381504 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0390746 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0435861 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.049937 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0776248 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0398081 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0360338 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.157315 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00592546 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.050025 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00730873 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0946096 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.107198 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0580943 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0656687 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0856033 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.105125 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.00270915 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.13219 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.062713 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0545215 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0706428 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0232494 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0115621 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.055255 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0968863 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0197262 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0601082 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0616942 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0689187 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0280441 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0682382 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0624277 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0962916 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0063226 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0741264 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0477999 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0658485 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0371761 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0731543 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0503448 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0120956 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0525285 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0468451 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0532187 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0577962 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.030576 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.00967284 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0101362 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.155201 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.017747 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0689529 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.000907839 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.00992958 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.037443 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0463465 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.00384698 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0332821 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0644222 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.0376191 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0251992 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.00864945 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.00207956 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.075445 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0647948 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0504632 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.00103443 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0125123 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0241877 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0545335 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0186347 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0125695 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0321325 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0708133 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0332725 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.107546 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00497598 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0372424 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0111334 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0507782 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0317598 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0214995 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.184736 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0410956 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0266618 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.000946877 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0633216 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0827868 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0945859 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00646206 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0301521 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00659419 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0212122 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0442441 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0302093 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.032445 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.00493242 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0022789 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.027949 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00614422 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0313063 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00114851 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0193387 # DEPENDENCYPART_SIBL
