# _root_ In New York Stock Exchange composite trading , Boeing closed yesterday at $ 54.50 a share , off a scant 12.5 cents .
#goldHeads=10,7,7,7,7,7,1,10,10,0,10,10,14,12,16,14,10,10,22,22,22,18,10,
#predictedHeads=10,7,7,7,7,7,1,10,10,0,10,10,14,12,16,14,10,10,22,22,22,18,10,
(7,23),-2.4959 # DEPENDENCYPART_ARC
(9,2),-1.98299 # DEPENDENCYPART_ARC
(9,3),-1.94627 # DEPENDENCYPART_ARC
(9,4),-1.52746 # DEPENDENCYPART_ARC
(9,5),-1.72886 # DEPENDENCYPART_ARC
(9,6),-1.57273 # DEPENDENCYPART_ARC
(9,7),-1.11325 # DEPENDENCYPART_ARC
(9,8),-0.176497 # DEPENDENCYPART_ARC
(9,11),-1.19193 # DEPENDENCYPART_ARC
(9,12),-1.15171 # DEPENDENCYPART_ARC
(9,13),-1.58699 # DEPENDENCYPART_ARC
(9,14),-1.90473 # DEPENDENCYPART_ARC
(10,1),0.390392 # DEPENDENCYPART_ARC
(10,2),-1.53258 # DEPENDENCYPART_ARC
(10,3),-1.67818 # DEPENDENCYPART_ARC
(10,4),-1.74823 # DEPENDENCYPART_ARC
(10,5),-1.44057 # DEPENDENCYPART_ARC
(10,6),-1.27386 # DEPENDENCYPART_ARC
(10,7),-1.29201 # DEPENDENCYPART_ARC
(10,8),0.213701 # DEPENDENCYPART_ARC
(10,9),1.14117 # DEPENDENCYPART_ARC
(10,11),1.25536 # DEPENDENCYPART_ARC
(10,12),-0.0291656 # DEPENDENCYPART_ARC
(10,13),-0.748235 # DEPENDENCYPART_ARC
(10,14),-1.03312 # DEPENDENCYPART_ARC
(10,15),-1.16255 # DEPENDENCYPART_ARC
(10,16),-0.843024 # DEPENDENCYPART_ARC
(10,17),-0.45113 # DEPENDENCYPART_ARC
(10,18),-1.26977 # DEPENDENCYPART_ARC
(10,20),-1.48744 # DEPENDENCYPART_ARC
(10,23),-0.0130439 # DEPENDENCYPART_ARC
(11,6),-2.48177 # DEPENDENCYPART_ARC
(11,7),-2.90134 # DEPENDENCYPART_ARC
(11,9),-1.09318 # DEPENDENCYPART_ARC
(11,12),0.276714 # DEPENDENCYPART_ARC
(11,13),-1.16182 # DEPENDENCYPART_ARC
(11,14),-1.37016 # DEPENDENCYPART_ARC
(11,16),-1.42161 # DEPENDENCYPART_ARC
(11,17),-1.78306 # DEPENDENCYPART_ARC
(11,18),-1.80818 # DEPENDENCYPART_ARC
(11,20),-1.79331 # DEPENDENCYPART_ARC
(11,21),-2.52753 # DEPENDENCYPART_ARC
(11,22),-1.747 # DEPENDENCYPART_ARC
(11,23),-1.92343 # DEPENDENCYPART_ARC
(12,7),-2.44678 # DEPENDENCYPART_ARC
(12,11),-0.70683 # DEPENDENCYPART_ARC
(12,13),-0.521295 # DEPENDENCYPART_ARC
(12,14),-0.822045 # DEPENDENCYPART_ARC
(12,16),-1.45565 # DEPENDENCYPART_ARC
(12,17),-1.59159 # DEPENDENCYPART_ARC
(12,18),-2.03041 # DEPENDENCYPART_ARC
(12,20),-1.88179 # DEPENDENCYPART_ARC
(12,22),-2.94918 # DEPENDENCYPART_ARC
(13,11),-0.873446 # DEPENDENCYPART_ARC
(13,12),0.313698 # DEPENDENCYPART_ARC
(13,14),-0.193429 # DEPENDENCYPART_ARC
(13,15),-1.23572 # DEPENDENCYPART_ARC
(13,16),-1.35038 # DEPENDENCYPART_ARC
(13,17),-1.50156 # DEPENDENCYPART_ARC
(13,18),-2.00078 # DEPENDENCYPART_ARC
(13,20),-1.951 # DEPENDENCYPART_ARC
(13,21),-2.53659 # DEPENDENCYPART_ARC
(13,22),-2.22024 # DEPENDENCYPART_ARC
(13,23),-2.02651 # DEPENDENCYPART_ARC
(14,1),-1.41792 # DEPENDENCYPART_ARC
(14,11),-0.946299 # DEPENDENCYPART_ARC
(14,12),-0.953206 # DEPENDENCYPART_ARC
(14,13),0.744964 # DEPENDENCYPART_ARC
(14,15),0.222727 # DEPENDENCYPART_ARC
(14,16),-0.249669 # DEPENDENCYPART_ARC
(14,17),-0.775789 # DEPENDENCYPART_ARC
(14,18),-1.19749 # DEPENDENCYPART_ARC
(14,21),-1.79165 # DEPENDENCYPART_ARC
(14,22),-1.67982 # DEPENDENCYPART_ARC
(14,23),-1.30768 # DEPENDENCYPART_ARC
(16,11),-1.56882 # DEPENDENCYPART_ARC
(16,12),-1.34648 # DEPENDENCYPART_ARC
(16,13),-1.30379 # DEPENDENCYPART_ARC
(16,14),-0.906718 # DEPENDENCYPART_ARC
(16,15),1.29816 # DEPENDENCYPART_ARC
(16,17),-0.450559 # DEPENDENCYPART_ARC
(16,18),-1.62213 # DEPENDENCYPART_ARC
(16,19),-2.05342 # DEPENDENCYPART_ARC
(16,20),-1.93078 # DEPENDENCYPART_ARC
(16,21),-2.39693 # DEPENDENCYPART_ARC
(16,22),-1.95886 # DEPENDENCYPART_ARC
(16,23),-1.86385 # DEPENDENCYPART_ARC
(18,7),-1.42178 # DEPENDENCYPART_ARC
(18,9),-1.84865 # DEPENDENCYPART_ARC
(18,11),-1.77193 # DEPENDENCYPART_ARC
(18,12),-1.817 # DEPENDENCYPART_ARC
(18,13),-1.8433 # DEPENDENCYPART_ARC
(18,15),-1.71072 # DEPENDENCYPART_ARC
(18,16),-1.52342 # DEPENDENCYPART_ARC
(18,17),0.284402 # DEPENDENCYPART_ARC
(18,19),0.0757817 # DEPENDENCYPART_ARC
(18,20),-0.835806 # DEPENDENCYPART_ARC
(18,21),-1.13588 # DEPENDENCYPART_ARC
(18,22),-0.975007 # DEPENDENCYPART_ARC
(18,23),-1.35096 # DEPENDENCYPART_ARC
(19,18),-0.130436 # DEPENDENCYPART_ARC
(19,20),-0.543425 # DEPENDENCYPART_ARC
(19,21),-1.24487 # DEPENDENCYPART_ARC
(20,7),-1.762 # DEPENDENCYPART_ARC
(20,16),-1.85221 # DEPENDENCYPART_ARC
(20,18),-1.11824 # DEPENDENCYPART_ARC
(20,19),0.0647496 # DEPENDENCYPART_ARC
(20,21),-0.172121 # DEPENDENCYPART_ARC
(20,22),-1.12447 # DEPENDENCYPART_ARC
(20,23),-1.08826 # DEPENDENCYPART_ARC
(21,16),-1.85926 # DEPENDENCYPART_ARC
(21,18),-1.40268 # DEPENDENCYPART_ARC
(21,19),-0.869726 # DEPENDENCYPART_ARC
(21,20),-0.00768785 # DEPENDENCYPART_ARC
(21,22),-0.570141 # DEPENDENCYPART_ARC
(22,12),-1.64923 # DEPENDENCYPART_ARC
(22,14),-2.22455 # DEPENDENCYPART_ARC
(22,15),-1.85643 # DEPENDENCYPART_ARC
(22,16),-2.44564 # DEPENDENCYPART_ARC
(22,17),-1.61204 # DEPENDENCYPART_ARC
(22,18),-0.95708 # DEPENDENCYPART_ARC
(22,19),-0.437017 # DEPENDENCYPART_ARC
(22,20),0.04464 # DEPENDENCYPART_ARC
(22,21),1.10205 # DEPENDENCYPART_ARC
(22,23),-0.277768 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.026104 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.127488 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.120568 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.135318 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.132701 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.133265 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.130409 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00122229 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.12942 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.129984 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.127128 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0136831 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.133219 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.130365 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0152178 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0917477 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.000792068 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0152064 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0198487 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0206007 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0252855 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0699487 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0582338 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0321007 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.119237 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0371522 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0228709 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0288741 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0317864 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.100322 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0436274 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0738377 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0948177 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00390407 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00788462 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00634157 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00909198 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0119382 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0214808 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.117405 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0998919 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0534471 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0319079 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0659252 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0416152 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0447139 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0618886 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0437638 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0659252 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0410389 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0206647 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.195198 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0687131 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0889341 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0310928 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0990049 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0838396 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.119591 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0695996 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0310928 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0984312 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0406263 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0855824 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0724379 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.037376 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0843913 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.159924 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.106099 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0890282 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.037376 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0850143 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0792911 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00341422 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00204831 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0131784 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0133595 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.005555 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0493536 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.00204831 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.000717827 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0038197 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0226426 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0124051 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00137346 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0354485 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.101302 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0226426 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.033045 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0714488 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0019718 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0248952 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0163566 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.046951 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0297957 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0529848 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.00529367 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0140204 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.015013 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0554106 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0135818 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0114885 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.03603 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0122624 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.031205 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0298428 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0102115 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.000964565 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0753188 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0162486 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.00808104 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0531665 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00627039 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.000383078 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0398672 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.0529848 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.00529367 # DEPENDENCYPART_SIBL
(5,22),(5,23),0.0543208 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00271343 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00226323 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0017209 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0308714 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0853658 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0498063 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0615608 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0826365 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0286426 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0115057 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00357254 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0486193 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0694775 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0263505 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0353721 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0578878 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00161123 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0231388 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.002323 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00223144 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0910156 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0805565 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0256263 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0196198 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0268169 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0520599 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0385838 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0546139 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0756881 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.063742 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.052062 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0192603 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0813992 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0399839 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0385838 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.061808 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.042913 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0630317 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.242702 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.22875 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.257307 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.352917 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0249566 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0489039 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0428729 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0746689 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0738103 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0634553 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0848657 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0726466 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0249566 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0448905 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0534406 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0659957 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.28308 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.319122 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.416288 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0718981 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.106064 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0817723 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.132142 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0994184 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0859946 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0992015 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.129809 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0718981 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0595125 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.110604 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.085729 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.171394 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.347415 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.072117 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0842654 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.151775 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.111465 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.11044 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.110903 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.118954 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.10869 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.072117 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.070774 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0900013 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.118815 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.351925 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.106721 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0798134 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0835395 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.104797 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0792173 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0919249 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.114224 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.103556 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.106721 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0632914 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.084352 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.0952772 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00320315 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0134645 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0258113 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00786955 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.010816 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0149214 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.119781 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0235742 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.00320315 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0438007 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.00411308 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.0795469 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0287995 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0802064 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0433699 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0408611 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0232286 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0777265 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0438974 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0492596 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.046269 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0786768 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.00982219 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0210037 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0049746 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00802983 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.00941944 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0149692 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0297128 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.00517759 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0066937 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.00925201 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.00771296 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00687453 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00726357 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00611371 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0183229 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0164865 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0460552 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.00303353 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.00557801 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.0185204 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0393806 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0185353 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00584079 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0278643 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.00228281 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0024122 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.00740318 # DEPENDENCYPART_SIBL
