# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(1,3),(1,4),-0.0409678 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0322698 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0425264 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0125946 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0199846 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0417745 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.448529 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0140335 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0207084 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0417745 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0214404 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0511642 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0151461 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0655005 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.223992 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0479321 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0487556 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0810528 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.223992 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0655393 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00164065 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0789465 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.395599 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0195152 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.389658 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0459304 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.395599 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0789465 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.030124 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.236838 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0299826 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0447081 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0331096 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.236838 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0347466 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.310165 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0259946 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.106517 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0769825 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.310165 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.160783 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.227111 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.206356 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.342193 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.542084 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.476464 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0738193 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00117811 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.171293 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.123094 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0368126 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.52388 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.061632 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.256422 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0938859 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.476464 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0484641 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0869569 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0609152 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0100501 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0931627 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0180521 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0971407 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0439171 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0464609 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00501679 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.221967 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.384671 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.204287 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.098868 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.199045 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.166389 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0470893 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.019526 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.166023 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0334316 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0465772 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00376851 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.150334 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.159941 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0226848 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00376851 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.050332 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00262309 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0631029 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.019526 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0413458 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0851353 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0644129 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0470994 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0506261 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0930775 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0469324 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.017208 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.135258 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0183133 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0288946 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.017208 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0536037 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0892384 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0839486 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0470994 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0459621 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.00859831 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.201359 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0580335 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0627905 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0511043 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00769003 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0198135 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00334775 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0217394 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00769003 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0587681 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.203801 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0795842 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.201359 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0510329 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.052184 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0208663 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0457497 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0291351 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0353915 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00572711 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0335309 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00738669 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0353915 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0243924 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0456448 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0206819 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.126524 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0188712 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0735763 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0850499 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.242692 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0759639 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.137999 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0625789 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.173639 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0759639 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.243711 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0473899 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.187838 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.122405 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.240912 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.164536 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0595919 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0311955 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0890472 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0548915 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0226188 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0311955 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0609913 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0639921 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0382251 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.187596 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0578067 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0959615 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0621029 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0693603 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.125815 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.139327 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0621029 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.274797 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0738559 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.146703 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0278816 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.270277 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.00527785 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0562978 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0592268 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0540338 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.180308 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0661439 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00554373 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0693505 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0306094 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0172322 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0132405 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00153682 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00705611 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0414624 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00363777 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.268904 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00784922 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.289578 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.006911 # DEPENDENCYPART_SIBL
(4,10),(4,26),-0.035773 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.219857 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0345315 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.288431 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.167941 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.234695 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.14791 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.285672 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0367499 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0100913 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.120765 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00200672 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.190964 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0406408 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.115754 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0889562 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0661439 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.00554373 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0693505 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0306094 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.0172322 # DEPENDENCYPART_SIBL
(4,14),(4,26),0.0132405 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0488365 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.150108 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.014512 # DEPENDENCYPART_SIBL
(4,17),(4,25),-0.272643 # DEPENDENCYPART_SIBL
(4,17),(4,26),-0.0124046 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0700849 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.118574 # DEPENDENCYPART_SIBL
(4,18),(4,25),-0.0263848 # DEPENDENCYPART_SIBL
(4,18),(4,26),0.107006 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.00391218 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.129417 # DEPENDENCYPART_SIBL
(4,20),(4,26),0.0289197 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.0188712 # DEPENDENCYPART_SIBL
(4,21),(4,26),0.0735763 # DEPENDENCYPART_SIBL
(4,25),(4,26),0.00726923 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.182428 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.131768 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.173384 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.109329 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0713825 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0822092 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0395143 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.231656 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0774009 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0166128 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0395143 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0960179 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0483641 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0425184 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0396201 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0356507 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00285061 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0287101 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0585533 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0439399 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0587693 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0287101 # DEPENDENCYPART_SIBL
