# _root_ UNC also is selling new parts , if needed , directly to the military instead of through a prime contractor .
#goldHeads=3,3,0,3,6,4,4,9,4,4,4,4,14,12,16,4,16,20,20,17,3,
#predictedHeads=3,3,0,3,6,4,4,9,4,9,9,11,14,12,16,14,16,20,20,17,3,
(8,10),-1.49352 # DEPENDENCYPART_ARC
(8,11),-2.27991 # DEPENDENCYPART_ARC
(8,12),-2.43977 # DEPENDENCYPART_ARC
(9,1),-2.82892 # DEPENDENCYPART_ARC
(9,3),-2.01513 # DEPENDENCYPART_ARC
(9,4),-2.06603 # DEPENDENCYPART_ARC
(9,6),-2.42691 # DEPENDENCYPART_ARC
(9,7),-1.01827 # DEPENDENCYPART_ARC
(9,8),0.604513 # DEPENDENCYPART_ARC
(9,10),-0.0195652 # DEPENDENCYPART_ARC
(9,11),-1.46477 # DEPENDENCYPART_ARC
(9,12),-1.67985 # DEPENDENCYPART_ARC
(9,14),-2.05736 # DEPENDENCYPART_ARC
(9,15),-1.99793 # DEPENDENCYPART_ARC
(9,16),-2.40776 # DEPENDENCYPART_ARC
(9,17),-2.52008 # DEPENDENCYPART_ARC
(9,20),-2.46321 # DEPENDENCYPART_ARC
(9,21),-1.59631 # DEPENDENCYPART_ARC
(10,8),-0.910016 # DEPENDENCYPART_ARC
(10,11),-0.554626 # DEPENDENCYPART_ARC
(11,1),-1.56294 # DEPENDENCYPART_ARC
(11,4),-1.43034 # DEPENDENCYPART_ARC
(11,5),-1.72501 # DEPENDENCYPART_ARC
(11,6),-1.58745 # DEPENDENCYPART_ARC
(11,7),-2.05262 # DEPENDENCYPART_ARC
(11,8),-1.73306 # DEPENDENCYPART_ARC
(11,10),0.0371174 # DEPENDENCYPART_ARC
(11,12),0.037573 # DEPENDENCYPART_ARC
(11,13),-0.916745 # DEPENDENCYPART_ARC
(11,14),-1.02615 # DEPENDENCYPART_ARC
(11,15),-1.20371 # DEPENDENCYPART_ARC
(11,16),-1.17362 # DEPENDENCYPART_ARC
(11,17),-1.3696 # DEPENDENCYPART_ARC
(11,21),-1.3047 # DEPENDENCYPART_ARC
(12,10),-1.14259 # DEPENDENCYPART_ARC
(12,11),0.0883475 # DEPENDENCYPART_ARC
(12,13),0.0772733 # DEPENDENCYPART_ARC
(12,14),-0.648799 # DEPENDENCYPART_ARC
(12,15),-1.05148 # DEPENDENCYPART_ARC
(12,16),-1.27957 # DEPENDENCYPART_ARC
(12,17),-1.36911 # DEPENDENCYPART_ARC
(12,20),-1.19504 # DEPENDENCYPART_ARC
(12,21),-0.678973 # DEPENDENCYPART_ARC
(13,14),-0.466966 # DEPENDENCYPART_ARC
(13,16),-1.31882 # DEPENDENCYPART_ARC
(13,17),-1.44085 # DEPENDENCYPART_ARC
(14,10),-1.55325 # DEPENDENCYPART_ARC
(14,11),-1.1146 # DEPENDENCYPART_ARC
(14,12),-1.12436 # DEPENDENCYPART_ARC
(14,13),0.333493 # DEPENDENCYPART_ARC
(14,15),-0.253189 # DEPENDENCYPART_ARC
(14,16),-0.874024 # DEPENDENCYPART_ARC
(14,17),-1.0265 # DEPENDENCYPART_ARC
(14,19),-1.20653 # DEPENDENCYPART_ARC
(14,20),-1.58094 # DEPENDENCYPART_ARC
(14,21),-1.15455 # DEPENDENCYPART_ARC
(15,4),-1.49459 # DEPENDENCYPART_ARC
(15,6),-1.76528 # DEPENDENCYPART_ARC
(15,7),-2.42611 # DEPENDENCYPART_ARC
(15,8),-1.99776 # DEPENDENCYPART_ARC
(15,10),-1.70842 # DEPENDENCYPART_ARC
(15,12),-1.31007 # DEPENDENCYPART_ARC
(15,13),-1.35017 # DEPENDENCYPART_ARC
(15,14),-0.386266 # DEPENDENCYPART_ARC
(15,16),0.415508 # DEPENDENCYPART_ARC
(15,17),-0.612669 # DEPENDENCYPART_ARC
(15,19),-0.634983 # DEPENDENCYPART_ARC
(15,20),-0.960908 # DEPENDENCYPART_ARC
(15,21),-0.827429 # DEPENDENCYPART_ARC
(16,12),-1.38901 # DEPENDENCYPART_ARC
(16,14),-1.19257 # DEPENDENCYPART_ARC
(16,15),0.271353 # DEPENDENCYPART_ARC
(16,17),-0.0928285 # DEPENDENCYPART_ARC
(16,18),-0.982877 # DEPENDENCYPART_ARC
(16,19),-1.3105 # DEPENDENCYPART_ARC
(16,20),-1.24893 # DEPENDENCYPART_ARC
(16,21),-1.42471 # DEPENDENCYPART_ARC
(17,15),-1.59868 # DEPENDENCYPART_ARC
(17,16),-0.733876 # DEPENDENCYPART_ARC
(17,18),-0.148454 # DEPENDENCYPART_ARC
(17,19),-0.997673 # DEPENDENCYPART_ARC
(17,20),-0.810394 # DEPENDENCYPART_ARC
(18,19),-0.452847 # DEPENDENCYPART_ARC
(19,12),-1.68083 # DEPENDENCYPART_ARC
(19,17),-1.3109 # DEPENDENCYPART_ARC
(19,18),0.0185982 # DEPENDENCYPART_ARC
(19,20),-0.386066 # DEPENDENCYPART_ARC
(20,13),-2.2636 # DEPENDENCYPART_ARC
(20,14),-1.77718 # DEPENDENCYPART_ARC
(20,15),-1.13846 # DEPENDENCYPART_ARC
(20,16),-1.14602 # DEPENDENCYPART_ARC
(20,17),-0.965469 # DEPENDENCYPART_ARC
(20,18),0.393279 # DEPENDENCYPART_ARC
(20,19),1.50031 # DEPENDENCYPART_ARC
(20,21),-0.49886 # DEPENDENCYPART_ARC
(21,20),-0.486274 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0212091 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.125876 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.125417 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.122564 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.126285 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.108134 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.11139 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.253136 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.254425 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.234122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0397576 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0204922 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0303762 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0143434 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0233888 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0190272 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0232189 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0233888 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0115525 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0209106 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0263304 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0518128 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0229602 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0403946 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0229262 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0492892 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0522518 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0229262 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0292255 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0331329 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0313472 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.000328897 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00443214 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0248935 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0104223 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0129102 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0248935 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00743124 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.00283049 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.00827505 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0182328 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00168669 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0211063 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00866558 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00168669 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0237914 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0104663 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0072578 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00685109 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0424199 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0137639 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.00685109 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00795415 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0118834 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0205547 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.00784697 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0347799 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0393972 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0117675 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0608736 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0050613 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0321989 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0048499 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.010633 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.0110873 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0194019 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0333275 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.00440904 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00554682 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.00147689 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0117675 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0608736 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0050613 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0188257 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.00462938 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.026182 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0359556 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0376301 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.205347 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0834021 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0153758 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00419275 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0135413 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0351967 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0153079 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0313187 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0215132 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00245683 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00571126 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0145057 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0117444 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.010655 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00761612 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.030663 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.102267 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00406471 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0806938 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0126696 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00406471 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0051889 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0691919 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.000758804 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00529912 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.014408 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0158765 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0368165 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0177776 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0234842 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0699412 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0381779 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0234842 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.047378 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00237785 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.015249 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0456619 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.19778 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0865942 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0689523 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0749864 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.122577 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0861959 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0749864 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0598931 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.112259 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0790187 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.066606 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0300517 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0717474 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0367669 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.083834 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0426281 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0367669 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0552845 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0429601 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0781745 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.062519 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0100147 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00299788 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.107829 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00628761 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00299788 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0242857 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0322403 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0312397 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0397831 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.000456106 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0264781 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0467555 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0346836 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.078976 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00874065 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0256729 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0614447 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.00253211 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0555228 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0396843 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0327681 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.057425 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0351267 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0441447 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0374325 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0516118 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0698976 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.110031 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0719545 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0766105 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0205849 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.078976 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00874065 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0256729 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0614447 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.00253211 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00832682 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0373461 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0241908 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00365183 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0205961 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0104562 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.027014 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0550732 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0104927 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0121336 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.000361379 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0509188 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.000874648 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0492877 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0852299 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0457293 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0492877 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0468361 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00126295 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0390622 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0378274 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0175126 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0114667 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.184219 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0257061 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.016596 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0148188 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0503129 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0560928 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0148188 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0154561 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0586298 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.000355341 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0355353 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0115278 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0058819 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0669728 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0457891 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00721357 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0419032 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00239018 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00721357 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0231405 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00927903 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0639324 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0288704 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0157467 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0387277 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0179685 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00369251 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0600534 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0314289 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00369251 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0159725 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0385488 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.024043 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00198872 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00680549 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0342093 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0134414 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0447136 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.075119 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0166386 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0324968 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00712196 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0106387 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0165979 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.106344 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0272633 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.00856458 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0136146 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00826136 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0156245 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00815986 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0387399 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0254966 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0581065 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0325304 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0290281 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0141864 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0269835 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0464498 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0501336 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0324431 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00963872 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00538034 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.015792 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0324968 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.00712196 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0106387 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0165979 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.106344 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0272633 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00856458 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0410189 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0108334 # DEPENDENCYPART_SIBL
