# _root_ The new generation of plants will possess the flourishing , high-production trait known as `` hybrid vigor , '' similar to that now seen in hybrid corn .
#goldHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,14,17,14,12,12,12,20,21,24,22,24,27,25,6,
#predictedHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,17,17,14,17,17,17,20,21,24,20,24,27,25,6,
(13,14),0.443374 # DEPENDENCYPART_ARC
(13,15),-1.15195 # DEPENDENCYPART_ARC
(13,16),-1.49887 # DEPENDENCYPART_ARC
(13,17),-1.34229 # DEPENDENCYPART_ARC
(13,18),-1.59716 # DEPENDENCYPART_ARC
(13,19),-1.6168 # DEPENDENCYPART_ARC
(13,20),-2.12798 # DEPENDENCYPART_ARC
(13,21),-2.1567 # DEPENDENCYPART_ARC
(13,23),-2.15108 # DEPENDENCYPART_ARC
(13,24),-2.19795 # DEPENDENCYPART_ARC
(13,28),-1.40953 # DEPENDENCYPART_ARC
(14,12),-1.04266 # DEPENDENCYPART_ARC
(14,13),0.0399683 # DEPENDENCYPART_ARC
(14,15),0.222538 # DEPENDENCYPART_ARC
(14,16),-0.759342 # DEPENDENCYPART_ARC
(14,17),-0.861808 # DEPENDENCYPART_ARC
(14,18),-1.22365 # DEPENDENCYPART_ARC
(14,19),-1.51128 # DEPENDENCYPART_ARC
(14,20),-1.73065 # DEPENDENCYPART_ARC
(14,21),-1.96063 # DEPENDENCYPART_ARC
(14,23),-1.79312 # DEPENDENCYPART_ARC
(16,9),-2.08545 # DEPENDENCYPART_ARC
(16,11),-1.66615 # DEPENDENCYPART_ARC
(16,12),-1.38447 # DEPENDENCYPART_ARC
(16,15),-0.119121 # DEPENDENCYPART_ARC
(16,17),-0.380903 # DEPENDENCYPART_ARC
(16,19),-1.42993 # DEPENDENCYPART_ARC
(16,20),-1.6884 # DEPENDENCYPART_ARC
(17,8),-2.36851 # DEPENDENCYPART_ARC
(17,9),-1.97615 # DEPENDENCYPART_ARC
(17,10),-1.84154 # DEPENDENCYPART_ARC
(17,11),-1.18429 # DEPENDENCYPART_ARC
(17,12),-1.4429 # DEPENDENCYPART_ARC
(17,13),-1.03451 # DEPENDENCYPART_ARC
(17,14),-0.959121 # DEPENDENCYPART_ARC
(17,15),-0.244799 # DEPENDENCYPART_ARC
(17,16),1.44482 # DEPENDENCYPART_ARC
(17,18),0.109814 # DEPENDENCYPART_ARC
(17,19),-1.37842 # DEPENDENCYPART_ARC
(17,20),-1.59708 # DEPENDENCYPART_ARC
(17,21),-1.7743 # DEPENDENCYPART_ARC
(17,22),-2.05601 # DEPENDENCYPART_ARC
(17,23),-1.77775 # DEPENDENCYPART_ARC
(17,24),-2.07252 # DEPENDENCYPART_ARC
(17,25),-2.05225 # DEPENDENCYPART_ARC
(17,27),-1.92039 # DEPENDENCYPART_ARC
(20,12),-1.64905 # DEPENDENCYPART_ARC
(20,14),-1.42451 # DEPENDENCYPART_ARC
(20,16),-1.50712 # DEPENDENCYPART_ARC
(20,17),-1.20767 # DEPENDENCYPART_ARC
(20,18),-0.816496 # DEPENDENCYPART_ARC
(20,19),0.233374 # DEPENDENCYPART_ARC
(20,21),0.279113 # DEPENDENCYPART_ARC
(20,23),-0.934653 # DEPENDENCYPART_ARC
(20,24),-0.8671 # DEPENDENCYPART_ARC
(20,25),-1.119 # DEPENDENCYPART_ARC
(20,26),-1.05821 # DEPENDENCYPART_ARC
(20,27),-1.50417 # DEPENDENCYPART_ARC
(20,28),-1.16004 # DEPENDENCYPART_ARC
(21,18),-1.14578 # DEPENDENCYPART_ARC
(21,20),-0.0695399 # DEPENDENCYPART_ARC
(21,22),0.305658 # DEPENDENCYPART_ARC
(21,23),-0.671651 # DEPENDENCYPART_ARC
(21,25),-1.03689 # DEPENDENCYPART_ARC
(21,27),-1.46068 # DEPENDENCYPART_ARC
(21,28),-0.724446 # DEPENDENCYPART_ARC
(22,23),-0.172497 # DEPENDENCYPART_ARC
(22,24),-0.950128 # DEPENDENCYPART_ARC
(22,25),-1.13217 # DEPENDENCYPART_ARC
(23,3),-1.94642 # DEPENDENCYPART_ARC
(23,21),-1.4486 # DEPENDENCYPART_ARC
(23,22),-0.519497 # DEPENDENCYPART_ARC
(23,24),0.00531752 # DEPENDENCYPART_ARC
(23,25),-0.796463 # DEPENDENCYPART_ARC
(23,26),-0.991473 # DEPENDENCYPART_ARC
(23,27),-1.18952 # DEPENDENCYPART_ARC
(24,10),-2.84664 # DEPENDENCYPART_ARC
(24,14),-2.02471 # DEPENDENCYPART_ARC
(24,16),-2.18683 # DEPENDENCYPART_ARC
(24,17),-2.33284 # DEPENDENCYPART_ARC
(24,18),-1.68593 # DEPENDENCYPART_ARC
(24,20),-1.54353 # DEPENDENCYPART_ARC
(24,22),-0.795608 # DEPENDENCYPART_ARC
(24,23),0.319882 # DEPENDENCYPART_ARC
(24,25),0.45547 # DEPENDENCYPART_ARC
(24,26),-1.1247 # DEPENDENCYPART_ARC
(24,27),-1.04891 # DEPENDENCYPART_ARC
(24,28),-0.578215 # DEPENDENCYPART_ARC
(25,21),-1.41581 # DEPENDENCYPART_ARC
(25,23),-1.01369 # DEPENDENCYPART_ARC
(25,24),-0.155997 # DEPENDENCYPART_ARC
(25,26),0.0424133 # DEPENDENCYPART_ARC
(25,27),-0.0156015 # DEPENDENCYPART_ARC
(25,28),-1.09425 # DEPENDENCYPART_ARC
(26,21),-2.04097 # DEPENDENCYPART_ARC
(26,22),-2.02867 # DEPENDENCYPART_ARC
(27,16),-2.15703 # DEPENDENCYPART_ARC
(27,20),-1.86755 # DEPENDENCYPART_ARC
(27,22),-1.66321 # DEPENDENCYPART_ARC
(27,23),-1.11614 # DEPENDENCYPART_ARC
(27,24),-0.968484 # DEPENDENCYPART_ARC
(27,25),-0.718416 # DEPENDENCYPART_ARC
(27,26),1.4343 # DEPENDENCYPART_ARC
(27,28),-0.407704 # DEPENDENCYPART_ARC
(28,24),-1.28888 # DEPENDENCYPART_ARC
(28,25),-1.05206 # DEPENDENCYPART_ARC
(28,27),-0.253362 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0296079 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0518228 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0407018 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.101505 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.104444 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.00871197 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0491511 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0968717 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0949354 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.039393 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.101244 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.104651 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.104725 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.10485 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.166101 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00296653 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.415896 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0885255 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.14143 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.145306 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0958809 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0180771 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0490688 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00541119 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00414131 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00249824 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0568537 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.263499 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00234279 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0952513 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.128737 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.144121 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0881106 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00527359 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0881106 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0126725 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.19342 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.184672 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0126725 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00527359 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0579694 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.192295 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.150367 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0114422 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.119512 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0817073 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0219468 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.038744 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0472395 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0791264 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0279069 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00564488 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0279069 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0256465 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0901169 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0280606 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0256465 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.00564488 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0500707 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0999853 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0600794 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.00896866 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0522504 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00777013 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0735246 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0365796 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0876994 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00911372 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0221882 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00911372 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00406005 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0239149 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00547857 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.00406005 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0221882 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0209391 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0871447 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0367706 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0225813 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0113778 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00966155 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0130226 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0139792 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00713162 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0181537 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00713162 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0117623 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0111252 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0148993 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0117623 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0181537 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0112487 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0229932 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0130725 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0306072 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.018852 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00221603 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0124949 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00526589 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0158063 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00526589 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00298017 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00398703 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0125165 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00298017 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0158063 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0111297 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0111751 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.00222824 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0338592 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0661677 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0180737 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00246291 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0186408 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00246291 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0170629 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00454618 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.00978368 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0170629 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0186408 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.00334782 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0204279 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.00859371 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.00323042 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.00463221 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0220438 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0231366 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0220438 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.011763 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0198628 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0148418 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.011763 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0231366 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0279076 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0201511 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.026201 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0507948 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.0136512 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0163587 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0158018 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0106054 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00713121 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.008262 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0106054 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0163587 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0100302 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0297624 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00197298 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.00599711 # DEPENDENCYPART_SIBL
(3,9),(3,28),-0.00132037 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0441494 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.041745 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0492641 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0568373 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.041745 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0366613 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0604103 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0122521 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.022666 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.00044171 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.00278435 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0106054 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00713121 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.008262 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0106054 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0163587 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0100302 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0297624 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.00197298 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.00599711 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.00132037 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0104833 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0154402 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0115037 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0153818 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0114552 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0227867 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0129992 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0370596 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.0201772 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0168704 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.00710493 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0583919 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0167423 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0100897 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.00188975 # DEPENDENCYPART_SIBL
(3,13),(3,25),0.0119334 # DEPENDENCYPART_SIBL
(3,13),(3,28),-0.00217781 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.00897573 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0229132 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0372379 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.046639 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0177999 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.0104445 # DEPENDENCYPART_SIBL
(3,14),(3,28),0.0600762 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0153818 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0114552 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0227867 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0129992 # DEPENDENCYPART_SIBL
(3,17),(3,25),-0.0370596 # DEPENDENCYPART_SIBL
(3,17),(3,28),0.0201772 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0604103 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0122521 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.022666 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.00044171 # DEPENDENCYPART_SIBL
(3,18),(3,28),-0.00278435 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.024818 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.00759007 # DEPENDENCYPART_SIBL
(3,20),(3,25),-0.00137414 # DEPENDENCYPART_SIBL
(3,20),(3,28),0.000207587 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0425671 # DEPENDENCYPART_SIBL
(3,22),(3,25),-0.0677311 # DEPENDENCYPART_SIBL
(3,22),(3,28),-0.0062644 # DEPENDENCYPART_SIBL
(3,24),(3,25),0.00165173 # DEPENDENCYPART_SIBL
(3,24),(3,28),-0.0086743 # DEPENDENCYPART_SIBL
(3,25),(3,28),0.0380496 # DEPENDENCYPART_SIBL
