# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,10,16,16,12,10,10,18,21,23,21,18,10,
(3,1),(3,8),0.0370768 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0300903 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.233089 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0606025 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.139215 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0088296 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.139215 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.502366 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.070642 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0684653 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.120972 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0403358 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0393948 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0234235 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0225051 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0555669 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.06411 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0307684 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0520986 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0110617 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0520986 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0281232 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0510621 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0399615 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.056516 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0994921 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0964573 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0950211 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.167325 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0653507 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.119511 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0640945 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.238034 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0640945 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.493995 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.178304 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0116686 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00302847 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00122573 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00346802 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0863448 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0920602 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.020728 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.118197 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0204663 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.118197 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.106995 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0813747 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0216183 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0790523 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0822502 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0482094 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0207928 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.104045 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0232935 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0904351 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0232935 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00521237 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0437519 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0273491 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.077814 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0421423 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0163143 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0991548 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00847391 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0855517 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00847391 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.000776197 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0376848 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0271107 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0464216 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0206709 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.103483 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0095734 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0898804 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0095734 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00513368 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0419641 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0277907 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0450053 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0748306 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00882501 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0999098 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.00882501 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0173498 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.229398 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0880009 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.136398 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.443171 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.111819 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.443171 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.00728399 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0209058 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0178251 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.131013 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.252311 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.131013 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0594197 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.162066 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0676515 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.601385 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.00939756 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.000502966 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.380777 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.00335788 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.166942 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0392386 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.134049 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0363215 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.000502966 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.380777 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.00335788 # DEPENDENCYPART_SIBL
(3,22),(3,23),-0.0548154 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0800919 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.142445 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0263115 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.000246164 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0126915 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0112261 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.132035 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.000587199 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.14474 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0738334 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.135762 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0691231 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.39987 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.398875 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.398864 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.843774 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.475197 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.795868 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.771143 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.844894 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.122532 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.331243 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.332187 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.5668 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.393814 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.627587 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.631919 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.568433 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0085345 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.326029 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.559011 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.387614 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.620975 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.625315 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.560644 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.00708463 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.558939 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.387619 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.620951 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.625291 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.560571 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.00206404 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.577499 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.930297 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.960663 # DEPENDENCYPART_SIBL
(4,9),(4,23),-1.1248 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0384522 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.543887 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.536949 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.465415 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.409915 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.860477 # DEPENDENCYPART_SIBL
(4,12),(4,23),-1.01875 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.0739773 # DEPENDENCYPART_SIBL
(4,16),(4,23),-1.14657 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.0824862 # DEPENDENCYPART_SIBL
(4,23),(4,24),-0.0112471 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.164455 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0200044 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0246175 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0415152 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.107181 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.106259 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0343066 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0457296 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0456933 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0764786 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00780854 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0901852 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0319521 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0803852 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0336581 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0418806 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0838509 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0189688 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0336824 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.042268 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0587926 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0190137 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0206709 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.206202 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0148988 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0680017 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.05647 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.613702 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0676807 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0781648 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0106257 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0629748 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0539131 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0504297 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.214316 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0101983 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.133285 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.139017 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0741083 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0726986 # DEPENDENCYPART_SIBL
