# _root_ A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .
#goldHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
#predictedHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
(4,13),-1.88797 # DEPENDENCYPART_ARC
(4,14),-1.3251 # DEPENDENCYPART_ARC
(4,18),-1.16048 # DEPENDENCYPART_ARC
(4,19),-1.96234 # DEPENDENCYPART_ARC
(4,23),0.559926 # DEPENDENCYPART_ARC
(5,7),-1.30008 # DEPENDENCYPART_ARC
(6,1),-2.26864 # DEPENDENCYPART_ARC
(6,3),-1.9157 # DEPENDENCYPART_ARC
(6,4),-1.55551 # DEPENDENCYPART_ARC
(6,5),0.486403 # DEPENDENCYPART_ARC
(6,7),-0.381899 # DEPENDENCYPART_ARC
(6,8),-1.46213 # DEPENDENCYPART_ARC
(6,9),-1.51837 # DEPENDENCYPART_ARC
(6,10),-1.98764 # DEPENDENCYPART_ARC
(6,11),-2.3145 # DEPENDENCYPART_ARC
(6,12),-1.93352 # DEPENDENCYPART_ARC
(6,13),-1.88187 # DEPENDENCYPART_ARC
(6,15),-2.28219 # DEPENDENCYPART_ARC
(6,18),-2.44582 # DEPENDENCYPART_ARC
(6,19),-1.97078 # DEPENDENCYPART_ARC
(6,22),-2.38245 # DEPENDENCYPART_ARC
(8,3),-2.38213 # DEPENDENCYPART_ARC
(8,4),-2.0894 # DEPENDENCYPART_ARC
(8,5),-1.34039 # DEPENDENCYPART_ARC
(8,6),-0.693865 # DEPENDENCYPART_ARC
(8,7),0.0839716 # DEPENDENCYPART_ARC
(8,9),0.477828 # DEPENDENCYPART_ARC
(8,10),-1.32687 # DEPENDENCYPART_ARC
(8,11),-1.79094 # DEPENDENCYPART_ARC
(8,12),-1.92968 # DEPENDENCYPART_ARC
(8,13),-1.93623 # DEPENDENCYPART_ARC
(8,15),-2.28173 # DEPENDENCYPART_ARC
(8,17),-2.07815 # DEPENDENCYPART_ARC
(8,18),-2.45338 # DEPENDENCYPART_ARC
(8,22),-2.05997 # DEPENDENCYPART_ARC
(10,4),-2.17606 # DEPENDENCYPART_ARC
(10,5),-1.09168 # DEPENDENCYPART_ARC
(10,6),-1.68182 # DEPENDENCYPART_ARC
(10,7),-2.574 # DEPENDENCYPART_ARC
(10,8),-1.36339 # DEPENDENCYPART_ARC
(10,9),-0.596376 # DEPENDENCYPART_ARC
(10,12),-1.0065 # DEPENDENCYPART_ARC
(10,13),-1.53415 # DEPENDENCYPART_ARC
(10,14),-1.65418 # DEPENDENCYPART_ARC
(10,15),-1.71945 # DEPENDENCYPART_ARC
(11,1),-0.970824 # DEPENDENCYPART_ARC
(11,2),-1.59132 # DEPENDENCYPART_ARC
(11,3),-2.07959 # DEPENDENCYPART_ARC
(11,4),-1.43199 # DEPENDENCYPART_ARC
(11,5),-0.069765 # DEPENDENCYPART_ARC
(11,6),-1.10245 # DEPENDENCYPART_ARC
(11,7),-1.81376 # DEPENDENCYPART_ARC
(11,8),-0.910221 # DEPENDENCYPART_ARC
(11,9),-0.818656 # DEPENDENCYPART_ARC
(11,10),2.17129 # DEPENDENCYPART_ARC
(11,12),-0.48581 # DEPENDENCYPART_ARC
(11,13),-1.51619 # DEPENDENCYPART_ARC
(11,14),-1.65969 # DEPENDENCYPART_ARC
(11,15),-1.75225 # DEPENDENCYPART_ARC
(12,2),-0.995893 # DEPENDENCYPART_ARC
(12,3),-0.857144 # DEPENDENCYPART_ARC
(12,4),-1.69677 # DEPENDENCYPART_ARC
(12,5),-1.6901 # DEPENDENCYPART_ARC
(12,6),-0.822315 # DEPENDENCYPART_ARC
(12,7),-1.94713 # DEPENDENCYPART_ARC
(12,8),-1.81776 # DEPENDENCYPART_ARC
(12,9),-0.99923 # DEPENDENCYPART_ARC
(12,10),-0.522783 # DEPENDENCYPART_ARC
(12,11),0.650135 # DEPENDENCYPART_ARC
(12,13),0.542249 # DEPENDENCYPART_ARC
(12,14),0.130333 # DEPENDENCYPART_ARC
(12,15),-0.61628 # DEPENDENCYPART_ARC
(12,17),-0.763625 # DEPENDENCYPART_ARC
(12,18),-0.855117 # DEPENDENCYPART_ARC
(12,19),-1.21338 # DEPENDENCYPART_ARC
(12,22),-1.55949 # DEPENDENCYPART_ARC
(12,23),0.345662 # DEPENDENCYPART_ARC
(13,3),-1.7464 # DEPENDENCYPART_ARC
(13,6),-1.74886 # DEPENDENCYPART_ARC
(13,8),-2.24493 # DEPENDENCYPART_ARC
(13,9),-1.92801 # DEPENDENCYPART_ARC
(13,11),-1.63929 # DEPENDENCYPART_ARC
(13,12),-0.368698 # DEPENDENCYPART_ARC
(13,14),-0.531104 # DEPENDENCYPART_ARC
(13,15),-1.2639 # DEPENDENCYPART_ARC
(13,17),-1.57113 # DEPENDENCYPART_ARC
(13,19),-1.83473 # DEPENDENCYPART_ARC
(14,3),-1.57957 # DEPENDENCYPART_ARC
(14,11),-1.29033 # DEPENDENCYPART_ARC
(14,13),0.473586 # DEPENDENCYPART_ARC
(14,15),0.608409 # DEPENDENCYPART_ARC
(14,17),-0.900886 # DEPENDENCYPART_ARC
(14,18),-0.559546 # DEPENDENCYPART_ARC
(14,19),-0.956922 # DEPENDENCYPART_ARC
(14,22),-1.30923 # DEPENDENCYPART_ARC
(14,23),-1.04893 # DEPENDENCYPART_ARC
(15,11),-1.59543 # DEPENDENCYPART_ARC
(15,13),-1.07853 # DEPENDENCYPART_ARC
(15,14),-0.602406 # DEPENDENCYPART_ARC
(15,16),0.203468 # DEPENDENCYPART_ARC
(15,17),0.0749379 # DEPENDENCYPART_ARC
(15,18),-1.19712 # DEPENDENCYPART_ARC
(15,19),-1.51696 # DEPENDENCYPART_ARC
(15,22),-2.112 # DEPENDENCYPART_ARC
(16,18),-1.08271 # DEPENDENCYPART_ARC
(16,19),-1.4927 # DEPENDENCYPART_ARC
(17,13),-1.54953 # DEPENDENCYPART_ARC
(17,14),-1.96276 # DEPENDENCYPART_ARC
(17,15),-1.19262 # DEPENDENCYPART_ARC
(17,16),1.08416 # DEPENDENCYPART_ARC
(17,18),0.181859 # DEPENDENCYPART_ARC
(17,19),-0.850726 # DEPENDENCYPART_ARC
(17,22),-1.4572 # DEPENDENCYPART_ARC
(18,3),-2.05559 # DEPENDENCYPART_ARC
(18,4),-2.8801 # DEPENDENCYPART_ARC
(18,7),-2.90881 # DEPENDENCYPART_ARC
(18,8),-2.87471 # DEPENDENCYPART_ARC
(18,9),-2.22569 # DEPENDENCYPART_ARC
(18,11),-1.74327 # DEPENDENCYPART_ARC
(18,12),-2.27398 # DEPENDENCYPART_ARC
(18,13),-2.00566 # DEPENDENCYPART_ARC
(18,14),-1.88802 # DEPENDENCYPART_ARC
(18,15),-1.17979 # DEPENDENCYPART_ARC
(18,16),-1.41896 # DEPENDENCYPART_ARC
(18,17),-0.131869 # DEPENDENCYPART_ARC
(18,19),0.417803 # DEPENDENCYPART_ARC
(18,21),-1.55805 # DEPENDENCYPART_ARC
(18,22),-1.24422 # DEPENDENCYPART_ARC
(18,23),-0.671387 # DEPENDENCYPART_ARC
(19,17),-1.32938 # DEPENDENCYPART_ARC
(19,18),-0.304803 # DEPENDENCYPART_ARC
(19,20),-0.0352967 # DEPENDENCYPART_ARC
(19,21),-0.216658 # DEPENDENCYPART_ARC
(19,22),-0.654785 # DEPENDENCYPART_ARC
(20,21),-0.429544 # DEPENDENCYPART_ARC
(21,20),-0.0785662 # DEPENDENCYPART_ARC
(21,22),-0.806449 # DEPENDENCYPART_ARC
(22,15),-1.42809 # DEPENDENCYPART_ARC
(22,16),-2.14445 # DEPENDENCYPART_ARC
(22,17),-1.27547 # DEPENDENCYPART_ARC
(22,18),-1.2021 # DEPENDENCYPART_ARC
(22,19),-0.98053 # DEPENDENCYPART_ARC
(22,20),0.499615 # DEPENDENCYPART_ARC
(22,21),1.78121 # DEPENDENCYPART_ARC
(22,23),-0.330375 # DEPENDENCYPART_ARC
(23,22),-0.685091 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.13434 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.125887 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.247878 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0138021 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.261109 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.016548 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.106533 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0249793 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.106533 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0439391 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.243031 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00287746 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00815977 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00418897 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0108453 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00418897 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00904135 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0206475 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00749027 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.038946 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00916189 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.038946 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0107476 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0159821 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0164604 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0191288 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0164604 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0173249 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.028923 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0276047 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00843959 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.03965 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.019044 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0426862 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0277594 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0378679 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.03965 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.019044 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0251329 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.113542 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.205336 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0597231 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00402998 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0897667 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00440129 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0897667 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0308343 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.184254 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0792945 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0193528 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.096317 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0441407 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0438955 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.026528 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0438955 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0599085 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00352926 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00719175 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0181294 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00126857 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0776132 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00040305 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0776132 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00946198 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0326751 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00240879 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00907056 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0111412 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0107422 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0111412 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0197923 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0618324 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0148234 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0615079 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00350744 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0615079 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00216183 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0342605 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00684837 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0611136 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0700381 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.061949 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00436745 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.028498 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0352822 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0125964 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0432054 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.000589374 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.061949 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00436745 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.028498 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0342075 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00943999 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0253514 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0378403 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0446556 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0629093 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0549617 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0350903 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.055517 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0350903 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0522738 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00365876 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0832616 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0219286 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0084808 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0600607 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0152729 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.12053 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.117902 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.11174 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0126385 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.116902 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0126385 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0834489 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0317269 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0409883 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0528853 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0030387 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.151431 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0342302 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0774948 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0962342 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0567047 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.101395 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0567047 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.067939 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.155773 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0572983 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0064543 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.118572 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.12998 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.173093 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.036789 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0481839 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0367994 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0481839 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0462571 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0797523 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0343046 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0408986 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0571475 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0478365 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0608865 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.037841 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0658376 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.037841 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.070591 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0753335 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0476649 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0635919 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0657085 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0433228 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0435331 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0118252 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0354381 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.030277 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0104682 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00852349 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0182127 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00586939 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0391248 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0252113 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0472549 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0721032 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0761009 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0480586 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0636057 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0660994 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0433388 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0436643 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.030277 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0104682 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.00852349 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0182127 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00586939 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0391248 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0252113 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0696073 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0414474 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0545305 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0586319 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.034651 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0268533 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0717445 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0757426 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.109761 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0753192 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.0179841 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.100007 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0611503 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.00197791 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.00421599 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0549191 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0615511 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0753515 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0428594 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.0324045 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0734757 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0356896 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.183432 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.279754 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.102926 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0273906 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.102926 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0183943 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0456943 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.239114 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00531226 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.166257 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.334274 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.106581 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0165387 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0403267 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.145999 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0345476 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.015801 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0345476 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00128974 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0216453 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0506144 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0153187 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00567205 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0336079 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.153272 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.00575804 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0168123 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0278342 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0230295 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0278342 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0154222 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00551833 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0995405 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0211802 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0194848 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.046747 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0522828 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0160922 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0190516 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0118086 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0190516 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00185041 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0203699 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.167776 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00857686 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.341123 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.203743 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0783293 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.000371715 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0223977 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0222574 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0319302 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0381114 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0280812 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.00419585 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0151678 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0215826 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.013658 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0316621 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0235445 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0277325 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0285922 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0325163 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00993805 # DEPENDENCYPART_SIBL
