# _root_ Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,10,23,24,27,25,27,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,13,23,24,27,25,27,9,
(7,4),-1.17329 # DEPENDENCYPART_ARC
(7,6),-0.0447759 # DEPENDENCYPART_ARC
(7,9),-0.757565 # DEPENDENCYPART_ARC
(7,10),-1.09881 # DEPENDENCYPART_ARC
(7,12),-2.01747 # DEPENDENCYPART_ARC
(8,1),-1.45824 # DEPENDENCYPART_ARC
(8,3),-0.849291 # DEPENDENCYPART_ARC
(8,4),-1.32805 # DEPENDENCYPART_ARC
(8,5),-0.894346 # DEPENDENCYPART_ARC
(8,6),0.358141 # DEPENDENCYPART_ARC
(8,7),1.51182 # DEPENDENCYPART_ARC
(8,9),-0.274198 # DEPENDENCYPART_ARC
(8,10),-1.15901 # DEPENDENCYPART_ARC
(8,11),-1.44675 # DEPENDENCYPART_ARC
(8,12),-1.63268 # DEPENDENCYPART_ARC
(8,13),-2.3088 # DEPENDENCYPART_ARC
(8,14),-1.47945 # DEPENDENCYPART_ARC
(9,1),-0.570124 # DEPENDENCYPART_ARC
(9,3),-1.19851 # DEPENDENCYPART_ARC
(9,4),-0.387019 # DEPENDENCYPART_ARC
(9,5),-0.515266 # DEPENDENCYPART_ARC
(9,6),-0.994297 # DEPENDENCYPART_ARC
(9,7),-0.791655 # DEPENDENCYPART_ARC
(9,8),0.784296 # DEPENDENCYPART_ARC
(9,10),1.40804 # DEPENDENCYPART_ARC
(9,11),-0.902459 # DEPENDENCYPART_ARC
(9,12),-1.84252 # DEPENDENCYPART_ARC
(9,13),-1.73202 # DEPENDENCYPART_ARC
(9,14),-1.69435 # DEPENDENCYPART_ARC
(9,15),-1.58183 # DEPENDENCYPART_ARC
(9,16),-1.4874 # DEPENDENCYPART_ARC
(9,23),-1.54944 # DEPENDENCYPART_ARC
(9,27),-0.828467 # DEPENDENCYPART_ARC
(9,29),-0.621291 # DEPENDENCYPART_ARC
(10,1),-1.36017 # DEPENDENCYPART_ARC
(10,3),-1.67944 # DEPENDENCYPART_ARC
(10,4),-1.31702 # DEPENDENCYPART_ARC
(10,5),-1.30197 # DEPENDENCYPART_ARC
(10,6),-1.75706 # DEPENDENCYPART_ARC
(10,7),-1.50356 # DEPENDENCYPART_ARC
(10,8),-1.13276 # DEPENDENCYPART_ARC
(10,9),-0.955023 # DEPENDENCYPART_ARC
(10,11),0.0589663 # DEPENDENCYPART_ARC
(10,12),-1.37618 # DEPENDENCYPART_ARC
(10,13),-1.57618 # DEPENDENCYPART_ARC
(10,14),-1.56207 # DEPENDENCYPART_ARC
(10,15),-1.67917 # DEPENDENCYPART_ARC
(10,16),-1.85809 # DEPENDENCYPART_ARC
(10,17),-2.0198 # DEPENDENCYPART_ARC
(10,23),-1.59352 # DEPENDENCYPART_ARC
(10,24),-1.66133 # DEPENDENCYPART_ARC
(10,25),-1.98237 # DEPENDENCYPART_ARC
(10,27),-1.37525 # DEPENDENCYPART_ARC
(10,29),-1.8682 # DEPENDENCYPART_ARC
(12,6),-1.96873 # DEPENDENCYPART_ARC
(12,7),-1.66478 # DEPENDENCYPART_ARC
(12,8),-1.89526 # DEPENDENCYPART_ARC
(12,10),-1.03419 # DEPENDENCYPART_ARC
(12,11),0.0433978 # DEPENDENCYPART_ARC
(12,13),-0.289105 # DEPENDENCYPART_ARC
(12,16),-2.04348 # DEPENDENCYPART_ARC
(13,1),-1.72531 # DEPENDENCYPART_ARC
(13,3),-1.21372 # DEPENDENCYPART_ARC
(13,4),-1.44124 # DEPENDENCYPART_ARC
(13,5),-1.1908 # DEPENDENCYPART_ARC
(13,6),-1.61538 # DEPENDENCYPART_ARC
(13,7),-1.3509 # DEPENDENCYPART_ARC
(13,8),-1.59662 # DEPENDENCYPART_ARC
(13,9),-1.25366 # DEPENDENCYPART_ARC
(13,10),-0.830638 # DEPENDENCYPART_ARC
(13,11),0.0299729 # DEPENDENCYPART_ARC
(13,12),1.16778 # DEPENDENCYPART_ARC
(13,14),0.772347 # DEPENDENCYPART_ARC
(13,15),-1.14378 # DEPENDENCYPART_ARC
(13,16),-1.39415 # DEPENDENCYPART_ARC
(13,17),-1.7734 # DEPENDENCYPART_ARC
(13,19),-1.99224 # DEPENDENCYPART_ARC
(13,20),-1.92142 # DEPENDENCYPART_ARC
(13,23),-1.6401 # DEPENDENCYPART_ARC
(13,24),-1.6962 # DEPENDENCYPART_ARC
(13,25),-2.11067 # DEPENDENCYPART_ARC
(13,27),-1.34031 # DEPENDENCYPART_ARC
(13,29),-1.45982 # DEPENDENCYPART_ARC
(14,15),-0.510642 # DEPENDENCYPART_ARC
(15,12),-1.79088 # DEPENDENCYPART_ARC
(15,14),0.0392649 # DEPENDENCYPART_ARC
(15,16),-0.0575815 # DEPENDENCYPART_ARC
(15,17),-0.968496 # DEPENDENCYPART_ARC
(15,18),-1.27027 # DEPENDENCYPART_ARC
(15,19),-1.36924 # DEPENDENCYPART_ARC
(15,20),-1.32644 # DEPENDENCYPART_ARC
(15,22),-1.94588 # DEPENDENCYPART_ARC
(15,23),-1.4522 # DEPENDENCYPART_ARC
(16,15),-0.0916027 # DEPENDENCYPART_ARC
(16,17),-0.149668 # DEPENDENCYPART_ARC
(16,18),-1.07556 # DEPENDENCYPART_ARC
(16,19),-1.29346 # DEPENDENCYPART_ARC
(16,20),-1.1485 # DEPENDENCYPART_ARC
(17,15),-1.04292 # DEPENDENCYPART_ARC
(17,16),0.0843564 # DEPENDENCYPART_ARC
(17,18),0.840416 # DEPENDENCYPART_ARC
(17,19),-0.206627 # DEPENDENCYPART_ARC
(17,20),-0.701462 # DEPENDENCYPART_ARC
(17,22),-1.26549 # DEPENDENCYPART_ARC
(17,23),-1.1273 # DEPENDENCYPART_ARC
(17,25),-1.09541 # DEPENDENCYPART_ARC
(17,27),-1.00056 # DEPENDENCYPART_ARC
(18,17),-0.429878 # DEPENDENCYPART_ARC
(18,19),-0.237017 # DEPENDENCYPART_ARC
(18,20),-1.16044 # DEPENDENCYPART_ARC
(18,24),-1.49501 # DEPENDENCYPART_ARC
(19,6),-2.23691 # DEPENDENCYPART_ARC
(19,13),-2.06534 # DEPENDENCYPART_ARC
(19,14),-1.77362 # DEPENDENCYPART_ARC
(19,15),-1.0629 # DEPENDENCYPART_ARC
(19,16),-1.23859 # DEPENDENCYPART_ARC
(19,17),-0.328653 # DEPENDENCYPART_ARC
(19,18),0.898421 # DEPENDENCYPART_ARC
(19,20),0.667598 # DEPENDENCYPART_ARC
(19,22),-0.847426 # DEPENDENCYPART_ARC
(19,23),-0.667067 # DEPENDENCYPART_ARC
(19,24),-1.02946 # DEPENDENCYPART_ARC
(19,25),-0.801113 # DEPENDENCYPART_ARC
(19,27),-0.68294 # DEPENDENCYPART_ARC
(19,29),-1.25915 # DEPENDENCYPART_ARC
(20,16),-1.63453 # DEPENDENCYPART_ARC
(20,18),-1.39001 # DEPENDENCYPART_ARC
(20,22),0.0677745 # DEPENDENCYPART_ARC
(20,23),-1.21749 # DEPENDENCYPART_ARC
(20,25),-1.40139 # DEPENDENCYPART_ARC
(20,26),-1.8654 # DEPENDENCYPART_ARC
(20,27),-1.03731 # DEPENDENCYPART_ARC
(20,28),-2.205 # DEPENDENCYPART_ARC
(22,16),-2.17099 # DEPENDENCYPART_ARC
(22,17),-1.25828 # DEPENDENCYPART_ARC
(22,18),-1.29778 # DEPENDENCYPART_ARC
(22,19),-1.34192 # DEPENDENCYPART_ARC
(22,20),-0.875571 # DEPENDENCYPART_ARC
(22,21),0.785482 # DEPENDENCYPART_ARC
(22,23),-0.339235 # DEPENDENCYPART_ARC
(22,24),-1.15944 # DEPENDENCYPART_ARC
(22,25),-1.02206 # DEPENDENCYPART_ARC
(23,4),-0.98494 # DEPENDENCYPART_ARC
(23,5),-1.37647 # DEPENDENCYPART_ARC
(23,7),-1.39458 # DEPENDENCYPART_ARC
(23,8),-1.13113 # DEPENDENCYPART_ARC
(23,9),-1.28543 # DEPENDENCYPART_ARC
(23,10),-1.25706 # DEPENDENCYPART_ARC
(23,11),-1.95328 # DEPENDENCYPART_ARC
(23,12),-1.81677 # DEPENDENCYPART_ARC
(23,13),-1.19544 # DEPENDENCYPART_ARC
(23,14),-1.07689 # DEPENDENCYPART_ARC
(23,15),-0.214655 # DEPENDENCYPART_ARC
(23,17),-0.571485 # DEPENDENCYPART_ARC
(23,18),-1.29504 # DEPENDENCYPART_ARC
(23,19),-0.389149 # DEPENDENCYPART_ARC
(23,20),-0.526157 # DEPENDENCYPART_ARC
(23,22),0.951415 # DEPENDENCYPART_ARC
(23,24),1.34629 # DEPENDENCYPART_ARC
(23,25),-0.668643 # DEPENDENCYPART_ARC
(23,26),-1.14094 # DEPENDENCYPART_ARC
(23,27),-0.704683 # DEPENDENCYPART_ARC
(23,28),-1.44934 # DEPENDENCYPART_ARC
(23,29),-0.405458 # DEPENDENCYPART_ARC
(24,8),-2.30955 # DEPENDENCYPART_ARC
(24,15),-1.23281 # DEPENDENCYPART_ARC
(24,17),-1.39642 # DEPENDENCYPART_ARC
(24,19),-1.49682 # DEPENDENCYPART_ARC
(24,20),-1.25061 # DEPENDENCYPART_ARC
(24,22),-1.34102 # DEPENDENCYPART_ARC
(24,25),0.843457 # DEPENDENCYPART_ARC
(24,26),-0.478739 # DEPENDENCYPART_ARC
(24,27),-0.64844 # DEPENDENCYPART_ARC
(24,28),-1.0399 # DEPENDENCYPART_ARC
(24,29),-0.796196 # DEPENDENCYPART_ARC
(25,22),-1.16368 # DEPENDENCYPART_ARC
(25,26),0.567037 # DEPENDENCYPART_ARC
(25,27),-0.720612 # DEPENDENCYPART_ARC
(25,28),-1.0911 # DEPENDENCYPART_ARC
(26,21),-2.20462 # DEPENDENCYPART_ARC
(26,25),-0.711737 # DEPENDENCYPART_ARC
(26,28),-1.31444 # DEPENDENCYPART_ARC
(27,1),-1.64755 # DEPENDENCYPART_ARC
(27,4),-1.80746 # DEPENDENCYPART_ARC
(27,5),-1.08976 # DEPENDENCYPART_ARC
(27,7),-2.18429 # DEPENDENCYPART_ARC
(27,8),-1.25222 # DEPENDENCYPART_ARC
(27,9),-2.49939 # DEPENDENCYPART_ARC
(27,10),-2.16974 # DEPENDENCYPART_ARC
(27,11),-2.01227 # DEPENDENCYPART_ARC
(27,12),-1.69462 # DEPENDENCYPART_ARC
(27,13),-1.76663 # DEPENDENCYPART_ARC
(27,14),-1.55042 # DEPENDENCYPART_ARC
(27,15),-0.124229 # DEPENDENCYPART_ARC
(27,16),-1.53847 # DEPENDENCYPART_ARC
(27,17),-0.527939 # DEPENDENCYPART_ARC
(27,18),-0.828467 # DEPENDENCYPART_ARC
(27,19),-1.00499 # DEPENDENCYPART_ARC
(27,20),-0.718044 # DEPENDENCYPART_ARC
(27,21),-1.07268 # DEPENDENCYPART_ARC
(27,22),-0.417984 # DEPENDENCYPART_ARC
(27,23),-0.852755 # DEPENDENCYPART_ARC
(27,24),-0.676034 # DEPENDENCYPART_ARC
(27,25),-0.508881 # DEPENDENCYPART_ARC
(27,26),2.40249 # DEPENDENCYPART_ARC
(27,28),1.75873 # DEPENDENCYPART_ARC
(27,29),-1.02544 # DEPENDENCYPART_ARC
(28,21),-2.24655 # DEPENDENCYPART_ARC
(28,26),-1.06531 # DEPENDENCYPART_ARC
(28,29),-0.576581 # DEPENDENCYPART_ARC
(29,24),-1.37221 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0445531 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.101643 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.103266 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.107332 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.101643 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.105815 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.09126 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.100359 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.101982 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.106047 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.100359 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.10453 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0912498 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.177201 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.177519 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.175012 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.177247 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.139941 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.166399 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.1656 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.166127 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.131702 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.164596 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.165122 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.131702 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.177247 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.139941 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.126432 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0374834 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00251689 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00422707 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00524275 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0371431 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0276488 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.000245702 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.000245702 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0138194 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.011016 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0136835 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0139013 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0128997 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0125685 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00220891 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0065624 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0065624 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0199139 # DEPENDENCYPART_SIBL
(1,3),(1,29),-0.0139267 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0294578 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0132463 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0222036 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0130195 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0154005 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0154005 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.00509152 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0201838 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00154836 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0342869 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0164779 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0276852 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0276852 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0325714 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0499949 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0244921 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0170022 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0269237 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0269237 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.00237914 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0174987 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00920493 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0446972 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0446972 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0165635 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0388724 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0150984 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0150984 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0321812 # DEPENDENCYPART_SIBL
(1,10),(1,29),-0.00347034 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0434235 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0102228 # DEPENDENCYPART_SIBL
(1,11),(1,29),0.00397026 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0102228 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.00397026 # DEPENDENCYPART_SIBL
(1,19),(1,29),0.0281662 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.000502461 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0445094 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0226833 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0235101 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0913585 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0137424 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.000266458 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0576984 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0152204 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0488513 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00934616 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0182101 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0488513 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0101566 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.00806508 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0124935 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00736022 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0294451 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0201771 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.013567 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0157913 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0392535 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0144556 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0172975 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0399597 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0144556 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0477413 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0805644 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0101322 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0423717 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0317036 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0130951 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00281674 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0220805 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0334168 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00852409 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0192732 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0334168 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0314176 # DEPENDENCYPART_SIBL
(4,3),(4,29),-0.0348499 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0309052 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0300417 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00141119 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0356662 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0190217 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0284374 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00595673 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0142564 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0284374 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0037107 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0506058 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00998538 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00707483 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.039853 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0300831 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0234621 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0077326 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0290264 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0234621 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0247453 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.00188078 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0103817 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00990261 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.000941833 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.016931 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0144818 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.000111058 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.016931 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.00439592 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.00154755 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0276399 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0207325 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0270541 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0126494 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0237417 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0270541 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0181994 # DEPENDENCYPART_SIBL
(4,8),(4,29),0.0175136 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0129682 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0447945 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00481763 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0122301 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0447945 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.00772228 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0388548 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0151957 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0204455 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.012773 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0151957 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.00826518 # DEPENDENCYPART_SIBL
(4,10),(4,29),-0.00348793 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0331726 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0131357 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0325023 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.0206256 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.00708956 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0206858 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0207715 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0151434 # DEPENDENCYPART_SIBL
(4,12),(4,29),0.0248197 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0248849 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.00812422 # DEPENDENCYPART_SIBL
(4,13),(4,29),0.000705399 # DEPENDENCYPART_SIBL
(4,14),(4,24),0.0206256 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.00708956 # DEPENDENCYPART_SIBL
(4,24),(4,29),0.000100503 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0772093 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0673238 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0957407 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0466565 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0221403 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.100995 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0496759 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0163154 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.020107 # DEPENDENCYPART_SIBL
