# _root_ Today , with business activity in Hong Kong staggering along at an uneven pace , the economy itself seems locked in a struggle between hope and fear .
#goldHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
#predictedHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
(5,10),-1.64873 # DEPENDENCYPART_ARC
(5,11),-1.66257 # DEPENDENCYPART_ARC
(5,14),-1.80314 # DEPENDENCYPART_ARC
(5,15),-2.08794 # DEPENDENCYPART_ARC
(5,28),-2.83567 # DEPENDENCYPART_ARC
(6,1),-2.41876 # DEPENDENCYPART_ARC
(6,5),-0.745663 # DEPENDENCYPART_ARC
(6,7),0.139974 # DEPENDENCYPART_ARC
(6,8),-0.091914 # DEPENDENCYPART_ARC
(6,9),-1.31361 # DEPENDENCYPART_ARC
(6,10),-1.50533 # DEPENDENCYPART_ARC
(6,11),-1.67288 # DEPENDENCYPART_ARC
(6,14),-2.53565 # DEPENDENCYPART_ARC
(7,8),-0.397463 # DEPENDENCYPART_ARC
(7,9),-0.824421 # DEPENDENCYPART_ARC
(8,1),-3.23397 # DEPENDENCYPART_ARC
(8,2),-2.6622 # DEPENDENCYPART_ARC
(8,4),-0.902096 # DEPENDENCYPART_ARC
(8,5),-1.61856 # DEPENDENCYPART_ARC
(8,7),1.324 # DEPENDENCYPART_ARC
(8,9),-0.215107 # DEPENDENCYPART_ARC
(8,10),-1.23627 # DEPENDENCYPART_ARC
(8,11),-1.38957 # DEPENDENCYPART_ARC
(8,14),-1.6091 # DEPENDENCYPART_ARC
(8,15),-1.82465 # DEPENDENCYPART_ARC
(8,17),-1.86967 # DEPENDENCYPART_ARC
(9,1),-2.95147 # DEPENDENCYPART_ARC
(9,3),-1.40759 # DEPENDENCYPART_ARC
(9,4),-1.8982 # DEPENDENCYPART_ARC
(9,5),-1.52744 # DEPENDENCYPART_ARC
(9,6),-1.59255 # DEPENDENCYPART_ARC
(9,7),-1.59598 # DEPENDENCYPART_ARC
(9,8),-0.48088 # DEPENDENCYPART_ARC
(9,10),0.289212 # DEPENDENCYPART_ARC
(9,11),-0.465018 # DEPENDENCYPART_ARC
(9,12),-1.45153 # DEPENDENCYPART_ARC
(9,13),-1.42415 # DEPENDENCYPART_ARC
(9,14),-1.03962 # DEPENDENCYPART_ARC
(9,15),-1.42359 # DEPENDENCYPART_ARC
(9,17),-2.28334 # DEPENDENCYPART_ARC
(9,19),-1.97511 # DEPENDENCYPART_ARC
(9,20),-2.00837 # DEPENDENCYPART_ARC
(9,21),-2.69855 # DEPENDENCYPART_ARC
(9,26),-1.52588 # DEPENDENCYPART_ARC
(9,28),-1.38697 # DEPENDENCYPART_ARC
(10,1),-2.00317 # DEPENDENCYPART_ARC
(10,2),-2.07013 # DEPENDENCYPART_ARC
(10,3),-1.68981 # DEPENDENCYPART_ARC
(10,5),-1.59574 # DEPENDENCYPART_ARC
(10,6),-1.55034 # DEPENDENCYPART_ARC
(10,7),-1.43948 # DEPENDENCYPART_ARC
(10,8),-1.46384 # DEPENDENCYPART_ARC
(10,9),-0.132756 # DEPENDENCYPART_ARC
(10,11),-0.239698 # DEPENDENCYPART_ARC
(10,12),-0.979628 # DEPENDENCYPART_ARC
(10,13),-1.0582 # DEPENDENCYPART_ARC
(10,14),-1.4097 # DEPENDENCYPART_ARC
(10,15),-1.51975 # DEPENDENCYPART_ARC
(10,17),-2.10817 # DEPENDENCYPART_ARC
(10,19),-1.74544 # DEPENDENCYPART_ARC
(10,21),-2.23744 # DEPENDENCYPART_ARC
(11,6),-1.33737 # DEPENDENCYPART_ARC
(11,10),-0.118616 # DEPENDENCYPART_ARC
(11,12),0.0163083 # DEPENDENCYPART_ARC
(11,13),-0.693744 # DEPENDENCYPART_ARC
(11,14),-0.498069 # DEPENDENCYPART_ARC
(11,15),-1.37311 # DEPENDENCYPART_ARC
(11,17),-2.12279 # DEPENDENCYPART_ARC
(11,19),-2.23299 # DEPENDENCYPART_ARC
(11,21),-2.0697 # DEPENDENCYPART_ARC
(12,13),-0.522846 # DEPENDENCYPART_ARC
(13,1),-2.18545 # DEPENDENCYPART_ARC
(13,10),-1.39365 # DEPENDENCYPART_ARC
(13,12),-0.0334428 # DEPENDENCYPART_ARC
(13,17),-1.96809 # DEPENDENCYPART_ARC
(14,7),-1.42557 # DEPENDENCYPART_ARC
(14,10),-0.877539 # DEPENDENCYPART_ARC
(14,11),-0.938407 # DEPENDENCYPART_ARC
(14,12),0.370998 # DEPENDENCYPART_ARC
(14,13),1.57512 # DEPENDENCYPART_ARC
(14,15),-0.224034 # DEPENDENCYPART_ARC
(14,16),-1.86836 # DEPENDENCYPART_ARC
(14,17),-1.703 # DEPENDENCYPART_ARC
(14,19),-1.87631 # DEPENDENCYPART_ARC
(14,20),-2.2572 # DEPENDENCYPART_ARC
(14,21),-2.26565 # DEPENDENCYPART_ARC
(14,23),-1.83173 # DEPENDENCYPART_ARC
(14,24),-2.0531 # DEPENDENCYPART_ARC
(14,26),-1.51953 # DEPENDENCYPART_ARC
(14,28),-2.61984 # DEPENDENCYPART_ARC
(16,19),-1.44796 # DEPENDENCYPART_ARC
(16,20),-1.75615 # DEPENDENCYPART_ARC
(17,12),-1.91279 # DEPENDENCYPART_ARC
(17,13),-2.04812 # DEPENDENCYPART_ARC
(17,14),-2.08054 # DEPENDENCYPART_ARC
(17,16),1.10465 # DEPENDENCYPART_ARC
(17,18),-0.169388 # DEPENDENCYPART_ARC
(17,19),-0.323046 # DEPENDENCYPART_ARC
(17,20),-0.927584 # DEPENDENCYPART_ARC
(17,21),-1.07436 # DEPENDENCYPART_ARC
(17,23),-1.23573 # DEPENDENCYPART_ARC
(17,24),-1.13134 # DEPENDENCYPART_ARC
(17,26),-0.946605 # DEPENDENCYPART_ARC
(17,28),-1.68033 # DEPENDENCYPART_ARC
(18,21),-1.46905 # DEPENDENCYPART_ARC
(18,23),-1.71053 # DEPENDENCYPART_ARC
(19,1),-1.0676 # DEPENDENCYPART_ARC
(19,2),-2.33747 # DEPENDENCYPART_ARC
(19,3),-1.4187 # DEPENDENCYPART_ARC
(19,5),-2.47628 # DEPENDENCYPART_ARC
(19,6),-1.9529 # DEPENDENCYPART_ARC
(19,9),-1.68656 # DEPENDENCYPART_ARC
(19,10),-1.91728 # DEPENDENCYPART_ARC
(19,11),-1.50748 # DEPENDENCYPART_ARC
(19,14),-2.21607 # DEPENDENCYPART_ARC
(19,15),-1.03877 # DEPENDENCYPART_ARC
(19,16),-1.25255 # DEPENDENCYPART_ARC
(19,17),-0.738138 # DEPENDENCYPART_ARC
(19,18),0.9079 # DEPENDENCYPART_ARC
(19,20),1.40529 # DEPENDENCYPART_ARC
(19,21),-0.852141 # DEPENDENCYPART_ARC
(19,23),-1.27895 # DEPENDENCYPART_ARC
(19,24),-1.57832 # DEPENDENCYPART_ARC
(19,26),-0.778133 # DEPENDENCYPART_ARC
(19,28),-0.798437 # DEPENDENCYPART_ARC
(20,3),-2.01185 # DEPENDENCYPART_ARC
(20,5),-2.99239 # DEPENDENCYPART_ARC
(20,6),-2.18936 # DEPENDENCYPART_ARC
(20,11),-1.92561 # DEPENDENCYPART_ARC
(20,15),-1.93859 # DEPENDENCYPART_ARC
(20,16),-1.85255 # DEPENDENCYPART_ARC
(20,17),-1.26256 # DEPENDENCYPART_ARC
(20,18),-1.45294 # DEPENDENCYPART_ARC
(20,19),-0.860135 # DEPENDENCYPART_ARC
(20,21),0.629925 # DEPENDENCYPART_ARC
(20,22),-1.19465 # DEPENDENCYPART_ARC
(20,23),-0.846752 # DEPENDENCYPART_ARC
(20,24),-0.997955 # DEPENDENCYPART_ARC
(20,26),-0.850323 # DEPENDENCYPART_ARC
(20,27),-1.68971 # DEPENDENCYPART_ARC
(20,28),-0.640644 # DEPENDENCYPART_ARC
(21,22),0.0242642 # DEPENDENCYPART_ARC
(21,23),-0.0484294 # DEPENDENCYPART_ARC
(21,24),-1.32098 # DEPENDENCYPART_ARC
(21,25),-1.21358 # DEPENDENCYPART_ARC
(21,26),-1.35792 # DEPENDENCYPART_ARC
(21,27),-1.86487 # DEPENDENCYPART_ARC
(22,24),-1.24816 # DEPENDENCYPART_ARC
(23,18),-1.78239 # DEPENDENCYPART_ARC
(23,21),-1.08314 # DEPENDENCYPART_ARC
(23,22),1.24031 # DEPENDENCYPART_ARC
(23,24),0.378107 # DEPENDENCYPART_ARC
(23,25),-1.03273 # DEPENDENCYPART_ARC
(23,26),-0.926428 # DEPENDENCYPART_ARC
(23,27),-1.31845 # DEPENDENCYPART_ARC
(23,28),-1.1456 # DEPENDENCYPART_ARC
(24,22),-1.37792 # DEPENDENCYPART_ARC
(24,23),-0.527877 # DEPENDENCYPART_ARC
(24,25),0.708985 # DEPENDENCYPART_ARC
(24,26),-0.405294 # DEPENDENCYPART_ARC
(24,27),-1.17527 # DEPENDENCYPART_ARC
(25,22),-1.82623 # DEPENDENCYPART_ARC
(25,23),-1.19001 # DEPENDENCYPART_ARC
(25,24),-0.555526 # DEPENDENCYPART_ARC
(25,27),-1.35777 # DEPENDENCYPART_ARC
(26,1),-1.35063 # DEPENDENCYPART_ARC
(26,2),-2.74418 # DEPENDENCYPART_ARC
(26,3),-2.0601 # DEPENDENCYPART_ARC
(26,5),-2.28949 # DEPENDENCYPART_ARC
(26,6),-1.79919 # DEPENDENCYPART_ARC
(26,7),-1.55154 # DEPENDENCYPART_ARC
(26,8),-1.6187 # DEPENDENCYPART_ARC
(26,9),-2.17786 # DEPENDENCYPART_ARC
(26,10),-1.95682 # DEPENDENCYPART_ARC
(26,11),-1.43348 # DEPENDENCYPART_ARC
(26,12),-2.35573 # DEPENDENCYPART_ARC
(26,13),-2.04925 # DEPENDENCYPART_ARC
(26,14),-1.33018 # DEPENDENCYPART_ARC
(26,15),-1.50831 # DEPENDENCYPART_ARC
(26,16),-2.05242 # DEPENDENCYPART_ARC
(26,17),-1.05215 # DEPENDENCYPART_ARC
(26,18),-1.36112 # DEPENDENCYPART_ARC
(26,19),-1.20567 # DEPENDENCYPART_ARC
(26,20),-0.955747 # DEPENDENCYPART_ARC
(26,21),-1.19934 # DEPENDENCYPART_ARC
(26,22),-0.54751 # DEPENDENCYPART_ARC
(26,23),-0.470376 # DEPENDENCYPART_ARC
(26,24),-0.553654 # DEPENDENCYPART_ARC
(26,25),2.48367 # DEPENDENCYPART_ARC
(26,27),1.86245 # DEPENDENCYPART_ARC
(26,28),-1.09155 # DEPENDENCYPART_ARC
(27,22),-2.07023 # DEPENDENCYPART_ARC
(27,25),-1.05649 # DEPENDENCYPART_ARC
(27,28),-0.590636 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.00243858 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0590615 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.113764 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0572627 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.11224 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.113845 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.106756 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0211276 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.113357 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0214455 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.116022 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.113358 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.075709 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.123133 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0572796 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.121609 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.123214 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.106249 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0770205 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.226902 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.225465 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.179755 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.127361 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.128966 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.106467 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.228663 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.182541 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.182085 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0535423 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00895195 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0288777 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0164237 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0288389 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0197507 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0145086 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0286867 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0278903 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.025652 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.00912986 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0145096 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0313656 # DEPENDENCYPART_SIBL
(1,2),(1,28),-0.0121967 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.014115 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0278229 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0151449 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0267026 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0287486 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.013874 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0601165 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0273747 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0123696 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0217054 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0138742 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0055765 # DEPENDENCYPART_SIBL
(1,3),(1,28),-0.0229207 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0187447 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00147654 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0162312 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0187584 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0274321 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.000998915 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0163595 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0124221 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0261415 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0275131 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.00679034 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.00155072 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00671677 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0147979 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0173251 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0171994 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00589809 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0149262 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00908748 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0159088 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0172804 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.00680985 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00825653 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00910425 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00703382 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00131231 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.115714 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00822414 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0166702 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.00655752 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.00131212 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0414394 # DEPENDENCYPART_SIBL
(1,6),(1,28),-0.00821557 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0198723 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0185051 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.00550113 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0169866 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0108856 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0172146 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0185861 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.00720682 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.0171249 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0157291 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0140031 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0121387 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0147469 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0144385 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.01581 # DEPENDENCYPART_SIBL
(1,8),(1,24),0.00129511 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.0225395 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00641724 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0146413 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0187199 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0136491 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00966058 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.000361446 # DEPENDENCYPART_SIBL
(1,9),(1,28),-0.00452974 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0111461 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.00797623 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0178774 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.0100832 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.0293125 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0349 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.00738401 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0169194 # DEPENDENCYPART_SIBL
(1,14),(1,20),-0.0182909 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.00322477 # DEPENDENCYPART_SIBL
(1,14),(1,28),0.0139502 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.00912986 # DEPENDENCYPART_SIBL
(1,15),(1,20),0.0145096 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.0313656 # DEPENDENCYPART_SIBL
(1,15),(1,28),-0.0121967 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.0172051 # DEPENDENCYPART_SIBL
(1,19),(1,24),-0.00448242 # DEPENDENCYPART_SIBL
(1,19),(1,28),-0.00797391 # DEPENDENCYPART_SIBL
(1,20),(1,24),-0.00122182 # DEPENDENCYPART_SIBL
(1,20),(1,28),-0.00977721 # DEPENDENCYPART_SIBL
(1,24),(1,28),0.00508235 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0130529 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.029466 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0121561 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0732598 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0144042 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0113343 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0303852 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0337522 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0256818 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0652501 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0825166 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00603065 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0800008 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0790903 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.08122 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0222753 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.039841 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.108607 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0611981 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.106096 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.106913 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.063613 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0665541 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.196987 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0606189 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.100902 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.101719 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0496205 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0562313 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.186367 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0353221 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0355349 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0414162 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0583925 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0712839 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.108449 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0551042 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0594217 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.190086 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.054536 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0565514 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.187333 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0239746 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.104819 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.0826181 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0319081 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.051027 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0236499 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0219502 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.011478 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0221982 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0116547 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0112346 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0106905 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0243304 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00348209 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0298782 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00120958 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0276431 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0330687 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0351248 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.014946 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00866058 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0226286 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0197169 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0219069 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.052591 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0828774 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0146394 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.117682 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0291552 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0261386 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00998066 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0190703 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0156329 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0602862 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0331886 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0021238 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0126802 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0486329 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0237843 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0419791 # DEPENDENCYPART_SIBL
